Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2008_01_01,0.19101538311331687,255.5409689194124,275.9365752104467,270.43563380553906,103353.83428983597,266.31947365273425,94348.37846741974,0.0,1.558301509120031,-1.964879551307958,0.004327262534435262,济源市
2008_01_02,0.19273489667026947,257.1920987634201,278.3162264061814,273.3682003043874,102797.8245277998,266.43528308750933,93939.5887118111,0.0,1.1755240090957952,-1.2348132174282995,0.008654525068870524,济源市
2008_01_03,0.1716749382408978,259.91766534458924,279.63599917593575,274.14752315066977,102724.0894401814,270.53235629064125,93871.32107784096,0.0,0.21576694727542456,-0.7215518723223163,0.012981787603305785,济源市
2008_01_04,0.19575971467359055,260.42292019842927,279.5799938154443,273.3891022898668,102375.76413333579,268.9353891978827,93608.48653306937,0.0,1.3702582247575814,-1.2741970971094299,0.017309050137741047,济源市
2008_01_05,0.19498000388862333,264.05752843728584,282.24629938069916,275.69431108673115,101816.45580631778,268.37003812331307,93204.89618203878,1.862645149230957e-09,0.5386836848580469,-0.7697283933552492,0.02163631267217631,济源市
2008_01_06,0.15026235143269237,265.976169031538,281.06404353337365,275.37948076171375,102102.80443699741,271.2616026073047,93401.60684563538,3.982019571018512e-05,0.4785145019877029,-0.6183863918255128,0.02596357520661157,济源市
2008_01_07,0.1097197104084156,263.86093904584675,282.8261094009101,276.3732868344172,102106.73913499163,271.56691458568116,93443.4772887437,1.6569287009928536e-05,1.3156888207889386,-1.8204136516432319,0.030290837741046833,济源市
2008_01_08,0.26827752041044506,263.7266827673784,284.12334796356964,276.59314738523454,101582.92260333129,270.96647099730507,92995.4925748734,0.0,0.7582486616939061,-0.9478635678350775,0.034618100275482094,济源市
2008_01_11,0.0023426870286240124,269.4793785128068,272.3716228646056,270.8037798415842,102827.83792945131,268.9321436751048,93809.78156558711,0.005737008389372005,-0.5961187768524614,-0.2869348756785209,0.04759988787878788,济源市
2008_01_13,0.0030804278545510312,260.4463531185248,266.56204623211073,264.59183077594696,103997.10164509219,262.8448832118146,94669.52447510285,0.0007476379567955219,-1.2145039939929934,0.6560786309417779,0.05625441294765841,济源市
2008_01_14,-0.002804385538138751,261.81240791913064,267.98615122609294,266.29939592179403,103712.48707655413,262.65514631126376,94475.11930910434,9.432774787361374e-05,-0.06475988067708939,0.20767231765982497,0.060581675482093665,济源市
2008_01_15,0.015935188037386243,264.8080179807413,269.8240522635312,266.884977176258,104008.14635330345,263.3882474693186,94780.49890511628,0.0003322100660936032,-0.19468451628272646,0.11957627241111524,0.06490893801652893,济源市
2008_01_16,0.021750713226346047,264.00271693344297,267.99053485059,266.51598777406184,104131.70851490501,263.8447865664878,94838.01222991465,0.002099815717930126,-1.481202042752545,0.9015371810279826,0.06923620055096419,济源市
2008_01_17,-0.0025343514412351337,264.96363561863444,268.22041020571703,267.0135465602412,103572.33632851388,264.6360328397924,94347.23829498416,8.336634521941703e-05,-0.7800815865081592,0.38475009140602623,0.07356346308539945,济源市
2008_01_22,0.028136315515527317,259.48490431241936,269.95388385170867,266.2824082840584,103285.20739351,262.66807213365456,94106.96279141965,8.051752152192242e-05,1.378864756625977,-1.8333147166742765,0.09519977575757577,济源市
2008_01_24,0.015130276795680438,256.3046326983459,269.355392217613,266.51241920046283,103797.30096611871,263.1609297344338,94557.58341343579,0.0001819800142778111,0.07502627133712211,-0.5879157144032614,0.10385430082644628,济源市
2008_01_26,0.03166476931490946,260.8386193891075,270.16674702222423,267.2868335225975,103758.72520308937,264.11192832865197,94557.6574654748,8.292767180018509e-06,-0.5413010056568439,0.1832017754269622,0.11250882589531681,济源市
2008_01_28,0.011943107629741908,262.00261612149194,271.84001992301995,267.53663703198504,102539.08615297635,262.54420115950535,93452.31356484913,8.790472348205479e-05,1.518663058329098,-1.5676960338856347,0.12116335096418733,济源市
2008_01_29,0.018442630130011583,257.03473962875785,270.5153653036672,267.90558671164416,102946.6249823352,262.5193365213466,93802.41894415564,8.53845415786134e-06,1.8454760538012398,-2.296644118154981,0.1254906134986226,济源市
2008_01_31,0.03278375531659959,258.32826982499597,272.2445803280863,268.65603319694543,103317.4460154377,262.01564881875976,94201.97083181358,0.0,0.8268877725408413,-1.0173512537510796,0.13414513856749313,济源市
2008_02_03,0.052250750409202705,259.29463574595053,274.84226632887123,269.9434448195688,102531.06381758208,264.4685112508706,93577.05163695881,0.0,0.48168487615306277,-0.7003351336114696,0.1471269261707989,济源市
2008_02_04,0.01065097729258202,260.5928403447988,274.4550543145891,270.3764786064673,102792.49319808529,265.3682031294713,93760.36023716436,2.6684076721162467e-07,1.1657188343493226,-1.003940400129418,0.15145418870523417,济源市
2008_02_05,0.166762146813312,257.85716498012596,273.3797274737758,268.5288979447215,103203.79339308666,263.18272046709393,94104.18358867102,4.284083843231201e-08,0.976446950900488,-2.050491796173085,0.15578145123966944,济源市
2008_02_06,0.07781600406526124,258.70427736712446,273.4413897882234,269.10008380877196,102887.94303553246,262.87682133026095,93865.58688487962,0.0,0.7549260829886408,-0.49764980807526704,0.16010871377410468,济源市
2008_02_07,0.19883928938369846,256.8909821152394,274.84913522656404,268.9962617637371,102997.136162661,263.22779846910845,93909.5811423529,0.0,2.20608807012303,-2.513308874698492,0.16443597630853996,济源市
2008_02_08,0.22755649389794594,254.7561044732993,270.827652851351,267.20823454428063,103467.64653125219,262.02138841255953,94255.48439863703,0.0,2.248923493084848,-2.6381867819277005,0.16876323884297523,济源市
2008_02_10,0.20952544724058725,257.80620121195966,276.16442951396937,271.5695797670317,102814.8754344456,266.8421243421924,93850.67967482159,2.1420419216156006e-08,0.718959911822786,-1.378537760626518,0.17741776391184574,济源市
2008_02_12,0.14878865704700858,253.09529535383305,273.8439877125693,269.77858685575364,103489.27123144825,266.19067552500485,94389.6068555627,0.0,1.240847191010289,-1.3573864952743584,0.18607228898071626,济源市
2008_02_14,0.24914910545206564,258.95255495017403,277.3518145052197,271.7794325192956,102889.96862967702,266.8089047722882,93963.13858934175,1.862645149230957e-09,1.4838419888416639,-1.6327375391779806,0.19472681404958678,济源市
2008_02_15,0.11568731301016612,263.2527997044085,277.58879936648566,273.54330154369615,102787.43086558675,268.78440724911945,93910.53914108286,4.284083843231201e-08,-0.5443304620694703,-0.17221570338700806,0.19905407658402205,济源市
2008_02_16,0.17757367405435434,266.06672708755497,278.46232308871726,273.9644972405053,103231.89003363058,270.5201459141794,94298.07587302987,0.0,-0.9168084498086664,0.19634164981945876,0.20338133911845732,济源市
2008_02_17,-0.04197630895394233,266.26764556987354,275.2116586894036,273.5099913517905,103535.53556667708,270.72968005616696,94513.28776249058,0.0006427677298342987,-2.2384944047050133,0.43429648745151306,0.20770860165289257,济源市
2008_02_18,0.3596835231316416,268.6371745534512,277.77122168784894,273.45484926419937,103453.75486919087,269.6716701492185,94508.02939796752,6.433967757042833e-05,0.7873830737310905,-0.41770223951156993,0.21203586418732784,济源市
2008_02_19,0.1918616401999136,266.06754736040295,281.28373080394346,274.9539067674721,102979.43573435444,269.9493215516437,94151.54517503771,0.0,1.8624063543649076,-2.0654432807056815,0.21636312672176308,济源市
2008_02_20,0.2206576248489948,265.16539460930585,282.31461561170505,276.02448490034993,102425.07351023312,270.3701865887701,93703.67977891797,0.0,1.1424756789858985,-0.8842356945553476,0.22069038925619835,济源市
2008_02_21,0.25888312903061456,268.63540679688924,286.2887434431417,280.4201487483462,101511.39781948083,271.36069371310003,92975.87696492807,0.0,1.4133105381048905,-0.307818123612416,0.22501765179063363,济源市
2008_02_22,0.17386819069009768,268.0894112111177,287.05825957781127,279.04061697554016,102217.94304288684,272.8149293075903,93521.08034659286,0.0,-0.021151596630286994,-1.389168821532213,0.22934491432506887,济源市
2008_02_23,0.1537645264635862,266.5198917927972,278.6021154338766,273.66013135042465,103098.1721038346,269.1466109860737,94108.33098371257,0.0028303864677564597,-4.401032958340468,0.8873583631666768,0.23367217685950414,济源市
2008_02_26,0.3064116812498852,260.8549490898965,279.37644293935386,273.9688191311887,103327.47952214742,270.36390947645356,94395.7185787356,0.0,1.987022731053589,-2.6524217407316906,0.24665396446280993,济源市
2008_02_27,0.28936439567256517,263.7125755012443,282.60360011588403,276.77950658551623,102750.3046614105,270.8755457259626,93980.78697981793,1.862645149230957e-09,1.9892310923605303,-1.9259874571568967,0.2509812269972452,济源市
2008_02_28,0.2528653514619429,263.63285108358036,285.62185371282476,278.834283917301,101826.66438634883,273.0902260667955,93198.9302369555,4.284083843231201e-08,2.85491677732682,-2.185344144828143,0.25530848953168045,济源市
2008_02_29,0.281571900679914,264.2496120859202,286.4832207928859,280.69561477304444,101616.77876543581,274.1859441715563,93053.19687782247,0.0,1.92369420418454,-1.0696485415192034,0.2596357520661157,济源市
