Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2008_01_01,0.5476917120572492,261.8489408300584,279.81206801190365,272.83160039524955,103379.77283699502,267.797432428905,102508.8111732287,0.0,0.6176821517841381,0.5274290246216602,0.004327262534435262,源汇区
2008_01_02,0.606212121474526,265.3680936451712,281.66948517794617,276.04375460832875,102864.47407735568,268.4740873312361,102003.34097801974,0.0,1.6459968183987583,1.9497789133638972,0.008654525068870524,源汇区
2008_01_03,0.36560381851576823,266.3923422724362,283.124069487416,275.79825129986847,102699.11263610424,271.82584813699924,101841.20437921619,0.0,0.05376966437371682,-1.8826901955678805,0.012981787603305785,源汇区
2008_01_04,0.4096416602217066,267.99307802031905,281.5621871345528,275.7066033508279,102472.39913284859,272.2480039796305,101618.32315624086,0.0,1.029932742314162,1.0771856017552754,0.017309050137741047,源汇区
2008_01_05,0.47710127177582307,270.9824133961663,285.859838471945,278.81336093399057,101971.11400222556,272.09292047424765,101128.98175052452,1.862645149230957e-09,0.7971404464670049,2.536912607182971,0.02163631267217631,源汇区
2008_01_06,0.5770916268824666,271.67864303397715,284.0353565844258,277.104387859361,102103.68632044927,270.8395331830297,101256.64899234867,4.284083843231201e-08,0.6723209466067329,-0.724035646960523,0.02596357520661157,源汇区
2008_01_07,0.19289932033012447,270.38420241245615,286.1936676830448,278.2810936522438,102096.20821831354,270.96437507088103,101257.9014448699,0.0,1.0783485746053711,0.0010870523684998877,0.030290837741046833,源汇区
2008_01_08,0.5250565943028642,272.66985748000275,286.6331194495683,279.43171720752366,101666.94528238606,274.52875026286773,100831.38339832918,0.0,0.4953433873442412,1.3737797815728239,0.034618100275482094,源汇区
2008_01_14,0.10715396626775113,265.5613304981239,271.65059197270295,269.4574177188986,103722.78085138777,266.7705954802796,102826.820428326,0.0010383048966297512,-0.6245992658926641,-1.105543426040836,0.060581675482093665,源汇区
2008_01_16,0.07520513364749122,266.8382159827796,272.8972586778335,270.92400566470815,104091.67968369056,268.23741069395135,103196.65536258604,0.00033843389704161126,-1.3062518557930936,-1.034923546790996,0.06923620055096419,源汇区
2008_01_21,0.010794808855396297,264.847053903176,271.11052780470555,268.9184836445396,103184.6923820739,266.9277687821883,102293.72307028761,0.00012073889625686993,-0.36090526943687856,-2.369116340445625,0.0908725132231405,源汇区
2008_01_22,0.022512728903995017,265.78106396885187,273.446284409962,269.9559401569752,103237.01757748975,267.2014297326358,102350.34420234313,1.6213916448614497e-06,0.7632354567905091,-0.7882346882972417,0.09519977575757577,源汇区
2008_01_29,0.018518834432258553,262.02848071410017,274.3613645167622,270.83697417833827,102822.99625107355,266.7993247190533,101942.82710958568,0.0,2.062476622909276,-1.79853546149946,0.1254906134986226,源汇区
2008_01_31,0.023578804775124362,263.7829799921378,274.89356942619304,270.9928191049415,103310.40056643667,265.68547859838515,102428.30405157714,0.0,-0.04402449787915468,-1.2371676892140728,0.13414513856749313,源汇区
2008_02_02,0.06747572371949584,264.6997763779445,276.7578321828869,271.4830866476117,102628.15158638022,266.50449603077976,101756.60391376563,4.284083843231201e-08,1.6732606741834124,0.9118545665733458,0.14279966363636365,源汇区
2008_02_03,0.10071610077575573,265.89381550791956,277.5833610820622,271.6339635693536,102594.61408778775,268.0512831818789,101728.17420615446,0.0,0.16685467286162445,1.0584129667328372,0.1471269261707989,源汇区
2008_02_04,0.1996590209463173,268.3216807192569,278.2298893636735,274.6002858659197,102676.64704573894,268.4680994074338,101809.15476538481,1.9936857914141345e-08,0.42920104599890974,-0.547750143718532,0.15145418870523417,源汇区
2008_02_05,0.22613518141847644,263.9190475812186,276.7877998029163,272.46102047444333,103143.1872425493,267.87762044385977,102265.02296523825,4.284083843231201e-08,-0.36601870796867664,-2.782846894031887,0.15578145123966944,源汇区
2008_02_07,0.5860214345918798,264.6702594325127,279.1683475239022,274.0748772979704,102854.3493173464,268.2376885547099,101982.33111915196,0.0,1.6887781060964837,-0.6654463768369772,0.16443597630853996,源汇区
2008_02_08,0.45912187927570736,260.2551045458188,276.53559366202006,272.49824067733374,103312.13689793574,267.6328017494433,102429.58507487016,0.0,2.3717376051963432,-2.7040577717138246,0.16876323884297523,源汇区
2008_02_09,0.5432660616262388,263.18085971542604,276.9091014115205,272.4621694982546,103029.64010395427,268.10003754607015,102156.02618860494,0.0,0.9084363081896581,0.5365906989790588,0.17309050137741047,源汇区
2008_02_10,0.41557891864958585,265.32515536567655,279.9014948295133,274.0946922565415,102786.30594950957,269.5776285652258,101920.38677918976,2.1420419216156006e-08,0.4323760305006331,-0.671189960591535,0.17741776391184574,源汇区
2008_02_12,0.29202401372212694,262.46897147134746,276.47850167494937,271.80024331137145,103523.58613807058,267.389644658294,102641.27493554719,0.0,-1.1290286291130025,-0.4197234712019428,0.18607228898071626,源汇区
2008_02_13,0.4492247487383056,263.1913777590185,279.87533016915523,274.561204703276,103169.21359844017,268.2857885129685,102299.2336903021,0.0,1.6051707218909348,0.45577089390135467,0.19039955151515153,源汇区
2008_02_14,0.46999999492165484,265.9096604011878,282.36816990448045,275.51707170827876,102899.29398253768,270.0450654753888,102039.47091366077,1.862645149230957e-09,0.6600914704095149,0.455282273358762,0.19472681404958678,源汇区
2008_02_15,0.3667951600175045,268.90597224393906,283.9167150340369,277.9935087316797,102761.04379606352,271.05013442787725,101903.57882079651,4.284083843231201e-08,-1.2773656129926203,1.2384677638806685,0.19905407658402205,源汇区
2008_02_16,0.5395048316879051,269.30833795791483,282.39085241375295,276.64052007483247,103180.94340771566,272.10152025400816,102316.27679351377,0.0,-1.245336174860097,-2.019307560507812,0.20338133911845732,源汇区
