Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2008_01_01,0.2371228312488376,260.82079799362975,279.3568235942838,272.86916448329646,103311.3187107693,268.67598157593943,102357.87157059422,0.0,0.8999908338751785,1.3811166013780194,0.004327262534435262,金水区
2008_01_02,0.21024467747039985,262.8976916183856,280.8796821163716,275.4362317561748,102762.117610819,268.365960786111,101822.5021600593,0.0,2.054766639740076,1.7884966841879357,0.008654525068870524,金水区
2008_01_03,0.1675238627047088,263.90181333521895,281.99643878715364,274.77894510540614,102746.22363889865,270.34397623252386,101807.91954674592,0.0,-0.5000791568496834,-0.4382262399074133,0.012981787603305785,金水区
2008_01_04,0.14850571190282727,265.3168596228241,282.3661802579602,274.9751091755767,102393.99963965609,270.61543779274064,101464.21663924128,0.0,1.2315953276889087,1.65384690800097,0.017309050137741047,金水区
2008_01_05,0.19266540707673926,269.48811489923185,285.2600259258945,278.1713832428294,101890.90256285695,271.1834780905876,100971.72914910152,1.862645149230957e-09,0.48954810588987785,2.059782062106581,0.02163631267217631,金水区
2008_01_08,0.2324753854136812,269.4481605808133,286.33208048511506,278.43939376555915,101659.22593919336,272.7768985321827,100743.23362896619,0.0,-0.24692728731511732,1.0524946754207651,0.034618100275482094,金水区
2008_01_16,0.00498914946066028,265.6324232636691,272.7326239936943,270.4701669634812,104141.95217514511,266.7516579013753,103163.25959209494,0.0009611412209245157,-1.2250906913395394,-0.8534201592525361,0.06923620055096419,金水区
2008_01_22,0.02494188489580068,266.7560918336656,272.64288223104336,269.4826669234007,103246.13037258021,266.9765345563772,102277.77555209192,5.143245501760344e-05,-0.5719936689346873,0.12215305005996584,0.09519977575757577,金水区
2008_01_24,0.06919949635699153,263.88860078800707,272.7446055358501,269.1855034281185,103810.64072238079,265.8866605654156,102836.9285694507,9.313225746154785e-10,0.05291864252860242,0.8819913715025098,0.10385430082644628,金水区
2008_01_26,0.07703255294322012,260.86381375046716,273.425006522426,270.0395588763585,103769.24190702909,267.1229503921159,102797.60224355584,1.862645149230957e-09,-0.6635156349250771,-1.3911678332211739,0.11250882589531681,金水区
2008_01_28,-0.005191507395766534,266.59799479087656,274.5926338605637,270.4008688149281,102472.91745811034,267.5643351832234,101515.78466311832,4.5914783363941034e-06,0.9441855462537155,0.6447572449602271,0.12116335096418733,金水区
2008_01_29,0.0621063474952309,264.1838109055126,274.79106864908243,270.952186551041,102807.4084983811,267.0673594414293,101850.03784123363,3.7262162736649734e-06,1.254093876082193,0.03712134198994648,0.1254906134986226,金水区
2008_01_30,0.00851283760378278,261.23279372517266,274.7605082348221,270.28305967029354,103293.33844623104,265.07194298818854,102327.8438246472,0.0,2.0741683156583095,0.8234724190639517,0.12981787603305786,金水区
2008_01_31,0.15514905830849424,263.5373264767238,274.95448371117743,270.9655345160343,103302.6964538932,264.9678724848034,102340.68789797227,0.0,0.5853174026318636,0.4036399962298099,0.13414513856749313,金水区
2008_02_02,0.1548681245812415,262.8670886068355,277.16346085563345,271.5169964448444,102561.86794842892,267.2598219069431,101609.98468142729,4.284083843231201e-08,1.5921409887420528,0.9743525075138482,0.14279966363636365,金水区
2008_02_03,0.04081346905635556,264.6956264272305,277.07541631136314,270.9745878381805,102587.31411078972,267.0922791761048,101637.87014028117,0.0,-0.4445659319818101,0.9875800847385875,0.1471269261707989,金水区
2008_02_04,0.16474590183168286,266.8878747902928,278.6822123451758,273.86076175790726,102684.95537599412,267.35791649943,101736.57765299048,6.897873102572437e-06,0.9856005013913363,0.3924118816001593,0.15145418870523417,金水区
2008_02_05,0.15213313558628838,262.8363749292732,276.4031585039624,271.51588302635184,103179.57384834593,267.37428643654033,102220.82980460109,4.284083843231201e-08,-0.5308194677928068,-0.27048221702843456,0.15578145123966944,金水区
2008_02_06,0.16519462478006605,265.23882520788453,277.13397445577175,272.26854301336294,102902.80677029911,267.2946800953367,101950.81960932049,0.0,0.3954010412294394,1.9116647406778946,0.16010871377410468,金水区
2008_02_07,0.19159376778838744,262.6756437662747,278.86813331762437,273.75626657351813,102812.42874870685,268.9780766261725,101861.65325758765,0.0,2.1276664606008966,0.4856661592818323,0.16443597630853996,金水区
2008_02_08,0.20762908417754095,259.4642969864657,277.27397632494785,272.00869785544285,103246.79462017256,267.76627698527597,102284.98317324414,0.0,2.9646300227871256,-0.2691962202731295,0.16876323884297523,金水区
2008_02_10,0.1837116631175926,264.29128385121953,279.24226309830624,274.1868609164619,102802.81550086137,269.7712131049566,101857.21010253411,2.1420419216156006e-08,0.08416292017206833,-0.6319695369970939,0.17741776391184574,金水区
2008_02_12,0.16570931420668608,258.89306370706055,275.84259342144804,271.3273739194421,103519.16961817002,267.6447825677517,102554.1482978748,0.0,-0.5938845125753177,1.0125903396726363,0.18607228898071626,金水区
2008_02_14,0.21889292088812168,263.49895387819237,282.385915833477,275.3284516850358,102840.63628537048,269.1096880123029,101899.92868372932,1.862645149230957e-09,1.8600003581275557,1.182535394569729,0.19472681404958678,金水区
2008_02_16,0.19631099634899685,265.5463025520387,281.8653751519729,275.59095202534894,103269.56656499441,271.11781677598464,102325.16400274773,0.0,-2.2224018591378893,-1.17902976614297,0.20338133911845732,金水区
2008_02_18,0.15850635927745105,270.37253567451876,281.40793319721297,276.52340931514766,103444.55653268304,273.38266764589594,102500.72109898536,0.0,0.5591050634091292,1.4572846010228182,0.21203586418732784,金水区
2008_02_19,0.12795955494008107,270.1187977562271,285.72902222059633,278.1524508474902,102891.286865422,272.47668352508526,101960.77098329546,0.0,2.207939099362147,0.9235433148296212,0.21636312672176308,金水区
2008_02_20,0.17843219572643135,269.8222890222936,285.9083419418177,279.010979246283,102427.75085247381,272.6070368097436,101507.0958529201,0.0,1.227113689229315,1.335740261564058,0.22069038925619835,金水区
2008_02_21,0.21223225324184186,273.038081850833,290.3835696392991,282.80771909357037,101514.03108703074,274.3012853451716,100610.9156505563,0.0,1.9232704184013232,2.463331591159765,0.22501765179063363,金水区
2008_02_22,0.10389607826088325,270.186742082554,285.3242416783938,278.5560950856403,102320.59389345837,272.92499117092217,101393.66406894628,0.0,-2.359169910639897,-0.8726316388688723,0.22934491432506887,金水区
2008_02_23,0.16292088380245326,266.2164619676097,281.549740372729,276.92931012733186,103209.09375905906,273.1772619270414,102258.77609874861,0.00015030269055392527,-4.719052448496383,-3.4464545143830256,0.23367217685950414,金水区
2008_02_26,0.2149955455204293,265.2228287360949,283.0941662326925,277.5349903374374,103214.29663154775,272.7231426544598,102273.09533483302,0.0,2.238635319414498,0.5878073806348046,0.24665396446280993,金水区
2008_02_27,0.25332182602938536,266.8290594061729,286.69801569638815,280.6354182186391,102646.88986084785,273.15168228653175,101721.13339033898,1.862645149230957e-09,3.0070454295953883,1.2461754160382372,0.2509812269972452,金水区
2008_02_28,0.16777161951066233,267.2645988508959,290.4917662088701,283.5607194594345,101703.26352730556,276.32799072921193,100795.83914096169,4.284083843231201e-08,4.665834217067351,0.3161281826137977,0.25530848953168045,金水区
2008_02_29,0.2460607817291657,266.8804679386261,289.66440270601385,283.3048446849529,101619.02850103984,276.7323558627598,100712.46607568691,0.0,0.9424789238985908,1.4047794548587762,0.2596357520661157,金水区
2008_03_01,0.12194425594378455,263.10141443735444,290.89580959773735,285.48618127840854,101788.09433567747,280.6816684767645,100881.88050636904,0.0,5.119764386728294,-0.9306207705538367,0.263963014600551,金水区
2008_03_02,0.2520962052124747,263.2685171139306,287.99445728472045,281.8559642617927,102438.195855323,274.42909923848975,101519.23147674519,7.943380333270318e-06,3.4536319474321457,-1.8462860085069202,0.26829027713498627,金水区
2008_03_03,0.24941864883293646,266.37992402156755,287.8540924903305,280.5283128390137,102502.11525983115,274.8711783025429,101579.80554642003,4.190951585769653e-08,-0.374742826564346,1.1062121383157009,0.2726175396694215,金水区
2008_03_04,0.2082192608735797,271.01192761096786,289.67695101472833,282.2734748292858,102365.53274651116,274.77481683001423,101450.20137780799,0.0,-0.7502570643686235,1.425168664462995,0.27694480220385675,金水区
2008_03_05,0.22787033763275272,274.105864894291,291.4134789814964,285.076303929802,102158.65287773326,277.2609751453119,101252.59852523069,0.0,-0.7733651295008765,1.4576180135018084,0.281272064738292,金水区
2008_03_07,0.22500259797227526,270.4675990398976,287.0933635026413,282.15604318083786,102733.36147791994,275.5426108369588,101811.1380824736,4.190951585769653e-08,-0.04888748120976935,1.9854829328116024,0.28992658980716257,金水区
2008_03_08,0.23206544985107197,274.7608378827011,289.9256077091417,284.1921893312704,102026.63633144824,278.82044923418636,101117.49229394001,7.392870741095166e-05,0.5177784811376785,2.2281405120045763,0.2942538523415978,金水区
2008_03_09,0.21647574590271285,274.88304982586317,293.2246339814941,286.34412906946596,101765.08558560493,280.228286122397,100868.95676406258,0.0,2.035355221985503,1.1202158625190877,0.29858111487603306,金水区
2008_03_10,0.25071696707628954,276.2430597393694,296.4362006530313,288.37917678309475,101306.64808560497,281.3025737842306,100421.03621354602,1.862645149230957e-09,2.1513014462676554,1.8770705095675198,0.30290837741046833,金水区
2008_03_13,0.1891828718285956,272.764674699968,288.51204294206076,283.3035467901271,102209.73252720397,277.494925342502,101296.04731321405,5.251179472030333e-07,-2.90825816370269,-1.3609995444572498,0.3158901650137741,金水区
2008_03_14,0.24778820307994445,279.63339467624695,292.3866863335056,286.6952497782504,101512.76851741882,279.3177006872324,100616.7417589552,0.0,0.40162668443230887,2.3508075088601923,0.32021742754820937,金水区
2008_03_15,0.19143602872888973,274.70610917735917,293.382594715414,286.76030823347645,101870.91642838258,280.9193116986601,100972.60886335903,0.0,-2.4131643352740104,-0.8421403214152978,0.32454469008264464,金水区
2008_03_16,0.2156735948354077,273.66079711571336,291.3779028401365,286.16110452081597,101577.4688447677,281.8187964079358,100677.20026498439,0.0,-0.702895665496128,2.4408788611461016,0.3288719526170799,金水区
2008_03_17,0.298655094604179,280.46751708753425,294.9079216407855,288.8018225934134,100963.74447934594,282.3304971324241,100075.62593618015,0.0,-0.43101507604315953,2.7370039977596483,0.3331992151515152,金水区
2008_03_18,0.2355731424665492,278.3809381195671,297.7147390784353,287.6958133410364,101720.30730267125,279.87583189412294,100816.10565406147,0.000980754302538539,-2.8561258414338244,-3.429818178636174,0.33752647768595045,金水区
2008_03_22,0.3242248913756744,269.72700196802464,295.7743639352535,288.5619844471125,101606.7027523739,281.7992035463774,100712.4087269383,0.0,3.8268526395377256,-1.4569260326865787,0.3548355278236915,金水区
2008_03_23,0.3894985366874371,268.4018906381472,293.4786363693715,287.374687489227,101710.82751536796,281.18305877629996,100814.32463784442,0.0,3.1083374514027753,0.5969894577366582,0.35916279035812676,金水区
2008_03_24,0.34267646835441773,268.0788228580827,292.0392293642176,285.73311807576846,101690.8812679085,279.24520223509165,100787.71885060392,0.0,-1.4736363990852168,-1.262224077941301,0.363490052892562,金水区
2008_03_25,0.2762333398677411,267.27853761120014,293.6337854541936,287.0557042226149,101306.33779696787,281.5738020919898,100412.85206630213,0.0,2.439879291955932,0.7547236836131158,0.36781731542699725,金水区
2008_03_26,0.3342155732407971,272.0224565102215,293.05356963448617,286.2682517695727,100985.84375322299,280.11795991287613,100092.88653204594,9.313225746154785e-10,-2.4723407126771524,-0.9623797649028308,0.3721445779614325,金水区
2008_03_27,0.21683126778063022,269.7807983971337,291.75246109451507,287.04215947770564,101427.24746008628,283.02615614384734,100528.41409751576,2.514570951461792e-08,-2.8917943977882548,-0.8958985145920993,0.3764718404958678,金水区
2008_04_06,0.32193159118053616,285.2055561060316,301.56250612780246,293.13578798752076,100745.76158334939,286.3841292671724,99868.91506165531,1.862645149230957e-09,0.012728453042395137,1.4529178341196696,0.41974446584022035,金水区
2008_04_07,0.31841615091554454,286.37752943404297,299.79418051795983,294.2602072433767,100528.18295777033,287.27097117353804,99652.90673429151,0.01181479941499328,-2.9068227105795255,0.7255789459202324,0.4240717283746557,金水区
2008_04_09,0.4609977671140408,283.2933272696894,293.0735075536116,288.0047258585694,101379.56876790836,282.60996920656555,100486.22186575014,1.4977753657105615e-06,-1.5161759612354297,-0.25004973194853913,0.43272625344352617,金水区
2008_04_13,0.4372572747722541,283.6266279230981,295.93702889191394,289.2736362808952,101496.0521190167,283.92590653973076,100605.35461266202,1.862645149230957e-09,0.2728015717876638,2.220024643386484,0.45003530358126725,金水区
2008_04_16,0.37006817320707586,282.3493598914985,297.8070847730799,291.4241019155822,101453.85809659421,285.33098728502586,100568.32020728044,0.0,-0.017434298660241876,1.7419827138931097,0.46301709118457296,金水区
2008_04_17,0.4804159647791882,282.47177814618317,298.9722334199346,292.9480386533906,101446.17017911146,288.06314031352355,100561.225004234,0.0,-1.1211738613387783,1.881437793719731,0.4673443537190083,金水区
2008_04_21,0.3043676108758977,282.31292025439564,291.4263650355833,288.65059602092447,101810.58489610044,286.65572219523216,100911.7672643596,8.827485817560736e-05,-0.3935409696418909,-1.3039552377611898,0.4846534038567493,金水区
2008_04_23,0.4919929168793244,274.66004857543754,294.3561019452511,289.11657802320974,101981.6658531566,284.06553503581705,101086.71589520987,0.0,2.677168514797583,0.8253351258679208,0.49330792892561987,金水区
2008_04_24,0.4630039605026659,276.2560733910315,297.8747156441301,292.8412646494356,101126.08050194466,288.07462792774413,100244.50175363806,0.0,3.8683373039117015,2.2299812373112657,0.4976351914600551,金水区
2008_04_25,0.4715122471900218,277.5896535705116,301.60308621596363,292.02487659502975,101127.52781998375,282.58338530421673,100245.98513331606,0.0,1.2573249057742117,0.2871079303197207,0.5019624539944904,金水区
2008_04_26,0.38677724427943444,280.8764191852783,297.88001901997484,292.9592250614582,100976.34910829503,287.5863335221864,100096.84153924747,0.0,-0.0538643234896967,1.2778498183387899,0.5062897165289256,金水区
2008_04_27,0.42695320457576386,277.9261634466546,294.66499652235086,289.46652581385337,101517.59298062236,283.9525842485707,100628.56252334388,0.0,-1.9434290863903982,-1.2631837575004103,0.5106169790633609,金水区
2008_04_28,0.3813396281960335,284.10627324762453,301.14391950954393,294.17113156748036,100852.84821880299,288.02291222597825,99976.70313144605,0.0,0.8570204303146419,3.0911211739640403,0.5149442415977962,金水区
2008_04_30,0.37993599035099107,288.3818593031316,306.0254030827217,298.8439620388907,100151.99684200548,292.4457418553219,99289.84103283235,0.0,1.6455605262302895,2.1993598573802777,0.5235987666666666,金水区
2008_05_01,0.3940908704356528,290.9696951898912,306.5329764059196,300.48821865177047,100107.94151430158,295.00235245198127,99245.70965125579,1.862645149230957e-09,-0.7352774725839141,3.8271283937202503,0.527926029201102,金水区
2008_05_04,0.4297614792565725,284.86308473448236,299.3811609377074,293.7567036336465,100857.08663867672,288.35844911663827,99980.52937685755,1.862645149230957e-09,1.0454199219497042,1.9673788045229708,0.5409078168044077,金水区
2008_05_05,0.5225915912550095,286.59237319186525,301.9570428234126,296.0587955410452,100393.77398154383,290.6701612015458,99522.06724666074,4.284083843231201e-08,-0.14352799908263153,3.047606028510313,0.545235079338843,金水区
2008_05_06,0.4571492535298459,290.4573045509721,304.1962885538175,298.5109342070498,100097.84286956665,293.2309153260907,99232.31393414643,0.0,-0.055291423314458,3.5410500879771876,0.5495623418732782,金水区
2008_05_09,0.3706719130307496,285.7140135846359,298.45640475619666,291.9641964897012,101442.62365861895,285.4126669545862,100554.91268993638,7.62436802893027e-05,-0.27892297943897537,0.2613878295770281,0.562544129476584,金水区
2008_05_10,0.39598142254108204,284.57752849400936,297.29081453655823,292.74804645921813,101397.19912359072,287.4560093165212,100511.22262145347,0.0005681812087676464,-1.303872762767957,2.004038420238889,0.5668713920110192,金水区
2008_05_11,0.4500517191656247,284.32635496005594,296.4455922523255,290.45410464238125,101319.85527882299,285.52591909698435,100429.35987618941,0.00014081147811549266,-1.6861594319828448,-1.0723298840447688,0.5711986545454546,金水区
2008_05_12,0.49269077365132347,278.3485653518419,297.55075299265997,291.05189324115815,101731.68206766773,285.5702868645934,100839.0786774926,0.0,0.09703931987426656,-1.1839238336306743,0.5755259170798898,金水区
2008_05_13,0.44707537066067865,279.61354175673625,297.989829125387,292.31245109491726,101600.43459974279,287.8290785674282,100712.65444566881,0.0,-0.11523126123291202,1.9541293466995218,0.5798531796143251,金水区
2008_05_14,0.3580697015972641,284.3043199859178,302.85087096669577,296.12570393284176,100813.62342422617,290.9501312461105,99938.96469145185,0.0,0.21676817824832326,2.1198018195877584,0.5841804421487603,金水区
2008_05_15,0.4197400145464651,288.33627122471165,301.88882400695354,296.43970416680594,100794.00855653128,292.3548072109893,99920.11552601695,0.0,-2.194992726602891,-0.5798057813863775,0.5885077046831956,金水区
2008_05_16,0.284661520883992,290.52928509946923,302.47312050451006,297.1949963023242,100591.1011508529,293.10664800416885,99717.63818830348,0.0007050795053295507,-2.928619148414964,-1.638561876984821,0.5928349672176308,金水区
2008_05_18,0.47440516262828547,286.79752426738753,300.76457932764725,294.23265566809977,100975.85768433724,288.4489558761926,100100.6568596319,8.112344476956974e-05,0.5082909606323991,0.25341098738606765,0.6014894922865014,金水区
2008_05_19,0.5114016841991612,283.8489496246468,304.1335974155212,296.5993416418177,100746.13991859759,291.02676084537205,99876.89495940365,1.955777406692505e-08,1.2446862718626688,1.6447472267632786,0.6058167548209367,金水区
2008_05_20,0.35762600749858847,285.4995681187745,306.1723930812492,299.14728122495944,100201.24529680386,290.4393137434018,99339.38126207242,0.0,2.70439805538604,0.9174571472426077,0.6101440173553719,金水区
