Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2013_01_01,0.32464579503551494,263.0669949143458,280.08007414100825,273.53593488212533,102547.61036752487,267.94166495019965,101783.62834623766,0.0,-1.2695378719195072,-2.3211934641656904,0.004315374450549451,宁陵县
2013_01_02,0.2562120078657606,255.57318500928562,271.35986183890776,268.4879099208003,104200.8259588878,264.8153649706856,103407.46098272965,1.3820577120012425e-09,-1.747692269678157,-2.8008365711111707,0.008630748901098903,宁陵县
2013_01_03,0.331948273235958,253.93378748868398,270.5475336010224,267.61728306529096,104140.68986985763,263.9105370439552,103347.95044200268,0.0,-1.28735869606147,-0.6918170947397023,0.012946123351648351,宁陵县
2013_01_04,0.2243851438584898,256.61698707843317,271.6226219040284,267.4709365679278,103148.61884172313,264.30833219465865,102367.51635931936,0.0,-0.19866048041362283,1.3701330395709186,0.017261497802197805,宁陵县
2013_01_05,0.33830776415908,261.3166590092207,274.1637803196206,269.90257571100733,102940.90146964422,264.34817271833765,102169.36067718528,0.0,-0.5574487196208944,0.8999084785783169,0.021576872252747254,宁陵县
2013_01_06,0.21304098941656827,262.2958110238096,276.2145138737426,272.04965781498316,102708.95402978905,266.66155342112455,101943.88439884566,0.0,-0.17883077315886253,1.6071140081331312,0.025892246703296703,宁陵县
2013_01_07,0.24043756804464203,265.8612132749255,278.08331034089395,272.4616443314804,102489.96952556972,268.46707518485266,101731.63576347011,1.862645149230957e-09,-0.7890732805787695,1.5446089638717218,0.030207621153846155,宁陵县
2013_01_11,0.3228890632374159,268.71080134059554,281.8524239141187,273.5261671384159,102574.10004393126,267.9943742482956,101823.31218995253,0.0,0.03336754915672966,0.8978998747094742,0.04746911895604396,宁陵县
2013_01_12,0.300228556082255,269.30796386753553,281.60825786294845,275.1257453200701,102228.37142191034,268.5737240195291,101478.10426940648,1.862645149230957e-09,-0.70276242913036,2.919586265546707,0.051784493406593406,宁陵县
2013_01_13,0.05099568861415,269.6513625260156,278.4398338007024,272.46990460896217,102392.20791378245,268.13839557880385,101635.69236737245,4.0978193283081055e-08,-0.08120774016632155,-1.4281121996939943,0.056099867857142854,宁陵县
