Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2013_01_01,0.1814115536723174,257.54746538117575,276.6069105099286,271.5952909694552,102537.69427469348,266.8888121540405,94260.48236012,0.0,-0.050012244238070894,-1.5080210275714874,0.004315374450549451,湖滨区
2013_01_03,0.167765266588523,249.55470685953185,268.4582626488313,265.83148848625007,104036.97106766878,262.1440226326185,95426.11786439011,1.0239525912037304e-06,-0.15788518264510704,-0.144440661490839,0.012946123351648351,湖滨区
2013_01_04,0.10539220854327491,257.06950133569103,270.01148757674105,266.2264142445893,103046.71192048972,261.95632551271996,94589.96741224213,0.0,-0.19703807919237898,4.8065588881104587e-05,0.017261497802197805,湖滨区
2013_01_06,0.11195832374849125,258.26690150058056,273.0424334187471,270.0346836882229,102725.12450704166,264.2638329565287,94387.52568694013,0.00012016596316277268,1.4808645764689627,-0.22533777528773766,0.025892246703296703,湖滨区
2013_01_08,0.1339942662839399,257.2256282488366,275.0613539545012,270.2390177909091,103110.41178837385,265.7075632106512,94791.62427335898,4.0978193283081055e-08,1.4633686923650624,-1.1980365129925301,0.03452299560439561,湖滨区
2013_01_09,0.17269497250412624,258.57052925531065,275.205385726426,269.1531493297668,102873.79897483464,264.0334607929725,94565.22194806788,0.0,-1.3526145444856148,0.26466489838714446,0.03883837005494505,湖滨区
2013_01_10,0.1342748921481844,263.76610616706785,275.936408447839,270.28850190361567,102610.28852677217,264.03335937968353,94387.12381366146,0.0,-0.34924999756319475,0.2558099898354994,0.04315374450549451,湖滨区
2013_01_11,0.12197617173686345,259.1514243882253,278.2135761264028,272.38331216217364,102705.67372083329,266.30045830301015,94513.86465771127,0.0,1.1973409376235071,-0.21747548198246033,0.04746911895604396,湖滨区
2013_01_12,0.20489466985736685,261.8011109903701,280.4614312087922,273.1523508547027,101991.49131867445,265.9359967643779,93908.3001067185,1.862645149230957e-09,-0.9657911510689823,0.6613956722308122,0.051784493406593406,湖滨区
2013_01_13,0.1268648151711838,264.1350626764991,281.11192740217246,272.67804786605,102259.64526722343,265.9143140822585,94157.19057064757,4.0978193283081055e-08,-0.5579797244665199,0.024458707174435282,0.056099867857142854,湖滨区
2013_01_14,0.1863343960801783,266.96315088836246,280.2634561571063,273.8328067931229,102393.93224574499,265.92912710305757,94246.67328049253,6.889012275078617e-05,-1.140667425511652,0.5555703011452807,0.06041524230769231,湖滨区
2013_01_15,0.12558609873813276,261.7474066283191,277.9925885667908,273.0771544218208,102644.14507310044,268.9726413438859,94466.13448633513,0.0,1.1673571589474854,-0.5170811208972498,0.06473061675824175,湖滨区
2013_01_17,0.1612076955988489,263.15670752714357,275.65789397572615,269.4947422547124,103657.22516784894,265.328604524467,95246.26309413988,1.6682943653994774e-06,-1.969423415896813,0.7007060915033813,0.07336136565934066,湖滨区
2013_01_18,0.07120041274175133,264.7778256458331,276.8987761740843,271.02359666054514,102536.94943521993,265.1335633339676,94339.82970744326,0.0,-1.3014557747481297,0.25109824500503003,0.0776767401098901,湖滨区
2013_01_19,0.1217884338648095,268.32934211268645,274.6477861381738,272.23810626954923,102275.46658519894,268.27603065947164,94021.11837625426,0.002774507235414145,-3.7040429057888926,1.1681771511922894,0.08199211456043956,湖滨区
2013_01_22,0.1516568865151058,269.08433998255504,276.9584417024346,272.9056079954838,102616.38600099974,269.96176242114797,94405.53067037703,7.589022998752894e-06,-0.44523857458905686,0.5006173060413719,0.09493823791208791,湖滨区
2013_01_23,0.19682003128633857,268.4230949953326,280.03670778925795,275.6632815264233,102254.7944573487,269.87836660274445,94146.74347844611,0.0,1.356190584350681,-1.0952265507236376,0.09925361236263736,湖滨区
2013_01_24,0.21946174428813994,261.5224666198529,278.9262498285757,273.442439344407,102703.92758805955,268.23714681438844,94488.35102478787,0.0,2.2472094595289365,-0.5441879431563977,0.10356898681318681,湖滨区
2013_01_25,0.1959217513171854,263.36071949171145,281.85755251877697,276.16781835799287,102175.91763235525,270.0855705646501,94109.86458380941,0.0,1.8676226458894658,-0.23652298091831264,0.10788436126373628,湖滨区
2013_01_26,0.19311116901857472,263.83641131339544,281.565833781475,275.7948447697223,102629.88022188029,269.96189976519105,94515.84667297428,1.862645149230957e-09,0.7620559383941833,-0.22682157610180265,0.11219973571428571,湖滨区
2013_01_27,0.19722589510574523,265.6928115029627,282.87052566862025,275.4849051663884,102450.06036150518,270.3344719278809,94377.45978348004,4.284083843231201e-08,-0.8390486897544096,0.20504518004776132,0.11651511016483516,湖滨区
2013_01_29,0.1541714384350772,271.3211465864122,284.44625408507403,276.92023196068305,102208.45395921324,271.704830707288,94142.10925240499,4.271657883460559e-07,-1.7699373353474088,0.6633645581881475,0.12514585906593406,湖滨区
