Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.44110435597469433,267.43174310806097,289.2738011179963,280.6637869254793,101769.67405637233,272.39732865691286,99772.43608576946,0.0,0.09884093886919969,0.07838395979671593,0.004315374450549451,宛城区
2014_01_02,0.4394395129541801,269.23935439126996,287.08769019215725,280.7395473296782,101858.358312459,274.48539684833406,99855.19182898069,0.0,0.5553356137747987,-1.105054981164922,0.008630748901098903,宛城区
2014_01_03,0.383531400739198,264.98024392912953,287.35604706726883,278.68078067062646,102328.30696841996,270.8927650742444,100301.90944636858,0.0,0.7505175792799893,-1.310012019521616,0.012946123351648351,宛城区
2014_01_04,0.44110213942937676,266.53128785363486,285.94909717305836,279.37884908141103,102160.07177183636,272.0845785798307,100134.96039887125,0.0,0.7494472370604848,1.0329010144426845,0.017261497802197805,宛城区
2014_01_08,0.2398019774918433,268.78720033565423,280.2356148006177,274.88096132781044,103212.15930932673,269.2031995660373,101132.09322179788,0.00010121588271183253,-1.0958105789817225,-1.251421192103889,0.03452299560439561,宛城区
2014_01_09,0.39550031901162025,264.8231807914589,279.37453104000963,275.15971270828334,103035.82577954086,269.7726197371259,100953.03530798983,0.0,-1.0540507281928293,-0.047542626972109404,0.03883837005494505,宛城区
2014_01_11,0.3858231787409858,271.2294092272851,280.9269354595863,277.2252307754141,103164.26256309098,272.740266899391,101097.15654990556,0.0,1.1514165388373767,-0.4770353653653764,0.04746911895604396,宛城区
2014_01_13,0.40753522116049506,264.9178322155075,281.10307250591103,275.5473860002983,102976.58057392921,269.881662881447,100901.30828437438,4.284083843231201e-08,-0.2428906920344019,0.29408507939016887,0.056099867857142854,宛城区
2014_01_14,0.13182087460361872,269.3518387013164,280.06924068339873,274.68764118132503,103323.4236441543,271.241221112278,101230.2006321946,0.0,-1.972534875088774,-1.8606543182282929,0.06041524230769231,宛城区
2014_01_15,0.2904562093896404,270.95556319126473,278.2713128854437,275.2537697361189,102979.48578526845,272.18220743323707,100901.3681298162,3.153517617047078e-07,0.254041809125331,-0.2524609069978819,0.06473061675824175,宛城区
2014_01_16,0.22040983129155356,271.31123522130935,282.4621631060044,276.223676878703,102781.64708287625,270.5512081590275,100727.25023313696,0.0,0.19785327109884665,-0.4245856113996675,0.06904599120879122,宛城区
2014_01_17,0.26149790287915337,267.76596031309896,283.8297664884807,276.019984595388,103274.65182579696,268.7373733657584,101201.01419780846,0.0,-0.9175223422918802,-1.263787469633595,0.07336136565934066,宛城区
2014_01_18,0.3026909591405777,265.5823017562325,281.4004381302909,276.95809072785266,103164.36795719889,269.0771632386594,101090.48766230704,0.0,-0.12107443610753324,1.0192283561020112,0.0776767401098901,宛城区
