Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.21125704536703757,262.95897382137906,286.3140813617383,277.79327693219267,101798.89328946722,270.99076765560375,95230.8153441074,0.0,1.7140582719288193,-0.01001828665295027,0.004315374450549451,嵩县
2014_01_03,0.20386583565773672,261.3345549439304,281.5228595964387,275.6762156994611,102436.93750364798,270.64604618684996,95739.38782143463,0.0,3.1213885848011613,-0.5578575681602188,0.012946123351648351,嵩县
2014_01_04,0.20659022429284624,263.81849179379986,284.3398621813043,275.8336347503607,102096.33151338916,269.07605282039356,95485.26155198929,0.0,1.8397570476161094,0.32770696019476525,0.017261497802197805,嵩县
2014_01_05,0.18447170626381335,265.5921852957197,282.1766319186583,276.14570307321856,102243.0806492076,270.2955322599943,95526.42108547587,1.4608433136982865e-06,-2.0420061285253506,-0.11746473654949621,0.021576872252747254,嵩县
2014_01_06,0.41942257217847767,270.23514270327985,276.99552230645514,274.85435090466314,102312.97042317958,272.72946090628056,95513.72999202965,0.0016871439193376432,-0.26489240811228054,-0.7769945412818982,0.025892246703296703,嵩县
2014_01_08,0.04889774648329081,259.7407275437646,276.88433855538005,271.8899818621617,103308.34129044735,266.7821200037438,96441.49332682448,1.156061982353064e-06,2.329347947002793,-0.7679985795695111,0.03452299560439561,嵩县
2014_01_09,0.19914873556478352,263.87398234143046,277.0853497577729,272.82730714864505,102965.6528811542,267.1727601395075,96134.36393676406,0.0,-0.260969528081255,0.4933893594947212,0.03883837005494505,嵩县
2014_01_10,0.1989892779106636,267.4420030617686,278.0599984781254,273.9954164783915,103028.03393848693,271.20969347374506,96205.3939517891,0.0001511032494987083,-0.35567963649915296,-0.16456912086702713,0.04315374450549451,嵩县
2014_01_11,0.09566759323671659,265.31114246694386,279.0303708967545,276.2958649901944,103258.67195224152,271.25586521223727,96444.45561383103,9.768451521884828e-06,2.444607653898976,-0.7495905882379139,0.04746911895604396,嵩县
2014_01_12,0.18355392250086472,259.3692113392763,278.5320633649571,272.8379006578086,103553.36191609668,267.62947253438165,96689.30648379703,1.862645149230957e-09,2.029501610555336,-0.5534517402806023,0.051784493406593406,嵩县
2014_01_13,0.20773311832443464,262.8502488257091,278.77840019512837,273.0733129725247,102932.01681021869,268.02491755142853,96117.07455259447,4.284083843231201e-08,-0.2181857427349816,0.1665898623904736,0.056099867857142854,嵩县
2014_01_14,0.07964283516463716,265.98709594547233,275.70408203171223,271.35152093425114,103382.10951070275,268.58967420801326,96493.6494213966,0.0,-0.7664618102203702,-0.267128028144856,0.06041524230769231,嵩县
2014_01_16,0.05446150670139146,264.27227773494536,280.2511527076627,273.1783355408523,102822.78335221756,268.6410952970566,96073.7314305891,0.0,2.129418467755566,-0.17377975855120079,0.06904599120879122,嵩县
2014_01_17,0.20387498691994838,261.2354584818302,280.38393682878757,272.3212548308209,103333.20552887139,266.2340201078689,96532.77473219088,0.0,2.4879374408081114,-0.5372977684231631,0.07336136565934066,嵩县
2014_01_18,0.2162199056849205,264.44160865668323,280.4740365661657,275.214627834391,103002.71269611258,266.51624552208125,96245.3353660642,2.074208744785705e-06,0.12588760517991796,0.7005158698197468,0.0776767401098901,嵩县
2014_01_19,0.12052118403790185,258.62435702185985,280.98530024348736,277.36418073706307,103057.1534759679,272.26963100479577,96296.2581141169,4.0817041544812136e-07,3.5491476864198246,-1.354715842807281,0.08199211456043956,嵩县
2014_01_20,0.21683899199858758,256.6850458498368,279.3467842649715,273.386986417634,103376.89950582004,267.53714329680093,96543.70029778228,0.0,2.7244181982098885,-0.8441112802078843,0.08630748901098902,嵩县
2014_01_21,0.22968169326419863,259.28614508654863,279.5610998989546,273.013912518556,103066.60681049716,268.133678327177,96277.29115826094,0.0,0.29479695485085056,0.7672639296385146,0.09062286346153847,嵩县
2014_01_22,0.20809219637129092,263.83977272125236,282.34139800659784,275.2635760025545,102049.2702493397,267.9528576198019,95404.82847907481,4.0978193283081055e-08,0.07608895766251791,0.6378118216179759,0.09493823791208791,嵩县
2014_01_23,0.16841662589143297,268.22006516917503,284.22920249866354,277.9504908355826,101279.26755278914,269.96571837293715,94732.34014907136,0.0,0.06506736485780065,0.23193580149648363,0.09925361236263736,嵩县
2014_01_25,0.15189494843085838,265.83281169446207,283.6945124863435,277.74465916305434,102627.25520520963,271.7043455985981,95935.39757801691,0.0,-1.1638038613273562,-0.11708902184085059,0.10788436126373628,嵩县
2014_01_26,0.14792195777933906,267.0241569970841,281.6186309204343,275.47092237430394,102487.39821045472,270.79436071733755,95760.73417406924,2.199470052745019e-05,-0.7792685385051749,0.6287142386951361,0.11219973571428571,嵩县
2014_01_27,0.16801150111223817,270.21169674819356,284.87224273742356,278.2862575150566,102096.65040337254,271.4020522446653,95496.9908588028,0.0,2.06394079521605,-0.40348734649560264,0.11651511016483516,嵩县
2014_01_28,0.13601124471450066,266.73966086206985,282.1762371156042,277.33507108131766,102454.94619295104,272.13547891710493,95761.50322788653,3.0969007265452783e-07,-1.094011864548241,0.41528803066716913,0.12083048461538462,嵩县
2014_01_29,0.1905624195396383,272.3636648650491,286.52954233474003,279.75403666756597,101426.09875456015,272.73738467250763,94936.53290663888,1.862645149230957e-09,1.6003938657153138,0.8394193997072654,0.12514585906593406,嵩县
