Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.25817167290407356,263.81651516627153,288.9870690143253,280.2621974857583,101715.56186241796,271.97375646023886,100747.13393768546,0.0,1.8615712669658593,0.10058809913184572,0.004315374450549451,开封市区
2014_01_03,0.21242416574299086,263.2606902782273,285.04022345069865,277.3858095582183,102323.38502413973,270.33303851851434,101334.4620266928,0.0,-0.11080906685563333,-2.253020091987433,0.012946123351648351,开封市区
2014_01_04,0.2537141277027027,265.6460278005412,283.599488524466,277.1192534607682,102101.26232726497,270.00635097004584,101119.04419322089,0.0,1.2182586532134325,1.3606378761488882,0.017261497802197805,开封市区
2014_01_05,0.17045899726668973,267.27315772091526,281.74363187639227,276.25593143423015,102393.8655552006,271.8510187810282,101396.0867108406,0.0,-2.04363872176375,-2.7796353669865685,0.021576872252747254,开封市区
2014_01_06,0.1645704318384531,270.81942922219264,278.8737418799034,276.62608456749666,102274.8494121943,272.5334927300908,101276.29940250092,0.0005352272899400829,-1.5163262748067894,-2.831312247793872,0.025892246703296703,开封市区
2014_01_07,0.3990071040098179,269.1324926521328,279.6297710870679,276.9279617226585,102694.78069843323,273.84234952145687,101692.27885270766,4.3189310863399546e-05,-0.8517856968522742,-3.809419216798918,0.030207621153846155,开封市区
2014_01_09,0.14533826434066532,267.39497178688157,277.87655248889376,273.34846615226934,103083.0668569512,267.51171726898207,102070.15651027126,0.0,-0.22020432054857506,1.7489969538063057,0.03883837005494505,开封市区
2014_01_11,0.17234792761536333,268.07246810716424,281.52971724009524,277.4926484388462,103070.69318533587,271.4954473644276,102071.15164506037,0.0,1.1455305511850988,0.5791486807738797,0.04746911895604396,开封市区
2014_01_12,0.10463927370763197,261.5994122981174,278.5499075418113,273.1610680002949,103582.0792452089,266.8732981128095,102563.89451424398,1.862645149230957e-09,-1.3489338514248654,-1.9571069466283821,0.051784493406593406,开封市区
2014_01_13,0.20560817391406236,264.5554124419734,279.2454661382696,273.2713385304187,103082.2069765096,267.7983145881312,102070.9680368487,4.284083843231201e-08,-0.5363390041560789,1.2855582236957814,0.056099867857142854,开封市区
