Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.2860632979625875,270.98544397819705,289.42056051292514,280.895899098972,101834.47972512204,274.38884652201557,99922.80569048665,0.0,0.20454838995844027,2.2132054735025775,0.004315374450549451,新县
2014_01_02,0.28708079737939446,269.398384449087,288.01059750517425,281.30062316535054,101773.76179140083,275.71735309798356,99860.25205913006,0.0,0.5556114093400487,-1.7046339212036616,0.008630748901098903,新县
2014_01_03,0.24615694526859114,265.93573758579265,286.7144107726977,279.21217449934494,102274.5165462684,272.72138638938657,100332.13711003486,0.0,1.093560246608813,-2.3209342402013093,0.012946123351648351,新县
2014_01_04,0.27516927182847556,266.30889518862705,285.9199210924551,278.950972458422,102250.34408380972,272.835552432475,100313.08811995517,0.0,0.20477743338247442,1.415398948599174,0.017261497802197805,新县
2014_01_05,0.27340138361727356,268.48092034000894,287.73443866709687,280.3732295964364,102078.49334708482,273.90411320501954,100148.16762502953,0.0,-0.9664365327985389,-0.4668761517675493,0.021576872252747254,新县
2014_01_12,0.2404311175659844,269.1174750097201,280.7284349569136,276.2035008515463,103379.6583353995,271.17396325454064,101381.87122986862,1.862645149230957e-09,0.08375715488281776,-2.7638685349141285,0.051784493406593406,新县
2014_01_14,0.24348649121278343,270.68329243523453,280.8768671318369,274.73870411893677,103284.02302653583,270.5849826120577,101292.36119503721,0.0,-1.3805105031546403,-0.9025612934383198,0.06041524230769231,新县
2014_01_15,0.26745971322013457,271.8387938750983,280.62536059866005,276.6078383284774,102977.38671815452,271.10148896318657,101002.86772681189,0.0,-0.21601944248017327,0.5939134143281136,0.06473061675824175,新县
2014_01_16,0.2677547064983569,271.2859800417032,282.95678050795095,278.65776502701584,102735.19684910316,273.24645779576144,100773.43517418439,4.708853588120844e-06,0.7686649441565137,-0.842120817920681,0.06904599120879122,新县
2014_01_17,0.23588985280661431,270.13701138152817,283.0127606265057,276.2871352997314,103225.73955762979,269.29327901841845,101236.21978458833,0.0,-0.17789435578229812,-2.3064169643784536,0.07336136565934066,新县
2014_01_18,0.2184866857248956,268.1938322160453,280.3934870121624,274.6964536495209,103247.03058976727,269.41027674335515,101257.26588050838,0.0,-0.7279140246488927,0.6117271827959193,0.0776767401098901,新县
2014_01_19,0.26930272472975214,268.55055191951317,283.8530796582742,278.8310461729165,102883.41288078894,271.3459343733177,100924.08955272064,0.0,1.7183222160845197,-0.621892105771821,0.08199211456043956,新县
2014_01_20,0.2618222305882585,261.23739315020583,283.230238717302,277.2240594108643,103195.26702649446,270.97819536438215,101216.59828610397,0.0,-0.30082089247088534,-2.2153435574263485,0.08630748901098902,新县
2014_01_21,0.2956389713740687,262.4196023322483,282.0252278480895,275.2694902887466,103225.89612642414,270.5133729529798,101238.4931743682,0.0,-1.043588865256762,0.06172184035889313,0.09062286346153847,新县
2014_01_22,0.28389226474989876,263.2533463803888,284.5735736665258,279.014457340697,102463.28387759793,272.22063912532144,100503.0750770842,4.0978193283081055e-08,0.05278149772129907,4.036807013510429,0.09493823791208791,新县
2014_01_23,0.29590168127882305,266.2965333082676,289.0072912170647,283.9886024738756,101559.79569031957,277.02584662505524,99642.91103255338,0.0,0.10585116373551594,5.004098800980739,0.09925361236263736,新县
2014_01_24,0.29061174897755776,270.6624780082441,291.30121337251006,284.04552285865674,101600.45680231595,276.4218569185088,99687.88304286076,0.0,1.1564268098555965,0.9330902945428684,0.10356898681318681,新县
2014_01_25,0.001887366982167286,269.6223554795891,283.5103349788176,279.9712451126888,102507.31272279948,275.6896299616826,100547.94611064633,0.0,-1.6964761692800512,-3.04488704659147,0.10788436126373628,新县
2014_01_26,0.2239449127264271,272.06530808977135,283.7450166746963,278.4676826721879,102516.08070906436,274.54486028052924,100561.79012363982,0.0,-1.5917522440605545,-0.20735835514359768,0.11219973571428571,新县
2014_01_27,0.15462505313228678,275.09831893104194,286.13330373502873,281.37858323999836,102065.71846518629,276.2042295496,100139.77933671845,0.0,0.899856640076749,1.8612598474077107,0.11651511016483516,新县
2014_01_30,0.28492319947707423,281.1459446862019,287.44999123370707,283.44180705984377,101674.81132958055,279.03660929422364,99764.62123722424,4.284083843231201e-08,0.45996101725535665,3.4101940317981754,0.1294612335164835,新县
2014_01_31,0.2822089152239189,284.1140278036127,294.210211810392,288.3814900026913,101192.19059412298,281.5072743272677,99317.8981517052,0.0004284351215755635,0.2955172621812168,2.3947496791202143,0.13377660796703297,新县
2014_02_01,0.20904031955755384,279.1466657793086,284.0962975613172,280.55353173744385,101405.35431114142,278.6961533235762,99483.24979389523,5.764829094786207e-06,-0.8490610970017506,-2.060150895395159,0.13809198241758244,新县
