Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.4724779893563824,263.80152764263886,290.47473288815115,280.3862304165555,101754.91923178273,271.7567688880183,99872.09276701481,0.0,1.4949729700732932,-0.4036566444610202,0.004315374450549451,湛河区
2014_01_02,0.423930346301734,261.54804730374707,286.64330738380704,281.86176988594394,101860.88192626668,272.5165540071184,99956.93319151923,0.0,2.44186990359063,-2.328030576196648,0.008630748901098903,湛河区
2014_01_04,0.440118460834481,266.0889038878118,285.6382265051895,277.5344702488625,102130.89788664096,270.5654113800105,100218.9157427652,0.0,1.2903893221414127,0.8281847976942656,0.017261497802197805,湛河区
2014_01_13,0.334412610812659,264.4518516223808,280.6014716254152,274.4258709983007,103000.8239967386,269.6046693390466,101029.95651915594,4.284083843231201e-08,-0.42729931585816316,1.102581647893318,0.056099867857142854,湛河区
2014_01_20,0.4789209483299392,255.43385146955484,283.21015401713595,276.78531936571,103265.94750440621,269.29771207396107,101302.01952418395,0.0,2.4952902436341877,-2.819261695815165,0.08630748901098902,湛河区
2014_01_21,0.42639059108345345,260.2115989505865,280.26986063499794,274.218653311432,103177.63272114638,269.25560666870206,101205.21081980906,0.0,-0.15383533693705445,1.3450104902432207,0.09062286346153847,湛河区
2014_01_22,0.42652803857417365,263.95222056715727,283.8294356648733,278.2905948106366,102185.65050770411,270.4514404370839,100254.17785258255,4.0978193283081055e-08,0.6934208748045473,3.0549792416192605,0.09493823791208791,湛河区
2014_01_23,0.28333625854110056,268.92502659762386,285.9648915827725,280.02435964284643,101349.2318443842,274.09855843984224,99452.45178813097,0.0,0.5150712086241376,2.2312146029105535,0.09925361236263736,湛河区
2014_01_25,0.2318894266495458,265.89337697160664,284.47709816106806,278.9789099136367,102684.02906628815,272.4589187599962,100746.87153799491,0.0,-1.2733545269427164,-1.5557606356964313,0.10788436126373628,湛河区
2014_01_27,0.27545276634642596,270.8458911161762,285.62600228090895,280.0830622962482,102060.48504665474,272.36755031318353,100151.41932836198,0.0,1.0525144512715334,-0.4377778149562812,0.11651511016483516,湛河区
2014_01_30,0.12710750820741437,276.491146923048,288.996019165024,281.02528530786935,101535.953119235,275.47426043783304,99646.77347671811,4.284083843231201e-08,-0.777208835926087,0.2360571448022147,0.1294612335164835,湛河区
2014_02_11,0.13959075705297921,264.1274125283127,274.11715990492945,270.38968512952687,102871.56392889778,265.20078308861235,100858.78012194445,0.0,-0.4655118926744583,-0.3568910767636781,0.18124572692307694,湛河区
2014_02_13,0.10605885013486657,264.39573009973435,276.2328521740501,270.58592396697713,103326.54475684391,266.32664657826376,101323.34049437912,0.0,0.8177047586501469,-0.9840910107965772,0.18987647582417583,湛河区
2014_02_14,0.19430767169751711,267.7522872071882,278.7399835858852,274.1472897648055,102691.67115417881,267.47728428281454,100716.3923863033,0.0,0.47976511216591744,1.9829117141148505,0.1941918502747253,湛河区
2014_02_19,0.3435244859965551,271.14823930591973,283.21565391404465,276.85489922451353,102782.49232346976,271.4659998542925,100830.97831196469,2.4299684674548703e-06,0.7735814074080121,-0.35116804248696204,0.21576872252747256,湛河区
2014_03_03,0.20550102588440067,275.91692741189917,285.0882129749076,281.4243302168907,102080.10829665061,276.1192708093121,100164.85087968198,0.0010412608449980438,-0.40936013796322807,0.8047858782753536,0.26755321593406595,湛河区
2014_03_04,0.6628998915739015,274.3703318420067,288.06307395831624,281.7055457146162,102496.42196878295,276.9193356010008,100571.79196649352,1.9963452402953937e-05,-1.492282652427318,-2.1407639784235477,0.27186859038461536,湛河区
2014_03_08,0.630398654707737,274.22386501455225,287.07765668124415,280.77800316493114,102408.99163542611,275.40043002729243,100493.98624161608,0.0,1.4374257217259363,-0.5915447218492783,0.28913008818681324,湛河区
2014_03_09,0.5714565491196114,274.26227702929907,290.85767871180707,284.19327839512385,102364.25183104232,276.7273628713148,100465.87109609303,4.0978193283081055e-08,0.11645838060091888,2.243480626566375,0.29344546263736265,湛河区
2014_03_13,0.45824998408062684,268.31170494844304,287.9623763135306,281.7096980081136,102457.5227482417,275.64512131302257,100551.63046040757,0.0,2.5462369149819972,-0.48181287772662734,0.3107069604395604,湛河区
2014_03_14,0.6519781893472756,270.7477833659023,293.22857464943115,286.7466877443948,102034.57879908412,279.4651305234686,100154.03154355405,0.0,1.3349522852927542,1.8357574540045534,0.3150223348901099,湛河区
2014_03_15,0.6240033503441144,276.6082704216258,295.930427997915,288.76929434254856,101486.3196092822,281.6126726721423,99621.89795620719,1.862645149230957e-09,2.0352383419547198,3.438671207660494,0.31933770934065936,湛河区
2014_03_16,0.6389696861474535,280.09415364987865,296.8160044804739,290.08296327685986,101276.00775635359,283.3330636691938,99421.880529607,4.284083843231201e-08,1.1011482147458853,3.4857352442547738,0.3236530837912088,湛河区
2014_03_17,0.6025227732914517,281.51216766232346,300.0568944943356,292.04555497162613,101252.19198821897,284.9660184367622,99408.67468854603,0.0,0.018349813938398313,-0.07649942076356515,0.32796845824175824,湛河区
2014_03_18,0.43204992313920265,275.95481216886844,291.0799502253394,286.944884693175,101716.54856278436,282.8860482477231,99834.37591694827,0.0038002200581241058,-2.370961618571551,-3.4596169217077155,0.3322838326923077,湛河区
2014_03_21,0.6502270413585293,272.48897801846306,292.75997789769724,286.07870545052566,102257.00450005732,279.4447061675538,100367.88674567644,4.470348358154297e-08,1.1447783386257144,2.740153532851646,0.34522995604395607,湛河区
2014_03_22,0.6373663194262659,273.76357085678626,293.915670138911,287.6435568819974,102026.86418918385,281.92141554223406,100153.02423274654,4.284083843231201e-08,0.4489240544755899,2.633123713573422,0.3495453304945055,湛河区
2014_03_24,0.44323820839757877,281.72507636238583,294.193030982373,289.71403421560234,101296.76286341649,284.70846658277753,99439.92112055293,4.74613330230531e-05,0.8720851401009726,2.1020794233532247,0.3581760793956044,湛河区
2014_03_25,0.6146929744647557,282.3105231175324,297.3724335939256,291.08629207114535,100966.3340597205,286.10538401552026,99129.9249019099,3.832102407069289e-07,0.23543692002198346,0.8271513445750346,0.3624914538461539,湛河区
2014_03_27,0.6196814086238015,286.02363459506125,300.63574846151715,294.64854666429864,100861.80910894882,290.1739094676759,99032.15645432148,0.0018469183760575082,-0.8022629526762065,2.1839414250716795,0.37112220274725277,湛河区
2014_03_29,0.56006717106288,280.81890740643166,299.46325758759644,293.6099445563669,101237.69842341696,288.6707981294459,99397.96608013684,0.0,-1.1196136038854048,-1.0210764309380456,0.37975295164835166,湛河区
2014_03_31,0.5198685276864551,274.51057500771054,295.09262237311225,289.6006649694645,101603.24636978672,284.14459093111503,99747.06676824205,0.0,-0.8458499709296601,-0.9078715482146015,0.3883837005494506,湛河区
2014_04_01,0.6188527666815958,277.82931232818726,296.1498861513752,290.05394376904724,101333.24290255632,284.02866111073723,99482.67864350983,6.7465716431484684e-06,-0.43266053061131954,0.6155786384552666,0.392699075,湛河区
2014_04_02,0.7139296261107314,277.2946960536883,297.05718711861823,290.61680715478724,101443.0723532621,284.6624218893975,99593.2445943514,0.0,-1.040204462399581,-0.09336892405970998,0.3970144494505494,湛河区
2014_04_04,0.5805280643808699,278.43359115948766,297.4203715483967,290.8043004172722,101552.45750304712,284.7086261452794,99700.94675815347,4.284083843231201e-08,1.6181768277318285,0.8280604746228148,0.4056451983516484,湛河区
2014_04_05,0.5673129853211785,271.98352039521444,292.1210938851932,286.9169832898317,102253.12220199469,282.21544535678606,100369.34651437965,0.0,-2.5143999155228998,-2.117662335239771,0.40996057280219783,湛河区
2014_04_07,0.663158722032905,279.7425060655533,295.54078781194323,289.1939040404602,101402.91935136382,283.71004170166987,99551.4178982492,0.0,0.34086227705678407,0.8184460862127834,0.4185913217032967,湛河区
2014_04_08,0.6822716643184911,282.45103176404547,298.79774748312116,291.94889603149426,101401.07451360504,285.96190988695196,99558.3612297777,0.0,-0.6372593985297857,1.7687036484541148,0.42290669615384613,湛河区
2014_04_09,0.6990312658559602,283.83553436227334,301.34186037496517,295.168192246441,101200.83609228817,289.6220498425986,99368.60399514945,5.7049647807729126e-05,-0.12779044667660566,2.5898262122193487,0.4272220706043956,湛河区
2014_04_13,0.5074524664610384,284.88295489206683,293.8031000405704,289.35997833183643,101908.88482048427,285.991000485806,100042.03002906768,0.0,-1.1745339012962557,1.318251971533691,0.4444835684065934,湛河区
2014_04_14,0.4530597977245689,285.77067419679656,295.81580637526747,291.1745272693229,101668.53321579758,287.4356444266956,99810.25588592055,0.005360978917026179,-2.3172841647838043,1.6379181413815753,0.44879894285714284,湛河区
2014_04_17,0.7174086761130488,287.0188483313418,296.01033585944106,291.3809261873857,101203.81828114716,287.3699273990454,99357.42772449866,6.8381641235792e-05,-0.8931831094219722,-1.0144420147565805,0.46174506620879124,湛河区
2014_04_22,0.3823584861255675,284.84704596840663,295.76507921895126,290.9992062276186,101531.04560210493,286.7708858470777,99676.84819063367,9.460880952723123e-06,-0.026704210895381653,2.30191352618939,0.4833219384615385,湛河区
2014_04_23,0.6780533354132121,286.31955542318576,295.59308774330094,291.27286137919543,101200.74653398411,287.0996222774739,99353.65955127912,9.880517370669061e-06,-0.6518969077425121,2.463548826772479,0.48763731291208795,湛河区
2014_04_27,0.4987601725179185,281.8554644903237,296.87296656732417,290.9448009638687,101965.80528176072,284.7239543358826,100108.73842168385,0.0,-0.20807309085821973,-1.3960907360998973,0.5048988107142858,湛河区
2014_04_28,0.5749003465058611,282.79464862883157,296.79997084057464,290.9838387283407,101798.23569251133,284.833627283463,99944.2697912648,0.0,-0.211238054721986,0.42538370763432437,0.5092141851648352,湛河区
2014_04_29,0.5884661120413047,284.78229177448526,299.3977010993788,293.11232984043255,101253.09008700907,288.1039118793988,99414.08905819304,1.1217726684328888e-06,0.315877576581914,1.405436749728246,0.5135295596153846,湛河区
2014_04_30,0.6371341970705331,286.3296412996238,301.596718322618,295.6181437858605,100881.01414572063,289.9435221470414,99055.22202183705,0.0,1.2733359285233654,2.1626303948967376,0.517844934065934,湛河区
2014_05_05,0.6187775756444349,279.1345320181445,297.3186979635268,292.73726622191964,101723.18718830287,287.5998565340857,99867.35403157127,0.0,0.9082299364400924,3.362242146124467,0.5394218063186813,湛河区
2014_05_06,0.48879625705523816,283.23882759893496,300.1848698295999,295.1427508070386,100857.00837519762,290.0675440017643,99025.25301052113,1.07239168111076e-05,2.3576875534170827,4.731376265215588,0.5437371807692307,湛河区
2014_05_07,0.5655985995064514,284.67463827601483,305.71942900754624,297.60359506246874,100630.5917432304,290.73592903365454,98817.98626012605,0.0,1.0139805177680976,1.0236084214878534,0.5480525552197802,湛河区
2014_05_11,0.6289168832644443,280.94616467447224,298.30437417466976,292.15878193709017,100880.23888658754,284.99997406001074,99049.94533502057,0.0,3.1043484301556106,-1.0500049615557583,0.565314053021978,湛河区
2014_05_12,0.5756359431336328,284.97752167033315,302.1337858318729,295.79913265230647,100730.32231926965,290.97064777232526,98906.93182939157,0.0,1.0074756565206513,2.4886436851464895,0.5696294274725274,湛河区
2014_05_15,0.5943222602730263,281.3223646870934,300.9140422909196,294.41265609863547,100668.23082916072,287.9146261985488,98844.95614948052,4.0978193283081055e-08,1.842925854172854,1.0315658310865026,0.5825755508241759,湛河区
2014_05_26,0.3675976890135986,282.34477765790876,305.31772336430254,298.4251277285872,100712.89852763883,290.6264963904532,98906.6661737346,0.0,2.47952159880213,0.18704929313006777,0.6300446697802198,湛河区
2014_06_02,0.15568649857807748,287.525565190855,301.28598188676955,296.9231228240784,100791.85806325362,291.95701087138144,98967.50727353779,1.862645149230957e-09,-1.9771736354835463,-1.7831598561662894,0.660252290934066,湛河区
2014_06_05,0.2835474290776203,289.6592839151017,306.81539839935857,301.6595837167478,100358.96864559327,296.89514700303783,98561.29078342875,9.781763809821762e-05,-0.6972874977712432,0.2773633609125952,0.6731984142857143,湛河区
2014_06_06,0.2712423472460899,288.82693954380454,307.0215885907776,301.926330079184,100319.61717444677,296.25816833849643,98520.48510771825,0.0,1.5593595173514072,-1.8207988416699898,0.6775137887362638,湛河区
2014_06_07,0.26544847670557703,286.2474304355271,306.0069591175261,300.4270029822503,100406.69928961729,294.8523659798533,98603.96185201885,0.0,-1.0308481318966567,-0.05056016111910259,0.6818291631868132,湛河区
