Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.2155731236067694,260.9724510713288,283.2905009715421,277.270020931745,101909.27443472973,270.99798004780826,93755.131246451,0.0,0.36524108151566054,0.21420551024190398,0.004315374450549451,灵宝市
2014_01_02,0.1857509052071976,262.61449505654946,279.4204990299411,275.2974949804666,102271.49148846914,270.4219775121318,94020.57143482348,3.0020175322126057e-05,2.166657802760753,-0.4510897563456494,0.008630748901098903,灵宝市
2014_01_03,0.20139584540242653,260.65280887950695,280.5630690777648,274.7107961148814,102547.87514187001,269.2914889752549,94272.73481880318,0.0,1.9351835863878375,0.37881739125645986,0.012946123351648351,灵宝市
2014_01_04,0.20858876961945721,261.60106873643474,284.62064725814423,274.96972768958307,102130.26426693673,268.8137613019147,93956.20378716852,0.0,0.6593665878380585,0.5351383932525465,0.017261497802197805,灵宝市
2014_01_05,0.17301295195368474,264.7379737664776,282.1951678386509,276.41740043994224,102027.20741494813,269.3919661818377,93795.74203735094,2.551181291555144e-05,-2.0524403298280762,0.8765417196066608,0.021576872252747254,灵宝市
2014_01_06,0.1625983490810017,269.793698794219,277.0098866373216,274.8350691965826,102276.63637673845,273.27320890413813,93910.20983288709,0.0027325951130125156,-0.8374235775924165,0.09691842498054613,0.025892246703296703,灵宝市
2014_01_09,0.20444492306204337,263.5830708732117,276.67462996693394,271.9279016830296,102909.59525254532,266.18622784257377,94496.22354391705,1.7380946236829102e-06,-0.572486045749989,0.7170587791123532,0.03883837005494505,灵宝市
2014_01_10,0.18826262372878771,267.6266507814824,277.5271921828908,273.86184315292047,102989.0124233451,270.0050968645511,94597.11275226611,0.000753113030917379,-0.40051838626192054,0.200839649061802,0.04315374450549451,灵宝市
2014_01_11,0.13284307289699482,266.6661487315861,277.4713558576998,274.27327293650916,103398.17435904061,270.3460103094462,94976.89394953946,1.5671683695881088e-05,1.8304059280133387,-0.7003575682727305,0.04746911895604396,灵宝市
2014_01_12,0.17478427134839686,259.8333023212332,276.2927072099555,271.3797045529404,103631.87174714328,266.0585749377608,95145.46014165184,1.862645149230957e-09,0.4900931685245221,0.07225432023140098,0.051784493406593406,灵宝市
2014_01_13,0.2111786853682073,262.52500982937016,277.9404052232201,271.7320335971636,102844.79190738748,266.7039839419586,94474.20790688453,4.284083843231201e-08,-0.45316819256426494,0.7595774896525532,0.056099867857142854,灵宝市
2014_01_14,0.11048432238180447,264.96629019190294,277.1847284131003,271.35556306641917,103237.18339941207,267.7237700307995,94804.1605957484,0.0,-1.1103171870457171,0.6366355221821854,0.06041524230769231,灵宝市
2014_01_15,0.10564252323830181,267.22974545459374,276.15772064347385,272.1073965120582,102917.48125881972,268.52771755444184,94518.72267116643,2.0461544316933104e-06,0.15357695135421695,1.1824469880022745,0.06473061675824175,灵宝市
2014_01_17,0.1651028004369089,260.26071335259644,278.43157163371103,272.7460305732928,103436.14322477183,266.255561835906,95026.47427999579,0.0,0.6506193507356979,-0.29560921717562866,0.07336136565934066,灵宝市
2014_01_18,0.19812793430462586,264.34464666374276,280.65535265572964,274.9290316489646,102955.86251549586,266.7479475615745,94641.11112556513,9.673954325446967e-06,0.025961410434394264,1.148631092221453,0.0776767401098901,灵宝市
2014_01_20,0.20827926946441963,257.0668120537895,278.1235929846869,272.9155832271902,103465.7426907278,267.6696750408197,95024.01110587461,0.0,0.5942291420547864,-0.18460326124409482,0.08630748901098902,灵宝市
2014_01_21,0.22456541385566484,259.3920267914901,279.72350836033434,272.531622114218,103012.49079615981,266.6155077990685,94657.57452241505,0.0,-0.33390804308232397,0.6609792247358988,0.09062286346153847,灵宝市
2014_01_22,0.20404640107730987,263.99274063214665,281.4966984514185,273.7245572183347,101976.09561633953,266.53234045691937,93790.65110159428,4.0978193283081055e-08,-0.30762612787712995,1.1631096798039535,0.09493823791208791,灵宝市
2014_01_23,0.15801559931771222,267.89951718110507,282.66920366674515,276.4392926195818,101282.95790116813,268.6365983995076,93210.74530705388,0.0,0.10413453404133284,0.6381492940053844,0.09925361236263736,灵宝市
2014_01_25,0.17350377541908318,265.2682780873817,282.75918080306127,277.0345407132948,102482.63233004852,271.20072755045777,94281.20949653003,0.0,-0.9590261468078216,0.6305171677187509,0.10788436126373628,灵宝市
2014_01_26,0.13809882960364392,266.63642694830025,282.9540893121424,275.9658141768641,102307.54840178268,270.13338839257574,94069.01448306363,0.0,-0.9373508451737214,1.559463959651092,0.11219973571428571,灵宝市
2014_01_27,0.1564877593634452,268.85551948811496,283.22529196660065,277.72751342262933,102216.79260278279,270.1702324031059,94053.22110340845,0.0,1.3795983143198884,-0.35643975521563764,0.11651511016483516,灵宝市
2014_01_28,0.12458102175391193,267.7610096036662,283.46657407511003,277.7164773096018,102269.13298914014,271.66978722139726,94074.44453932997,1.1742483115923933e-09,-1.328339670397264,1.2390632897870097,0.12083048461538462,灵宝市
2014_01_29,0.1873463797050406,270.4177202069869,285.9580736079537,278.8790368671289,101497.27894178574,272.03786167214895,93472.47913074326,1.862645149230957e-09,0.5075117785588913,0.9405402611908327,0.12514585906593406,灵宝市
2014_01_30,0.1264447382564062,273.06429397192534,289.5768822906655,280.4460611382311,101257.62900708799,273.69227147194766,93284.1618719189,4.284083843231201e-08,-0.8967294594524893,1.1871236970591823,0.1294612335164835,灵宝市
2014_02_01,0.14099579635044396,275.0005372355332,286.94523849780666,280.1534793801074,101211.51008530652,274.1799314495727,93250.8962808821,4.724008469409115e-07,-0.2898522833619242,0.6228477762658563,0.13809198241758244,灵宝市
2014_02_02,0.15948019502701033,273.9064445576478,288.3424107914822,281.6660748939298,101216.46044081416,274.25721470520494,93223.94815404127,2.1012667483699465e-06,0.056753191281094156,-0.09150622810974177,0.14240735686813186,灵宝市
2014_02_03,0.15286125077606244,263.2656361546011,281.21525118487574,276.10081087254235,102399.594697801,270.8745313318908,94095.8507112317,2.0627248973665646e-05,-1.134920960233484,-0.7652606502157019,0.14672273131868133,灵宝市
2014_02_07,0.04159571769965012,266.2880918550846,272.12693964701174,268.37930095463435,102450.76783376557,263.93344936174515,93939.81125928463,1.4406072388144375e-05,0.18047149757323477,0.5840588386276919,0.16398422912087912,灵宝市
2014_02_10,0.02417551938612304,264.47336283528995,270.6020059693726,267.4757784846471,103225.73042783236,263.47790744848055,94604.75879667615,4.6478923159616714e-05,-1.074153471616677,0.4213600512635972,0.17693035247252747,灵宝市
2014_02_11,0.049844275382918864,265.95638108374925,272.87170961583877,269.76602003833625,102742.12193476193,265.7407504955364,94219.29729106775,1.3242995535306218e-05,-0.49994954724366375,0.01853706400678113,0.18124572692307694,灵宝市
2014_02_13,0.03430714659635476,265.0176495799073,274.5633473026063,270.72009560486185,103206.45252585466,267.1662767613604,94672.20729912467,2.0173488279780827e-05,-1.1170652042306375,0.7368219190696135,0.18987647582417583,灵宝市
2014_02_14,0.09995962261746305,267.35036141084225,278.21150836476147,272.8586627881852,102539.98071968455,268.4284805158731,94146.22117552695,0.0,-0.44603959160679363,0.7915820105996281,0.1941918502747253,灵宝市
2014_02_17,0.04654926226338016,270.5644125053312,275.37855930661544,273.0928742317725,103173.59965379444,270.8653173314988,94690.53613514229,0.001463860130030313,-2.0603586065695727,0.25043650658101024,0.20713797362637362,灵宝市
2014_02_18,0.17721461655813536,269.1377456985372,277.18347853001137,273.33980754002397,103052.0803666137,269.87147701283965,94633.34372305719,3.7264599144137414e-05,0.8220377864822116,0.8393668948329334,0.21145334807692306,灵宝市
