Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.48460674011470734,267.29936562560056,289.1814475812484,280.77181273859884,101772.37214308532,272.24669335439546,99870.55114915041,0.0,0.06410604369793471,0.4553565158108597,0.004315374450549451,社旗县
2014_01_02,0.5375830872439527,267.93457919919,287.3200068857529,280.18746172822375,101849.51415736409,273.8326992998851,99941.55949612509,0.0,0.3495431477208414,-1.4861523319187773,0.008630748901098903,社旗县
2014_01_03,0.43313642679254266,263.81125028292564,287.00554629666635,278.8328969766826,102327.42855072678,271.42305328425914,100394.78367780868,0.0,0.3139245708380127,-1.9435043269112469,0.012946123351648351,社旗县
2014_01_04,0.48506296662426823,265.9092895496821,285.81584565645824,279.09246825433246,102164.8792847064,272.2349068991341,100235.487510291,0.0,1.2040589231139873,1.549078286861863,0.017261497802197805,社旗县
2014_01_05,0.26282177251767436,267.8543650817237,285.45285325120585,279.9865873412012,102168.61269643827,274.8800873891595,100221.92703811951,0.0,-2.2772118980005263,-2.3702798514037573,0.021576872252747254,社旗县
2014_01_08,0.2604441064260415,267.1376085781869,280.13615064417974,275.0939892221517,103214.68140843096,269.39561632301246,101230.89192372735,1.0455998513005083e-05,-1.175564085149604,-2.028730412689953,0.03452299560439561,社旗县
2014_01_09,0.330678389583436,264.9166442750602,279.3342094988764,275.10770025936336,103043.73506577029,269.7053861138573,101059.08989446591,0.0,-1.1637878479933077,0.4742563896530985,0.03883837005494505,社旗县
2014_01_10,0.3720175586122275,270.2020371904503,279.51115989253776,276.6044860284715,103032.59861897527,272.892613942579,101054.23546524416,7.067731873597143e-05,-0.5295091491862045,-0.5860471241722323,0.04315374450549451,社旗县
2014_01_11,0.3969932706918081,270.4443104798256,280.9253146817887,277.11348980440425,103157.34701493366,272.58848345298554,101186.73375090366,0.0,0.7815181741870441,-0.503102982821732,0.04746911895604396,社旗县
2014_01_13,0.4394082131640656,265.0123757034952,281.01364156254493,275.0163855742815,102986.21229745982,269.4342586395008,101008.92237603929,4.284083843231201e-08,-0.3628484622283416,0.8187918450421755,0.056099867857142854,社旗县
2014_01_14,0.22207811328450103,269.46188634210193,279.73708575178256,273.97327721497123,103343.64085550404,270.5361929663024,101346.93761914759,0.0,-1.6186027923039354,-1.853550184404041,0.06041524230769231,社旗县
2014_01_15,0.3161020456250756,270.8675435761201,278.91779261760394,275.4918601807526,102978.99465745487,271.5642711042373,101000.093003347,0.0,0.16220235747972334,0.16887329622164093,0.06473061675824175,社旗县
2014_01_16,0.2091979263423125,270.4973665471311,282.8859124161881,276.2474396248157,102781.4107544664,270.5012784303681,100822.77269110808,0.0,0.10732014449195301,-0.7526891872612631,0.06904599120879122,社旗县
2014_01_17,0.27044959318767414,267.2391329151421,283.57706725252626,275.7013563899312,103288.91978959386,268.60953801896443,101308.58905489149,0.0,-0.6911865868894819,-1.7028440975940025,0.07336136565934066,社旗县
2014_01_18,0.34992569965167575,265.82492022178263,281.26537613442986,276.3783557266951,103171.6069949924,268.7861556180121,101194.08525525339,0.0,0.1293911583036401,1.7604640631407136,0.0776767401098901,社旗县
2014_01_20,0.5041932392051597,257.2076632421655,284.3551680149732,276.99840499366337,103233.95327649877,270.8247301112598,101267.5008538788,0.0,-0.22444236206412635,-2.707798316261661,0.08630748901098902,社旗县
2014_01_21,0.45697782582960905,259.99918754923124,281.278787491285,275.06647636118373,103185.77101794799,270.35575567610437,101204.54532546866,0.0,-0.7192368307094583,0.5169098973845183,0.09062286346153847,社旗县
2014_01_22,0.4677973130312925,264.64499444489786,283.95612000684895,277.7019446312465,102257.24354168907,271.2013195158583,100310.96195965832,4.0978193283081055e-08,1.3892837798261866,2.9373778479752874,0.09493823791208791,社旗县
2014_01_23,0.4050188955793452,268.8245416959594,286.20528290449727,280.5680634224937,101379.7208619463,274.5322675243305,99470.83335367692,0.0,0.602253377739641,2.2926253801123173,0.09925361236263736,社旗县
2014_01_24,0.43472392680352406,269.5193576895826,285.1486935008203,280.21178239424364,101688.11610796986,274.7484728959937,99768.1789407573,0.0,-1.0600770646617232,-1.123181214691704,0.10356898681318681,社旗县
2014_01_25,0.36191815825417645,265.8502393389843,285.10534226230254,280.3909238909298,102623.36925244254,274.7719133340798,100676.17634493683,0.0,-1.9892379829471356,-2.218070650532263,0.10788436126373628,社旗县
2014_01_26,0.397602958027521,268.46965880668404,282.94468319676037,277.89655940777254,102554.70314765791,273.31076557033293,100600.31492237352,0.0,-1.374400323358615,0.019437213064052935,0.11219973571428571,社旗县
2014_01_27,0.30097734650707936,271.11526535834173,285.2305796319449,280.2437758104986,102057.23730206804,273.999899441598,100135.33291872563,0.0,1.1465708689138765,0.10352056116762734,0.11651511016483516,社旗县
2014_01_28,0.2461975235591678,270.9978120256026,283.47058428897617,280.1215009170413,102445.89429394994,276.8521711046939,100500.45053998152,0.0006931412940935593,-1.5582821032187983,-2.101512756077,0.12083048461538462,社旗县
2014_01_29,0.3082800999026635,275.92904311648647,285.4011744808889,280.947176197653,101627.90545500575,276.7587448595381,99707.39018558174,1.862645149230957e-09,2.5923307469187864,2.882869821605365,0.12514585906593406,社旗县
2014_01_31,0.5669702429480826,279.23974095587664,288.38501152762154,281.43121852133754,101309.45421149845,278.5397018251458,99394.11157470611,5.744304999704065e-05,-1.2981630618256996,-1.8761572520181096,0.13377660796703297,社旗县
2014_02_01,0.19429802405842542,276.5571762765364,282.8498715699856,279.33532842692506,101436.37827379748,275.88450908736775,99518.1892314024,9.564867293184233e-07,-1.5751449901416006,-0.588048852685685,0.13809198241758244,社旗县
2014_02_03,0.22632661720698566,270.4160011587126,280.1644392240485,276.3723678169034,102501.15904598062,273.67700821189396,100521.24111889949,0.0,-3.115385360237611,-3.7693519581960655,0.14672273131868133,社旗县
2014_02_09,0.129200354970079,264.0434428570437,273.3511237777161,270.2953242154794,103477.20050358684,266.6645938909797,101426.27570558188,0.000185544957989143,-2.4257426310079904,-3.8896982161701454,0.17261497802197803,社旗县
2014_02_11,0.32831862173465054,264.14520176346275,275.4093990088099,271.85834420966586,102824.98625757988,266.87583020255585,100805.35719891703,0.0,-1.0794292497055658,-0.18681151891290781,0.18124572692307694,社旗县
2014_02_13,0.48258815416278744,265.06870669538284,277.38318813601086,272.39826150913393,103306.31798482686,268.6405872841436,101293.32831823708,0.0,-0.5699047569617519,-1.0721843808537073,0.18987647582417583,社旗县
2014_02_14,0.40006126059588004,267.6642611557894,279.61762548148874,275.09470018657646,102716.37860576858,269.71429282229377,100729.48567640474,0.0,0.4914691057284185,2.0587630353452973,0.1941918502747253,社旗县
2014_02_15,0.2389511595144139,271.9162244402932,279.4214204442686,277.0710850577942,102356.49834671806,272.0693933631231,100385.64203009196,0.0003083850289358199,-0.22490565681833924,0.2900239753444609,0.1985072247252747,社旗县
2014_02_18,0.17558916505360347,271.0378634303461,277.16606482424726,274.199879857529,103110.97453497477,271.5493639446262,101109.98316181569,3.7781485183438994e-05,-0.04612112654838097,-0.7511987000608348,0.21145334807692306,社旗县
2014_02_19,0.47946708684698985,272.3935224779668,283.43729207379187,277.4318197810354,102807.9580354663,272.05938243372793,100840.4368565836,1.1343321427387017e-06,0.5965019205072777,1.5813253878387925,0.21576872252747256,社旗县
2014_02_20,0.5073627206154891,272.69244552388835,283.07819653162426,278.10297008119545,102756.05565757978,273.56459164812844,100797.53192800068,1.955777406692505e-08,-0.9885480960619053,1.4934629502277397,0.22008409697802198,社旗县
2014_02_21,0.4038248855214471,274.7488576235448,284.2877394416091,280.2960396214868,102564.33300168176,275.643707962676,100618.27634452177,2.541691573507124e-05,-0.7884669862459555,-0.16102300127485156,0.22439947142857142,社旗县
2014_02_22,0.588193405069666,276.6615114325742,285.7169489564683,281.9103528833596,102650.70626521672,277.0958915309162,100708.46225938802,0.0,-1.5224747438397346,-1.5238161737844937,0.2287148458791209,社旗县
2014_02_23,0.24857377302174483,277.3475883330679,283.0960989186336,281.35881152527463,102569.35180418022,279.06700183391416,100621.10558316436,1.862645149230957e-09,-2.0063167205079484,-2.2001356162173447,0.23303022032967033,社旗县
2014_03_03,0.6005087635895101,277.0079951361754,284.4966780056089,281.45686008869626,102081.49052538219,276.65548591384345,100151.70104611349,0.001247005350550301,0.5206837790912747,0.6321819465099889,0.26755321593406595,社旗县
2014_03_04,0.5186190299285288,275.85662697781135,288.70954035528314,281.9765882524393,102445.84241597213,277.77629158308594,100512.04308050041,5.5462421381499455e-05,-1.5191231460216346,-1.9886714663120353,0.27186859038461536,社旗县
2014_03_05,0.4316581086638552,275.5807898536845,284.00785099196213,280.4530926998997,102506.41799831364,277.54857805162,100550.9448315065,0.0006971406739684894,-2.5210755795378876,-2.8499825116294955,0.2761839648351649,社旗县
2014_03_08,0.5736705143118694,274.9135718550537,286.5960018145771,280.7185727351188,102441.86806650346,276.10297728967123,100510.73195544501,0.0,0.6905919444671252,0.39405894170261163,0.28913008818681324,社旗县
2014_03_09,0.5808063337946747,275.37916795421734,289.944731632391,284.0734638705433,102405.5627629168,277.7506722795382,100489.55005648745,4.0978193283081055e-08,0.18662839323893593,2.049507100033269,0.29344546263736265,社旗县
2014_03_10,0.6202932300853767,274.9526342951223,290.6599984109877,284.9999379273731,102086.99594909257,280.54115407767046,100182.13612156114,0.0,-0.38659729714813545,2.7549187276002787,0.29776083708791207,社旗县
2014_03_11,0.5911962513165371,279.69687203807666,290.0826488828236,285.30905197745597,101475.58109802529,280.549458637846,99579.25066060504,4.441634903495512e-06,0.8520816189109298,2.1561431027275693,0.30207621153846154,社旗县
2014_03_13,0.539863984418205,271.9007245854501,288.7493150869445,281.70548648682535,102531.72189425935,275.88450549418326,100602.52766224732,1.094799534256987e-06,1.6302033307122858,0.5481217262005393,0.3107069604395604,社旗县
2014_03_14,0.6089463815165701,272.8417642516352,292.8889062653839,285.8811274593551,102123.06983924765,278.5499805763108,100222.5272669096,0.0,1.4858087100206814,2.2869652772841125,0.3150223348901099,社旗县
2014_03_15,0.6246184252030391,277.0479957631887,294.73929468538654,287.5987556791643,101624.77664590008,281.63726923947314,99738.17936411146,1.862645149230957e-09,2.088688349921955,3.265485903211143,0.31933770934065936,社旗县
2014_03_16,0.6384155965496857,280.6754820336913,296.1904658147525,289.14650093941873,101375.18733405965,282.91726700254793,99502.36117452703,4.284083843231201e-08,1.4807465450556967,3.0327644634620485,0.3236530837912088,社旗县
2014_03_17,0.6349234318584648,282.78072982971366,299.0326775377201,291.5195472239083,101242.84203309669,284.86854639956175,99386.17713335855,1.68195579971405e-07,0.1408611889047868,0.5918646056063922,0.32796845824175824,社旗县
2014_03_19,0.42805419791454496,277.50175447435663,289.03849888272185,285.1400156154792,102289.65052332343,282.3708326333791,100370.00096179174,2.7917985162199415e-05,-2.3399914275965745,-3.375355412942773,0.3365992071428571,社旗县
2014_03_21,0.6537142219675902,273.06734901656125,291.97280312739935,284.8160025881742,102338.10542616252,278.83263766568894,100430.00511214406,4.470348358154297e-08,1.4456995107638315,2.334690925636452,0.34522995604395607,社旗县
2014_03_22,0.6360125685478986,274.8718804186298,293.2092390318183,287.3320105301401,102072.4582436789,281.2403168919626,100179.66357805612,0.0005708023643511817,0.5550410782911235,2.1896313769422013,0.3495453304945055,社旗县
2014_03_24,0.5962321092667918,282.77262666934837,293.2692799228452,289.03606556678267,101361.36557803818,284.70007108804253,99486.08374615913,0.00038946362863703484,1.2522744446405265,2.3266538443694946,0.3581760793956044,社旗县
2014_03_25,0.650233551109877,284.0547093738584,297.12998955976883,290.7188911202018,101011.76355592297,286.032327204144,99158.66350464021,3.7578286641775825e-05,1.5639018917573992,1.608663040888017,0.3624914538461539,社旗县
2014_03_26,0.6251938444536578,286.160883564702,299.786773385693,293.5438019315542,101106.16846991872,287.61476637374966,99257.14126987776,0.00016857476397631364,-0.4155938667264562,2.2946466520740834,0.3668068282967033,社旗县
2014_03_27,0.634303323919135,287.01940631063997,300.9434475526842,294.8572485853224,100850.71779248062,290.1093010783055,99008.6250088095,0.0008363085782809862,-0.8161139399525806,2.004459002143681,0.37112220274725277,社旗县
