Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2014_01_01,0.429011153957512,262.8214312106242,289.9875661328714,280.0897086786,101736.87309779252,272.44504635573657,100203.95089010219,0.0,2.3954136209982453,-0.7041475097731196,0.004315374450549451,许昌县
2014_01_02,0.3400023209202804,263.6118618536014,285.98294502999886,281.4265105384435,101814.0760186481,272.63852262049704,100265.18019082435,0.0,2.3995979529418063,-1.6642349576764475,0.008630748901098903,许昌县
2014_01_03,0.33762109709272164,263.77833624003114,285.8993875892731,278.01008647500277,102311.10416366807,270.84093804713035,100743.87006065347,0.0,1.154153917939266,-2.507092863864662,0.012946123351648351,许昌县
2014_01_04,0.3914883809651162,265.5164738670519,284.77655761245916,277.301638046484,102117.46937827452,270.84127076019024,100564.20824635355,0.0,1.4126021474766242,0.917257990740643,0.017261497802197805,许昌县
2014_01_05,0.28557026900541044,267.3605320345953,282.7899640099979,277.309959393025,102316.30229802006,271.23428981654064,100734.64813880895,0.0,-1.686573715940148,-2.379466378275975,0.021576872252747254,许昌县
2014_01_06,0.2650180284673276,272.05702249780137,279.2447162539938,277.04886018480045,102215.53787019271,274.0435085298214,100626.70929206631,0.0012700117329948275,-0.5823736343794812,-2.935405912485941,0.025892246703296703,许昌县
2014_01_09,0.28454166668135383,266.74334279015335,278.3939365535918,273.55691060663173,103075.76814918197,267.7681319096532,101466.08007394576,0.0,-0.3631343413684058,1.3834368202109566,0.03883837005494505,许昌县
2014_01_10,0.10331461130280617,269.60886193557695,279.654773676741,275.03134206147274,103088.52655600545,271.585999774957,101485.26338728906,5.06486817479701e-07,-1.0233271803124322,0.3851397891303426,0.04315374450549451,许昌县
2014_01_11,0.2959602295758076,267.0467387781585,281.499682058295,278.07186966092144,103106.20527292117,272.4396569669722,101515.39101339497,0.0,1.5111520177373658,-0.16032125743920808,0.04746911895604396,许昌县
2014_01_13,0.3675313470270291,264.57685955325326,279.8977082542724,273.914894462901,103044.96417501582,268.9554280862262,101437.9841339788,4.284083843231201e-08,-0.6278295392613173,1.2625834511152585,0.056099867857142854,许昌县
2014_01_16,0.11166177723226892,269.1183719668131,282.6880734216863,275.1023088165306,102782.4373040829,268.65591984752456,101196.51225719487,0.0,0.5763103984785516,-1.573537361378986,0.06904599120879122,许昌县
2014_01_17,0.23277382784143733,267.4422888476078,282.5623163423257,273.5597565370471,103315.61224644129,267.4842325628598,101708.77742687722,0.0,0.6085829635001802,-1.37135832394344,0.07336136565934066,许昌县
2014_01_18,0.23210263179887408,266.7810001108597,280.33222408738305,275.7758991271558,103166.07460173225,268.0160918525295,101563.19355543594,0.0,0.008716200443654499,2.5209099884916815,0.0776767401098901,许昌县
2014_01_19,0.44617714310655676,260.8914724478697,283.7081837109772,279.15736256911094,102824.75613131681,274.4841127575819,101248.1108039781,0.0,3.499773813802673,-1.4471196520911278,0.08199211456043956,许昌县
2014_01_20,0.4560545611019537,257.80575235358606,282.80259098252094,275.8074748825996,103241.51666518739,268.38494123365854,101641.41968108797,0.0,2.024860204601522,-2.1268107038812967,0.08630748901098902,许昌县
2014_01_21,0.39994236058773536,260.03644501385696,280.17960781885273,274.04910306561237,103186.44786762405,268.34537786895726,101581.60287039238,0.0,0.12916595955073681,1.7046583853239876,0.09062286346153847,许昌县
2014_01_22,0.4221626950952758,264.0214789350219,283.97151445571563,277.8785006110313,102208.47458118462,269.7424234474194,100637.42296026197,4.0978193283081055e-08,0.44344401733012345,3.1435935434611264,0.09493823791208791,许昌县
2014_01_23,0.29981148502953625,268.78918427773493,286.0115846760956,279.9191492158667,101372.57004756342,273.4046922722918,99829.98660447773,0.0,0.44720544230781034,2.7563495400063136,0.09925361236263736,许昌县
2014_01_24,0.3475918628298145,266.60939437721396,283.93907087036655,278.692536898441,101733.36517762777,273.6591297231425,100175.78385860889,0.0,0.2733228221565595,-2.250274982235947,0.10356898681318681,许昌县
2014_01_25,0.31514939967831135,264.9430105174169,283.71139809840656,278.52051219787165,102718.69385461228,272.7491195099135,101139.36217464798,0.0,-1.4358878592315194,-2.218501966361192,0.10788436126373628,许昌县
2014_01_26,0.3332761647369848,267.26640036710796,282.0015377577111,276.94170241369073,102599.92813128425,271.95774274691496,101016.46498711983,1.2256021292057377e-05,-0.8201696974202787,1.783439208581102,0.11219973571428571,许昌县
2014_01_27,0.2400996919658789,270.5451769318981,285.6374021200446,279.7729680851734,102054.61894715331,272.21873165025255,100500.46447760842,0.0,0.9163448366839004,-0.5261054764025912,0.11651511016483516,许昌县
