Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.3104067441313631,255.2836234734736,277.78657803596263,272.0019079920424,103157.48974333706,266.44876068407285,96020.78487115048,0.0,2.5026647675041755,-0.9995192120342528,0.004315374450549451,义马市
2015_01_03,0.2370113528452308,265.427795955873,282.78101664016316,275.6359495287585,101606.52045236966,269.2932957278672,94717.99937217301,0.0,1.8118651424912973,-0.8070687395011549,0.012946123351648351,义马市
2015_01_04,0.22862270201563334,268.83799496346916,281.66925752545325,279.2922134789427,101358.83553016794,274.42553286951437,94477.51952514437,0.0,-0.8433663615644825,-0.38387901235035016,0.017261497802197805,义马市
2015_01_07,0.24642800802190057,265.4030041313148,280.23233436674036,273.5499469117535,103083.2288131135,269.8027496676724,95992.64168867095,0.0,2.6805651349548887,-1.1603345948974526,0.030207621153846155,义马市
2015_01_10,0.255650238072015,266.26872670719064,284.66070334130836,275.7232011698112,102578.33409743123,269.09049440610056,95651.78039658202,4.284083843231201e-08,2.0776427819312313,-0.9607818831278883,0.04315374450549451,义马市
2015_01_11,0.23546917270672316,264.072828837989,283.5612955983237,276.0923533520108,103118.99512348266,269.714501706301,96061.81045020244,0.0,-2.161859123198517,0.06775266674841843,0.04746911895604396,义马市
2015_01_16,0.23284599402425096,263.52116256567393,280.66798970104566,273.95986435795,103226.56921979907,268.92699902624514,96113.53108412161,0.0,1.80640638243501,-1.7089478259169668,0.06904599120879122,义马市
2015_01_17,0.16098391933493408,266.4427357136234,276.7783417061887,274.46612333915067,103136.94259785349,269.0433441631353,95980.10216430834,7.48303204410245e-05,0.6629664494408248,-0.06137554287521508,0.07336136565934066,义马市
2015_01_18,0.23027951888935483,262.9359600070346,282.1162496800686,275.16858806157785,102738.3453751584,268.8603336024206,95721.55545073026,4.0978193283081055e-08,3.486555202387212,-1.086003230908506,0.0776767401098901,义马市
2015_01_19,0.26172545938534447,265.0227547347882,282.25810541780385,278.2499827806892,102212.15211121234,272.85753573727766,95270.23502378543,0.0,-0.8171018795746471,-0.24663865706086308,0.08199211456043956,义马市
2015_01_20,0.1999344207477748,264.1952397431015,284.90267911873855,279.81405973069946,102293.03651891362,274.05568984798515,95340.00964915489,0.0,3.4161279017298734,-1.5750062603228998,0.08630748901098902,义马市
2015_01_21,0.26653945566591813,259.7884073109295,280.1226499225957,274.0878599456134,102840.74842937275,268.16758608461686,95727.80062231806,0.0,1.2818026424757367,-1.4042585871231443,0.09062286346153847,义马市
2015_01_22,0.23028884554973994,262.67609792870996,278.2052326479491,273.36829191735234,102327.72402855178,268.48957701683275,95247.33697763937,0.0,-0.9170965839094308,-0.18660631063628194,0.09493823791208791,义马市
2015_01_23,0.2241063301375467,266.2894182747361,281.95205301799353,276.8408767424572,101743.86754142916,268.4969613064164,94787.95830818219,5.701944518254501e-06,-1.507069125466428,-0.05446322994073767,0.09925361236263736,义马市
2015_02_03,0.17592033699005552,266.9196156935093,279.0051670151463,275.05370373511585,103400.1405362572,269.58914362202097,96252.84020338212,0.0,3.018357538475191,-1.4383051661146447,0.14672273131868133,义马市
2015_02_04,0.2070034751339254,260.9212668328178,278.20568842770143,273.8001862575951,103494.77388868219,269.23569954161206,96316.9103587151,0.0,3.355220022157746,-1.93330448388569,0.15103810576923077,义马市
2015_02_05,0.24745113262099544,262.4835071810428,279.362404406548,274.04528601584246,103129.96599471575,269.2561216307072,96007.907760598,0.0,2.0916993556030543,-0.798329057707318,0.1553534802197802,义马市
2015_02_06,0.258914582854173,264.5644030324405,281.99592511332605,277.046335237518,102462.56250321276,269.3938119140503,95447.56186045025,0.0,3.0658351755478024,-1.205859457903848,0.15966885467032968,义马市
2015_02_08,0.25031615204454644,261.62223405226115,276.82740164327856,272.40284152142203,103362.5058601569,268.87032310143326,96143.33489061845,0.0,-2.454629311158183,0.0696484978326291,0.16829960357142856,义马市
2015_02_09,0.2333664109608598,264.07560670653487,280.4628257773426,274.67322653165365,102777.65929183151,268.7796251170464,95705.49571669495,0.0,0.13073578956057091,0.009906055310138192,0.17261497802197803,义马市
2015_02_10,0.24010599112193715,267.69661313624607,284.13501371377384,278.6534979417044,101854.25974131183,270.1962990003912,94930.32159959176,1.862645149230957e-09,3.6918730428580955,-1.123366068916812,0.17693035247252747,义马市
