Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.26273437940267563,262.4344512856926,280.89665179743764,274.96191347210845,103238.80079575875,269.32885596234297,102327.7507639641,0.0,0.545948962330383,0.6105735699125543,0.004315374450549451,光山县
2015_01_02,0.24409145620254533,267.3383669010546,283.60865294745463,278.6584179760296,102695.32403035919,272.5069445364103,101800.49092433158,0.0,-0.4324068778985486,0.9089394496706683,0.008630748901098903,光山县
2015_01_03,0.2351725344088823,270.36646782966017,286.957262807224,280.9652334928721,101803.57818220952,275.6682931065818,100923.41902393026,0.0,1.2306889137963777,2.7572231007034658,0.012946123351648351,光山县
2015_01_04,0.25090051406628167,275.19416577565676,291.4338388022195,284.6791320474675,101247.997407396,277.34604419449454,100386.794900877,0.0,-0.8558283323471836,1.527882352431848,0.017261497802197805,光山县
2015_01_07,0.1947366656282788,270.82106044955094,282.2783574066915,275.62563491829127,103117.73261795753,271.01715797876324,102213.62781232591,0.0,0.5485219184049724,0.6918748167165938,0.030207621153846155,光山县
2015_01_08,0.25431379806841403,272.5637716561847,285.0803523799528,278.68440394995895,103099.27716410525,271.4004315793444,102205.18060442785,0.0,1.2033681079270084,1.1081771292362392,0.03452299560439561,光山县
2015_01_09,0.2426168474786444,273.84576892186055,287.05998343014033,279.806799432609,102910.47581942062,273.0272351469559,102023.4614195095,1.862645149230957e-09,0.9608390554171826,0.5302839675582408,0.03883837005494505,光山县
2015_01_10,0.23132225977414886,274.35970914474484,288.33228636701784,280.1586968805431,102688.55382806809,272.790817670178,101803.95022764122,4.284083843231201e-08,1.2606813213008876,1.9319907690677622,0.04315374450549451,光山县
2015_01_11,0.2681804379951055,275.84439609843463,288.90292869725147,281.7347408000396,102900.85868390335,274.94962069788903,102011.67903459056,0.0,-1.3768460933042195,-0.8124648343058612,0.04746911895604396,光山县
2015_01_16,0.21902948279406045,270.4075202676011,284.6905774726739,278.0028316091001,103099.4589036448,272.7896325834407,102197.52041169196,0.0,-0.8777006384059949,-1.6889615853403344,0.06904599120879122,光山县
2015_01_17,0.22146345077483504,267.54564807107784,282.10870363471633,276.501605741444,103129.62157839823,272.33454579353423,102222.1906988404,1.862645149230957e-09,-1.392484150135658,-0.4013987192111323,0.07336136565934066,光山县
2015_01_18,0.24145787487994153,269.9997506852973,286.5719769081833,278.3945341871424,102819.04895240444,271.87004320900746,101930.8267135409,4.0978193283081055e-08,2.303527427813206,0.7026527090194201,0.0776767401098901,光山县
2015_01_19,0.23122965402626258,272.13317322449245,288.21559407782917,282.01222152556915,102470.810374434,272.5230093020808,101587.7411903394,7.775594010423095e-06,-0.09722019571436315,2.1091413572829003,0.08199211456043956,光山县
2015_01_20,0.21192286285755657,272.4789714644717,288.50975408045866,281.98357798739517,102148.22856440644,276.7846111653985,101270.6240835209,0.0,1.7015325186251278,1.4067499373152539,0.08630748901098902,光山县
2015_01_21,0.1948255940779771,267.1396913878912,284.23452201745584,277.6908885707788,102740.68538177882,270.6516975693557,101840.52781065628,0.0,-0.1981484811268303,-2.210817036777762,0.09062286346153847,光山县
2015_01_22,0.2470937848127525,266.9980772609116,283.0148988018076,276.66656081007375,102420.80299773114,270.89342917617915,101523.28990944766,0.0,-1.7031101268665467,0.36287400277331777,0.09493823791208791,光山县
2015_01_23,0.2241010703309834,271.9029276188661,287.3964370158841,281.4790217931579,101774.67427137695,272.8150801345625,100898.55866921993,1.561450671147836e-07,-0.7433650686922889,1.4997410934112467,0.09925361236263736,光山县
2015_01_26,0.3204506387792843,275.2444289110571,280.8921585522888,278.30106605907736,102593.9019707138,274.33790959743703,101691.98973358965,0.001577371637255884,-1.984652490982455,-2.710661118063932,0.11219973571428571,光山县
2015_01_30,0.014082092921789057,269.9287143039564,273.99403731664694,272.22323462594136,103591.29355007767,268.0164516067905,102662.54262833214,6.36691879055885e-07,-1.5515080698980952,-1.7341110577823833,0.1294612335164835,光山县
2015_02_02,0.02734388443559769,271.88598560030914,276.91236486948196,274.53921071405745,103263.58075731594,269.1776923298748,102341.73067922569,1.8679755471398139e-06,0.154072023799663,-1.0784124240298116,0.14240735686813186,光山县
2015_02_03,0.017568316595897276,271.0548576647466,277.8091890352013,274.3111528229497,103329.99830148404,270.2803665411806,102413.94460731249,2.842062521971774e-07,0.7448558125170547,-0.7925200945739187,0.14672273131868133,光山县
2015_02_04,0.019245579717739904,271.44218301319296,281.85144306044,275.7747534997494,103280.01566893475,270.9351832164211,102370.47790141127,0.0,0.6132903893292755,-1.453277067933121,0.15103810576923077,光山县
2015_02_05,0.22212127743371626,267.6657167543955,281.68619495358786,275.5819984302102,103195.00438812523,270.6937598199003,102288.21608551218,0.0,-0.23052560969486147,0.7625036331926102,0.1553534802197802,光山县
2015_02_06,0.2504263922966162,270.09764317280667,284.4706683728835,278.64135909833675,102516.97486421837,272.4954818694693,101623.21566395252,0.0,1.4184484857678041,2.304989024225519,0.15966885467032968,光山县
2015_02_08,0.2716117832185459,263.28867924152013,279.7572887143568,274.9639893736043,103392.90059048285,270.651339234312,102472.79703177029,0.0,-3.1655576998639434,-0.9121475259718846,0.16829960357142856,光山县
2015_02_09,0.2575544001886412,267.57249782622546,282.5052215132902,276.4768205922948,102912.7437798474,271.08789522401867,102010.4324320132,0.0,-0.4328307415177126,0.8533673652256664,0.17261497802197803,光山县
2015_02_10,0.268928945977933,271.1251669754743,285.7975402242239,280.87205029008175,101961.4193234844,273.9461637804178,101074.84216637124,1.862645149230957e-09,2.2948558209914065,2.884701928660526,0.17693035247252747,光山县
2015_02_11,0.1875609827695658,271.43798675155597,289.0827754854244,281.17027996728353,101765.99641707115,274.86808853532654,100893.42274442989,4.284083843231201e-08,2.3346686840915134,0.06820648044064725,0.18124572692307694,光山县
2015_02_12,0.24460073997954238,275.9440559845645,290.8397497145815,283.158428553152,101731.59028800551,275.43344732549235,100862.14132620762,0.0,0.953580783715081,1.14071026211594,0.18556110137362639,光山县
2015_02_13,0.1830112024361556,274.14417254993424,288.69546052066715,282.1596434748684,101781.81271158495,276.2217920811461,100908.93636656328,0.0,-1.6026944473941773,-0.003438422775423069,0.18987647582417583,光山县
2015_02_16,0.1988894577160784,276.1548960824705,289.0282401803637,282.2511949462563,101987.12826569835,276.51011216021084,101115.60897146011,0.0,0.10519809061239574,0.7594252517158798,0.2028225991758242,光山县
2015_02_17,0.25503188690766804,276.1046537195049,291.4201507480036,285.22870706100025,101971.35367387682,278.5120922124805,101097.06761804057,1.862645149230957e-09,-2.6619776536653754,-0.4990355762987248,0.20713797362637362,光山县
2015_02_18,0.2208025641923424,273.97331272967097,285.1093942846153,282.2769933631622,102501.0143358015,278.73737869224607,101609.4574583464,1.8881195469059181e-07,-5.487574662248944,-2.1349462274573052,0.21145334807692306,光山县
2015_02_21,0.22145192225249746,275.9917227493732,282.4377782626303,278.5013032302597,102051.46387110176,275.11467211156696,101160.59778194956,0.0,0.5591021755932367,-0.5349423117137558,0.22439947142857142,光山县
2015_02_24,0.27835215773900196,279.8610868945749,285.4007164834741,281.91135193394325,101604.55125113367,274.81951679669595,100723.02572573215,0.0023096754332058173,-0.044002240238431425,0.3450690548687481,0.23734559478021977,光山县
2015_02_26,0.2014478769831656,277.92751234192485,286.71236836774693,282.94403440075365,102015.11293489495,278.3678297835563,101130.79603013699,0.004650112559069389,-4.878172974140027,-1.362357788562608,0.24597634368131868,光山县
2015_02_28,0.12395432332292246,272.93287226887105,277.52974961991856,275.474885241201,102891.84068016443,273.3158376013713,101980.05856474789,0.0003545735645469019,0.03376213452206717,-1.2887226008146921,0.2546070925824176,光山县
2015_03_01,0.30920316554161514,272.4355600788735,284.50044865549654,279.9656687846072,102430.99169017421,274.61919594580337,101538.67363255778,4.284083843231201e-08,0.9612987011473414,1.3322412751344266,0.258922467032967,光山县
2015_03_02,0.31266956937168505,275.7409524517811,286.12201336044404,283.253392241209,101519.87561679876,278.6544740793244,100642.04656847588,2.0440362053064803e-05,1.9180325708294752,1.6774524481802466,0.2632378414835165,光山县
2015_03_06,0.3248393645258171,272.21859218270214,282.0074138977935,277.40743283195553,102301.41137993187,272.83784957406556,101402.19341622895,4.284083843231201e-08,-0.5212184014907436,0.7932557554437538,0.2804993392857143,光山县
2015_03_07,0.2930862572421088,275.9952117702966,285.57062232545235,281.1204762453629,102009.44800013558,275.62797659732973,101123.8878828717,5.900515059268756e-07,-0.9901123944395299,0.6684450084598214,0.2848147137362637,光山县
2015_03_10,0.28906466576330764,269.24194278723746,282.3991454898444,279.19456567758175,103017.15800035217,276.526878326639,102114.79559665761,1.0378839489648639e-07,-2.308170731903122,-0.3655798938209198,0.29776083708791207,光山县
2015_03_11,0.2516305203800069,275.5471601557593,287.18141889184244,282.66499417081974,102425.61483891649,277.57772623208336,101540.12185505265,0.0,1.4915362122627334,1.5675788357453158,0.30207621153846154,光山县
2015_03_12,0.30648316218038746,279.05546945353876,290.5950370272705,285.9909256353182,101714.93983024317,279.585150745937,100842.56338350452,0.0,2.1228525103585723,4.4524180772678745,0.306391585989011,光山县
2015_03_16,0.3221315466091386,284.959111286468,292.02637714368484,287.8236152198879,101290.01088384935,281.2953171310237,100430.7777428845,0.003158183292075192,-0.17130840493234728,1.4619585409327394,0.3236530837912088,光山县
2015_03_21,0.29031673372996847,281.8285144884582,295.03953128670673,287.57033429624386,102071.56235449715,281.97700536594266,101209.97717068365,4.284083843231201e-08,0.1701680112953225,1.2281855298671291,0.34522995604395607,光山县
2015_03_22,0.2905184990499149,283.21665199971943,294.63207511384365,289.37784847298747,102147.77467377349,284.1430568643445,101282.67449213885,0.0,-1.9150764595946144,-0.7752810764521859,0.3495453304945055,光山县
