Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.40845183311758215,254.08836803501706,277.91416268349076,272.3138322501171,103032.99996879877,266.3324074778271,97242.58213673154,0.0,1.4928858846329842,-1.2246156159622827,0.004315374450549451,博爱县
2015_01_02,0.28516803869346363,257.0390402929542,279.1602343622617,274.38693253932206,102692.18050562273,268.62778523567033,96920.04919132186,0.0,-0.8443711108989891,-0.32231228717942223,0.008630748901098903,博爱县
2015_01_03,0.1669931075650166,263.54492045861974,285.2316870514526,275.71080851503604,101542.1105964651,268.5990733971044,95950.82140217617,0.0,1.2010972524362924,-1.2513842410116498,0.012946123351648351,博爱县
2015_01_04,0.1595523490268947,268.84884763929625,283.4415741702639,279.74650721660595,101367.27700464256,270.9989638447658,95763.2763650797,4.04874181232962e-07,-1.2538861813157347,-0.6150510266445953,0.017261497802197805,博爱县
2015_01_07,0.2603547417664357,262.34273184130313,281.73550140013725,274.09782229451895,103007.12393097514,268.153757683969,97229.28768404188,0.0,0.260789569443136,-0.9551243022433278,0.030207621153846155,博爱县
2015_01_09,0.18982477784459167,263.7662479030037,286.5713542117114,276.7156646278065,102835.146184169,268.5836480829915,97152.64031646258,1.862645149230957e-09,1.0516687802123375,-1.5333552719477943,0.03883837005494505,博爱县
2015_01_10,0.2397404537478756,264.02426044015425,286.3266617048627,276.8516050698266,102495.23161878106,269.13917944696504,96862.95516285462,4.284083843231201e-08,1.7018350664999795,-1.8190120410849806,0.04315374450549451,博爱县
2015_01_11,0.21443422507897658,261.7005253819195,284.3645415265397,276.20734245721604,103162.88139205238,270.89033765962074,97408.75758808794,0.0,-1.828504263745562,-0.5052664769810598,0.04746911895604396,博爱县
2015_01_13,0.20963326983334601,268.2344993653483,277.423708524598,273.36344764294637,103009.56037594401,270.3511208603084,97168.6984054494,1.4744066593546283e-06,-0.9824568707042859,-0.21394592164205453,0.056099867857142854,博爱县
2015_01_14,0.09017343022621904,269.40889195978184,279.2319727202359,274.5405280277334,102829.3025948737,270.1071800742475,97056.25810996053,0.0,0.5933864607650686,-0.5691118081030491,0.06041524230769231,博爱县
2015_01_16,0.36056017694779485,261.87996335361714,283.33958748208215,275.1607233974458,103173.87478356408,268.84799278211693,97378.14047474759,0.0,0.1328774405947924,-2.4097061438541365,0.06904599120879122,博爱县
2015_01_18,0.2333782588460333,259.5696067701764,281.9711758996925,275.14749683120914,102666.73636214287,268.07160030477826,96926.92357020201,4.0978193283081055e-08,2.9466669077997683,-1.9245388956826457,0.0776767401098901,博爱县
2015_01_19,0.26031696377997265,265.26037326080404,283.42115362579005,278.1633508039377,102260.0019047787,268.71374096901303,96590.997175671,7.92171396159175e-07,-0.6018418498892057,-0.40906836577105005,0.08199211456043956,博爱县
2015_01_21,0.3465620151831463,258.82565144779284,281.99386476939713,275.2996107397734,102801.1476191495,268.9935948332364,97001.10633613143,0.0,0.13805800789566947,-2.000797115300922,0.09062286346153847,博爱县
2015_01_22,0.20898347952495083,262.1026315783781,278.6666831675883,273.71176113422223,102340.21621394256,268.78665211111945,96568.09141049345,0.0,-0.058923321697488526,-0.015340952146227958,0.09493823791208791,博爱县
2015_01_23,0.21514087430010737,264.25207398535144,283.2771346352151,277.67736477981794,101798.89782270372,268.7686480282013,96129.64988885385,2.1700325245645133e-05,-0.7286618948102156,-0.5462878080765432,0.09925361236263736,博爱县
2015_02_01,0.17087574762272836,260.88786461230245,274.6883100519613,271.2508469498535,103336.72961670015,268.4476591211264,97416.75104607646,0.0,-1.1174123763298893,-0.02500919695884023,0.13809198241758244,博爱县
2015_02_02,0.6117773502074869,265.6692415858514,273.04049404197866,270.7857686157928,103289.2899697129,268.19829174814805,97390.0567998899,1.5881474892711669e-06,-0.3283730299642154,-0.07919298297982683,0.14240735686813186,博爱县
2015_02_03,0.15426955111071655,266.5101918104976,280.04536985257795,275.31352907506493,103264.2626172044,269.9278283682145,97454.66998192156,0.0,0.9109727716996362,-1.3175474771348479,0.14672273131868133,博爱县
2015_02_04,0.22054820625417482,260.000576598279,281.30052181593425,274.9706070911164,103296.20598656627,269.5081388245036,97482.57367150833,0.0,1.5396957296942129,-2.715263133791389,0.15103810576923077,博爱县
2015_02_05,0.20159432799948138,262.2774441685548,279.8333665422035,274.65112237331624,103071.17374159687,269.4437888097604,97272.81674124303,0.0,0.5808317956170739,0.0007337854140391312,0.1553534802197802,博爱县
2015_02_06,0.30426168675941795,263.0420234582288,284.0152157191025,277.8561461750047,102297.83135182502,271.00219777711726,96606.37461327405,0.0,1.9881771185102595,-1.8523000013942181,0.15966885467032968,博爱县
2015_02_07,0.17365705525583294,262.91201588893443,283.2312237904704,275.95098038901466,103093.56055291982,268.33659444753573,97281.40882312112,0.0,-1.0904788494235094,-0.14390936021642284,0.16398422912087912,博爱县
2015_02_08,0.3197691921665597,260.34938976664006,275.69645588447895,271.5053158130861,103457.04628232728,267.3493962341929,97549.78624783734,0.0,-1.2575497215569589,0.30433321403206104,0.16829960357142856,博爱县
2015_02_09,0.2952846353002294,262.7196368754631,280.5105118020009,274.54131193476366,102740.61651301467,267.3481712791368,96974.48914750719,0.0,1.1570551170026997,-0.10282873186107337,0.17261497802197803,博爱县
2015_02_10,0.29709893762005635,264.80751766638673,286.9662976710559,279.5748403431521,101653.2895251699,269.998749991906,96038.61197574988,1.862645149230957e-09,2.5913761991681,-1.8644452353702834,0.17693035247252747,博爱县
2015_02_11,0.13533518336830125,260.42464076178123,285.6166546638202,278.02873290244406,101730.67538834536,269.1237249239643,96091.22295249077,4.284083843231201e-08,2.2521138813736976,-2.7856301773384953,0.18124572692307694,博爱县
2015_02_12,0.15928304234406052,260.0679915166959,286.59596815120864,277.8000467501317,101807.08079706914,269.5688813894121,96166.30861371946,0.0,0.8778699971111426,-0.7625224338927055,0.18556110137362639,博爱县
2015_02_13,0.15573829153662802,262.4386135305021,285.9413226450654,280.02532741625424,101690.99584774884,269.4255531371368,96082.0606040642,0.0,0.49310641079200307,-0.2063388367943202,0.18987647582417583,博爱县
2015_02_15,0.021418910083378328,266.8520472843186,288.378626516856,282.1313861854941,101762.33610402094,276.19480963516276,96191.17295155284,1.6474535117987352e-07,1.1212505387520986,-1.4241866156288687,0.1985072247252747,博爱县
2015_02_16,0.3727303285743363,261.8269827242711,288.8914551010256,279.8521900601004,101847.79842007879,272.1660787116737,96269.94647751664,0.0,1.7155885773564619,-1.9326114152957552,0.2028225991758242,博爱县
2015_02_18,0.16797877958752414,266.65270073714134,283.67189779151505,279.58266413334695,102862.24396700255,276.8429716119391,97108.94405385268,0.00027626109989394937,-3.406989380522395,0.46473105328691616,0.21145334807692306,博爱县
2015_02_21,0.21052538063714735,264.60032468832435,285.5964898098706,279.2540257069704,102040.87784587996,272.9852208640855,96368.37374133675,0.0,2.30220316546748,-3.1123239798575058,0.22439947142857142,博爱县
2015_02_22,0.10484148124128921,261.0445863022828,281.442081660661,275.583939193416,102274.55467814724,271.0471333528306,96522.3369674266,1.362617940295052e-07,0.09851830487609256,-0.4993414626244371,0.2287148458791209,博爱县
2015_02_24,0.1946771187163108,271.21661201894847,284.21785034981207,279.7345197701848,101443.2727351931,270.28107968253164,95862.98893360236,5.142723624375256e-05,1.3005920184467736,-0.6012931252662438,0.23734559478021977,博爱县
2015_02_25,0.09157618286999632,264.3779944201011,286.37262434662904,281.13266333126023,101920.76882365679,273.8628760301854,96278.28596851656,0.0,0.40523776830093894,-2.6037571736711085,0.24166096923076924,博爱县
2015_02_26,0.1402828349454327,265.2094296717251,282.7869698506852,279.13325190059675,102366.99385053046,274.90181488150927,96631.04467915987,0.0004906425659231448,-4.141237454650698,0.20067407900875367,0.24597634368131868,博爱县
2015_02_28,0.17577182892967472,264.1503942492182,282.1450485212842,276.5478938782941,102757.30989704764,270.77293305748077,96998.75185562047,4.836514826412213e-06,2.4057005336172947,-2.0506905728430858,0.2546070925824176,博爱县
2015_03_01,0.31170194558251185,263.22196080458275,285.4554340772657,278.4296840215983,102090.06179363815,271.28101624270664,96436.10403922955,4.284083843231201e-08,1.8587068194849197,-0.3630417989585871,0.258922467032967,博爱县
2015_03_03,0.4631728301059737,256.42379766252753,283.088481533073,277.13329923422907,102478.11078188685,271.5362585874303,96702.6717299433,0.0,-0.646495275932519,-1.6984350683279108,0.26755321593406595,博爱县
2015_03_06,0.19785055159146406,268.25713226122764,283.5380124450097,278.50118147010335,101988.74322499991,272.0132688457135,96318.66623124489,4.284083843231201e-08,0.8719666790552144,0.293330878391905,0.2804993392857143,博爱县
2015_03_07,0.2295259043581557,270.13699933616886,286.8769720483132,281.31819795660937,101838.64113287859,273.60830308528944,96235.80966735502,5.41638411912648e-07,-0.5504065420874019,0.1090007123551597,0.2848147137362637,博爱县
2015_03_10,0.1770026492981295,263.8511861175159,280.74467582220797,276.1094930469267,102924.7243242313,271.4709699822547,97154.64183681368,0.0,0.8714562534371616,0.4830911484573763,0.29776083708791207,博爱县
2015_03_11,0.16416426008017862,262.9262947727413,288.4374786297749,280.26549479882203,102121.40542657835,271.57297147210573,96513.83989845279,0.0,1.1952650000526406,-0.906979651625936,0.30207621153846154,博爱县
2015_03_12,0.25158196667313526,268.03169332141704,293.4594816275697,284.2158009475621,101337.49440795057,274.9436070547668,95840.34310816994,0.0,1.5056307607407118,-0.3043707163927996,0.306391585989011,博爱县
2015_03_13,0.11806068580255953,265.5769504268838,289.95192447015285,283.72142830919927,102108.61405894942,279.0597714348991,96512.10198766479,0.0,-1.4758222307372877,0.32209669662383406,0.3107069604395604,博爱县
2015_03_14,0.14633428852314262,267.2899855247877,288.6982388776833,284.4119280483363,101888.14852724712,279.64701459279064,96330.17756207673,4.211796329477643e-05,0.13267053745480115,0.3664055914041512,0.3150223348901099,博爱县
2015_03_16,0.1557687895168573,279.9510579225405,291.7599643185191,286.75606511953663,101179.16818788332,281.4438931580044,95683.51656557045,0.002973838556627441,-0.7698333775340408,0.29503498817808044,0.3236530837912088,博爱县
2015_03_21,0.4577187535552331,269.46260090941814,295.46643604190996,288.37586040730844,101958.45278896672,281.67003375022335,96448.99938072922,4.284083843231201e-08,0.12716420778895654,-0.9595785498938804,0.34522995604395607,博爱县
2015_03_27,0.5950286211646568,277.3842687070068,289.80863864587167,284.9322142304006,102000.48414565445,280.0411197385744,96458.64341053914,0.0,1.554573003643928,0.02138167133249942,0.37112220274725277,博爱县
2015_03_28,0.4836028405364272,273.57783916829686,297.7463543676311,290.1875976094167,101500.94018628266,284.14234152468885,96038.1254441315,1.862645149230957e-09,0.7695400990507975,-1.924482547524965,0.37543757719780224,博爱县
2015_03_29,0.2865949002873427,278.47263034585126,295.4554428648508,289.7958517077129,101216.42383035037,284.78098739683304,95747.80731361119,2.705783258354923e-06,-1.9815775404276201,1.076196560449183,0.37975295164835166,博爱县
2015_03_30,0.4533982501366536,285.2078648395594,296.14516774620523,291.43991515162725,100641.3868744722,286.9002040295141,95212.54197286745,0.00012142468216834617,-2.229513613362761,1.3800471872157005,0.38406832609890107,博爱县
2015_04_04,0.2426910730392564,281.5883092094459,286.165419733708,284.5384173945347,101345.25040059487,282.2712072722881,95796.74042467485,0.00013061633143578272,0.19628152307839894,0.27828000947229337,0.4056451983516484,博爱县
2015_04_08,0.5329781988174161,276.35860581565345,286.06128814914626,281.7179393324,102281.54173748886,277.88888054812827,96636.66329676294,0.0,-0.46570272392627426,0.8089363726409631,0.42290669615384613,博爱县
