Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.4648708346564565,258.82388456636653,279.62588502315793,273.82604987874663,103105.830154084,266.84051469134454,102300.4982912304,0.0,1.184898958887982,1.6481235544991226,0.004315374450549451,民权县
2015_01_02,0.43899235772425,264.538405557315,281.4495531031116,277.02038024823094,102723.08353681119,269.27610023327924,101926.08358933184,0.0008387304243265969,-1.5161914150427984,0.9805055362409305,0.008630748901098903,民权县
2015_01_03,0.41744653334779847,268.5529474372106,284.3506000709063,278.037267928039,101668.00184243107,272.5026653906785,100889.24641673587,0.0,1.0867332215959298,2.6186653331091394,0.012946123351648351,民权县
2015_01_04,0.41605892709035686,272.8075266182722,286.77482418194404,282.38647231436477,101389.94810948483,272.52892764244905,100619.3582317432,4.893133252525727e-07,-1.4198049410890354,0.5673347233496359,0.017261497802197805,民权县
2015_01_07,0.4062809661075073,266.5869041188442,281.1200450777858,274.4513169140296,103078.6092052754,270.56190805954924,102280.04578357041,0.0,-0.5193383131724711,1.3633551085915099,0.030207621153846155,民权县
2015_01_08,0.3777099375734533,268.4924351479849,284.0694392381565,276.7710322919371,102951.73071564663,270.10780165476496,102162.89039721338,0.0,1.3582309923402571,1.3883991897765455,0.03452299560439561,民权县
2015_01_09,0.41248529634213615,267.56868551654844,286.7446697412084,277.6046738311426,102876.7377420843,271.6161267612138,102091.26285056368,1.862645149230957e-09,-0.6456619542716001,0.03588147497646862,0.03883837005494505,民权县
2015_01_10,0.4269758242924528,270.6450187564413,287.30684695069,279.5773094261866,102504.08522001958,272.27331270744327,101724.1197542853,4.284083843231201e-08,2.407582335142889,1.7906566719029793,0.04315374450549451,民权县
2015_01_11,0.4247157367215593,268.3912511683476,285.1341626604309,278.0637155348292,103172.82627273162,272.3569553418477,102376.10883907258,0.0,-1.9057814836687468,-2.3280951630510462,0.04746911895604396,民权县
2015_01_12,0.36574544317258817,268.97083932758375,279.4649961887768,274.96062687168734,103441.75743854318,271.73279526576835,102634.34212363453,0.0,-2.5107774095656388,0.1747459400385819,0.051784493406593406,民权县
2015_01_13,0.38543889348823485,271.7181863512913,280.90294112730794,276.47319091245384,103018.16368013385,271.91304262283523,102218.35463907855,4.854471584738663e-07,-1.2207791576106983,1.469764643885993,0.056099867857142854,民权县
2015_01_14,0.39084144742907795,272.9095438290473,280.16245177197425,276.69337611546786,102894.49947205646,272.93266022753176,102097.68149620609,6.876926062040575e-07,0.44595649642616625,0.588457422093147,0.06041524230769231,民权县
2015_01_15,0.2692369403611739,272.68494606589326,279.6264621716424,276.2369120344682,102712.17006473726,272.58399922796593,101916.08033495418,0.0,1.0932800273093244,0.8814654670508466,0.06473061675824175,民权县
2015_01_16,0.3736554955594192,264.4611044594892,282.70310241745307,275.50961525227586,103194.85645760769,268.8056936591338,102394.72195036702,0.0,-1.0398908128112643,-2.025730856973707,0.06904599120879122,民权县
2015_01_17,0.3449484355857405,263.1058501751287,279.98321270422844,276.4233612865499,103080.63807472141,269.1581154724694,102278.46605126349,9.032893609901961e-08,0.7521634812042416,2.400612189021569,0.07336136565934066,民权县
2015_01_18,0.43047115182940815,263.62969247751806,284.840861740106,278.7582184746837,102594.23366741023,270.56242197234684,101808.86057516054,4.0978193283081055e-08,4.460171451312197,-0.4544705017352425,0.0776767401098901,民权县
2015_01_19,0.48062635943235316,263.7013482266136,286.0250781423809,280.9274436701313,102408.94414183337,271.00010021543085,101626.18759990385,0.0,-1.0083858949273368,3.4678562803015787,0.08199211456043956,民权县
2015_01_20,0.27390936570302493,269.72072160135497,286.15036098523603,280.4603689823032,102079.08382151146,274.96697183222744,101298.08529989113,4.054755503894398e-05,0.3434277796413166,0.5488992154079738,0.08630748901098902,民权县
2015_01_21,0.41888049371825226,265.11298624692193,281.19219887857616,275.20110071273007,102807.88614331961,268.97320011528785,102006.88244516234,0.0,-0.5845263410319373,-2.8163981995194143,0.09062286346153847,民权县
2015_01_22,0.4455091884675647,265.8186651594733,280.6337817196335,275.33475973733414,102437.25362051596,268.8575824050169,101639.67964098479,0.0,-0.05769260309098123,2.251857629511317,0.09493823791208791,民权县
2015_01_23,0.42216255954128845,269.11058227493504,284.05910669599683,277.7350631573808,101907.86782786327,271.54678677524123,101124.5668420599,2.0226264353103652e-07,-1.0022401568293176,1.3026478756898916,0.09925361236263736,民权县
2015_01_30,0.41425132919881497,264.0458441238184,277.02908934849853,273.10307331252403,103700.24734012257,268.9768108955125,102885.667187402,0.0,-1.3987462786019431,-1.5427145881589235,0.1294612335164835,民权县
2015_02_01,0.4518780574893133,265.1206535953268,277.16337083766473,272.7687516181656,103391.47662702984,268.6014138300149,102580.51788567897,0.0,-0.790822735916742,1.555115167820297,0.13809198241758244,民权县
2015_02_02,0.44897914770668407,269.0172514258385,277.41746113418577,274.2914985717492,103292.42485870846,269.2832952464123,102484.15188724153,0.0,0.5956117397459754,0.4466375912784945,0.14240735686813186,民权县
2015_02_03,0.3502625199675978,268.67438748221304,280.26409793054495,275.2028150965214,103267.32800300716,270.7492092538193,102466.152669893,0.0,1.1387193152514203,-1.1795470715334155,0.14672273131868133,民权县
2015_02_05,0.4470337475882606,263.5248205837225,280.42893212407705,275.38857857460573,103142.82807804743,270.51228360639846,102342.5429935867,0.0,-0.11053108941688229,0.44316010733507905,0.1553534802197802,民权县
2015_02_06,0.46981061497454263,267.63012903316564,284.93226354713175,278.51890691829516,102328.36095734284,272.85818180511694,101542.44229281215,0.0,1.5727789747303913,1.8903092519060574,0.15966885467032968,民权县
2015_02_08,0.45932544023927063,259.80936631051304,277.71342001426206,273.0097808819197,103523.92069395911,269.2673163996311,102711.22345719892,0.0,-1.2856872558875878,1.031145268741937,0.16829960357142856,民权县
2015_02_09,0.46332319305361946,262.9805735055097,281.1720595679057,276.1179616366288,102831.3854476313,269.5588109337647,102032.71447618351,0.0,1.4194503282160815,3.0668853033114996,0.17261497802197803,民权县
2015_02_10,0.4500862611175958,268.01256512546524,287.458098413157,280.76956639420723,101612.56614986702,273.2117470400981,100837.18129333867,1.862645149230957e-09,2.785913435085342,1.8100367476985284,0.17693035247252747,民权县
2015_02_11,0.3760995773675445,264.71822422790603,287.09509888798925,278.9773470059263,101677.62497155336,271.31276181124764,100902.12303400486,4.284083843231201e-08,-0.11960655380133295,-2.223408412314001,0.18124572692307694,民权县
2015_02_12,0.42103121902444696,266.556442551723,286.1935057001883,279.04782115654183,101854.69827079789,271.78374463038074,101073.5898112809,0.0,-1.263342553145939,-0.04682424764702061,0.18556110137362639,民权县
2015_02_13,0.34140555060073147,268.6036517682265,286.74851241008395,280.22420266085186,101813.6640481272,272.2531290649929,101036.90018396595,0.0,0.00365412350140602,2.201453944474527,0.18987647582417583,民权县
2015_02_16,0.3278108859984934,273.32520578226246,287.7651421212837,281.1532143099419,101934.84344014977,275.7255086275098,101161.39151257892,0.0,-0.5397571905138947,1.0513290124303467,0.2028225991758242,民权县
2015_02_17,0.412302590121163,273.90437565311305,288.7865820619504,282.5173704978335,102266.2214266964,276.7872497579107,101487.54447160919,1.862645149230957e-09,-2.112512402997073,0.015688426790349968,0.20713797362637362,民权县
2015_02_18,0.30466642648446846,270.4629155357248,284.53839530839076,279.5370128380087,102917.68206656285,275.84783945308783,102125.6049089346,4.284083843231201e-08,-2.6817007759622693,-0.40630824774589624,0.21145334807692306,民权县
