Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.367726762593808,259.3147657891563,280.30684387382456,275.0369099333339,103196.3647902755,269.7633481035163,101040.86781291213,0.0,0.8792450469494449,0.8358271109985133,0.004315374450549451,泌阳县
2015_01_03,0.36768820004593034,270.0433733435075,284.2103031270438,278.5567033682601,101733.37741935281,273.40982412522465,99640.95573205313,0.0,1.6527003468786672,2.1101517055204737,0.012946123351648351,泌阳县
2015_01_04,0.32976392228348955,275.34214682173575,287.1110735140981,283.1482689334955,101244.23612644513,273.7855070947647,99188.25714580588,3.950316795607783e-05,-0.844843859483828,0.18035714400837927,0.017261497802197805,泌阳县
2015_01_07,0.342329272154189,270.8784445574538,282.3469806703795,276.67367782643754,103087.05486980938,272.1087577839789,100950.43887407961,0.0,0.9896117117266047,0.9065204382969908,0.030207621153846155,泌阳县
2015_01_08,0.3426851047610425,274.2932871196418,284.76096796391465,278.894768526618,103073.32740041359,271.795765104797,100954.55946871302,0.0,1.9882430674281415,1.232923504634696,0.03452299560439561,泌阳县
2015_01_09,0.22578345372690592,273.12113430294755,286.58507608803916,279.6467665083671,102895.05988740371,273.8376372116539,100793.83226603386,1.862645149230957e-09,1.2341613594802736,1.0982047081087418,0.03883837005494505,泌阳县
2015_01_10,0.362390818927477,274.3040896489882,286.9005041627073,279.8148343348131,102638.6931796381,273.10583356836923,100541.20819462053,4.284083843231201e-08,2.0844613459681147,1.7931256783905087,0.04315374450549451,泌阳县
2015_01_11,0.3407470009917542,271.7828780529896,287.0950964786131,280.15636962988634,102985.61077957181,275.06489704635476,100863.75732302453,0.0,-0.9900660290957347,-1.9015271118423693,0.04746911895604396,泌阳县
2015_01_12,0.17746902804100279,271.87350773500384,280.64625640943336,276.4695355391434,103228.23488838683,272.6793589822554,101067.2651135559,0.0,-2.4228009804043595,-1.7965359574418585,0.051784493406593406,泌阳县
2015_01_13,0.29845777025253883,273.37867760896114,280.5083393098598,276.8833904049706,102924.03555095312,272.87405641403586,100774.74295576678,6.540628014818843e-06,-1.5516897580026727,-0.6297581811911793,0.056099867857142854,泌阳县
2015_01_15,0.2999140595615252,273.8036472689655,279.8056976264612,276.29927540630126,102786.39492022221,271.94967450104303,100652.94966065166,0.0,0.8162377933237249,0.38094343328837754,0.06473061675824175,泌阳县
2015_01_16,0.31719442403140596,268.360691492434,284.966074389195,277.52345673635125,103117.77880488019,271.5046954642047,100986.45609138305,0.0,-0.7225297186891163,-1.6608593322697416,0.06904599120879122,泌阳县
2015_01_17,0.3418001782193032,266.55733832004586,281.20940827568984,276.78324040639,103136.36577925102,271.84185684509725,100989.36825251672,1.247409818878357e-06,-0.9367311945732968,1.0184525614428033,0.07336136565934066,泌阳县
2015_01_18,0.3699438233664301,268.3236203535462,286.4908465808525,279.43203126085524,102785.94872674179,272.9386251287798,100678.96742027423,4.0978193283081055e-08,1.9948714356831994,0.7761966673380772,0.0776767401098901,泌阳县
2015_01_19,0.2934449184134983,271.81537885656974,287.2964261701297,282.04350882702335,102360.94859747885,272.7766060201511,100269.41578022396,0.0,0.17637666584799946,2.344921067318375,0.08199211456043956,泌阳县
