Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.4368295463876793,255.93675436925926,278.7923458356752,273.097715521395,103035.3353259736,266.082943393235,102360.08690571871,0.0,0.6608087988389655,2.005308244037885,0.004315374450549451,清丰县
2015_01_02,0.4014388619323541,261.1238291465986,280.37669111153383,275.63909981311537,102720.9747052293,267.97299679202655,102051.5989466884,0.0,-1.0372080542989053,1.0704083806608475,0.008630748901098903,清丰县
2015_01_03,0.3676850788274138,265.5842120121029,283.8188964792678,276.8314867679765,101595.01215608596,270.34517840962707,100941.94118212254,0.0,0.45915641155360265,2.73482481957574,0.012946123351648351,清丰县
2015_01_04,0.3712874703551696,271.2015747315641,285.1018215388773,280.38409953654116,101459.09282941723,270.2786888074354,100809.21585622033,6.699971963884106e-05,-1.0583407195747483,0.09332469943688691,0.017261497802197805,清丰县
2015_01_07,0.3997435705634932,263.3675648552013,280.4129894836803,273.5229846886821,103072.99598960736,269.8581502285598,102400.94858820512,0.0,-0.7958817362627262,1.3627910263186083,0.030207621153846155,清丰县
2015_01_08,0.3329827045093559,266.3208258863231,283.4570315399942,275.025047978807,102909.17833987265,269.6847199437456,102247.03709312488,0.0,0.6686311481511295,1.6956525032217564,0.03452299560439561,清丰县
2015_01_09,0.36561877662393,265.7834869385148,284.35166086313535,275.85950572893597,102879.8311893101,270.2905079543358,102217.3932517935,1.862645149230957e-09,-0.6080979076033025,-0.021566397167979954,0.03883837005494505,清丰县
2015_01_10,0.3487067433948836,266.13023678882746,287.239599182323,278.5477721878324,102426.96232533825,271.47423073934044,101774.01312049163,4.284083843231201e-08,1.387593001135772,0.9025780942916808,0.04315374450549451,清丰县
2015_01_11,0.261702445938548,264.9495192979814,282.74747037375016,275.2279319458982,103345.90128774148,268.17893290321325,102671.91456713753,0.0,-1.2206298444337893,-2.8224491884019773,0.04746911895604396,清丰县
2015_01_12,0.3413806382627992,265.8253065924212,278.5989835600303,273.80332816197216,103500.90925834405,268.8452884225551,102822.94260841493,0.0,-1.3021202165428387,1.28010109913247,0.051784493406593406,清丰县
2015_01_13,0.33224824413743137,270.30988779777704,279.9642770398702,275.43294248311076,103033.1243658625,270.21472483521046,102360.84681383753,0.0,-0.9235352702674965,1.9318893221018396,0.056099867857142854,清丰县
2015_01_15,0.14009830741572724,271.1913894311322,278.6908966971284,274.37837560971207,102680.03710495052,270.38159385058935,102011.91998437271,0.0,0.6548819465956617,0.9425655283428519,0.06473061675824175,清丰县
2015_01_16,0.2947143083839571,262.1774957680162,281.44288457258955,274.50433270245327,103237.640668077,267.35557859113436,102564.15094112868,0.0,-1.0506521306603174,-2.043832278678694,0.06904599120879122,清丰县
2015_01_17,0.3177076759429601,261.2122828732826,279.86239042377684,276.65781454763857,102940.79688805605,268.29415554491504,102268.60563704779,1.6510408096770136e-06,1.4181408613724833,3.643670060232477,0.07336136565934066,清丰县
2015_01_18,0.383943837639457,261.40893051557515,284.9375509054507,277.468144851772,102476.62712184901,268.934716172206,101819.11693887548,4.0978193283081055e-08,3.6844142070319585,-0.435584254197374,0.0776767401098901,清丰县
2015_01_19,0.4389695350137792,261.77316303861727,285.4180942658246,280.0045998817609,102330.79533416714,269.9232542117481,101673.90190428717,0.0,-0.49148928236180867,3.7827300904528243,0.08199211456043956,清丰县
2015_01_20,0.3090520491998678,268.02999275699096,284.1829555073539,278.70480908473206,102152.26907078204,273.86749223760705,101491.27453210193,0.00023600815521847025,0.4380590912473111,-1.310733615998282,0.08630748901098902,清丰县
2015_01_21,0.37228997492210836,264.09482665073955,279.8567106989286,274.1334814693625,102851.03296453344,267.4187717005882,102177.52853016653,0.0,-0.942121263971137,-1.9964700842732357,0.09062286346153847,清丰县
2015_01_22,0.3810299964528682,264.43305702225393,280.5243232063404,275.32786214812177,102338.8462200715,267.9016698753578,101669.98539490283,0.0,0.377337393726983,3.6348906743524494,0.09493823791208791,清丰县
