Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.6276456658073098,259.74054108925435,280.224386736834,275.1615126695288,103154.44907467066,268.95687625925433,102001.98738129054,0.0,1.300439500431098,0.8947478778653566,0.004315374450549451,舞阳县
2015_01_03,0.5570088768631588,269.92633482318945,284.38765264053956,278.7427971637296,101696.16933256213,273.08635019855063,100577.10649816191,0.0,1.596431940782763,1.9792024061550746,0.012946123351648351,舞阳县
2015_01_04,0.5106517916483538,274.5073229276467,286.55656324528684,283.1130590455275,101291.5169010645,273.1496078718431,100187.86878663707,1.8660559090912086e-06,-0.7985984388056129,-0.2528676955430924,0.017261497802197805,舞阳县
2015_01_07,0.5813597719114317,269.06015361601635,283.43064500670926,276.01253400869444,103058.43885519517,270.7701104485661,101918.77265362845,0.0,0.9251742460455342,0.2682450916652054,0.030207621153846155,舞阳县
2015_01_08,0.6475085981212456,271.0140539773762,285.9881158369516,278.64607626109984,103024.40270505467,270.98684338659626,101895.23289999102,0.0,2.3273216161123216,0.3797453281856845,0.03452299560439561,舞阳县
2015_01_09,0.4466697930533935,271.07032232281654,287.49997451775823,278.63981103294964,102864.5982359123,271.2760499658417,101743.76075239788,1.862645149230957e-09,1.4679235261830264,0.4065922685128243,0.03883837005494505,舞阳县
2015_01_10,0.6084430015521604,273.91092590623526,287.48303169405455,280.0063536564863,102583.3893426812,271.26988575680434,101464.54678763443,4.284083843231201e-08,2.028059661603038,1.5172168403866488,0.04315374450549451,舞阳县
2015_01_11,0.5862111747191614,269.1115253135987,286.2463130406951,279.7017568754322,103059.60186706185,274.10185172345103,101921.69731440005,0.0,-1.184976221707201,-2.653005869148547,0.04746911895604396,舞阳县
2015_01_12,0.5533230067245711,270.6673666124167,280.3162960290874,275.85753292751656,103314.2406092739,271.87791026354927,102158.03116921875,0.0,-2.0218418126814615,-1.4491869972882483,0.051784493406593406,舞阳县
2015_01_13,0.21915820029027577,273.2871940545074,280.6003456311878,277.4956048550619,102964.16510413807,272.3781173581728,101814.70452030603,1.2074921047034037e-06,-1.3085711333137564,-0.14812225448880093,0.056099867857142854,舞阳县
2015_01_16,0.5901740286437633,267.2340220585731,285.3238645624662,277.47520849968305,103143.17322122511,270.04504124452444,102001.9006727768,0.0,-0.2870643834225714,-1.9858650328992495,0.06904599120879122,舞阳县
2015_01_17,0.47037369532545886,265.9212849107194,280.8372311100156,277.0838392788142,103131.93923808308,270.5737845931436,101984.46044007727,2.8973795039358e-07,-0.127272932735082,1.3913452483447,0.07336136565934066,舞阳县
2015_01_18,0.6131013374184269,265.09677749105714,286.2474725299487,278.78177018401175,102747.49748236616,271.6172677766421,101623.31773903934,4.0978193283081055e-08,3.0514739431307834,-0.6291404966187928,0.0776767401098901,舞阳县
2015_01_19,0.5969472475742651,271.23497028548684,287.74065811810306,282.0306886149767,102337.4636409428,271.3410384427846,101220.43470641327,0.0,-0.037228689607189176,2.6568675404170943,0.08199211456043956,舞阳县
2015_01_20,0.5776427579729524,268.9848476948821,288.0339473199999,283.3364548404922,102117.39617243102,278.9459290333838,101005.49497021799,0.0,2.4539853658749546,-0.15703158837708484,0.08630748901098902,舞阳县
