Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.5024329697139356,253.49769160423776,278.80033322826586,273.2103351291735,103010.95908151916,267.5227038231227,99626.46635776832,0.0,1.5610425569928137,-0.003067487572741611,0.004315374450549451,获嘉县
2015_01_02,0.4035536711066526,257.5322225542245,280.5958319856472,275.73331336353885,102692.15400794508,270.56888707392983,99317.13925051125,7.466065453781733e-07,-0.6269986500605975,-0.552722147914116,0.008630748901098903,获嘉县
2015_01_03,0.3892725331318556,262.8527569989483,285.51929653611586,278.25936978366985,101540.53251490896,271.3519266627305,98271.29915132605,0.0,1.1771704400588847,0.05049812760891786,0.012946123351648351,获嘉县
2015_01_04,0.3317045014074895,269.4044203311859,284.11211048014843,280.8268933063149,101383.72063583747,273.32830842995895,98105.39817183361,4.358339216407856e-06,-1.0407935133346906,-0.8796836829897744,0.017261497802197805,获嘉县
2015_01_07,0.39163799154726076,264.14077754534213,281.43969555049466,274.4411404460117,103023.75308773828,269.4604196283456,99635.71923356708,0.0,0.0723853958775113,-0.33142350989004327,0.030207621153846155,获嘉县
2015_01_09,0.3937118894474432,264.01832410274767,287.32046623932206,277.9377471017055,102842.82641608907,270.58700391386685,99511.15166734028,1.862645149230957e-09,0.49653326081524596,-0.7603128797160398,0.03883837005494505,获嘉县
2015_01_10,0.39810432382100674,263.69176733722986,287.7588905577082,278.1943824761437,102454.9031265318,271.0267756418565,99162.183109233,4.284083843231201e-08,2.0877917476272945,-0.5129164762605829,0.04315374450549451,获嘉县
2015_01_11,0.39029921705893483,261.5278307810145,285.38314141047954,277.9078932061437,103196.553406694,271.6503956351221,99825.13960228917,0.0,-2.139899505483713,-1.9388331293187544,0.04746911895604396,获嘉县
2015_01_13,0.3461690952028073,269.11723109067606,278.5388342014191,275.14307742583634,103008.2931931844,270.54429217901964,99595.47400966607,9.671093601025832e-07,-0.2300749531712101,-0.15087013868302038,0.056099867857142854,获嘉县
2015_01_16,0.43140589382383876,262.55327385346556,284.12823575851536,276.094510610139,103174.26197096596,269.2289937203946,99780.82034905966,0.0,-0.5527548584348276,-1.0650877151425264,0.06904599120879122,获嘉县
