Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2015_01_01,0.5475875465178328,258.3889059225702,279.9668884868015,274.45893611330195,103098.37857945381,268.64581568350343,101353.29092691401,0.0,1.394122780555653,0.7910555101000495,0.004315374450549451,长葛市
2015_01_02,0.45663407146785306,263.78154721458867,280.3150890462162,276.55977656655784,102694.39891960433,270.2391061952473,100961.11852788682,7.122690176387361e-08,-0.5813379520049393,-0.4713759042831116,0.008630748901098903,长葛市
2015_01_03,0.44168744889445677,268.2506822356947,284.675873128767,278.02099291935275,101640.3127494198,272.2857022623831,99948.20336499576,0.0,1.3880687080307954,1.7592890249183988,0.012946123351648351,长葛市
2015_01_04,0.4346276988858394,273.3754196324126,285.6776153649829,282.31335950586663,101336.2007635478,273.3596634599207,99654.93036945334,1.8874430773803782e-07,-0.7624274945742701,-0.39093008632797926,0.017261497802197805,长葛市
2015_01_07,0.4810682364536295,267.56501306778785,282.56485344964295,275.36642594087135,103042.62266235377,270.4051050129927,101308.10852880322,0.0,0.2892576064834971,0.14028818088377706,0.030207621153846155,长葛市
2015_01_08,0.5631204017609439,266.96723907577467,285.87750835494336,279.06190600543476,102961.36369317224,270.8522282546175,101247.28723998726,0.0,2.7464159505682675,-0.3026324932901287,0.03452299560439561,长葛市
2015_01_09,0.41573435398060565,268.75924840960465,287.8144476989845,279.0122296807552,102844.29034006763,271.14134063641563,101140.22286235166,1.862645149230957e-09,0.6098906642563274,-0.44958003044680356,0.03883837005494505,长葛市
2015_01_10,0.4751643811534059,270.11582846501904,287.71145347478955,279.3751177642978,102521.59576913969,271.17855710786466,100833.46458732114,4.284083843231201e-08,1.918959048961527,0.8713688639934145,0.04315374450549451,长葛市
2015_01_11,0.46607496396994924,266.28101313840966,284.7244686291202,278.5180301261104,103143.92017015922,273.0201555821535,101407.7855192999,0.0,-1.4848237863763,-3.0376466572482284,0.04746911895604396,长葛市
2015_01_12,0.268441469665887,269.0505362693184,279.0915380929147,274.6964055038182,103379.72078997357,270.9208877927667,101619.56192578672,0.0,-1.936126832023509,-1.0468540003878306,0.051784493406593406,长葛市
2015_01_16,0.47289509374071076,265.3507786634817,284.524419494041,277.13014254060965,103161.78004493397,269.9762905949151,101423.30038409981,0.0,-0.6462406136780285,-1.6276875467288028,0.06904599120879122,长葛市
2015_01_17,0.35986228087249716,264.62539612677676,279.9768201407935,276.9997418929112,103103.38332153168,270.0804298137243,101356.94912963887,1.0948988276220956e-05,0.923386055945739,1.7255458776830552,0.07336136565934066,长葛市
2015_01_18,0.47971613654729034,264.0956210029942,285.24176372864804,278.03595529345114,102688.92081689068,270.7328979873333,100978.98991575094,4.0978193283081055e-08,3.610346656267523,-0.7642999016101936,0.0776767401098901,长葛市
2015_01_19,0.4944283332618334,269.5709944668864,286.78333097562887,281.5003580578423,102313.66387418212,271.69376474479424,100613.70664455986,0.0,-0.15635467206840317,3.1267763437398153,0.08199211456043956,长葛市
2015_01_21,0.4461256590407249,263.7990355083569,282.94471811282017,276.69197191219774,102819.46308134352,270.7554395497882,101078.76312243489,0.0,-1.0951652564101952,-1.4688435706649214,0.09062286346153847,长葛市
2015_01_22,0.48192077405152295,265.519643500348,281.06336397810367,275.47518288884174,102394.23144558867,270.1550983652225,100659.83422686612,0.0,-0.03598488713702664,2.1870502972370174,0.09493823791208791,长葛市
2015_01_23,0.47794212082372917,269.16807922852996,284.3841566855109,278.70541718144545,101823.81196022018,270.6577962465874,100118.90717576865,8.876032681090677e-06,-0.8473241620528689,0.5805253497769721,0.09925361236263736,长葛市
2015_01_29,0.0507150491976682,267.4377343377595,275.920244156624,271.73713577740614,103129.53773278667,268.9581375655619,101361.73623753898,0.0,1.2327637851633944,-0.4325868684454039,0.12514585906593406,长葛市
2015_01_31,0.14095987926141562,262.25259968113824,275.2066638863224,273.058315506387,103760.83619246414,270.7477611517654,101977.34920079145,3.4964349830868684e-06,-0.5896907110434373,-0.11701900488414514,0.13377660796703297,长葛市
2015_02_01,0.3360388395727759,265.5594136940579,276.61927056064127,272.5719197344499,103356.83262441933,268.89492337686625,101583.11163091124,0.0,-0.11668086566997246,1.5430406901243976,0.13809198241758244,长葛市
2015_02_03,0.4374183577670355,269.2952070963854,280.5339758207395,275.4011985297365,103277.50704927077,269.92544637558314,101532.16553987507,0.0,0.9282051339610177,-0.49896024012015117,0.14672273131868133,长葛市
2015_02_05,0.47055175784664693,265.2863711284928,280.7791846490408,275.8271335797028,103125.90892750943,271.1950283447674,101385.22119464455,0.0,0.17171513456603824,0.4869861851406781,0.1553534802197802,长葛市
2015_02_06,0.556650176790321,266.9242908743877,285.57095179712724,280.0529585143265,102327.76861413257,272.58354361265924,100619.54850989634,0.0,2.441680255043306,0.6643812818798658,0.15966885467032968,长葛市
2015_02_08,0.5297323898642612,262.0423987182251,278.25985938395667,273.38153516232416,103480.7713488008,268.98590875545534,101709.69682794076,0.0,-0.9911498893870944,1.5242979313596636,0.16829960357142856,长葛市
2015_02_09,0.4968869667927832,265.2805076456279,281.2984058290518,275.6691942743005,102824.39541260328,269.60375937700576,101088.27916865499,0.0,0.9127744241338162,2.141613172497148,0.17261497802197803,长葛市
2015_02_10,0.5175232673204726,268.35895823152714,287.9679924734401,281.49100252814543,101688.88821266028,272.2401936250427,100004.39895339146,1.862645149230957e-09,3.5133883049242622,0.42659437913507114,0.17693035247252747,长葛市
2015_02_11,0.38603065217424737,264.76905435676747,288.181797360365,280.6481709647289,101706.02295759002,272.6157900121996,100021.2207438564,4.284083843231201e-08,2.31718213964647,-1.8459870459735694,0.18124572692307694,长葛市
2015_02_12,0.4352574544506528,266.27994075074463,287.33397694401316,280.10018438298636,101819.00434869334,272.641750147516,100122.87773341616,0.0,-0.0704413847063988,-0.2986482158075723,0.18556110137362639,长葛市
2015_02_13,0.38577731174628205,269.04494589021226,286.94873081243026,280.35588954313806,101775.8489676398,272.8784768410624,100086.02201700813,0.0,0.11511643315009645,1.7505863915410662,0.18987647582417583,长葛市
2015_02_15,0.11192242706002697,275.9717885062855,288.20322356268224,282.3855715466782,101792.04028103211,277.32737146075664,100111.74708167375,0.0,0.319003619580086,-1.5963184824140535,0.1985072247252747,长葛市
2015_02_16,0.41793064618830594,268.1115644755955,289.94843141500604,282.30040033379885,101879.93287308043,276.08954773293283,100210.63856582477,0.0,1.771422010375321,0.06706136304459707,0.2028225991758242,长葛市
2015_02_17,0.4713042981425927,273.5838826807334,289.1800929293884,283.1208721227908,102171.86159305128,275.7300143426423,100475.85817137039,1.862645149230957e-09,-1.8349435292544998,-1.166878488360199,0.20713797362637362,长葛市
2015_02_18,0.3196761581156436,270.9071687410282,284.5470132475539,280.7898354594477,102835.68290315286,278.3457015891154,101110.26616281008,4.284083843231201e-08,-3.1417824585572967,-1.140254035807481,0.21145334807692306,长葛市
2015_02_20,0.009809944109580852,272.85593491004676,277.18764342060496,275.0615794919526,101948.61244415751,271.97416589990786,100217.01667356334,0.00013168263566986342,0.6737093368299641,-1.5937027516300892,0.22008409697802198,长葛市
2015_02_24,0.3839181801916049,276.3141176505995,284.8469469385298,280.2250514987562,101532.16352367059,272.99922449243815,99845.03825882253,1.3165716769458116e-05,0.9864837651839875,1.94995974389095,0.23734559478021977,长葛市
2015_02_26,0.47476679173780323,269.4092527676039,285.2170651444205,281.69462959731476,102302.74613144103,275.6141480115839,100590.75741318047,0.00010201498062680067,-3.4787648551942376,-1.0547748252525027,0.24597634368131868,长葛市
2015_03_01,0.5188561152189464,268.57061828599245,286.4930937171139,281.1139216307153,102200.43516747809,275.1530083328518,100496.97373130279,4.284083843231201e-08,1.791317280595112,1.842908261305466,0.258922467032967,长葛市
2015_03_03,0.5743148062068556,260.5819458487073,285.50643796162865,279.76609779726107,102445.14440812047,273.8439030106992,100718.23405863439,0.0,-1.5305347106984872,-2.329953903247959,0.26755321593406595,长葛市
2015_03_06,0.5022768508964086,270.4490010128153,284.32476018759195,279.1684187064196,102121.96421361364,273.4235352571387,100406.63744515517,4.284083843231201e-08,0.6584051983034193,2.5652944174370083,0.2804993392857143,长葛市
2015_03_07,0.5936708145391338,274.00655222129154,287.387871867869,281.5478311092902,101947.15856663932,275.4818949105054,100250.36734223945,0.0,-0.3387281966325055,2.5447116554947637,0.2848147137362637,长葛市
2015_03_10,0.45045733801890664,267.86665500480365,281.8088162082947,278.15536247357846,103001.1546095533,273.6284331315877,101264.42698479179,0.0,0.5492591076316299,2.1591301907173155,0.29776083708791207,长葛市
2015_03_11,0.43597032082131704,271.6595734440862,289.5395310613678,282.9847031497417,102204.27320537901,276.7173482252147,100515.96175083598,0.0,1.0460762756931548,1.1254611906684955,0.30207621153846154,长葛市
2015_03_12,0.5495282073666098,277.3321292796445,292.9488304761012,286.4062460048255,101423.82848579367,278.3607632081905,99764.41289480463,0.0,1.5566450275416204,2.3071433299465958,0.306391585989011,长葛市
2015_03_13,0.24373279485656568,268.1296307679747,289.9353973613458,284.5723392882282,102096.32131573171,280.04317751088985,100413.3199814251,0.0,-1.89529617315997,-2.571268347963733,0.3107069604395604,长葛市
2015_03_21,0.5032765145608465,278.66996410413407,296.5341515199007,288.76493708078584,101992.6375008723,282.2195070616933,100338.48698510694,4.284083843231201e-08,0.10238362750448947,0.9868262414725418,0.34522995604395607,长葛市
2015_03_25,0.5898926043321965,278.16887998749485,288.8559821539826,284.6617956821311,102959.03090714668,281.94772914634126,101256.59752886949,0.00307089222463883,-1.6611593669648976,-1.2000608898974454,0.3624914538461539,长葛市
2015_03_27,0.6766920983400888,280.31258100405677,290.74960978283025,286.7959532270954,102085.9234128067,281.45602437749324,100417.9180864183,0.0,1.4216832709271574,2.3833325051693235,0.37112220274725277,长葛市
2015_03_28,0.6602199330192046,281.54182245393554,298.36911454043315,290.75641965721246,101501.38345730532,284.64119180558987,99864.29496219927,1.862645149230957e-09,0.6578637497461964,0.6977763125522699,0.37543757719780224,长葛市
2015_03_29,0.540989111939387,283.0602907401186,296.2839484083621,290.3798049466222,101247.94180045385,285.45092899940596,99607.79197236507,4.284083843231201e-08,-1.2512211188536841,2.607682550440994,0.37975295164835166,长葛市
2015_03_30,0.6773625586718806,287.6271615408465,296.0937635905806,292.475046863603,100668.83706462475,287.5294225635754,99041.35795298584,0.00032358206209617515,-0.9713401822693738,3.172161995508599,0.38406832609890107,长葛市
2015_04_02,0.3338755342667594,279.99540879696497,287.93200282882134,282.5992342203822,100394.79010245328,278.03265421153236,98736.44465762572,0.0,0.029999342169690624,0.18759150510295047,0.3970144494505494,长葛市
2015_04_04,0.24089421348511303,282.94550545688145,288.31340833657976,286.36441413765783,101326.93339343098,283.5689161847392,99665.03609532307,5.931554760518969e-06,-0.6271111691600493,-1.3628664952957872,0.4056451983516484,长葛市
2015_04_09,0.4085741782059977,280.9305860922006,291.10222030325866,285.86953945975785,102147.51768746015,280.55684363187,100472.98155254756,1.2922391020150911e-05,0.3016101942869062,2.0056172897802482,0.4272220706043956,长葛市
2015_04_10,0.7023519108819782,283.78533479517097,294.8661445545176,289.6723466385472,102105.75596459948,284.45781006311785,100444.7872337265,0.0005751831084736434,0.07231888849086918,2.575451455507476,0.4315374450549451,长葛市
2015_04_12,0.5701902045825445,270.84119647721377,291.0515933954845,285.315820367878,102524.68948476888,278.7867616112628,100831.45289168705,0.0007843927800918105,0.5087473206594152,-3.1334440432903383,0.44016819395604395,长葛市
2015_04_13,0.5315129443645075,273.5588522308477,287.088288417079,282.5286603398907,102292.55564321116,278.70121056238054,100599.40647086111,1.6192059177437517e-06,0.7110796057911678,-1.11780025657626,0.4444835684065934,长葛市
2015_04_14,0.7023290297628774,277.5423810384603,296.30936663850605,290.4214488321397,100942.98171190871,283.2078773959168,99309.11147114406,4.284083843231201e-08,2.4718956196792052,2.4643580789022166,0.44879894285714284,长葛市
2015_04_15,0.611872896437873,282.84694032353724,300.4353881428008,293.75867283013815,100603.15247600822,288.760138089793,98982.61676687242,1.862645149230957e-09,1.776345299159504,2.2899208486274616,0.4531143173076923,长葛市
2015_04_16,0.5502495252237098,273.86213868915496,294.3905351572772,289.3854847460202,101379.06794864759,284.53573468075837,99733.20886585843,1.687591020336917e-05,-2.2305594690562045,-0.2974547325291262,0.4574296917582418,长葛市
2015_04_20,0.7519708266051065,277.51261523862024,292.73630060274434,286.92657417007905,101728.6274514725,281.40167616329785,100071.81526383583,7.818462169237731e-06,-0.07381286683928574,1.016486052566549,0.47469118956043954,长葛市
2015_04_22,0.707234421593732,282.82502663608193,298.3534492004703,292.4497266431983,101933.09477779912,286.46190548356145,100291.55809209307,0.0,-0.24656573128917694,0.7562315546800227,0.4833219384615385,长葛市
2015_04_23,0.7422105276519917,284.14206193516964,300.31640599454323,293.99732690494056,101735.57218706001,287.51450040984463,100102.41368413769,0.0,1.128751476010708,2.2116675927802634,0.48763731291208795,长葛市
2015_04_24,0.690662918904975,286.15819826321587,300.4599252844156,294.23151782637035,101936.4267129274,288.2682417753122,100300.66299336686,0.0,-0.356513668383114,0.6759543434377128,0.49195268736263736,长葛市
2015_04_25,0.7478642322824208,285.7300245966052,301.5777593568169,295.303533199719,101692.70239570807,288.9918667484354,100061.22895333706,0.0,0.32572004378393404,2.5325198690981607,0.4962680618131868,长葛市
2015_04_26,0.6932616014793536,286.46153793322884,300.2221423796711,295.79103868454,101124.4067365432,291.000015889203,99501.49982647244,0.0014324341855973968,0.6995293011777516,2.760662086416486,0.5005834362637362,长葛市
2015_04_27,0.7385801290314593,287.5068015151851,302.6752319842213,296.26108000156177,100529.91435479501,291.1748770697489,98921.72918377732,0.00012255691809859773,1.804489283864665,1.0379362346447258,0.5048988107142858,长葛市
2015_04_28,0.6566587852764634,286.28078418113967,302.24124775808264,295.2493776849531,100993.12772597278,288.70542839078144,99369.2243146331,0.0,-1.237949397687352,-3.010757186111089,0.5092141851648352,长葛市
2015_04_29,0.7188127170238325,287.0888863317609,300.1049611017319,294.73673581113457,101269.06848806798,289.0211258398522,99641.26361396459,0.0,-0.5439951839534508,1.1384745849491698,0.5135295596153846,长葛市
2015_05_01,0.5549692479006677,289.43537826594036,298.259559849598,293.0621736292495,100687.41474217901,288.8295636894389,99059.6212712469,0.02941916111511325,0.37119971692185444,-2.757347217162351,0.5221603085164835,长葛市
2015_05_02,0.3696417884494746,288.11514448773534,297.03734426784456,291.6367689276571,101083.60767512192,288.1962008121174,99452.10494151314,5.52555502142388e-05,-0.08731146929799447,-1.0226609544950773,0.526475682967033,长葛市
2015_05_03,0.746486026572757,290.1072965124076,300.84877007098027,294.6573061039893,101333.65851506383,290.8324557834238,99704.49733645853,0.0002924774803006516,0.3081546283810668,-1.3608299563543451,0.5307910574175825,长葛市
2015_05_06,0.2512087712480374,288.2569022196085,297.6554939257356,293.0684222923119,100845.10785158578,288.34883237131857,99217.26446204545,0.0002387931694492346,-1.5427111126207813,-1.7223583442040864,0.5437371807692307,长葛市
2015_05_07,0.4213415397733316,289.09110436006443,297.37499239802776,292.8511405862392,101139.97256708494,288.6842493408414,99505.05444425634,0.019486380609455924,-0.6303246029371579,-1.7858930445169652,0.5480525552197802,长葛市
2015_05_11,0.7231169626722552,277.1196871529595,295.30031144947503,290.59865766968323,101053.34316619905,286.279368754668,99418.66594128362,5.451550684439938e-06,4.275769437062528,-1.1250819984051605,0.565314053021978,长葛市
2015_05_12,0.6696058076595828,282.4015429619072,300.7437472215911,295.31661271435667,100414.25077243897,288.7808960526743,98801.25783522408,0.0,3.2731721270136003,3.1424029481745714,0.5696294274725274,长葛市
2015_05_13,0.6657022477802714,289.8093146468744,302.8233378434788,297.2685987861974,100017.67642706954,292.3320136959375,98417.700817628,1.862645149230957e-09,1.5883278089466286,3.170995317630388,0.573944801923077,长葛市
2015_05_15,0.6342202296490087,284.27307430243104,301.00946260598164,295.4857015059923,101263.63281876751,289.46136843786167,99636.6723652848,0.0,-1.4755400259070084,-2.9132897094012713,0.5825755508241759,长葛市
2015_05_16,0.7832613568861284,287.61548132407427,300.57996336939624,296.5431800233076,100960.55006650393,292.8877566571958,99339.13208978152,5.620786042704745e-07,-0.19006122025773092,2.714823792121389,0.5868909252747253,长葛市
2015_05_18,0.6163410858851931,287.8417431791157,304.65244043121476,298.75444018874106,100302.74995075351,292.91360468544497,98703.43960325087,1.862645149230957e-09,0.14010125092359135,0.22511265061224284,0.5955216741758241,长葛市
2015_05_19,0.5862820205409125,284.1506197958421,303.5893163030366,298.5769056296761,100851.04921890238,292.96171240933415,99237.14729939315,1.3756370354756344e-05,-1.8874601047637005,-2.1939310908940133,0.5998370486263735,长葛市
2015_05_20,0.6057165436593465,279.79896588168174,300.4457350509991,294.61590483099843,101576.13564412462,288.8543393285682,99944.71428412295,0.0,-2.829964790539511,-0.7554608777388558,0.6041524230769231,长葛市
2015_05_22,0.4747860485180247,286.1264265503025,300.3099346910246,293.63487280924073,100970.57450671433,288.2025350530857,99346.53715119568,0.0,1.1258384101244054,0.9379448489017607,0.612783171978022,长葛市
