Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2016_01_02,274.06997288795236,286.0633849446944,279.43576611870316,101882.9036531905,273.52398037661584,95560.27072373545,0.0,1.1974480842690982,0.38722740546557555,0.2802766987185328,0.008849556619718311,南召县
2016_01_03,272.8180774264635,286.56638745852035,279.3151350208987,102051.8771775297,273.99060083210486,95697.1909120857,0.0,-0.19621070204290225,-1.062376500336238,0.26635900678190977,0.013274334929577464,南召县
2016_01_04,271.8697682240712,277.56644882190216,274.75729081979404,102515.44143335694,272.33611846675217,95967.70118847674,0.00011092747966584856,-1.2633311884484386,-1.4887997901302972,0.20753905748889726,0.017699113239436622,南召县
2016_01_06,270.90257433654745,280.3197807603806,275.5038812782869,103013.00384109406,272.6059011564863,96457.65780305227,2.830229808863216e-07,0.34530352009435533,-1.383105680548812,0.15478852236000162,0.026548669859154928,南召县
2016_01_08,270.74649750418484,277.712129926796,273.70837592037674,102685.48159189835,270.3097559529713,96113.96079242068,1.0719187630382823e-06,-0.13214653763420361,0.16796544143917982,0.20451018572453605,0.035398226478873245,南召县
2016_01_09,271.2638356130223,276.1712502996583,273.2018313382596,102467.17016935098,271.19066977092604,95917.470951638,5.1603126006720845e-08,0.5705711255370648,0.38320205720646744,0.38175325582039416,0.039823004788732394,南召县
2016_01_12,268.1773625360143,273.18127492001486,270.9953134233523,103112.41373511359,269.10409397070003,96419.97483555242,8.217592566952927e-05,0.44470485220221423,-0.1606540861589323,0.19374584709819095,0.053097339718309856,南召县
2016_01_13,265.24470767997536,278.60934447993344,273.71385144300467,102626.05452748618,269.59135540766226,96053.72873269895,4.284083843231201e-08,1.2089271193495634,-0.8183868044481201,0.21158205344772396,0.05752211802816901,南召县
2016_01_14,264.5611276557927,280.85735619905694,274.58351377127326,102192.19112629366,269.8895757531802,95684.51097087524,0.0,1.0440988801603883,-0.7116480301459528,0.26584923294362484,0.061946896338028176,南召县
2016_01_15,268.6432097685845,280.9839080365872,275.84053386773274,101729.52402057245,270.13395094743106,95279.70302140864,0.0,1.0805735564298382,0.864923896130448,0.24209629316920536,0.06637167464788732,南召县
