Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2016_01_02,276.7720076672308,289.0810849675698,282.57284113052197,102056.64691752059,277.74363268591725,101494.09463145409,0.0,1.8201749470214217,1.9884086275667063,0.2650572782328168,0.008849556619718311,固始县
2016_01_03,279.56741074469136,289.3075925864292,282.55816796352354,102022.04600880646,278.4789732861913,101460.15183676493,7.001621350818127e-06,0.11675658152861533,-0.8092273932773383,0.29050258544681934,0.013274334929577464,固始县
2016_01_08,272.0282715000016,278.80931386775455,274.52060079516644,102751.84523339637,270.7930578964051,102169.29998459057,1.862645149230957e-09,-0.7741317953553014,-0.08544204925550418,0.2493438836932016,0.035398226478873245,固始县
2016_01_13,269.75890955852077,278.5155805742553,273.87397121244214,102678.22091846938,271.3750656904634,102094.43857330775,4.284083843231201e-08,1.8045938588331372,0.8129349928899963,0.24655417360528747,0.05752211802816901,固始县
2016_01_14,269.5647623098359,281.3629612987673,275.33820812089766,102260.87125021555,271.28867928428986,101683.62005025276,0.0,2.1609174362127503,0.7666004002472373,0.2914064616174332,0.061946896338028176,固始县
2016_01_15,271.33716562038535,284.5256763067617,276.8372174794065,101909.75768050704,270.9621607621792,101338.05076985992,0.0,1.1093453426475748,1.751014883981716,0.30162789254425193,0.06637167464788732,固始县
2016_01_17,271.4287128550127,280.8266926709979,275.26854617045626,102204.17926024226,271.20274168648166,101622.29655593993,0.0,0.07070736249323506,-2.394442899199361,0.16194938745441922,0.07522123126760563,固始县
2016_01_18,268.26976711197693,276.99778978246803,272.317857800852,102833.23521076133,268.735338986743,102243.36822530234,0.0,-0.6310483645418251,-1.0267201439216338,0.16117541807269525,0.07964600957746479,固始县
2016_01_19,265.1620369358698,279.443702023702,275.5547388518276,102989.74665131365,268.68340717952464,102400.83217312545,3.782450287863121e-07,-3.189052794429587,0.41610726624568417,0.29081315679078473,0.08407078788732394,固始县
2016_01_21,269.7189466744566,275.055766417974,274.0672806963627,103042.26182189718,271.75283992659126,102449.73363777522,0.0005364958994731583,-2.904488387822587,-0.9944018632564233,0.24351442275587296,0.09292034450704226,固始县
2016_01_23,256.9840990477559,273.10574484671787,268.8676685691785,104410.18132894677,263.64485132439,103797.64130728638,0.0,2.037758802396901,-2.8153145294064394,0.2244903541059511,0.10176990112676056,固始县
2016_01_24,254.61800543346678,270.35828559015636,267.131564395591,104330.45518193835,263.85986746706,103717.86700516359,0.0,2.6458090250695436,-0.37363152910782266,0.28512274465726617,0.10619467943661971,固始县
2016_01_25,260.26183495644995,276.86852431103574,272.43835187255206,103411.02379433619,266.3089823678226,102815.33155065059,1.862645149230957e-09,2.9450863988532863,2.1133714743515117,0.2904509430913254,0.11061945774647888,固始县
2016_01_26,264.9235144376177,281.6674954202101,275.6858821251587,102885.16629170193,270.09596168189483,102302.7644459362,4.284083843231201e-08,0.16181004081949085,0.8075412182720935,0.29672128325972524,0.11504423605633803,固始县
2016_01_27,269.3297484413816,282.35456886799034,278.7140909096727,102491.71532845416,271.8066316773704,101912.50082514132,5.596127734704251e-05,-1.6539691913490508,0.11914616666624626,0.2888208032844936,0.11946901436619718,固始县
2016_02_02,266.64107939298714,278.4122817305669,273.03884457072013,103135.23676328902,268.3968495713105,102546.89357798046,0.0,-1.1136848691934103,1.6600817282457443,0.2825418462596978,0.1460176842253521,固始县
2016_02_03,267.83347009831687,281.65801790595003,275.53824994639126,102893.34200880777,269.43706059794977,102309.53172369265,1.862645149230957e-09,-1.4321798869123255,0.33713254730170356,0.297323061451979,0.15044246253521126,固始县
2016_02_04,268.70103018906707,281.4854313705666,275.57482180012454,102877.30068949409,269.6375910224284,102295.95267568639,4.284083843231201e-08,-0.8889973180144947,-0.04810326910964588,0.236730764275181,0.15486724084507042,固始县
2016_02_05,263.6702354186319,283.2277036330049,276.72629565468196,103096.15738664003,270.4159029406238,102511.4199908372,0.0,2.335004411884501,-1.831120863487094,0.16741750520515836,0.15929201915492958,固始县
2016_02_06,262.2951477799351,280.95584953814443,275.88162267522534,103093.76902745328,270.56521548618304,102509.0547816022,0.0,2.491419144245333,0.7588089702560525,0.27392998965325416,0.16371679746478873,固始县
2016_02_07,266.6514553163525,285.4554939569473,278.56130538591833,102331.42842621575,274.14430592537457,101760.95186410329,0.0,2.960696011181214,0.8506507832966189,0.21803683204977112,0.1681415757746479,固始县
2016_02_08,273.0125491700237,292.3679505156224,284.6570248484812,101851.72392409976,277.5749730554471,101293.4604814224,0.0,2.76315570462029,2.67074175090903,0.28736597400896546,0.17256635408450705,固始县
2016_02_09,275.14037968735687,294.60207211116244,285.8440609148313,101672.63426817082,278.47342853351796,101119.89620217033,0.0,-1.3990608366352513,0.9048092427437935,0.2796746956289478,0.1769911323943662,固始县
2016_02_11,283.42024179693396,290.82124741154195,286.7197282620046,101188.54822893237,282.5976585767221,100635.28474009418,0.001658052863738745,-1.4958057738279795,-0.5633207927252528,0.3644555325743786,0.18584068901408451,固始县
2016_02_14,265.47943915944336,277.7081998428603,274.6565667505177,103389.5161859096,271.1464667846994,102796.52978937015,7.100192395876978e-07,0.7585775830554696,-2.295165393611672,0.2891530437823081,0.19911502394366198,固始县
2016_02_16,266.43523112168947,283.52560605119885,277.38057724681704,102754.65828301893,271.7325167668286,102178.61116972835,1.862645149230957e-09,2.8964368057153926,0.15717158944756868,0.231163749277019,0.2035398022535211,固始县
2016_02_17,268.6505669220397,285.9670487835425,280.5937711951607,102509.8651442244,272.6018069922596,101938.68881324095,4.284083843231201e-08,1.7947037352215158,1.5228051102966917,0.31412353243726593,0.20796458056338027,固始县
2016_02_18,272.49680902316544,289.3992616429209,282.751657706572,102264.23555858598,277.64552036883066,101699.06117286449,6.928303336829266e-06,0.08469264608043083,-0.3510007006119591,0.2734175452778522,0.21238935887323943,固始县
2016_02_29,269.57868154962375,286.5696419774462,281.22050666213175,103003.73564290043,276.3346649033321,102428.77366662523,0.0,-2.460703508465322,0.5214468971732223,0.31324480323912635,0.22123891549295777,固始县
2016_03_01,274.4890638854875,289.9095570227163,283.76350330223346,102363.98842021504,277.2495518486998,101800.13045050205,0.0007166968893043916,-2.1681163134469728,0.6454570421179573,0.2652217471361484,0.22566369380281692,固始县
2016_03_02,279.70517222740415,292.73916604166493,287.2128173912572,102036.877395148,280.5102217974483,101480.72545036998,0.0011082497277090043,0.25837195817367414,1.0211738334648717,0.2578304929719185,0.23008847211267605,固始县
2016_03_03,283.1124425192701,295.3439441691097,289.6226589763953,101570.32647956607,284.0541125003607,101020.32725817786,1.3512413641184807e-05,0.8343235026698298,1.9164141957625584,0.3095275469728948,0.2345132504225352,固始县
2016_03_04,284.16851603866303,294.76558246284014,290.2426521527482,101573.66796744338,286.3938918355724,101023.6851681805,0.0002486443740241424,1.4308150296867603,0.8869142022361525,0.3223131799860651,0.23893802873239436,固始县
2016_03_05,278.6743829769346,289.70667131800553,285.606302135984,101933.95918900019,281.86182810177746,101373.67561669262,1.862645149230957e-09,-1.0886718302807354,-1.6948935984805051,0.19301260022909508,0.24336280704225352,固始县
2016_03_06,283.62583573932613,294.48137172418853,288.71818291586914,101434.96873980603,283.00452451267813,100884.67870509998,0.0004055308089051032,-1.3169927510275272,1.3700821078633703,0.2496279955025996,0.2477875853521127,固始县
2016_03_07,283.6214072304574,292.2308274863574,286.8417680730753,101492.23397021795,279.6738381253426,100935.68621800389,0.020937311616295244,-3.9830266913635946,-2.8482427994243795,0.25016431822958235,0.25221236366197186,固始县
2016_03_10,270.7091743687188,281.8741583866182,277.761098380132,103107.64746216196,272.9793529285453,102526.34632042529,0.0,0.38534097410712326,-0.3219328131091463,0.24268733575056703,0.2654866985915493,固始县
2016_03_11,271.3654651776753,285.27738568908626,279.82705230374455,102353.36899425085,275.1423189263381,101782.05565625598,0.0,0.3228750943103433,1.5853723821892438,0.33729799048550657,0.26991147690140843,固始县
2016_03_13,277.24064383430294,286.51974660518243,281.9089546039124,102433.01718510424,276.42527921751775,101864.81163197331,2.363276724148713e-07,-1.1067833656142607,-2.4618858034120636,0.30783802064878607,0.2787610335211268,固始县
2016_03_14,273.9929052032785,287.7748275571854,283.52729238219763,102316.48927727081,277.539576271584,101749.23079651906,0.0,-2.28792152152081,0.2382883761301488,0.3411579082138195,0.28318581183098596,固始县
2016_03_16,279.6945238650655,291.2064552698987,286.7872612608863,101614.60078543959,279.49016199867356,101058.6828089284,8.568167686462402e-08,-1.807616835969839,-0.10403086035414921,0.3491124751979278,0.2920353684507042,固始县
2016_03_18,283.3074627598718,293.0721332196309,287.9241174379229,101282.8709607843,283.0934838824885,100732.1014764953,5.248755771873805e-06,-0.2579995642430774,0.9180524222604007,0.3678762975329565,0.3008849250704225,固始县
2016_03_19,284.5815472791505,294.71003567220527,289.48933171078005,101741.69790223897,284.50821121236544,101187.28772792075,7.491703494268175e-05,-3.4252403179554816,0.29442375644640933,0.2863544879146293,0.3053097033802817,固始县
2016_03_21,275.40890150179916,291.8420167830517,286.3545930628111,101897.64303340597,281.8587116504919,101336.77075257647,0.0,-3.938885667086073,-0.5396740959047178,0.3654954946424525,0.31415926000000005,固始县
2016_03_22,280.52401069142167,292.54104931079274,287.76103570034365,101772.94814848091,282.95628797759525,101214.03485046192,0.0,-2.51772415501935,-1.916559346458571,0.36839472892155073,0.31858403830985915,固始县
2016_03_24,268.4700433206224,286.2157138727946,282.34534761803764,103045.08971234797,278.3910290703912,102471.51902796571,1.862645149230957e-09,-2.3691524705338822,-0.09043787854774675,0.3942656475322242,0.32743359492957747,固始县
2016_03_25,271.66040585281445,288.77409790764375,283.2503503844474,102726.26068458444,278.3218614715275,102157.63060119988,0.00016907470663614095,-0.7813488858074358,-0.7524924373067605,0.35244267184641664,0.3318583732394366,固始县
2016_03_27,274.9182640412431,292.2218506015213,286.7468574295276,102342.50520135826,281.08839799583023,101782.18156508356,0.0,2.345664197217972,2.3795338803548014,0.3742314648329488,0.34070792985915493,固始县
2016_03_28,275.20405412232196,295.3813864949473,291.31424143699803,101738.01009093421,286.1107222399232,101186.08005464148,0.0,3.001064750954856,4.031608637979337,0.3896404163100541,0.3451327081690141,固始县
2016_03_30,283.8557405252009,291.37541213085757,287.01882071080263,101768.03872172923,281.70192593617844,101210.11179990314,0.001501613915823155,-0.055520353158704065,1.0689101223529662,0.5243122607304693,0.3539822647887324,固始县
2016_03_31,283.93943127760025,294.71133728483755,288.5807227148531,101310.94208464489,283.50685804100414,100759.35463011567,1.1028310016087766e-07,-0.08965580900835493,2.4672985919115,0.4181361621435043,0.35840704309859156,固始县
2016_04_01,286.590639816077,299.51187136107654,293.86991690200006,100972.50170837887,288.1975213096332,100429.53000355448,0.00029987852349752577,0.33899442275284375,2.1599032639560707,0.3745766593263075,0.3628318214084507,固始县
2016_04_10,286.99625312380437,300.1218391815206,293.18022206023534,101217.26294863461,287.07385793624854,100672.74854083787,1.862645149230957e-09,-2.0099285379859797,0.36691842471162406,0.4990230194879381,0.40265482619718307,固始县
2016_04_13,288.4246569228222,300.23156150147526,294.1589731290005,100706.30151699051,288.501563993395,100165.54309044985,4.713498518867219e-05,-0.7985474445966053,-0.38829716897604755,0.4403723142033912,0.41592916112676054,固始县
2016_04_14,288.3123469271751,301.5054888178276,295.9470257912182,101068.7620437402,290.6582046994799,100526.00607471522,2.562432606263346e-05,-2.8236792418337844,0.7722182428832557,0.47237259135940607,0.4203539394366197,固始县
2016_04_18,284.0221403198231,296.19048753234944,289.90942002193054,101584.30008173629,283.9429833998779,101034.45093695603,0.0,1.0714236659695264,2.45675971961643,0.5419333914287362,0.4380530526760564,固始县
2016_04_19,287.4261637267273,299.0800960276963,293.995921328378,101256.18440712028,289.43284608811774,100710.41512876455,0.010700036619341489,-1.0799366217221893,0.6815182580899246,0.4793300532217692,0.44247783098591553,固始县
2016_04_21,289.06489718626773,298.5232481037262,293.9257698467919,100957.31524759275,288.2805634656972,100413.25583469172,0.0,2.1861679002110135,2.1276811182801962,0.5011943333688467,0.45132738760563385,固始县
2016_04_25,287.8853065346842,294.65995938448947,291.6281876229551,101202.76636548288,288.81115309758354,100653.93794309892,0.0034369092721502313,-2.396986410844394,0.44846282193247433,0.4246829115647291,0.4690265008450704,固始县
2016_04_28,285.66666353095843,296.86969506258913,290.93520686604836,101616.02539715264,284.95086350209436,101066.9482546181,3.966908959304611e-06,-1.1401620762297038,0.22486176768457528,0.46308206318185857,0.4823008357746479,固始县
2016_04_29,287.093803218527,299.9442664514096,294.7290003194371,101191.15353102429,290.32599080334785,100647.21007072619,3.503187888846447e-07,0.7767668444412102,2.2474046691499208,0.515929998182203,0.48672561408450704,固始县
2016_04_30,288.2623655334101,302.9594743510406,296.74689076745767,100708.5480759141,290.46253660873293,100169.70502658567,0.0,1.798411556599552,3.001612410811204,0.47297244406254024,0.49115039239436625,固始县
2016_05_01,291.2821250586098,301.36584843938687,297.59446680869985,100392.35676056566,294.5171732685603,99854.49650589787,0.0076335191400841666,0.4895812366624641,2.679240472664644,0.40522995403444934,0.4955751707042254,固始县
2016_05_03,282.43223722856885,298.6509134538651,293.20310733818116,100993.89022224303,288.1215404232113,100450.71889831327,4.0978193283081055e-08,2.1544462111713245,1.0501640271107013,0.4174552294566775,0.5044247273239437,固始县
2016_05_04,290.38334424877064,303.34728286592065,297.70734703065256,100553.7312108792,293.11839400364954,100016.25435204153,0.000489748929550146,-0.10879490651894551,2.384694079398385,0.4670465184040376,0.5088495056338028,固始县
2016_05_05,294.09715139384764,300.8831622062436,297.49301606317067,100459.55221728,294.3249910412235,99921.2779910671,0.0005361585632383371,1.5313120212781148,1.6406605306757147,0.42988865138986554,0.513274283943662,固始县
2016_05_06,290.634961210633,301.94555150810646,296.60669418535235,101006.6874754146,289.6860627891226,100463.40600867903,0.0064861337608334785,-2.755874501533555,-2.142398558173608,0.5274819871460665,0.5176990622535211,固始县
2016_05_10,286.9442451397045,295.0479993536083,290.39021807341027,101126.62512116991,286.741161477652,100578.83852977274,8.397491246984087e-06,-0.047563467037743466,0.6302181513357903,0.43315620097394675,0.5353981754929578,固始县
2016_05_11,289.0106180478707,302.4619807946134,296.1454869392816,100543.98129279912,290.2632464120479,100005.49353292535,4.470348358154297e-08,-0.12667369870596348,3.0062845018678486,0.5014969229341323,0.5398229538028169,固始县
2016_05_12,285.14481131791774,304.3225127555616,296.0161464448252,101310.04668467172,290.4860451990902,100763.94173725776,0.0004734355324102704,-0.8110620201842312,-2.3506182871743944,0.3725463735514615,0.5442477321126761,固始县
2016_05_13,286.2762423763552,295.51946705300827,292.1257404727277,101750.22935064363,289.7857936156975,101198.49025686781,0.0,-5.0116164359435835,0.5945763856656774,0.4047665949080522,0.5486725104225352,固始县
2016_05_14,288.56778589871215,296.35155769177356,290.4326137954825,101478.3324770256,286.3860536306989,100926.1760766293,0.02214602586787008,1.050418343100186,-2.4834587435520348,0.39856655573879723,0.5530972887323944,固始县
2016_05_16,284.6800229664156,299.4676662076132,292.9286831363267,101426.65731515031,286.3266401542562,100880.67865897372,4.470348358154297e-08,0.8305977018316568,1.798351133409991,0.46050298104043347,0.5619468453521127,固始县
2016_05_19,289.3837926001516,301.2125241832049,296.46577822264965,100992.96121059812,292.1408167695894,100449.6954985602,0.0014307449449395165,-3.373808630053589,-0.45846830618762846,0.43573723463345265,0.5752211802816902,固始县
2016_05_22,287.67592005763487,296.59862806768564,292.55645123840856,101384.92268018921,289.3014910641015,100836.90863446606,1.1182320471339625e-05,-1.928747332960526,-0.5360624206188126,0.5062160533543192,0.5884955152112676,固始县
2016_05_24,288.94156328634125,300.4360378271086,295.22049756922195,100712.45924578235,289.7550562333783,100171.42583758783,0.0,1.59714357386779,1.1368109695204207,0.4883433079985286,0.597345071830986,固始县
2016_05_25,291.65664638910505,302.40702846767306,297.774031409153,100749.23101410303,293.5100984724205,100209.8365042875,0.0006569915320432425,0.45208573955729403,0.1896148340714757,0.4947566280999717,0.601769850140845,固始县
2016_05_29,291.3480564761566,300.9917769722565,296.31860409644054,100707.16724291968,291.99539008237184,100166.53523843428,6.683779468877021e-07,-0.2922193010970516,0.6247744086095343,0.5971505004140557,0.6194689633802817,固始县
2016_05_30,293.1191480003028,302.26832778981856,298.45052260692114,100546.01799185053,295.0966938221147,100008.07747883425,0.00013836187972615207,-0.46642463051457306,1.3742989045552303,0.5483255179359457,0.6238937416901409,固始县
2016_06_04,291.1566426100452,300.9282668265914,296.2194168254873,100793.20658312635,292.34580480487784,100252.20041639943,3.4060886282176232e-06,-0.8210316402032682,1.2130490825862585,0.562403685598317,0.6460176332394366,固始县
2016_06_05,293.119101174769,299.8359263471894,295.93190596706324,100757.84117432778,293.15112360137834,100216.82988752704,0.011740447736750658,-1.5456980443868524,0.0952011209833651,0.6526826871586073,0.6504424115492958,固始县
2016_06_06,292.1528577109807,298.22158104371266,294.4667391586421,100920.67410925457,291.4606579645954,100377.32911815851,0.0033668948451125984,-1.0428540453459934,-0.6640778486790743,0.13606613736663659,0.6548671898591549,固始县
2016_06_08,292.5040723728119,300.6485943732843,296.54429226467823,100856.21324762344,292.27028238263176,100314.92842613847,0.00021314944007721598,-1.610252565593749,-0.641575732385743,0.6444776352956967,0.6637167464788732,固始县
2016_06_09,292.7757893200657,301.37630013666546,297.4277368048067,100770.01049838039,293.4666543353002,100229.82102360587,4.604572028801561e-07,-2.5773841204883525,1.2078075400359205,0.2380659121168771,0.6681415247887323,固始县
2016_06_10,294.98105424067853,303.29747245727356,299.2451811906205,100531.91937751118,295.237099059462,99995.86832203978,7.196337955861606e-06,0.23865312045204873,1.3767885825493105,0.6939802847022062,0.6725663030985916,固始县
2016_06_12,293.5548208895285,302.1895066598173,298.02696896174984,100396.65925103685,294.0562506557469,99860.03379232973,0.0008101615552178581,-1.169255536893423,1.4626637407641452,0.8328342860683107,0.6814158597183099,固始县
2016_06_13,294.3992034243913,304.9549470738319,300.58610131155405,100033.61517969424,296.1755062597609,99500.62647650918,5.858277942528585e-07,-0.01806907457997749,2.3502725831248874,0.6271582214423469,0.685840638028169,固始县
2016_06_14,295.89866590905234,306.2817848485989,302.00551659864715,99863.66049826583,297.786381286008,99332.47667979813,0.006165237498685995,1.8009661509399955,1.4787898195189386,0.7709033006904609,0.6902654163380282,固始县
2016_06_16,290.6292035121671,304.38124396223566,299.2252484349041,100420.65751029443,294.73391787668345,99884.80628764491,0.0,1.2918123615141837,2.2017433840696006,0.7768234454018591,0.6991149729577465,固始县
2016_06_17,290.5650762277438,305.9105158554096,300.33834137838386,100284.05126589537,293.9091906481175,99750.24723392267,0.0,0.5875112758426395,3.063124029974695,0.718042811170592,0.7035397512676057,固始县
