Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2016_01_02,271.8454775497223,287.6793947709736,279.107560205106,101808.49213578692,271.9524436641193,99843.32721811012,0.0,0.7176407552900992,0.11890488841463576,0.39236579264135923,0.008849556619718311,新乡县
2016_01_03,273.01244418879537,283.9856156116766,277.70130143594326,102196.33862446423,272.84431184439205,100198.30311757629,2.9195345228549494e-07,-0.9671332354502958,-0.9267752900992495,0.1899748972510586,0.013274334929577464,新乡县
2016_01_08,266.8478516772322,276.8814928546087,271.1980184730378,102765.69682163297,267.19519066802303,100701.3601102832,1.862645149230957e-09,-0.30006729703513285,0.22118383485639362,0.1971247773786526,0.035398226478873245,新乡县
2016_01_12,262.79704872208305,273.29820073218525,269.9315017216655,103078.78708941066,266.56688486714575,100986.77871495887,4.1149195416476285e-06,0.2564361585393437,0.933267264920834,0.287760750590159,0.053097339718309856,新乡县
2016_01_13,257.36158354754366,280.71818269351235,272.368415448805,102425.60471993397,266.5932977091183,100374.27870002588,4.284083843231201e-08,1.8129868249810333,-0.008287571755470288,0.3940074503037442,0.05752211802816901,新乡县
2016_01_14,257.6057946018705,281.64323841648,273.2893994368632,102040.1450652321,267.0531230650798,100007.35302249205,0.0,1.6274494148126908,0.06345165520966828,0.3450885320518787,0.061946896338028176,新乡县
2016_01_15,263.72231961839674,282.2360714831256,275.3546874237239,101675.78929210163,267.76331969887326,99669.07203099215,0.0,0.7658092645919201,0.5140041977050266,0.39464097203318793,0.06637167464788732,新乡县
2016_01_18,260.2017115094769,277.0427940784383,270.440028054417,102777.72521888606,264.6628391531793,100695.94230029304,6.70217223302001e-07,0.6747654986659808,-0.37506046794311304,0.36130314481890974,0.07964600957746479,新乡县
2016_01_19,260.7263864263971,276.0030500064741,271.63040041760615,103121.07077676276,264.75683790797746,101033.61596698605,5.19792957125149e-06,-1.2588700941751494,-0.8097296103137841,0.31159243122451485,0.08407078788732394,新乡县
2016_01_21,266.34227315875216,276.91316376569904,272.8652218678245,103158.5776616228,269.315983539119,101073.24457890356,0.0003642806272384638,-1.2185229111814988,-0.18375346606206117,0.2317979168162987,0.09292034450704226,新乡县
2016_01_23,249.3392469708328,270.61474551189315,266.30367903524905,104464.62268541333,262.5629296198805,102289.30548537629,0.0,3.506569779386878,-1.9987946057150514,0.32681025780491363,0.10176990112676056,新乡县
2016_01_24,250.43709129292742,273.38139037333826,267.7760610692269,104023.81100112009,262.92361722975585,101885.56766194243,0.0,2.9265061420446914,0.3513390621087669,0.3693610987967667,0.10619467943661971,新乡县
2016_01_25,252.40858425450253,279.0263870551772,272.11402142579897,103016.97332822412,264.7158632329895,100936.80008666303,1.862645149230957e-09,3.139385784940193,0.9402683898368628,0.32758670949907287,0.11061945774647888,新乡县
2016_01_26,256.6224426376465,279.22279564084914,272.1640710977666,102809.23300144891,266.5053017130721,100743.76181035386,4.284083843231201e-08,-0.25796578039517,-0.33141245184612306,0.3371328028498801,0.11504423605633803,新乡县
2016_01_27,263.8069367975118,280.09204753704785,274.63398757037817,102549.68159971427,267.4013717455131,100502.1600422007,0.0,-0.3277274038891981,-0.3620822751821295,0.31088679798660335,0.11946901436619718,新乡县
2016_01_28,263.010579254059,280.85311160835846,275.7507224052825,102766.11308886734,270.88527106200166,100716.61659532011,0.0,-1.4706571595636044,-1.8438775526371332,0.25890568164278577,0.12389379267605635,新乡县
2016_01_29,265.8145685144394,276.0433016857032,272.2751314361486,103149.53604910898,269.7513713221717,101059.96695075402,8.081744021201293e-05,-2.4931131161891766,-2.1876472978767953,0.2175055826077866,0.1283185709859155,新乡县
2016_02_01,262.3638651670684,277.86211063785447,271.41977892620383,103567.8084110856,265.23885824827414,101487.12623424325,0.0,0.3175340951400502,0.6229030709434723,0.3171953768624531,0.14159290591549298,新乡县
