Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2016_01_01,0.4437470643675625,272.12518761145066,283.4543266522774,278.60207226811673,102425.85809754326,273.88856337352087,101783.75418397666,1.4670805570200375e-05,0.9489883705871238,3.244316298011937,0.0044247783098591556,柘城县
2016_01_02,0.46549205860395665,276.1614917515534,288.03354861896435,281.22778054837664,101920.81767702143,274.8493424383175,101289.89320347417,0.0,1.3336243110195625,2.3153843069432734,0.008849556619718311,柘城县
2016_01_03,0.3110929570873903,275.93323018833973,285.3576839099364,278.8710281713007,102124.12909440415,274.33299636670114,101486.68450240941,8.347155491843733e-09,-0.2971958458386907,-1.992077935599501,0.013274334929577464,柘城县
2016_01_12,0.07889212497792429,264.7806603850117,273.73053926881454,270.4665059114835,103122.63284334204,268.0193390560348,102457.24892939282,5.941056430746635e-08,0.09371832773616609,-0.5074350887764374,0.053097339718309856,柘城县
2016_01_13,0.30336297842712645,263.46039855356474,278.0671313483013,272.77688653586523,102542.30192138151,268.21326689740647,101886.55111336609,4.284083843231201e-08,2.0857830037462612,1.228184841418724,0.05752211802816901,柘城县
2016_01_14,0.4532762566119921,261.70041757500945,280.14501704210295,273.27877364920687,102147.16768704378,268.6587607418146,101497.45162876775,0.0,1.7843110474497752,0.6013146449432469,0.061946896338028176,柘城县
2016_01_15,0.5057843013882993,268.79434573202957,283.54197506508564,276.4459872118286,101802.19137120782,268.69181446243374,101161.80656219271,0.0,0.844309712619825,2.194159855048233,0.06637167464788732,柘城县
2016_01_17,0.1626035494696581,267.5963248989874,275.4975390990434,271.57021149224727,102372.32761354276,268.66026984809423,101711.51052547555,1.7405568928694887e-06,-0.49719787193067755,-3.153343151007568,0.07522123126760563,柘城县
2016_01_18,0.3187685445757984,264.94680882890464,275.8941905292185,270.54980099558946,102838.24314554212,266.0162006565565,102176.06209517863,1.3595136612074241e-06,0.05292321536100317,-0.3619933206192894,0.07964600957746479,柘城县
2016_01_19,0.45768330626836595,263.9423738077409,277.76709429433805,272.9826565951017,103086.45887616946,265.8382654948482,102424.98575424709,9.374674764701563e-08,-1.5465565663528393,0.6773297335060005,0.08407078788732394,柘城县
2016_01_21,0.409437641904306,266.3008548082532,276.87151625779666,272.3748666214021,103167.17734916726,269.66368349523924,102505.9268843221,9.772153214815568e-07,-1.4841987748549292,0.32424850262655774,0.09292034450704226,柘城县
2016_01_23,0.42870831645999413,252.51737740111247,271.54491739614383,266.61533363173066,104409.91933249765,261.9195856581835,103720.74784672708,0.0,2.750982735417624,-2.5612055499314756,0.10176990112676056,柘城县
2016_01_24,0.47708493234700744,251.01467216390733,270.4204976836544,266.93700729582116,104151.50411661732,262.4705795947301,103467.92519277867,0.0,3.2604438819205708,0.017586684802932802,0.10619467943661971,柘城县
