Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2016_01_01,0.21490178159745194,270.97845769143606,282.43643340171616,277.0364513227107,102304.94871698454,272.83331750392733,91928.76744683883,9.888899557581272e-07,1.5876993350701025,0.836665093423928,0.0044247783098591556,栾川县
2016_01_02,0.2885164980429476,271.72531686205946,285.52900033655044,278.6550820111623,101852.77651990921,272.97408931343,91586.54998706123,0.0,1.3589536325672622,0.48045414159137084,0.008849556619718311,栾川县
2016_01_03,0.2660993755129389,269.71267641501953,283.82460893805836,277.6913713674638,102094.45698028312,273.3765560338724,91732.91016602854,0.0,0.8278191067270807,-0.36963663392001933,0.013274334929577464,栾川县
2016_01_06,0.13537039719488697,268.5140074409612,277.2364011769886,272.9656518419321,103141.94293864426,270.51730394715753,92402.9317174379,2.925142687370008e-07,1.5772923255341262,-1.012361901205775,0.026548669859154928,栾川县
2016_01_08,0.2255757638595553,266.77443857732453,276.6453381427384,272.3484935291595,102652.8958243482,269.6404550390454,91970.53201222987,2.73371598781121e-06,0.5947941805163905,-0.17161199371413097,0.035398226478873245,栾川县
2016_01_12,-0.0016962872588257966,265.95695560614337,272.5040024816984,269.7026446714254,103138.22728661838,267.282520738188,92247.31117859912,0.0001427928178773352,1.1880078208684128,-0.7746350860661685,0.053097339718309856,栾川县
2016_01_13,0.23921346861329543,259.9458661552515,274.85145159652984,270.8057307922792,102791.97805096938,267.415450683327,91990.47475897084,4.284083843231201e-08,2.323510657622815,-0.8868813465431955,0.05752211802816901,栾川县
2016_01_14,0.2581842296355363,260.58175376731117,276.4387111976489,271.7337989183348,102287.91221685192,268.48876476579585,91622.23560936547,0.0,2.3058285180260034,-0.10280075323236905,0.061946896338028176,栾川县
2016_01_15,0.2850264274819409,264.97120560379676,280.39914030232586,274.24580067318186,101643.17333544488,268.65344833670997,91184.40560419155,0.0,0.6416313488546408,0.9955316556512018,0.06637167464788732,栾川县
2016_01_16,0.20626858621433447,268.00125769385846,277.4496382151043,273.7700706246433,101927.38644462281,270.77229903297103,91388.02791939299,0.00012223534680325796,0.4919078402154982,-0.5762744541678263,0.07079645295774649,栾川县
2016_01_17,0.18777001141448443,264.27398404843865,275.42433758437414,272.0680498266657,102330.09361751548,269.47443404850725,91639.44357688088,6.949201249830655e-07,1.034263829560805,-0.9756542356536835,0.07522123126760563,栾川县
2016_01_18,0.20892847093341882,257.39134227652806,271.3487704567405,268.8180986286342,102991.01741190045,266.31298182519987,92078.59016509373,0.0,1.7735097700038098,-1.412730946605674,0.07964600957746479,栾川县
2016_01_19,0.2364465333471146,260.9662147080457,275.7531093155856,271.5753035433017,102917.37342927538,266.44325341454294,92096.68248469743,0.00037087906365104484,-0.8798773259985412,-0.1474456220022823,0.08407078788732394,栾川县
2016_01_21,0.20932109152862916,266.0907396098952,275.130469173541,271.2030222886084,102968.93591986019,268.33461481189585,92128.09417956727,0.0010561954066916944,-0.9589844302829753,-0.05374160323173725,0.09292034450704226,栾川县
2016_01_23,0.2268762095347086,246.31409344789543,267.2909594284106,263.3668792901294,104784.46331883121,258.5513844488839,93406.51796752145,0.0,4.47363527079089,-4.423596176580637,0.10176990112676056,栾川县
2016_01_24,0.257740211539354,246.55180957306675,265.9661591855271,262.6040597195207,104645.72043389498,258.4119581702734,93288.66396125665,0.0,3.9156894173436063,-2.2098789899323057,0.10619467943661971,栾川县
2016_01_25,0.2587505979056183,248.19327239109387,272.2452272687222,267.6534156006957,103418.52783079671,260.26151901742116,92465.94886352717,1.862645149230957e-09,2.7210571971819224,-0.4541932680788276,0.11061945774647888,栾川县
2016_01_26,0.24071520621343223,254.0984683396274,276.59137545976495,271.3216386778643,102751.95244068204,264.84372795752887,91997.86637947716,4.284083843231201e-08,0.5858985044370904,0.31050663661225225,0.11504423605633803,栾川县
2016_01_28,0.154511314549927,264.7867713023179,277.7620496196727,273.1134343604818,102664.35136493343,269.582155746674,91961.98707099834,7.769043044542293e-07,-1.1861239857898742,-0.5592829830609379,0.12389379267605635,栾川县
2016_01_29,0.08431909509484327,264.7298675552126,275.0605758346034,271.40608414734066,102907.28203342165,268.755616762736,92097.95771879886,0.0001252702578988164,-1.4470013833285,0.3388424197549062,0.1283185709859155,栾川县
2016_02_01,0.17320914953314281,255.74944742066359,273.1856283341028,268.73333350083954,103715.95710344292,263.141292328927,92770.0915281337,0.0,1.685025707160685,-0.7589408332243507,0.14159290591549298,栾川县
2016_02_02,0.2534252232405514,258.57991516617517,277.1523071986393,272.270940179248,102892.8434997332,265.1286342345602,92177.90105600879,0.0,0.86677899428021,0.3747109821356478,0.1460176842253521,栾川县
2016_02_03,0.1719293432533937,263.44404579640405,279.02752806643105,274.3071770709128,102761.42581312246,268.8171556419963,92125.12902641973,4.1026773492897414e-05,0.5332460278345316,-0.2867063096586236,0.15044246253521126,栾川县
2016_02_04,0.22371045712299167,261.6493615820009,279.7547120135974,274.45367508044995,102905.40938727088,271.2609977997027,92262.74301372559,4.284083843231201e-08,1.4499482805283257,-0.8109736343771003,0.15486724084507042,栾川县
2016_02_05,0.20000970636724427,254.64863439773475,274.8153592476427,272.1833895800901,103566.80813396483,269.2732423934249,92664.36779643569,0.0,2.923360723804867,-2.938509368139794,0.15929201915492958,栾川县
2016_02_06,0.24045280794879148,255.36864724218984,276.29921105862536,273.2021805549663,103154.55702887377,268.1618190801791,92400.90539034145,0.0,3.188603431872779,-0.9148616073031981,0.16371679746478873,栾川县
2016_02_07,0.18995430823437254,260.97873733931436,280.95492096847704,276.487780904121,102269.77241051356,273.1539083624947,91810.8906454546,0.0,3.2067957047492204,-0.35703526935275376,0.1681415757746479,栾川县
2016_02_08,0.23992376863481132,264.30956428976924,289.2225438548905,280.72423519668695,101679.36427805747,272.9972157342187,91466.7742343079,0.0,1.4385803138645488,0.38752113994304266,0.17256635408450705,栾川县
2016_02_09,0.2353961318771284,267.59035435626487,287.9987870126197,280.9636924332899,101549.49723190347,273.974392583987,91284.57656011946,2.122574937374579e-07,-1.1112627275525326,0.49580401211550135,0.1769911323943662,栾川县
2016_02_11,0.21600338446680964,275.6270692239645,282.0403574198571,278.72530151393534,101339.6486464432,276.1274017345108,90973.9480907786,0.0013359743806690427,-1.2475304387132613,-0.09751559200173868,0.18584068901408451,栾川县
2016_02_16,0.233522680301964,258.1289645763414,278.3044714121328,273.87507726746264,102915.75967376634,270.29476972000344,92230.13917514637,1.862645149230957e-09,2.5347096108386316,-0.8783936915135754,0.2035398022535211,栾川县
2016_02_17,0.2329406175542818,262.6241250760804,283.0555258629016,277.2124209137338,102357.4786849511,271.51760798753054,91891.65147922911,4.284083843231201e-08,1.7964775489731923,0.8393694171176352,0.20796458056338027,栾川县
2016_02_18,0.2287299694755503,263.6684172138345,283.7472426076412,278.8398015631123,102350.6858839233,273.6366202996053,91906.13185061475,3.076865320951418e-06,0.7345272910301069,-0.748873141689987,0.21238935887323943,栾川县
