Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2016_01_01,0.3983230578237573,271.9569011907024,283.2564531757937,278.6844386726039,102397.84638738634,274.2712814984584,101700.57939872424,0.0,1.0101881754273128,3.5907466421972303,0.0044247783098591556,梁园区
2016_01_02,0.43967772264189087,275.6250250809534,287.8605865954999,280.66086982322474,101907.08910567996,274.5172552076521,101221.4051202622,0.0,1.2499877166083275,2.2084174319177423,0.008849556619718311,梁园区
2016_01_03,0.3029619471445869,275.3605385944553,284.81547062354844,278.3285907419236,102143.52047165686,273.9404782621723,101449.70846529529,1.3335115368831304e-07,-0.2589286392905898,-2.153616872718526,0.013274334929577464,梁园区
2016_01_12,0.11868514332918424,262.7124567577161,273.5054439586738,270.2246519155816,103118.34592480781,267.7780767013761,102394.79557214852,1.862645149230957e-09,0.332785012360311,-0.5551732150746053,0.053097339718309856,梁园区
2016_01_13,0.14724775777688923,263.4451991976329,277.87192230180773,272.19857854448685,102516.29141434058,267.81187520136336,101803.50835459454,4.284083843231201e-08,1.608995966372577,1.518800859560242,0.05752211802816901,梁园区
2016_01_14,0.42136073000180296,261.47244372489746,279.9452564749856,272.7939884909763,102122.49509468144,267.82080004276116,101416.33598445034,0.0,1.4447284304567647,0.8658240014395092,0.061946896338028176,梁园区
2016_01_15,0.4927639532203756,267.3541762666888,282.7283213550776,275.7210585042201,101796.87189958387,268.132222162938,101100.19280912173,0.0,0.6912221948473141,2.1961937264154145,0.06637167464788732,梁园区
2016_01_18,0.31186928687428156,264.02033490808094,275.130771878155,270.1463139919833,102842.73345778855,266.0498543601611,102122.2863385818,1.2952644691253862e-06,-0.15479803224944602,-0.450873824926319,0.07964600957746479,梁园区
2016_01_19,0.3929871782459148,264.06490055281387,277.50343188264156,272.4805756257932,103118.84154056711,265.7864454037843,102399.29836951708,0.0,-1.8216608665072314,0.8067936257256366,0.08407078788732394,梁园区
2016_01_21,0.38474504866794,265.64605912438657,277.05847606590686,271.87726954107063,103186.16521427278,268.7236476144567,102467.73860976458,1.75802583897131e-06,-1.3651415401383866,0.5091890397358345,0.09292034450704226,梁园区
2016_01_23,0.38612387451985775,251.79144169330922,271.06249448431424,265.6237964626539,104389.9604900733,260.86426539734526,103639.26269207921,2.3537243288120896e-08,2.322608937273585,-2.6937041060472904,0.10176990112676056,梁园区
2016_01_24,0.43611201192331167,250.9492858270432,269.9536758543012,266.4340020792445,104103.6280655116,261.05732094118645,103360.45828660515,0.0,3.046974636360179,0.2701544900074607,0.10619467943661971,梁园区
2016_01_25,0.39875266772333773,254.25318113652557,276.5557926432455,271.2408124554478,103139.11523904542,264.3098798707944,102415.87997555519,1.862645149230957e-09,2.6792959211634195,1.7928437901986944,0.11061945774647888,梁园区
2016_01_26,0.4031447558900643,255.74863358985135,279.0737167764395,272.6318120631055,102864.82626993928,267.32926744665144,102153.25722285567,4.284083843231201e-08,-0.5829511673856224,0.26608681068719586,0.11504423605633803,梁园区
2016_01_27,0.3783791595625172,264.4645566798763,281.72623293573406,276.1729204890122,102587.18330421623,268.7868749578079,101883.08667691001,0.0,-1.8958570309768508,1.32581275387345,0.11946901436619718,梁园区
2016_02_01,0.3692177017859725,264.0729946726149,277.4090013271229,271.34138801437757,103627.7522578898,265.2911138542866,102907.66042884596,0.0,1.1868938473135688,0.21792547122481173,0.14159290591549298,梁园区
2016_02_02,0.37037627961917735,265.4193746814436,280.23232937106553,274.3410554081954,103029.48588384461,267.4289480129021,102317.4554777678,0.0,0.7673626351836795,2.415532140439438,0.1460176842253521,梁园区
