Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2016_01_02,270.21024694943594,286.89070234558244,276.97307432253405,101805.96165396468,269.57727675932125,95060.26939644065,0.0,1.1378705063090901,-1.6482548584490702,0.4043726515984976,0.008849556619718311,沁阳市
2016_01_03,270.1452832405191,285.83916576746816,278.23121933501864,102139.2087130094,271.7669465429494,95304.20542233107,0.0,0.31753967008227907,-1.1492870138531919,0.3493512178413562,0.013274334929577464,沁阳市
2016_01_06,263.8108248249586,279.3426278450261,272.65222974368123,103078.68234921913,268.0743852051718,96014.81148017313,0.0,1.253889977275768,-1.781400910014823,0.1854785252727519,0.026548669859154928,沁阳市
2016_01_08,262.99541440153155,277.12224057501544,270.5526211988627,102726.62025393956,265.6552810560538,95647.60184159894,1.862645149230957e-09,-0.016589562751684096,-0.6173247667041679,0.44723221874940855,0.035398226478873245,沁阳市
2016_01_09,265.3170260468451,275.9762957695919,270.7274609045983,102430.67459989748,265.97374761355763,95429.70664302153,4.284083843231201e-08,0.6775791668380059,-0.36048195633869057,0.1921259842519685,0.039823004788732394,沁阳市
2016_01_10,268.23680141064375,276.13259485782316,271.38370145852684,102872.47050529822,266.83162081776055,95765.71331206182,0.00020823823783278994,-0.5555310004757498,0.36793443349512484,0.1256781193490054,0.04424778309859155,沁阳市
2016_01_12,261.1224277177104,272.6905813339558,268.8556708064713,103077.4805629776,266.25185891688443,95900.05838667139,1.6799944181112566e-05,0.9927755671729814,-0.40889733672721573,0.16507780672739342,0.053097339718309856,沁阳市
2016_01_13,252.49095460931196,277.9260475842413,271.9733882347276,102585.92993263734,266.78919249770246,95494.94717760092,4.284083843231201e-08,2.4376722978793857,-2.7308114967944133,0.4753413714699774,0.05752211802816901,沁阳市
2016_01_14,253.8509913840482,279.14296507912184,271.9321892217363,102138.92715216019,266.91750968635967,95127.20337405622,0.0,2.104146790097576,-2.314033631507421,0.40443980021000936,0.061946896338028176,沁阳市
2016_01_15,262.70747356763195,280.7343660927669,274.04413357845823,101666.38091539287,266.8881667895657,94768.82254850198,0.0,1.000421034390451,-0.5369553705256904,0.434329555383899,0.06637167464788732,沁阳市
2016_01_18,251.1657104877063,274.018401186124,268.8969468841873,102881.27198801408,263.690807334294,95692.42176974352,0.0,2.107762081378688,-2.9149214937940875,0.38132378553441854,0.07964600957746479,沁阳市
2016_01_19,257.1314554621086,274.5217975592707,270.3194448142176,103086.08347150106,263.7778137666535,95908.80304175722,2.582479166712074e-05,-1.0834085973054337,-0.2952697411609479,0.26060709383182074,0.08407078788732394,沁阳市
2016_01_21,265.42799619130295,274.9178190121274,270.9145781858277,103113.6886398003,268.14641394063045,95948.64535180033,0.0005522042523426589,-1.2705004679383356,0.1381637737360714,0.17065022986496334,0.09292034450704226,沁阳市
2016_01_23,246.25462809717993,267.3749726991645,263.2805690058103,104612.28279732428,259.40243346779835,97100.81412926936,0.0,4.743856909229258,-5.043230222607936,0.3751600511003513,0.10176990112676056,沁阳市
2016_01_24,247.25193721986753,269.64054015228845,265.0854395681783,104281.3427658184,259.3796578372964,96855.83637121669,0.0,3.2408748299895844,-3.3900247903551683,0.4103461861501973,0.10619467943661971,沁阳市
2016_01_25,248.48568755119956,276.0740687314688,269.9107833938083,103189.66574678317,262.5123488689884,96001.31516172506,1.862645149230957e-09,2.5710578309747687,-2.2089227207835895,0.38102996803752337,0.11061945774647888,沁阳市
2016_01_26,251.02004453302138,278.0157102263991,272.1766769111506,102782.57301587838,266.16066744605223,95688.11011533483,4.284083843231201e-08,0.5289041356683852,-1.2730845980559002,0.3833666190891401,0.11504423605633803,沁阳市
2016_01_27,261.746900101548,276.4530996000868,272.9619758017991,102529.21908131563,267.0064536263641,95479.69145132316,0.0,-0.6488928046909705,-0.2482905175843287,0.27239810942604126,0.11946901436619718,沁阳市
2016_01_28,263.65372830679985,279.2893639903363,273.9182488831929,102739.58762695057,269.1482055204404,95696.06596554775,0.0,-0.859139201808883,0.015637483998314883,0.3069992258692899,0.12389379267605635,沁阳市
2016_01_29,264.5234097399718,274.63732842352374,270.7524105108906,103110.42869029992,267.647749725228,95934.26188610039,0.0001537584920586087,-1.5318459796569985,0.8484893014858129,0.004549710657161498,0.1283185709859155,沁阳市
