Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2016_01_01,0.42331633094664606,272.20400364941486,283.3312782808576,278.61491970658165,102425.01514615992,274.0623261235406,101764.48624906731,0.0,0.9465050590440333,3.3765992999031402,0.0044247783098591556,睢阳区
2016_01_02,0.48606278724235197,275.953224904501,287.94835320286217,281.0215294667916,101921.31178457341,274.65533723954036,101272.22753588366,0.0,1.3039189353528775,2.279812135570267,0.008849556619718311,睢阳区
2016_01_03,0.3699919876056489,275.88837784502505,285.2880481020938,278.78470871182776,102126.61384118492,274.3507908173171,101471.01957319144,1.7573334788027086e-07,-0.2249514948640476,-1.970759501385364,0.013274334929577464,睢阳区
2016_01_12,0.10578823643962028,263.81527674733434,273.6004611414692,270.25462691384314,103119.60064162579,267.8366154578825,102435.0549450887,1.862645149230957e-09,0.2672833620071755,-0.6735507436669239,0.053097339718309856,睢阳区
2016_01_13,0.28860028777351043,263.7907274148813,277.73884484383586,272.4069185267395,102533.66099167394,268.089058888444,101858.9118090996,4.284083843231201e-08,1.8046398463518036,1.4625074464998804,0.05752211802816901,睢阳区
2016_01_14,0.4807360858905567,261.8233411032953,279.85656695879624,272.81301957934505,102137.88416529071,268.0873546825657,101469.39688452377,0.0,1.6038848848952114,0.8133406896709214,0.061946896338028176,睢阳区
2016_01_15,0.5451489471399346,268.1002805373996,283.13825143755025,276.0466995417305,101807.76239710288,268.4138411238244,101148.71425445622,0.0,0.822186139931055,2.2014399008445964,0.06637167464788732,睢阳区
2016_01_17,0.19497485288708477,267.48459929063824,275.27717286873076,271.4313664473856,102368.53970904596,268.4302886127811,101688.65137149236,1.8291175365447998e-06,-0.3860266554930426,-3.2910586879387305,0.07522123126760563,睢阳区
2016_01_18,0.3767319699607849,264.49979528895034,275.4254899079822,270.30779823273366,102840.96207417994,266.14842261792387,102159.49432227666,9.844468993682133e-07,-0.08299773779521366,-0.47216909914674327,0.07964600957746479,睢阳区
2016_01_19,0.45995056644754906,264.3334380336578,277.7189571591199,272.7899807196869,103106.02635713824,265.99244034114935,102425.37744137063,0.0,-1.7131533998673005,0.9053695844175388,0.08407078788732394,睢阳区
2016_01_21,0.4328893148204145,266.04374886462125,276.92313549329623,272.1616253382495,103177.92948341952,269.5623243660626,102497.84358848502,8.022468154569492e-07,-1.4882368441073999,0.3594696758029036,0.09292034450704226,睢阳区
2016_01_23,0.4601988993106832,252.1460148199974,271.34342979055936,266.0749972486593,104391.34397732606,261.52202667439116,103681.52079383926,0.0,2.547259972513904,-2.6226198368320883,0.10176990112676056,睢阳区
2016_01_24,0.5039664171623389,251.03144079332742,270.0481277737948,266.5577908629146,104128.79327214464,261.72205092530834,103425.24343419705,0.0,3.1218401015881163,0.17018935951566277,0.10619467943661971,睢阳区
2016_01_25,0.45248009953664686,254.587240253214,276.6274899296716,271.3663831968502,103168.17101044707,264.51043501429183,102483.46279190638,1.862645149230957e-09,2.8987623810012666,1.766970371410766,0.11061945774647888,睢阳区
2016_01_26,0.46841233853947606,256.7707256747459,279.2254210069855,272.7563816427462,102864.97571838938,267.64121848197874,102191.69809365636,4.284083843231201e-08,-0.5302341019823763,0.25110381069841464,0.11504423605633803,睢阳区
2016_01_27,0.43528680217453924,265.03491893190306,281.8583353946583,276.3745004786118,102577.12132026698,269.05495547351336,101910.87711311714,0.0,-1.9142658311430358,1.1688819947369469,0.11946901436619718,睢阳区
2016_01_30,0.46321525074549885,268.0893542761336,274.59184641647835,272.4120201180309,103356.82534832538,270.36994828596954,102671.2018704617,8.9005611496868e-05,-1.221045474670275,-2.4133464341256334,0.13274334929577464,睢阳区
2016_02_01,0.3960691796139809,264.3353015238635,277.1359331048105,271.24229511302855,103638.3794027101,265.57775536934554,102956.0088784319,0.0,1.0929293668961766,0.22394120162365105,0.14159290591549298,睢阳区
2016_02_02,0.43257762953303336,265.82212254291017,280.10009705509424,274.3765651184212,103043.58606018736,267.5230426254397,102369.50878606665,0.0,0.7502812344600404,2.3723994466039797,0.1460176842253521,睢阳区
2016_02_03,0.42912053481902696,266.51602998035975,282.51160540427657,275.9335575233034,102894.20278333111,270.07159716550484,102226.99803383814,1.862645149230957e-09,-0.09559649088756404,2.1661121425317154,0.15044246253521126,睢阳区
2016_02_04,0.38897406907788307,267.0785013796537,282.52470183112547,275.9417478053045,102867.815837934,271.3228574682732,102203.54490255786,4.284083843231201e-08,0.5472879466831525,1.1193712836631662,0.15486724084507042,睢阳区
2016_02_05,0.19081524193512314,261.8559863904338,281.7613193966527,275.0876978897696,103093.34193716636,269.6002220847598,102420.56090383124,0.0,1.40183069221604,-2.526171215220861,0.15929201915492958,睢阳区
2016_02_06,0.41252113352286673,258.0200480308056,281.48616546511494,275.54861555224835,102919.29936280056,269.5711854537086,102248.79706852968,0.0,2.3158001465241687,0.44851508218529534,0.16371679746478873,睢阳区
2016_02_07,0.45352289061210405,261.1073335357623,283.54996164010277,277.53549537567494,102164.98340553227,271.68212454759515,101506.2027362932,0.0,2.2433956180364936,0.33169088320554707,0.1681415757746479,睢阳区
2016_02_08,0.3979587118402972,268.9928729296186,292.03749261039843,281.5386904758638,101712.38583964569,274.0522763148292,101070.08088172218,0.0,1.4456176133412082,1.8510141071262125,0.17256635408450705,睢阳区
2016_02_09,0.42341874033428767,274.570828754423,290.7748979049689,283.59242422025744,101726.66499664649,274.43191727264406,101082.56176972418,0.0,-1.9919907257181702,0.7027141330276606,0.1769911323943662,睢阳区
2016_02_10,0.3664102777994402,276.8671149548195,287.57384354171734,284.2589249281849,101368.37272228848,280.2905290411469,100728.7657049089,0.0026256365825282923,-2.1308991324870674,0.6325591819170642,0.18141591070422536,睢阳区
2016_02_14,0.4367867534618572,260.54749243986123,275.5084768098737,272.21765836379274,103369.37397015285,268.9721595543395,102685.16633716754,0.0,1.1615319484462734,-2.177705042021688,0.19911502394366198,睢阳区
2016_02_16,0.5246070692488172,263.9014096256114,283.21776832113954,276.64809160400927,102628.41576155252,270.1948693290593,101965.92641336944,1.862645149230957e-09,1.9438909259687278,0.5300646782942542,0.2035398022535211,睢阳区
2016_02_17,0.43597207792760556,266.52708737401974,285.5841167712189,280.23329848262506,102333.41386055868,271.6887893065389,101676.11103268148,4.284083843231201e-08,1.9180665476280487,2.461844341082953,0.20796458056338027,睢阳区
2016_02_18,0.4460683417205532,268.2354479532471,287.8720657229456,280.49972742253465,102296.04133873303,275.96294302124335,101645.59611845095,0.0,-0.5252374048333281,0.3065939683540203,0.21238935887323943,睢阳区
2016_02_29,0.4639986151811444,266.1986200487434,283.78332549097706,278.83128856153576,103086.2343952098,273.7717078716234,102418.63448068939,0.0,-2.1101322214708134,1.164466386438633,0.22123891549295777,睢阳区
2016_03_01,0.44349030196683137,272.23230372399877,287.6502167907381,282.0124998292962,102408.19608787935,275.41682786079116,101756.00881890338,0.0,-0.7743634641635233,2.2321885178734715,0.22566369380281692,睢阳区
2016_03_02,0.45406819660711784,275.960383446246,292.17079583628293,286.07122381152203,101893.26564985559,279.21369862006816,101253.238770646,0.0,1.5704881158792316,2.617978731987103,0.23008847211267605,睢阳区
2016_03_03,0.5293388269772756,280.3789068495731,296.1419323189617,289.2295005777397,101457.48006649135,282.9518118838849,100825.07493737638,0.0,0.6346932611915912,3.2298534234539162,0.2345132504225352,睢阳区
2016_03_04,0.49083371833740735,282.46679825800123,295.00404811559184,289.06329890797,101561.00711971107,284.0755565423457,100927.09536377036,0.002117382146995886,0.33411891772179914,0.43666596117300716,0.23893802873239436,睢阳区
2016_03_06,0.37720362847411226,280.3114276830158,290.0428961318203,285.7111319762648,101496.03489114852,280.87956742558305,100857.9052450897,0.0006635543949080732,-1.3800531914519865,1.7010601619189982,0.2477875853521127,睢阳区
2016_03_07,0.31506820251135614,277.5680489390241,289.2951293363704,284.2421200842135,101857.01167604118,278.24016871130044,101210.53477805697,0.013597030038066902,-3.529383284221186,-3.1192831550380786,0.25221236366197186,睢阳区
2016_03_09,0.44651265477769336,263.9760174950282,279.80868879273834,276.7524523341891,103306.32608584968,273.69944863804193,102631.84850358806,1.2373949313592152e-06,-1.4844418088535933,-2.0626160167254954,0.2610619202816902,睢阳区
2016_03_10,0.6411226512133663,267.2539224776473,281.9373913753674,277.25906636547455,103029.04650350646,273.0337207309849,102361.31371937151,0.0,1.0643440563804138,0.8826130812005318,0.2654866985915493,睢阳区
2016_03_11,0.547532345145528,266.84086200084914,284.6551284196442,279.87641643120566,102248.65483856271,273.3105485902132,101590.17403515497,0.0,0.6826358015637456,2.150063872921619,0.26991147690140843,睢阳区
2016_03_13,0.39753045801589965,270.23752060814684,286.6017766948835,280.4342554809126,102529.50427606597,273.1530749381263,101875.29592370443,0.00024125675942266936,-1.1958572639133944,-2.2122346045471155,0.2787610335211268,睢阳区
2016_03_14,0.5935226631794874,270.8372657535814,288.0218159959887,282.2297858143568,102362.37472026933,276.49403399667057,101710.12696432455,0.0,-1.4401088623881924,1.8527297801442797,0.28318581183098596,睢阳区
2016_03_16,0.5646017892002974,276.4223992611613,290.06900382114065,285.602952957636,101681.8656865012,278.58388089206903,101040.83919246365,8.568167686462402e-08,-1.452984503142812,1.4761574660978398,0.2920353684507042,睢阳区
2016_03_18,0.5816909588322311,281.6689550921309,293.1365093326363,286.92276994262465,101293.82670645362,281.7774393142049,100662.68914987266,0.0,-0.5750637348792405,1.1882320627172822,0.3008849250704225,睢阳区
2016_03_19,0.4476693606148435,281.43206562551023,295.34121740683906,288.7658861043329,101879.29889149265,283.24111794329303,101242.21579225203,0.0,-2.719948944363477,0.5050677736070954,0.3053097033802817,睢阳区
2016_03_20,0.5685546793889583,275.14160598115694,292.2655957594869,286.7131079672527,102277.8116420185,281.2028737387497,101634.49459010718,0.0,-3.204428953923582,-0.6742020658213591,0.30973448169014084,睢阳区
2016_03_21,0.6526447038658922,272.7908844893996,291.6965724767796,285.54289940922854,102078.2729018122,279.6232329864092,101434.54677000247,0.0,-2.5157976391246524,0.528410865954758,0.31415926000000005,睢阳区
2016_03_22,0.6552171832373431,275.0218595416138,291.796597279332,287.2380699488057,101975.54137851755,282.07984690428077,101333.79901144083,1.9759104494910495e-05,-2.02734148734252,-1.7881564033383106,0.31858403830985915,睢阳区
2016_03_23,0.4761998741508564,269.75931629636506,288.72012702484915,284.4079044096579,103016.57320397018,278.79892330489497,102360.90292129354,0.0,-3.018499142128056,-1.8263464621670447,0.3230088166197183,睢阳区
2016_03_24,0.6624967729849787,266.9109203326818,286.9177570526313,282.9247247037039,103063.13872000965,278.61650126092997,102407.19073078467,1.862645149230957e-09,0.13655391252518567,1.0714668580663391,0.32743359492957747,睢阳区
2016_03_25,0.3443505788572433,271.8168042809557,286.4389319952898,282.71226377887865,102765.91782768101,277.82494857434716,102112.29124245382,0.0001099966466611747,1.329640925701203,-0.8256751171883732,0.3318583732394366,睢阳区
2016_03_26,0.4284717944568511,272.0660136173541,288.2103944542128,283.36288504381037,102561.95461205504,278.55228398058574,101911.13149500192,3.4887493403095934e-05,1.6757619569878712,-0.4796589956876847,0.3362831515492958,睢阳区
2016_03_27,0.6188505119021924,272.1497155494648,292.7522341120334,287.1126454798529,102135.24887566283,280.90096128877224,101493.22983041851,0.0,1.6642940185283703,2.678192571721183,0.34070792985915493,睢阳区
2016_03_31,0.7080595582593477,282.8469088083557,295.98502521940765,290.7569391479608,101106.3903334196,286.3751073692957,100475.8540955156,1.862645149230957e-09,0.8775172230658703,5.2362385912503,0.35840704309859156,睢阳区
2016_04_01,0.5805212225178703,286.15439290932693,298.4031450784493,293.10182344134074,100915.56174740559,288.10562417531906,100291.65005750576,5.210131253141773e-06,-0.2891546211469315,2.741420853538978,0.3628318214084507,睢阳区
2016_04_02,0.750109787382789,281.5861464179749,296.1432122449472,290.29279418830885,101537.20201338205,285.4976105951998,100902.49816832502,0.0022831695124409268,-2.6504398808462017,-4.284470121634366,0.3672565997183099,睢阳区
2016_04_08,0.37233907131516675,288.4386433270449,297.2385348588788,292.5478682854515,101405.80903755403,287.8448808860407,100778.61496879546,0.00011089836300146345,0.3287501554460559,1.2462711322047477,0.3938052695774648,睢阳区
2016_04_10,0.6886144930075276,286.06521534380073,298.61059850916166,292.878386910495,101322.97657818471,287.1689172131309,100695.1299756747,0.00016701695319415967,-1.1547660856018236,-1.989499820658481,0.40265482619718307,睢阳区
2016_04_12,0.5575256064012538,286.7354564112331,297.4259410415046,291.98148371371843,100631.77889997569,287.2821514007251,100009.2190440435,5.9153802364134155e-08,1.4920854837229032,0.5195689378385131,0.4115043828169014,睢阳区
2016_04_13,0.7382950650943274,282.1361214843571,300.6069455919925,293.5045089184548,100670.59623722652,288.03149697404785,100050.97367378096,0.0,1.136884888518665,1.4870033990327796,0.41592916112676054,睢阳区
2016_04_15,0.49808349958600473,285.8989884162571,299.31062675430854,294.3483846163916,100612.26570033227,287.3146181598227,99990.0363118849,0.011058951974514744,-2.860118810890967,1.8308401037678776,0.42477871774647885,睢阳区
2016_04_18,0.5619099966591803,284.01166806280236,295.9476761458013,290.77715955904023,101488.8697556528,286.62141593002013,100857.32359199965,0.0,-0.6023837723423445,1.773181904304585,0.4380530526760564,睢阳区
2016_04_19,0.6863270035385677,285.6903690369965,297.0984518908637,293.1003999427757,101307.28227115766,289.6945625708334,100680.29362609138,0.00012766651802845295,-1.4090490764901136,2.0664517215920672,0.44247783098591553,睢阳区
2016_04_21,0.6990536573196529,287.2154236314502,300.7546675827381,295.5615555767867,100707.8797065532,289.6283368949654,100087.01465444866,0.0,2.921467652845894,2.8462564499202485,0.45132738760563385,睢阳区
2016_04_24,0.7406977662464874,285.57423410509995,296.4818930507792,291.70307726856026,101366.42537056596,286.8692332274871,100737.61516365748,2.727604218025785e-06,-0.7425733400784328,1.688700925451604,0.46460172253521126,睢阳区
2016_04_27,0.446819941757984,283.69761381507203,294.20428734966123,290.4396684917893,101328.72234335139,286.47247161380574,100697.97066708772,7.161804103677647e-05,0.6036789751798208,-0.17022279399205625,0.47787605746478873,睢阳区
2016_04_28,0.4011809924410683,284.77129232547753,294.95112372591507,290.2618862620683,101619.10055503038,285.5571366565079,100988.35411789658,0.00016817875747196276,0.2710668374200073,0.6239522504847436,0.4823008357746479,睢阳区
2016_04_29,0.7738318043279128,286.90865210622,299.0867961758095,295.06539926999193,101016.23926542392,290.7758609553561,100392.57429455199,0.0,1.0904933440777425,4.220009736993739,0.48672561408450704,睢阳区
2016_04_30,0.7191522121574886,289.6570283217919,303.5325811654993,298.4213292797724,100485.70261573902,293.048260392539,99868.73918314037,0.0,1.6572297168884087,4.456038090696195,0.49115039239436625,睢阳区
2016_05_01,0.7279100673928082,290.65945992104656,302.2259556938887,297.71160285837453,100280.37780435685,294.1043991004012,99663.95428555884,0.00017718856417624107,-0.0864173021776037,4.021683855017408,0.4955751707042254,睢阳区
2016_05_03,0.7075452324649293,278.7239985463467,299.2423519789854,293.8365260718239,100793.21369327759,289.10009757773184,100170.93206427936,4.0978193283081055e-08,2.858982232593839,1.1503319180542075,0.5044247273239437,睢阳区
2016_05_04,0.7132093053385501,289.1030603448082,302.1005112934187,297.9260907003058,100465.93524814618,293.5603249339212,99848.7940676353,0.0,-0.2677476863518286,3.981559864580205,0.5088495056338028,睢阳区
2016_05_05,0.6644294428222838,293.7141174708565,303.2067953921747,299.3330633209834,100387.8016941106,295.7305631327271,99773.09210991627,0.0005214247220386687,1.1474447068883618,1.037682151708229,0.513274283943662,睢阳区
2016_05_06,0.5476198333790759,277.75726714018947,299.02817354296485,294.1487907867262,101271.22510406536,289.75292226639823,100645.03685081092,1.6072890879109502e-08,-2.4969151020965756,-3.9684056524864775,0.5176990622535211,睢阳区
2016_05_07,0.5279181249610271,280.9915142182535,298.6971780595333,294.16774737933366,101634.60852952453,291.1499664384758,101005.70592792972,1.511119641323378e-05,-2.1743497721385356,-0.4368127462065681,0.5221238405633803,睢阳区
2016_05_10,0.49835527499438953,286.6116505704369,296.61828963649464,292.0184988184164,101008.04500355033,287.84557256784166,100381.17146027145,4.470348358154297e-08,0.40206700291524033,1.53437906351083,0.5353981754929578,睢阳区
2016_05_11,0.7358657535083035,289.8599067069196,302.0848740940717,297.73461378663893,100336.93585585547,291.90302677686805,99719.90597980052,4.470348358154297e-08,0.08616391916101342,5.656985646003457,0.5398229538028169,睢阳区
2016_05_12,0.6429342578699297,283.9227075095963,301.7964636906247,292.4575693312311,101510.85375584243,285.7038377235175,100879.68660180608,0.00037133635105800157,-1.3600891461006215,-3.2283752185978725,0.5442477321126761,睢阳区
2016_05_16,0.6468959351707184,282.3488857813403,301.06471156837887,294.68879916047933,101258.62836017585,288.51869968391196,100633.7636638751,4.470348358154297e-08,1.6794976587426518,2.929398938137036,0.5619468453521127,睢阳区
2016_05_17,0.6054282294349131,284.818391040357,300.1647566469876,295.08368349284666,101246.24979522813,289.5767765115763,100621.40282801684,4.0978193283081055e-08,-0.9255031894386213,3.204904830704102,0.5663716236619719,睢阳区
