Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2016_01_01,0.383822692210469,272.26108520995774,283.38590226445143,278.1056900888892,102371.34417969357,273.36481146099453,100693.0957473736,0.0,1.6265242603763022,1.7720192232538001,0.0044247783098591556,襄城县
2016_01_02,0.42142506919693307,275.0381362424508,287.87392499581716,280.03418916971214,101878.54073386981,273.28335658291644,100224.44635888874,0.0,1.563565159134982,1.237773096428924,0.008849556619718311,襄城县
2016_01_03,0.2361014673922264,274.58668145988844,286.2481804652819,278.5525026891417,102136.51444189409,273.69604130427797,100463.99355176277,0.0,-0.8885517883522851,-1.771877857702097,0.013274334929577464,襄城县
2016_01_06,0.2097314383144248,271.5457232353361,282.097969410439,275.6311333518477,103068.0856293798,271.40522624317555,101349.64789141563,7.251439675957724e-07,0.5448410238663073,-1.4184901145828734,0.026548669859154928,襄城县
2016_01_08,0.3428499974612281,267.56855296458974,278.6628211833475,272.72762839323127,102747.24906790964,268.84272251012266,101023.5807613402,1.862645149230957e-09,-0.5166636904578785,-0.6486449493500989,0.035398226478873245,襄城县
2016_01_12,0.3022835595696111,266.1609452306839,273.8262879205531,270.775174157585,103126.40013168017,268.5226519335826,101376.2553199152,1.1343896521974188e-05,0.41881513968876954,0.23576409474756826,0.053097339718309856,襄城县
2016_01_13,0.47626150327040995,260.45724446999554,280.13639716184167,275.1065254527685,102592.93928081621,269.43177985050465,100872.13077069582,4.284083843231201e-08,3.637683792369752,-0.9882935780614313,0.05752211802816901,襄城县
2016_01_14,0.4033232405078501,261.55264920003884,281.974117150093,275.1440973669234,102175.95955642265,269.01603324747265,100474.68191862923,0.0,3.2171078410631075,-1.158707579971733,0.061946896338028176,襄城县
2016_01_15,0.4368597528186114,269.65441908475566,283.6615176043931,276.7222990784753,101735.17686180685,268.9450449992481,100053.15136810255,0.0,1.289407212615988,1.7897813021073512,0.06637167464788732,襄城县
2016_01_16,0.403140760724338,271.6697718173621,280.7062746938105,275.954615617173,101933.41412298681,270.94881489356135,100239.25938929137,0.00018532775267928684,-0.3600385810211306,-0.9995578343066515,0.07079645295774649,襄城县
2016_01_17,0.1290401636278196,268.38180912540423,277.2710937568753,272.5522900362734,102400.08556578166,268.8591569015314,100666.48744245822,0.0,-1.2178394520583296,-1.812432749312432,0.07522123126760563,襄城县
2016_01_18,0.21400936282473418,259.67077193633145,277.6721953332704,272.16452831605864,102840.1173656339,266.41076178019887,101102.38937347458,0.0,2.2544776658503487,-1.887549764235296,0.07964600957746479,襄城县
2016_01_19,0.3642280880559999,260.6661437953794,277.66457544214273,273.34062474760697,103032.05184195595,266.32533471641494,101293.05740151278,0.0,-1.1109579212079224,-1.0734395760669158,0.08407078788732394,襄城县
2016_01_21,0.35950027949518193,266.79134806879216,277.14169213166264,272.7039505699667,103112.721143873,270.0055955259537,101370.23103636263,1.1739170050890674e-05,-1.1221110502924876,0.32183576402941283,0.09292034450704226,襄城县
2016_01_23,0.3854779741302968,251.03753945532097,272.0173018921129,268.2342061832345,104530.16685403977,264.26649089244916,102722.72334856646,0.0,4.1766775236474505,-4.130435815472567,0.10176990112676056,襄城县
2016_01_24,0.43985321174534886,249.5744404841625,271.7283820188888,268.40323460303296,104269.66989771285,263.92069234637114,102468.9651589754,0.0,4.981323852467307,-2.299566580652817,0.10619467943661971,襄城县
2016_01_25,0.4010359537667625,252.3422473187783,277.9736079329193,272.160633073345,103255.07744598511,266.9286206076582,101508.43232652429,1.862645149230957e-09,3.6604164779980004,-0.32468421509122225,0.11061945774647888,襄城县
2016_01_26,0.41491046207588234,259.7418235476443,281.104300241264,274.53739126340497,102796.29129377707,267.5566916902753,101079.44516990296,4.284083843231201e-08,0.42684143658539314,0.31896180270066504,0.11504423605633803,襄城县
2016_01_27,0.34443323808971804,265.9291190235514,280.5333499844304,276.3557300523441,102484.91699131418,269.0306982542335,100778.51988229988,0.0,-0.9052367315901025,0.6353072757387906,0.11946901436619718,襄城县
2016_02_02,0.42402931836832736,264.05257331217103,280.82918442398733,273.96949794508106,102977.05787971716,266.8478507746487,101254.12878733582,0.0,1.549846319778171,1.731264929419979,0.1460176842253521,襄城县
2016_02_03,0.385333915729182,266.74304236590075,281.2814740755626,275.5165161862432,102839.91873883965,268.91746694449387,101127.73611706085,1.862645149230957e-09,0.48976964775225557,0.9434226704533341,0.15044246253521126,襄城县
2016_02_04,0.36379792881091694,267.1668828534733,282.9951723625456,276.41364588155693,102864.39084531875,271.41316135142586,101161.94271297821,4.284083843231201e-08,0.37024885684170133,0.3685711440970283,0.15486724084507042,襄城县
2016_02_05,0.3016749447002985,255.67227125772519,282.02363170851356,277.0164296395231,103264.52780869919,272.3129602345711,101536.75405166492,0.0,3.9126220138638796,-3.548286665593473,0.15929201915492958,襄城县
2016_02_06,0.38687081855243693,256.3817590577427,282.47725805904145,276.49768780413575,103003.1914937976,270.8796350266088,101291.39653835875,0.0,3.196136557423146,-1.4217093964819056,0.16371679746478873,襄城县
2016_02_07,0.42753175815097944,263.1924397179467,285.3552154498692,278.29676294837935,102214.69591880206,271.6607148424765,100539.45224345579,0.0,3.280952559721686,-0.9818529712676104,0.1681415757746479,襄城县
2016_02_08,0.3915165420804276,268.4449742319984,293.39572532954446,281.7704698569852,101693.46608177258,272.5630612289177,100058.00244246033,0.0,1.9914164967539612,0.554637410425664,0.17256635408450705,襄城县
2016_02_09,0.4244100668595927,269.5894293449179,290.1957307175722,282.8603263505332,101661.54059139999,273.2151797759713,100011.58003985789,5.207238140927817e-07,-1.2284939676940143,-1.836977946451048,0.1769911323943662,襄城县
2016_02_16,0.4807062314028517,258.83570367691357,284.40889830291445,279.1524382755722,102696.73144109856,274.6192678521976,100997.43329813035,1.862645149230957e-09,3.7269105695127265,-1.832354941674099,0.2035398022535211,襄城县
2016_02_17,0.43991072462174563,264.457329339662,287.0252119678042,280.54411462135454,102344.46004322157,274.12579746910035,100668.10356915412,4.284083843231201e-08,2.0877786939874574,1.0557817336789996,0.20796458056338027,襄城县
2016_02_18,0.44144187643880606,266.37024082220364,289.013236565741,282.0002843428389,102295.3966377759,275.3662717792921,100630.84935908674,1.0323463878087322e-08,0.09513799227739107,-1.1017652324709968,0.21238935887323943,襄城县
2016_02_29,0.48014035247719783,267.2907919743137,285.2326137105937,279.6043939426031,102967.63801199134,273.65005461806487,101265.75480181313,0.0,-1.8792127749537322,0.24296306518693814,0.22123891549295777,襄城县
2016_03_01,0.38181734371813003,270.44876056085707,288.53066665561795,282.41824127089063,102354.95640807725,275.19573447620195,100690.49208219691,3.9064663558953255e-06,0.10545958199917663,0.5360613425304255,0.22566369380281692,襄城县
