Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,272.41486991718773,282.36322996316807,278.3754917811771,102249.40979242342,273.53579138943394,101688.65114714681,1.862645149230957e-09,0.732174569838765,0.09805663209384433,0.3612068012323045,0.00905358097982709,项城市
2001_01_07,272.7074835174086,276.3982440142493,274.49617913801865,102301.06417506622,271.46912225783433,101724.65674240724,0.004611738499997299,-0.9416872278577312,-2.897794844843769,0.44272670849266704,0.031687533429394815,项城市
2001_01_10,272.2424809143886,280.08732988956524,275.12152666102793,101740.91561622015,270.58917624476214,101175.48852374576,1.862645149230957e-09,2.4924313407827787,1.6830586862385473,0.32561376821532245,0.045267904899135444,项城市
2001_01_11,272.04044859594416,280.581586480784,274.6171588819484,102084.48417569912,270.9073638021584,101509.74761670383,0.00014175429036105165,-0.2671202240332179,-2.342116861983765,0.5245785661898978,0.049794695389048994,项城市
2001_01_14,265.03718204598994,273.2038728711739,269.9210937526033,103527.44949405057,267.3771185065236,102936.13260916556,0.0,-1.0277813884864844,-0.957815909860792,0.2894237678573432,0.06337506685878963,项城市
2001_01_15,266.6778453369005,274.66002824160853,271.29081603962226,103389.11150973465,267.8991617306219,102803.23721401574,0.0,-1.5823015872259987,1.368835923141388,0.29773093829269337,0.06790185734870317,项城市
2001_01_16,269.9249827469599,278.1311130395392,274.7605209121269,102902.13518982213,268.8324609900471,102325.9962448515,0.0,-1.6374351831339558,1.225508503633451,0.42551434871935107,0.07242864783861672,项城市
2001_01_17,273.3418187670029,280.7892238506897,277.54242596653813,102422.06673259828,271.5129493187601,101854.08838813611,4.302080531504915e-05,-1.6037741894621071,0.9557236232090706,0.48142686562945575,0.07695543832853026,项城市
2001_01_18,274.4278459470177,283.9093674253166,278.33124817121455,102491.0620297396,273.70264098905267,101923.13127312531,0.00041675486779105194,-1.1913935254957169,-2.0219471235203557,0.4099582055737138,0.0814822288184438,项城市
2001_01_26,267.92109980181726,272.53098786628794,269.9540300388703,102497.02075297874,264.78666630812626,101916.39081640958,1.862645149230957e-09,2.00369199309121,0.6343415125989214,0.01361963822430959,0.11769655273775216,项城市
2001_01_29,270.20029180860644,279.9261781694408,274.956122940181,102379.90740618046,269.98298514788064,101813.74899099338,4.284083843231201e-08,2.1438816803200655,0.44511108401329896,0.01893112704502296,0.1312769242074928,项城市
2001_01_30,272.6736997440815,281.79233677941124,277.64903644331037,101869.59892653498,271.451711582346,101308.61341341044,3.3414708985549816e-05,0.5734430933962092,1.0371221287335692,0.08133126705984829,0.13580371469740635,项城市
2001_02_09,272.87571904551515,282.45477787434567,277.30357969149406,102670.56832166332,272.88076270484464,102105.79065002764,0.0,-0.2919516187683758,0.2840334571050662,0.4582628215376433,0.18107161959654178,项城市
2001_02_10,275.47664525887444,286.0575357599374,278.9868295148142,102534.2441219941,273.2221955423229,101968.67122184497,2.7698519139902858e-08,-1.8472040528039648,-0.5501995945783843,0.4244002652411861,0.18559841008645533,项城市
