Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2016_01_01,0.14147940728220476,270.66162358435145,284.8475283215145,276.27590493372975,102086.84178593653,270.3118269720636,98810.57494635163,0.0,1.5247422854879928,0.8561769119216519,0.0044247783098591556,龙安区
2016_01_02,0.16528705789177658,271.39361266660364,285.65227792595,277.21304633455316,101854.16697502733,270.6439239678109,98570.65521746258,0.0,0.4464922231504297,-0.47408687719564235,0.008849556619718311,龙安区
2016_01_03,0.07722455806867848,272.5912380737302,282.36307844080375,276.27819728495535,102298.31862531975,271.17343427711705,98948.78834054263,1.6096646921782097e-05,-0.5461775506265648,-1.3779233668994608,0.013274334929577464,龙安区
2016_01_06,0.056844520590629236,268.29091894201025,277.5225002586591,272.8373519036447,103160.53033800764,269.5645198807326,99723.86510372105,2.4688631121343207e-05,-0.644804195351853,-0.9040121353256889,0.026548669859154928,龙安区
2016_01_07,0.0843886467198836,266.373615939052,275.06602235990624,270.25731695365823,102980.83304069242,266.5167210106071,99530.93116520622,4.8535845140424016e-05,-0.35649328067727754,0.222870791157049,0.030973448169014088,龙安区
2016_01_08,0.12717599100748653,264.44340207124657,276.5947282167991,270.5633686197358,102741.54536987346,266.4251856283597,99314.93274334949,1.862645149230957e-09,-0.04802992024811519,0.7532505978912111,0.035398226478873245,龙安区
2016_01_09,0.13567187495868302,266.2319871784344,277.1310926930892,271.28680763612846,102448.67405646399,266.5109129688595,99055.47377252537,4.284083843231201e-08,0.07485392848621197,0.6668287905691326,0.039823004788732394,龙安区
2016_01_12,0.14510062974678953,260.6607350327586,272.58216017151017,268.5174867788166,103057.42127477765,265.88350622459495,99585.07056321375,1.855874658134441e-06,-0.10998593242094903,0.9022265456404307,0.053097339718309856,龙安区
2016_01_13,0.23171516901358122,255.85435066531102,280.1651883801814,272.7123048030498,102377.73193260723,266.6304964659299,98989.1315436357,4.284083843231201e-08,2.0829837885296385,0.22974423059883306,0.05752211802816901,龙安区
2016_01_14,0.2051068835544309,256.15287723797553,280.9673316697785,272.98419063658133,101977.93831252263,266.52261414439414,98620.40991717945,0.0,1.6678250248107664,0.5368209152098113,0.061946896338028176,龙安区
