Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_02,270.4078838315696,283.3070083928763,275.5289566197023,102607.18193214243,269.0403523798705,96934.2252476863,0.0,0.25353460543548334,-0.9093539475513969,0.254666926915042,0.008630748901098903,博爱县
2017_01_03,272.2851792346908,284.2609128872938,277.34453522257144,102198.38184241609,269.2056166526812,96571.71243470754,0.0,0.16605764658308161,-1.0527627945178657,0.23272735002506725,0.012946123351648351,博爱县
2017_01_08,268.43771454219547,281.3730524234816,274.76217708480436,102325.55807542519,270.9618326680221,96604.10441573584,0.0,1.409611093881559,-1.6938620397417508,0.22702819395962778,0.03452299560439561,博爱县
2017_01_09,272.1896349407354,276.8141406779131,274.7524997876259,102603.64170894405,270.8698523023473,96813.5936781936,0.00011487836930112895,-0.48333616457322415,-0.2596491239467212,0.18730867322412084,0.03883837005494505,博爱县
2017_01_11,264.49449659973084,280.9993790139432,276.02657368929744,102528.377768514,271.0847259974652,96779.93914688453,4.470348358154297e-08,2.1194116957928952,-1.6351846160124783,0.2111913730747961,0.04746911895604396,博爱县
2017_01_12,263.0326315928083,283.2195643659357,275.91451222622334,102188.57311564805,270.460318308877,96484.3676627986,4.284083843231201e-08,2.0732321918867225,-2.114910322897558,0.47000974558425856,0.051784493406593406,博爱县
2017_01_13,265.03218555629684,282.38841596385873,274.91811881257877,102598.61268460094,268.99246409110657,96824.66801346156,0.0,-1.1254047057192067,-0.971520185952897,0.37809014303512894,0.056099867857142854,博爱县
2017_01_14,262.2351474738914,276.2752572086341,272.27045532462813,103202.13644511269,268.1782487176497,97322.80280764677,0.0,-1.8959094214464869,-0.3384607348356949,0.34073825367752536,0.06041524230769231,博爱县
2017_01_17,270.1401364421297,278.47819981935396,273.89485689731515,102984.78062094294,269.7504872506187,97165.44937293003,0.0001530627420630004,-0.6192793133889465,-0.45234878527571354,0.05207432432124464,0.07336136565934066,博爱县
2017_01_19,253.37296641857353,277.7204815706622,272.0334324537065,103414.61403643308,264.50535104549823,97509.8162231638,1.862645149230957e-09,2.500369204340989,-3.377604293563993,0.45994934189657927,0.08199211456043956,博爱县
2017_01_20,256.33183307767257,274.61182553777394,271.02160227566105,103217.88128380069,264.8660351498486,97336.68807945334,4.284083843231201e-08,0.9217174937811036,-0.3959479330090917,0.45159562655034113,0.08630748901098902,博爱县
2017_01_21,256.0085408506081,280.62486615675965,273.22294073176414,103164.1260010725,267.0777452932757,97343.64148155108,1.862645149230957e-09,1.4334328771275664,-1.9912130614798742,0.44902430874172417,0.09062286346153847,博爱县
2017_01_22,260.4005506664701,278.94310068498487,272.653900933379,103252.36523927905,267.46317598382905,97427.88067805264,4.284083843231201e-08,0.12316377577238674,-0.3323909434705654,0.22140948865162957,0.09493823791208791,博爱县
2017_01_23,265.6485714561367,277.762051358481,273.04791215637465,103222.20342737605,268.6982139224899,97391.557260244,0.0,-1.1215065318708326,-0.7766614204272123,0.21834295804879597,0.09925361236263736,博爱县
2017_01_25,268.27739450192195,280.37893306903715,275.5020175157341,102843.45217956946,268.11474031292977,97096.91643667895,1.862645149230957e-09,0.3481010338809555,-0.47468794824386507,0.19152698148474714,0.10788436126373628,博爱县
2017_01_26,265.0282567862766,285.3992967595858,278.634480761912,102696.29197604343,270.9233540163613,96997.4137041005,4.470348358154297e-08,1.446110076856692,-2.27803236056944,0.017607223476297968,0.11219973571428571,博爱县
2017_01_27,263.5076735952919,278.4230631250319,276.07476777550494,102616.45705431749,271.4574434601253,96823.99663771028,2.693216035535431e-06,-2.143618578609093,0.25160084070827754,0.1258555769210252,0.11651511016483516,博爱县
2017_02_01,262.491565651424,276.63921518046357,272.1647795958231,103641.17980021138,269.13766933119126,97742.63656168408,1.862645149230957e-09,-1.3796138987845679,0.12009776090024649,0.39694916067267383,0.13809198241758244,博爱县
2017_02_02,263.52767695613375,275.34694498762826,273.17039020857885,102889.50065511045,270.23269318520977,97043.64847955098,4.088833037206602e-06,0.27267069686517886,0.21124294435350727,0.09763494414338161,0.14240735686813186,博爱县
2017_02_03,267.7023265107557,280.15867483595827,274.7546135051621,102134.62343432363,270.1642803011882,96404.53272175448,3.725290298461914e-09,-0.04330435223854469,-0.10025023500900086,0.14783714483270344,0.14672273131868133,博爱县
2017_02_04,271.3891097499452,285.22548629218204,277.03642111748644,101798.69204540299,270.17705214509436,96154.53782858184,8.568167686462402e-08,0.21549751720151022,-0.9160128419423139,0.14025070385534646,0.15103810576923077,博爱县
2017_02_09,257.18330500470904,278.11295014112295,272.64612852699634,102970.60255454923,268.0179405364785,97126.8115782283,0.0,1.9051212664090171,-2.140275529419004,0.28086570975121045,0.17261497802197803,博爱县
2017_02_10,258.7520645794457,281.81137582718253,273.96789028626205,103040.87798394686,268.63288274108345,97255.16935756845,0.0,1.48603970679481,-2.0772064105546355,0.46343879563697316,0.17693035247252747,博爱县
2017_02_11,260.60268262426143,284.93415194057764,275.7328559993311,102779.9131408549,268.96269211772216,97076.91056582912,0.0,1.3800775549427664,-1.4501675758528134,0.4265462933942952,0.18124572692307694,博爱县
2017_02_12,264.7901047507417,285.9992036247802,278.557927467083,102614.142392976,270.10617375720426,96964.01408673139,0.0,0.7687981874621883,-0.594129270073879,0.2604493656779856,0.18556110137362639,博爱县
2017_02_13,267.86366805199583,287.06269245350734,281.67771025515657,103101.83831796361,271.29364794783055,97425.70479901941,5.475806455810524e-06,-1.2810478437217,-0.5697750489189735,0.3965063112365566,0.18987647582417583,博爱县
2017_02_14,271.1644597183248,286.83464660273455,280.86559207558093,102931.64263758513,274.51269949519536,97271.81050319887,0.0,-0.6892273006145734,0.033060034483500624,0.1969779341578209,0.1941918502747253,博爱县
2017_02_15,272.53222524619207,287.4784638590205,282.04986889624456,101678.49663571449,274.8005971353572,96119.99795826907,0.0,0.10842788145348355,0.09073289487990835,0.3451215174658861,0.1985072247252747,博爱县
2017_02_16,272.32879703692873,292.803887834143,283.2327039453602,101915.43045352273,274.6974618253995,96307.3808508146,1.5417176362632623e-06,-0.32986809950365625,0.07620880069148941,0.2909246112149916,0.2028225991758242,博爱县
2017_02_18,270.79784276438943,288.2813333544208,281.65419854296516,101729.49099744885,272.0603016883322,96172.94786576492,4.284083843231201e-08,0.018653504903956425,-0.05151568214480107,0.28490187435754805,0.21145334807692306,博爱县
2017_02_19,270.7353329994041,291.9823959544605,284.7685024151872,100939.97306767869,275.93755450442984,95419.33483116553,0.0,-1.1871537628234674,-0.6362060829510976,0.24064669059330188,0.21576872252747256,博爱县
2017_02_20,256.8073619141518,280.2737444212564,276.2962012351571,102885.11487972952,272.07995238458585,97062.85669715988,0.0023743367885803866,-4.687481885370273,0.272008877365078,0.1608018425240335,0.22008409697802198,博爱县
2017_02_23,266.8331695191618,280.68472997578766,276.1471736034515,102908.14929836904,270.80830499277016,97144.64688389261,0.0,0.43990151149199574,0.10804957031066473,0.28710752152786956,0.23303022032967033,博爱县
2017_02_24,264.18825389794057,285.47434147208037,278.17258160257927,102586.59013672576,271.8017918581102,96896.82333793252,0.0,1.4636323098921096,-1.8098155404345893,0.4169053465804025,0.23734559478021977,博爱县
2017_02_25,265.536138447765,286.13993050075,278.90517280140267,102397.10019675922,271.42985637779526,96733.26414735828,0.0,0.7347542181524358,-0.823730528363419,0.3743258967701745,0.24166096923076924,博爱县
2017_02_26,264.6995217278058,287.26584008480285,279.2609920498144,102520.78010371997,272.6100109228117,96877.4197794765,4.84615598374189e-06,1.1116694930142135,-1.6620377555278167,0.22997758634807716,0.24597634368131868,博爱县
2017_02_27,268.62174511740926,288.6788794016224,282.56635758926984,102153.61705871568,274.0043096775366,96574.90725966437,0.0,1.012215038730822,0.17231397434812215,0.44477298539268284,0.2502917181318681,博爱县
2017_03_01,257.3644346281649,283.5429710674563,277.7101961763426,102683.72473106337,270.26962298182906,96951.67728434301,0.0,2.520128984208312,-3.8927665615413405,0.4930797737398683,0.258922467032967,博爱县
2017_03_02,259.4490387703302,285.8820278744344,280.4229506121397,101891.55989385779,271.74536846742967,96266.61117502616,0.0,0.8284082399480537,0.2905600252142021,0.5190063151513087,0.2632378414835165,博爱县
2017_03_03,265.5269719031222,292.14943172885467,283.2619863910048,101277.63499279167,273.96352444450724,95765.35217968388,0.0,0.6162790687311096,-0.9609409238576788,0.38079289660778826,0.26755321593406595,博爱县
2017_03_06,262.37797752438485,287.508054074487,280.67732585467957,102007.34361958657,273.2827059932356,96373.06771022818,4.284083843231201e-08,2.056900374755554,-1.3130456237261139,0.27298760583855614,0.2804993392857143,博爱县
2017_03_07,263.2529735404935,286.0612240902977,278.4360501065604,102345.75422800457,271.467554168491,96642.81780274808,0.0,0.21058982714412056,-0.32971264722418625,0.22681446443729245,0.2848147137362637,博爱县
2017_03_08,258.496877285406,286.8189639809578,280.0889498525222,101932.83782298391,273.3053198703579,96303.8711258551,0.0,2.035151843827737,-2.290085112074788,0.49472850056308615,0.28913008818681324,博爱县
2017_03_09,261.1167418440616,289.33115316298824,283.18909391925195,101544.11674524122,276.5778040934521,95992.02867105015,0.0,1.067391826531843,-1.015130644228517,0.24505966711489977,0.29344546263736265,博爱县
2017_03_14,263.5157144329973,285.626642397722,280.58398595049664,102608.9330594248,275.9684958653097,96925.50407095472,0.0,-1.29889880569506,0.21942948139815158,0.39711084523726325,0.3150223348901099,博爱县
2017_03_16,272.18583582506915,285.2976349170565,280.6327416767112,102047.66668914205,276.5100490496691,96392.23468320646,4.284083843231201e-08,-0.0949354637656151,0.8490313720701234,0.35173442183472686,0.3236530837912088,博爱县
2017_03_17,273.95250819884166,287.03225909375857,282.1840293958957,102040.69996014399,276.6360238205782,96433.89059897717,0.0,-0.1683533371613663,0.28465331500088653,0.35313990538138285,0.32796845824175824,博爱县
2017_03_18,273.3743230590255,288.61595624921364,284.9340177019765,102279.35059771998,278.7086329492633,96681.13156284331,2.752702704812856e-06,-2.3131370914903684,0.5033914481976022,0.3146222806301877,0.3322838326923077,博爱县
