Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_03,276.73901709355755,283.25128570918133,279.4313989743364,102243.5848768417,274.5636721884477,100222.67809721964,0.0,0.37825604665278095,0.514822301093186,0.4887580318746599,0.012946123351648351,宛城区
2017_01_07,276.5360658459172,281.65688188910883,278.1890099565382,102229.12778432133,275.43294040934086,100184.72819805035,7.3288204207457e-06,-0.6209838724762533,-0.4493740482415875,0.31979655127408835,0.030207621153846155,宛城区
2017_01_08,274.9787272831235,282.6566746371947,277.06989261214864,102390.02865283284,272.22855905401036,100343.77953215601,0.0,-0.14807747622731884,-0.07733141957507815,0.5165542607502752,0.03452299560439561,宛城区
2017_01_09,274.26201973051667,281.71935186271264,278.4078445790175,102509.15349399425,273.34108181584526,100459.7798577648,0.0003603286970450671,-1.2215127344428591,-1.0749344809642378,0.518685939852286,0.03883837005494505,宛城区
2017_01_11,273.0540201384699,281.7652129361964,277.1303884651904,102694.99945859962,272.9936871077499,100638.5343279004,2.27801770139837e-07,1.5621278363725422,0.4771202791721103,0.24956198415348024,0.04746911895604396,宛城区
2017_01_12,270.2852532339901,284.7367771371369,277.8563687274109,102282.83537641194,272.16215683205155,100252.91128500122,4.284083843231201e-08,1.4615036044561598,-0.08808189768028783,0.5012875411204601,0.051784493406593406,宛城区
2017_01_13,270.3353863707622,285.00284701720074,278.29757490282515,102474.67905642465,272.4695146368208,100428.65582446102,0.0,-1.5469624820213106,-0.7574743248856612,0.5972018525054477,0.056099867857142854,宛城区
2017_01_14,268.8440107363601,280.0251618514811,276.1756525589496,103028.1001010485,272.51453536057517,100942.7774642217,0.0,-2.438882017053615,-1.9679402887592563,0.5396827447622521,0.06041524230769231,宛城区
2017_01_15,267.00369838059856,278.63620220184447,274.7919205774926,102962.99108615101,271.09920237274633,100875.65922929606,0.0,-1.3508666572251644,-0.9508552116829607,0.6134946267707997,0.06473061675824175,宛城区
2017_01_16,270.4697222809681,279.59901925188626,275.92898758947246,102913.65995240306,271.4931305427733,100836.73374867729,1.5088584288441332e-05,-1.178435527780284,-1.1131259997680822,0.5509815670498818,0.06904599120879122,宛城区
2017_01_17,272.2392745395799,280.53385946221516,276.82774822918236,102917.9543066561,273.1076983861024,100847.12869120477,5.56800793812146e-07,-1.2006941258585226,-1.0136158734499514,0.27554324964565047,0.07336136565934066,宛城区
2017_01_19,263.48398063563354,282.8852558653624,276.333891096045,103331.31097322436,270.42597789560443,101250.2914488399,1.862645149230957e-09,-0.40651598775054715,-2.1415692640858777,0.3502939925625132,0.08199211456043956,宛城区
2017_01_20,259.9937456567054,278.20235039225724,273.9569795071961,103343.96522182305,270.650680830971,101246.34268877015,4.284083843231201e-08,-0.2941005144017673,0.3903997403149511,0.3986781531022991,0.08630748901098902,宛城区
2017_01_21,266.5726690456424,283.6143814516865,276.4942080336017,103150.48230045923,270.54195480148496,101089.95065111354,1.862645149230957e-09,-0.45516592765856106,-0.18468006880821067,0.5460741543109549,0.09062286346153847,宛城区
2017_01_22,266.86618935207275,282.8502471972289,276.5223926113899,103220.4816799903,271.12130694567304,101157.90168059566,4.284083843231201e-08,-0.881334664577018,-0.6409918671307222,0.35394272600419724,0.09493823791208791,宛城区
2017_01_23,270.8198050717355,283.90365039899973,277.9194824428483,103040.84683139467,271.91510655135636,100986.99906627441,0.0,-1.2689625247236964,-0.7175723140138422,0.5110273848859483,0.09925361236263736,宛城区
2017_01_25,271.97049284505334,282.87175748727043,277.9423631289857,103009.69439345434,271.4395648936607,100952.1762519745,1.862645149230957e-09,0.9605845814495689,1.312370979713508,0.5299730280992805,0.10788436126373628,宛城区
2017_01_26,272.8180068545855,286.1704007928285,280.914497211186,102705.5955156393,274.71104797849176,100676.09403441708,4.470348358154297e-08,0.15103956823845416,-0.700263452043851,0.3845503009528962,0.11219973571428571,宛城区
2017_01_27,267.77112106137525,281.72160114710806,279.50217103119064,102459.76264029344,277.49504045421327,100409.40215000938,1.6282299854713468e-07,-2.5113445676919666,-1.3591103353233607,0.3333530174121149,0.11651511016483516,宛城区
2017_01_30,262.3388001135219,275.4400276241937,273.46212933147876,103445.82331151883,270.8330497160498,101322.18482964736,0.0,-2.558807805107536,-2.0780346940287435,0.545906266255697,0.1294612335164835,宛城区
2017_02_01,269.49635227271847,275.6251502047816,273.1278244483105,103604.71717330083,269.58457140941476,101489.91591198556,1.5964588051027316e-06,-1.8458359495433483,-1.39961965043125,0.1168373368238423,0.13809198241758244,宛城区
2017_02_03,271.6833035244268,280.3773609591904,275.56666907778447,102257.57728331581,271.6269928413543,100195.65232351395,3.725290298461914e-09,1.1123351049061412,1.5137245018213927,0.38451167563507116,0.14672273131868133,宛城区
2017_02_04,275.1736046083552,283.46099430120654,278.33430875339224,101878.91078548964,272.2358822438039,99846.8031634458,8.568167686462402e-08,0.9540384440644616,1.2156071773328099,0.4623083191380603,0.15103810576923077,宛城区
2017_02_05,276.6458973164712,282.3358501162679,279.2303953684522,102144.18857152446,274.15880900789153,100106.31062249506,2.1379767047765375e-05,-2.3288998016524833,-1.1928548384966795,0.13137520449870885,0.1553534802197802,宛城区
2017_02_09,267.5033357526888,280.9166091835756,274.927507277569,102998.91201471126,270.18368118406664,100923.92564920367,1.1421704495371842e-07,-0.42924097718834237,-0.41279932202683345,0.5024791147807675,0.17261497802197803,宛城区
2017_02_10,266.0633236517078,282.713997850145,277.335145451323,103138.78190574454,270.25884541055177,101074.89397697122,0.0,0.062084962309212954,0.39811825060468203,0.5699689481001868,0.17693035247252747,宛城区
2017_02_11,268.6242625476115,285.6216458822199,279.07160205757253,102935.56740817605,272.9540181600285,100888.18584154527,0.0,1.285014334047288,1.607183350653261,0.5863381310322728,0.18124572692307694,宛城区
2017_02_12,273.130760470306,287.51142685089906,281.0208509275051,102709.71600202845,274.35905875087326,100679.79828503443,0.0,1.135238983333419,1.9459409942959747,0.5877963226573673,0.18556110137362639,宛城区
2017_02_13,275.33550684146985,288.86126799578193,282.471657428931,103000.8160186464,276.65752397128466,100980.02628092846,1.851645644174315e-08,-1.1632373116052719,-0.2090306753713762,0.5689010390144225,0.18987647582417583,宛城区
2017_02_15,276.5939553852339,289.3844509894116,283.98830172948095,101892.65658849408,277.50962955162703,99897.06859992348,0.0003223090540247616,1.475207012950444,2.3761963872985485,0.48753101511556507,0.1985072247252747,宛城区
