Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_02,273.0107636084251,283.4399764986953,276.2962012367758,102642.86120651105,272.0360857191301,99557.82739018783,7.78861410941556e-08,0.33855764395402765,0.48480357441625616,0.329953872300845,0.008630748901098903,新密市
2017_01_03,275.0297274773473,283.83489832714235,277.80112678926,102228.33618013366,272.82629523718737,99167.39805449637,1.606937057415971e-07,0.3837177314964958,0.9659994530632892,0.3631375691214347,0.012946123351648351,新密市
2017_01_08,270.75506446889176,281.2178813010876,275.96496560136234,102360.06213677855,271.62573280198194,99254.34138632733,1.1108295435287871e-06,1.8207338936115596,0.17066116016437796,0.3452376921134949,0.03452299560439561,新密市
2017_01_09,273.2944439027875,278.60103204942124,275.85958664768617,102599.19983117767,271.7960583384117,99465.25103310354,8.253253379487847e-05,-0.28539438973843795,-0.21934816873260332,0.36353768177640133,0.03883837005494505,新密市
2017_01_11,268.03380186515113,280.8822737753653,277.6158482040522,102563.73073702345,272.8318514426774,99445.76910695714,4.470348358154297e-08,3.5616192451933504,0.1064614045384634,0.27823513346066714,0.04746911895604396,新密市
2017_01_12,266.08253687628644,283.24938520426656,278.39957504664665,102214.83561956784,273.69533689580044,99123.09585952933,4.284083843231201e-08,3.5160455537945965,-0.38401643966575905,0.3889380111019949,0.051784493406593406,新密市
2017_01_13,267.05774783206954,282.99593824807425,276.2365745179469,102594.92741793884,269.92694627457996,99467.58780668785,0.0,-1.0182483876565867,-0.5842483844040812,0.38506770390006756,0.056099867857142854,新密市
2017_01_14,264.7564437784681,278.2322902629928,273.80727924602525,103176.02605182513,269.576646281147,99998.06293992909,0.0,-1.8843149422634542,0.145123356481604,0.36557257844123353,0.06041524230769231,新密市
2017_01_15,265.8290929335207,276.57005115364984,273.0789865354247,103003.77539406535,269.5623942847863,99827.21556940395,1.170245278754573e-05,-0.10348968129304975,1.0440858211114088,0.3812125659279699,0.06473061675824175,新密市
2017_01_16,269.9217245746867,278.38905002561006,274.57795345967867,102961.28923856444,270.5869924176572,99804.4647585483,0.00010723346027196768,-0.35432397768825036,0.4377751294629111,0.289305227021731,0.06904599120879122,新密市
2017_01_17,271.53224290324664,279.37259625456574,275.4008105596258,102986.63780410288,271.08216649414015,99836.5842032604,6.29730401706852e-05,-0.6109906726319089,0.13726016714929937,0.12674863294806268,0.07336136565934066,新密市
2017_01_18,271.18851345823975,276.86433190053975,274.3949480233692,103096.48998732227,272.0970118812135,99930.23191715928,3.6149406444046526e-05,-0.23668749173666936,-0.21006853088769153,0.21430547712588885,0.0776767401098901,新密市
2017_01_19,258.87891396397976,279.9243342625105,274.3110082115181,103385.55708135385,266.562817489196,100202.88070114462,1.862645149230957e-09,3.1572350637923017,-2.1625382119650416,0.30779257218650036,0.08199211456043956,新密市
2017_01_20,258.80392498514493,276.12599689318233,272.5222671615016,103267.20460735042,266.7619493595755,100078.3924027857,4.284083843231201e-08,1.0870116385783488,1.3123730309223374,0.3696902054593082,0.08630748901098902,新密市
2017_01_21,260.65227467235786,281.65193716257545,275.1596298712921,103174.31853099533,268.521350070956,100021.81565796478,1.862645149230957e-09,2.117993023931961,-0.7786143348975049,0.3774587768302253,0.09062286346153847,新密市
2017_01_22,264.3383155363509,280.1539248967923,273.3296849354578,103273.54308567975,268.5785488395766,100119.52023035997,4.284083843231201e-08,0.07009429795707653,0.6628726734077498,0.28801867744875437,0.09493823791208791,新密市
2017_01_23,268.22321557958304,280.33644891742586,274.6083987545404,103201.87183127912,269.02301991940516,100047.52591717555,0.0,-1.4601961769462786,0.3360473766880463,0.3437824189981515,0.09925361236263736,新密市
2017_01_25,269.95654179632777,281.8623441157659,276.2953024123689,102884.23630324415,270.22060269805365,99767.32428611911,1.862645149230957e-09,0.6541980552445493,1.759658714373469,0.3469438024463364,0.10788436126373628,新密市
2017_01_26,268.20256266180576,286.6388455162651,280.347362967713,102715.45901028905,273.2032524130007,99625.18637278528,4.470348358154297e-08,2.1487794007336922,-0.7200841147235336,0.1569351882479124,0.11219973571428571,新密市
2017_01_27,266.15680361723287,280.701244490178,277.8028498115373,102587.29468845866,273.14336426016564,99457.85729386847,1.3717512031576469e-06,-1.8226938022995227,0.863941715654657,0.20302871103165906,0.11651511016483516,新密市
2017_01_30,260.4649657745221,273.1717302213643,271.3860558557052,103542.43771622583,267.90920168608943,100309.14248957938,0.0,-1.4330696883761467,-0.11593973630184012,0.3325791277746868,0.1294612335164835,新密市
2017_02_01,265.1172949051003,277.0634445734961,273.1238110148729,103637.6949793188,269.6540159297666,100442.82336720785,1.862645149230957e-09,-1.4774220938050153,-0.39189745595681913,0.345739142402663,0.13809198241758244,新密市
2017_02_03,270.4026569386275,280.6185046527454,275.0464646381688,102175.83252261866,271.12232608619615,99063.48254674804,3.725290298461914e-09,0.2335721294912676,1.2552383430329288,0.3208492541985024,0.14672273131868133,新密市
