Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_12,265.4458923339844,283.4384460449219,275.4003601074219,102097.7734375,269.3318786621094,97942.9609375,4.284083843231201e-08,1.4850019216537476,-0.3656410276889801,0.4539127872848969,0.051784493406593406,牧野区
2017_01_13,266.0324401855469,280.8301086425781,274.69940185546875,102643.0703125,269.9612731933594,98412.8125,0.0,-0.9326968789100647,-0.9495881199836731,0.4081690513436114,0.056099867857142854,牧野区
2017_01_14,262.61968994140625,276.90545654296875,272.9366760253906,103227.1875,268.99530029296875,98932.3359375,0.0,-0.797443687915802,-0.49325501918792725,0.4198222840644966,0.06041524230769231,牧野区
2017_01_17,270.7143249511719,278.14404296875,274.28997802734375,103015.3046875,270.83203125,98756.2890625,3.9616599678993225e-05,-0.46476176381111145,-0.2890070378780365,0.006914212548015365,0.07336136565934066,牧野区
2017_01_19,257.6787414550781,279.7982482910156,272.88458251953125,103313.2578125,265.78656005859375,99017.2890625,1.862645149230957e-09,0.850447952747345,-1.9147685766220093,0.41227771049047013,0.08199211456043956,牧野区
2017_01_20,258.142578125,274.4598083496094,270.8456115722656,103185.0546875,265.78515625,98878.4140625,4.284083843231201e-08,1.0390671491622925,1.5625542402267456,0.3975884599989707,0.08630748901098902,牧野区
2017_01_21,260.2527770996094,281.3963928222656,274.4264831542969,103148.0,267.9022521972656,98891.1171875,1.862645149230957e-09,-0.25334474444389343,-0.8959348201751709,0.41080009063432504,0.09062286346153847,牧野区
2017_01_22,262.8733825683594,278.1052551269531,272.791259765625,103299.40625,268.3387756347656,99020.6640625,4.284083843231201e-08,-0.3534877598285675,0.38420310616493225,0.34877783361306297,0.09493823791208791,牧野区
2017_01_23,266.308349609375,277.940185546875,273.5787658691406,103264.8203125,269.1130676269531,98995.375,0.0,-0.573862612247467,-0.38615068793296814,0.3102164162521255,0.09925361236263736,牧野区
2017_01_25,268.7143249511719,280.870849609375,275.8688659667969,102819.34375,270.1171569824219,98617.84375,1.862645149230957e-09,1.4509352445602417,1.5612891912460327,0.2979293728871671,0.10788436126373628,牧野区
