Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_02,273.3131103515625,284.6809997558594,278.113037109375,102631.2734375,272.24951171875,98071.2109375,0.0,0.42003515362739563,-0.3332223892211914,0.21335710380121298,0.008630748901098903,石龙区
2017_01_03,275.4764709472656,283.7388916015625,278.414794921875,102212.1328125,272.2441711425781,97681.15625,0.0,-0.005393052939325571,0.19329862296581268,0.2410579960585476,0.012946123351648351,石龙区
2017_01_08,269.0559387207031,281.9220275878906,275.9411315917969,102373.6484375,271.94281005859375,97777.1015625,0.0,2.0320303440093994,-1.37870454788208,0.2654142817052114,0.03452299560439561,石龙区
2017_01_09,271.6828918457031,279.12261962890625,276.5706481933594,102552.4609375,272.6897277832031,97933.5234375,5.7967379689216614e-05,-0.048308875411748886,-0.5832866430282593,0.2937808384636566,0.03883837005494505,石龙区
2017_01_11,267.9035339355469,280.7662048339844,277.1987609863281,102635.6171875,271.9393310546875,98016.15625,4.470348358154297e-08,2.8252336978912354,-1.3839143514633179,0.060615290892476394,0.04746911895604396,石龙区
2017_01_12,265.6164855957031,282.828369140625,277.3549499511719,102259.9921875,272.2835693359375,97688.84375,4.284083843231201e-08,2.7889184951782227,-1.7209148406982422,0.27248202949773853,0.051784493406593406,石龙区
2017_01_13,267.4112243652344,283.7510070800781,277.4229736328125,102526.84375,272.095703125,97917.9921875,0.0,-0.5916241407394409,-0.3111901581287384,0.2612635468804913,0.056099867857142854,石龙区
2017_01_14,266.3814392089844,277.6065979003906,274.0867004394531,103125.5859375,271.03485107421875,98422.1484375,0.0,-1.7124823331832886,0.5119439363479614,0.22645452925286266,0.06041524230769231,石龙区
2017_01_16,269.7206115722656,277.6755676269531,274.5787048339844,102944.46875,271.208740234375,98265.8359375,0.00013455934822559357,-0.4527953565120697,0.22724932432174683,0.21401764241192345,0.06904599120879122,石龙区
2017_01_17,271.4251403808594,278.57550048828125,275.3811340332031,102956.8203125,272.2520446777344,98292.3203125,6.372295320034027e-05,-0.45100080966949463,0.03500886261463165,0.02305865595404044,0.07336136565934066,石龙区
2017_01_19,257.0250549316406,278.4473876953125,274.2488708496094,103411.0234375,267.4639892578125,98693.4765625,1.862645149230957e-09,3.4045093059539795,-3.602478265762329,0.18936321013909507,0.08199211456043956,石龙区
2017_01_20,259.0040588378906,276.2903747558594,272.64617919921875,103287.1484375,268.27105712890625,98572.5625,4.284083843231201e-08,0.4603860378265381,0.22151942551136017,0.27235649806672413,0.08630748901098902,石龙区
