Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_02,274.45504862071607,283.98153362867424,276.9321006605939,102673.18422429905,272.2949578236179,101541.85224002057,4.347058106729593e-06,-0.35136790527979106,-0.5749116944365578,0.5683346516337768,0.008630748901098903,舞阳县
2017_01_08,272.54080476959524,282.6697826279384,276.17002536639717,102382.90884032035,270.84827828084195,101250.24311243439,3.9485200631437866e-08,1.1951057752995145,-0.25852993200830265,0.39975096767561885,0.03452299560439561,舞阳县
2017_01_09,274.0039157978558,280.2403848565598,277.0520296957218,102564.61888794116,271.7854659040746,101424.82005832453,3.860756413613284e-06,-0.9323662798838341,-0.6223667997360197,0.7167813609031665,0.03883837005494505,舞阳县
2017_01_11,271.58972528532917,281.6043930344449,277.25101359054054,102635.9111247753,272.49202145487516,101498.50243087436,4.470348358154297e-08,2.2609746881794206,0.7353282339321895,0.5028109178284673,0.04746911895604396,舞阳县
2017_01_12,268.41445736031164,284.4989673080681,278.29917704551445,102245.27297173931,272.3600711454569,101120.52989760425,4.284083843231201e-08,2.5693956108344906,-0.8327705996476616,0.6670670730757289,0.051784493406593406,舞阳县
2017_01_13,268.91289373198885,283.9913865929319,277.1302424820291,102551.90615220382,271.23760103794035,101413.43394390242,0.0,-1.3363743697249129,-0.7538601969568997,0.6373876474048678,0.056099867857142854,舞阳县
2017_01_14,267.0432576097806,279.80660422528115,274.8156622299056,103124.05766914478,269.96909550835977,101965.12678734794,0.0,-1.9847726153845653,-0.82896412853821,0.5925858402388154,0.06041524230769231,舞阳县
2017_01_16,270.91581389741214,279.1793930132953,275.39645312812144,102957.18144403437,271.026776422304,101805.13863586671,1.8212197765418552e-06,-1.2224349907429388,-0.4577595335002597,0.6244451385408238,0.06904599120879122,舞阳县
2017_01_18,271.94712998880783,278.57621933689404,275.7093332559435,103064.55609194293,273.2027990676426,101912.16150765808,1.3244666624836637e-07,-0.3976478213325638,-1.3296749976770392,0.27103842376853243,0.0776767401098901,舞阳县
2017_01_19,261.94066535838215,281.61640028172815,275.77961953979195,103352.8722918112,268.6828174745297,102195.25072804705,1.862645149230957e-09,2.0432203057270493,-2.8767750752469388,0.4083086105617686,0.08199211456043956,舞阳县
2017_01_20,260.4686982915177,277.1289098945265,273.7522543244984,103347.63567793429,268.38976761010395,102181.85659514014,4.284083843231201e-08,0.05371185303327727,1.3224168699702818,0.6371989082919075,0.08630748901098902,舞阳县
2017_01_21,262.68388712840834,283.6082620417005,275.84928758520374,103163.62097926834,268.72977235917534,102015.57938095105,1.862645149230957e-09,1.5151390058601981,-1.886382617720646,0.6505236993770356,0.09062286346153847,舞阳县
2017_01_22,266.71343481225193,281.16328977558817,274.3213088182235,103289.47735205675,268.8959651586556,102138.1829823862,4.284083843231201e-08,-1.1949879027590007,0.3583980415845293,0.4509535321123101,0.09493823791208791,舞阳县
2017_01_23,269.6982989544482,282.8482239792004,276.36104753335115,103147.87883368791,270.2232029912288,102000.73209474917,0.0,-1.7617133067716422,0.23592051352331897,0.5865636428418103,0.09925361236263736,舞阳县
2017_01_25,271.6673266398431,283.1841344928225,277.9108027252572,102974.27066497145,270.4187389948017,101836.06083603154,1.862645149230957e-09,0.6223246917849808,2.085215509467184,0.6084638253768005,0.10788436126373628,舞阳县
2017_01_26,269.457311841598,287.4569327887515,281.85319690193165,102713.82068202151,276.10616140795895,101585.75660775686,4.470348358154297e-08,1.7776098326106067,-1.1379050847268077,0.4204852978893244,0.11219973571428571,舞阳县
2017_01_27,268.0376002595656,282.3824909382304,279.6943075506651,102544.07089412707,275.91827667933387,101405.83772419543,4.0978193283081055e-08,-2.323305863067526,0.263788646783211,0.2997049129987454,0.11651511016483516,舞阳县
2017_01_30,262.9907353703876,274.8477038530107,272.5103706294355,103508.22288656939,269.7286052492377,102330.93851585903,0.0,-1.766732855258421,-1.4139786575602555,0.6145417397952203,0.1294612335164835,舞阳县
2017_02_03,272.12865478992865,280.2604567878814,275.7460738456965,102243.4375075198,271.645056936547,101102.76180578716,3.725290298461914e-09,0.03502327597176074,1.5314466288418775,0.7141092961019855,0.14672273131868133,舞阳县
2017_02_04,274.34085258879014,283.85845444055093,277.45994560484917,101849.18136993719,272.8924233921997,100727.18033727,8.568167686462402e-08,1.1545437557889264,1.0896623968844013,0.5271383536137058,0.15103810576923077,舞阳县
2017_02_09,263.76557337706805,279.37014771020785,274.77668481870575,102992.97092265329,270.59781440642877,101838.98640615596,7.231564335884008e-07,2.050841219862377,-1.9918179923642898,0.6074504504752418,0.17261497802197803,舞阳县
2017_02_10,264.6774011853979,281.78178103097474,275.36176171266527,103130.73845625042,270.84597903842973,101985.95635341259,0.0,0.7064241288684476,-0.18853935461794563,0.7008944104015222,0.17693035247252747,舞阳县
2017_02_11,267.6639587705604,286.00754955764097,279.3166608294919,102886.46694767907,271.5451893301445,101755.64576466262,0.0,2.1318297206999928,1.6467173010816274,0.7030577336232672,0.18124572692307694,舞阳县
2017_02_12,273.02904349828134,287.8715287952692,281.1041197988218,102680.37830986733,274.9169943628119,101559.50563573356,0.0,1.2308699761996376,2.1178305108733277,0.7005873533233885,0.18556110137362639,舞阳县
2017_02_13,276.1039560556685,289.36904736458183,283.18912806063213,103053.45921877013,276.95027886661296,101934.3788028101,4.1421493626866435e-05,-1.0276297943377946,0.1150836358194739,0.6756481638650342,0.18987647582417583,舞阳县
2017_02_15,275.8725698199346,291.2280773059373,285.72862155842245,101818.74128230606,277.3500857727575,100717.79280781288,0.00018946024637114074,1.3245683753835011,3.3490456500166825,0.6393214842915698,0.1985072247252747,舞阳县
2017_02_16,274.5885346192733,292.8580845921227,285.10454359422505,101875.00657588818,277.0417711619321,100765.94620161215,0.0,-0.03781515025401691,-1.955977387885523,0.6435077445909301,0.2028225991758242,舞阳县
2017_02_18,275.16041304148456,288.28668918682666,283.7265841061649,101956.94692826485,274.39751899510725,100847.96830021685,4.284083843231201e-08,1.347302784231916,3.4078917629993724,0.583795488158666,0.21145334807692306,舞阳县
2017_02_19,276.3388520161892,293.1291547793152,287.218641143265,100884.8996135085,280.8869132871117,99796.71379297531,1.362387866830041e-05,0.12048145793078345,-0.02922830950253081,0.6846594877041203,0.21576872252747256,舞阳县
