Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2017_01_02,270.23068751867413,280.316470604163,273.57820756491606,102546.54835753863,269.24827962586954,99216.33397121754,1.3975146960835955e-06,0.637317666416779,0.600027756929058,0.2396374992067624,0.008630748901098903,龙安区
2017_01_08,272.119367241853,280.15939212695923,274.9383026211312,102351.120483387,270.5035714620337,98987.57801456492,0.0,0.23283001324187305,0.12968971901783471,0.10732256651009613,0.03452299560439561,龙安区
2017_01_11,267.13143062633856,282.1928122133538,275.86576418882913,102408.3735592332,270.2472099713588,99058.98908824833,4.470348358154297e-08,1.4601829559042923,0.3998029454237692,0.45557952500695037,0.04746911895604396,龙安区
2017_01_12,264.5252808697152,283.51420730927583,275.68043103823476,102071.35937717385,269.543615368953,98745.58064079798,4.284083843231201e-08,2.1799862675860893,-0.15118781431882458,0.3479048820046678,0.051784493406593406,龙安区
2017_01_13,265.65631110777133,278.80322235699674,274.07103188115894,102701.24395876913,269.2248601949306,99295.24826354702,0.0,-0.5286484689375774,-0.6194565025896116,0.3421338330446652,0.056099867857142854,龙安区
2017_01_14,262.07205903252185,277.1221635539118,272.85968550371007,103261.96160008035,268.82972046642647,99812.07161550275,0.0,-0.9879908947661153,0.4597696088467049,0.3119039120914015,0.06041524230769231,龙安区
2017_01_17,270.2050400493717,277.6094197107574,273.2554379335574,103068.98156341087,269.43404713258235,99641.04386533979,4.71728653624593e-06,-0.36289080567056414,-0.5705919677917796,0.06541914708750823,0.07336136565934066,龙安区
2017_01_19,256.42925928493344,278.8228092367863,272.0101221072575,103346.33301385118,264.9364123236267,99892.58206703063,1.862645149230957e-09,1.7264991374916465,-2.476306923571415,0.32460808385499385,0.08199211456043956,龙安区
2017_01_20,258.09492378310085,274.87950113523607,270.4489235672795,103119.2116943111,265.3940439015877,99670.62741095904,4.284083843231201e-08,0.22475674303737342,1.917759697930883,0.32531776337870233,0.08630748901098902,龙安区
2017_01_21,258.67675706739794,280.28782186462746,273.53123057860034,103209.57159279542,266.10375676614365,99778.30533307044,1.862645149230957e-09,-0.030150652721804037,-1.3889372634676005,0.2858398602935325,0.09062286346153847,龙安区
2017_01_22,262.70827300764324,277.1147024346033,271.0291443765189,103357.050044636,266.2656828771625,99902.20356614656,4.284083843231201e-08,-0.5201269815103113,0.0011589762712997168,0.2977848738589532,0.09493823791208791,龙安区
2017_01_23,265.13977322849377,276.57660338132075,271.7995699589547,103351.85160160778,267.43625025939576,99899.64016811615,0.0,-0.47492446394668336,-0.8392807352890548,0.23246662957968076,0.09925361236263736,龙安区
2017_01_24,264.1596110746706,275.7245450288407,271.3689975206583,103502.46544027983,268.005860062952,100053.91323126118,0.0,0.0685678467945957,-0.2620192165534711,0.05276198042827729,0.10356898681318681,龙安区
2017_01_25,268.07303690212643,280.3493707203626,274.5822752843237,102726.21430796105,268.0216983674054,99360.3243651969,1.862645149230957e-09,0.4524825495966876,1.5885120262697863,0.25331979199891086,0.10788436126373628,龙安区
2017_01_26,269.54126630978,287.624972641526,279.03027318227197,102687.68121304775,271.24740794658385,99343.4524453184,4.470348358154297e-08,0.6468335245431518,-1.6575900793043996,0.17988710524142001,0.11219973571428571,龙安区
2017_01_27,263.06118818105125,279.46959074235383,275.9675837567832,102622.73961377009,271.01800490914417,99227.9264761497,1.8841654380540834e-06,-0.46826051551652514,2.381220201557185,0.25810517243937686,0.11651511016483516,龙安区
2017_01_30,256.9165524644386,272.5759314831149,270.48408673240135,103517.39739707031,265.74726404768563,100018.73442360622,0.0,-0.47702241578530286,0.6636055092291178,0.24939296625993826,0.1294612335164835,龙安区
2017_02_01,260.1342502780283,276.520716217759,272.3349607624972,103674.31309819323,268.7634435734516,100215.87799360392,1.862645149230957e-09,-0.13686025166423654,-0.8193723313230666,0.27499548911352717,0.13809198241758244,龙安区
2017_02_03,268.88454119188776,280.466746215079,274.5781214579498,102106.90181644367,270.5236769594489,98744.62766005128,3.725290298461914e-09,-0.11509269663182342,1.5557518989046142,0.29098289268049377,0.14672273131868133,龙安区
2017_02_09,260.9498905564062,277.96694216359634,272.60329830103444,102958.42730676565,268.03642475867974,99529.24952230211,0.0,0.13347257691027722,-0.38896364290116103,0.3352739101306563,0.17261497802197803,龙安区
2017_02_10,259.3680959881832,280.14753851182644,273.5364500031793,103036.50148695453,268.3036864814206,99636.10362302749,0.0,0.41412938301069957,0.15051315227407885,0.30468771396375965,0.17693035247252747,龙安区
2017_02_11,262.0735895037293,284.85799464944114,276.3546743706543,102765.0377561838,269.3819319211114,99417.98795683835,0.0,0.6123320349154223,0.859452076938831,0.3230115113087022,0.18124572692307694,龙安区
2017_02_12,264.4149098125358,286.8044630668284,278.55285669837707,102624.73392859571,271.33071830235355,99308.5912144952,0.0,0.4610548370541675,0.3043325628975313,0.3190277813845223,0.18556110137362639,龙安区
2017_02_13,266.8856731827313,286.84435192682815,280.3080463875345,103200.53646039436,272.60227535631594,99862.2852972375,0.0,-0.01815191939910582,-1.193068908601936,0.2781342623217496,0.18987647582417583,龙安区
2017_02_17,264.4441212124659,279.22635349022954,275.4647258356732,102847.23272725304,271.99718419488227,99465.27304238827,1.862645149230957e-09,-0.3810074743502131,1.1780856417367733,0.24473772615273046,0.20713797362637362,龙安区
2017_02_18,271.3336785381338,288.4035843870614,282.24559213827257,101602.36442184667,273.2979916609062,98344.01757648218,4.284083843231201e-08,0.42679925890362713,1.9537525015158563,0.273943193216101,0.21145334807692306,龙安区
2017_02_20,256.38444271724177,278.63893718323584,275.6849607051639,103199.38693262155,272.5936177129607,99758.30397770065,0.0003136772256019829,-2.0686984102956445,-3.1519107710257366,0.29377835975810707,0.22008409697802198,龙安区
2017_02_23,266.2932393230184,280.7735124554561,275.6338669578472,102890.0907500411,270.8077099809467,99505.2666765368,0.0,0.02468528776015426,0.8163418121557562,0.32022608111922585,0.23303022032967033,龙安区
2017_02_24,265.6830546329214,285.43323948541814,278.2716311523242,102558.20954980947,271.69608464003005,99229.13716348268,0.0,0.9235966401522255,0.1531886628127675,0.322229452033727,0.23734559478021977,龙安区
2017_02_25,266.22412890690697,286.1215518532126,279.34827921593325,102399.70824869486,272.629166546533,99081.50464887712,0.0,0.4255944141604304,-0.008412469407816158,0.3314196605223551,0.24166096923076924,龙安区
2017_02_26,267.36495765997483,286.89275869305703,279.86321273304236,102499.80042370675,273.1412819073498,99196.13359256848,2.2788508766297513e-05,0.77812413634178,0.3472936120549964,0.3297453298559593,0.24597634368131868,龙安区
2017_02_27,267.49371826814064,291.05824856327837,282.9469319766988,102046.64283456256,275.38657351850975,98794.34490526769,0.0,1.8585051566460042,1.0129663958456385,0.3375523181867506,0.2502917181318681,龙安区
2017_03_01,260.83997787727566,283.8094787071145,278.01753967048865,102606.07248610274,271.385692096767,99253.89150250242,2.451556765290752e-05,1.2165330301965247,-2.8642181516991276,0.3128559304858757,0.258922467032967,龙安区
2017_03_02,262.46145609052655,288.61076162803334,280.60914318414524,101728.27403061104,273.76831127313335,98452.95487509533,0.0,1.225194888118819,2.2506029835337387,0.3552755134818796,0.2632378414835165,龙安区
2017_03_03,265.5116679061015,292.3128979173849,283.7491578216438,101318.78669343804,275.76050787575576,98084.32859085056,0.0,0.14487183226564804,-0.34601785086313125,0.31923450966974504,0.26755321593406595,龙安区
2017_03_06,263.61335960561746,288.82201073266947,281.8074848904001,102027.22165472024,274.4558522276737,98715.9437720946,4.284083843231201e-08,1.2544511834758292,-1.8284017359094085,0.35960572387922185,0.2804993392857143,龙安区
2017_03_07,262.25522408021686,282.60146810713445,277.35342246236337,102407.41020268838,271.5012905173677,99044.50484856949,0.0,-0.28214122479081877,-0.11440416331329054,0.3495439467638629,0.2848147137362637,龙安区
2017_03_08,260.6263027485301,286.91025788095806,280.2258035704401,101887.33668029132,274.3714737768162,98589.90252128363,0.0,1.4354349508662279,-0.3994313667431591,0.36238769395042153,0.28913008818681324,龙安区
2017_03_09,261.0749178911178,289.63080658754785,282.5350888900089,101560.173118284,276.1720216546634,98302.87309563586,0.0,0.8996464817741273,0.1209967502316401,0.37270473557077527,0.29344546263736265,龙安区
2017_03_10,270.67709890252024,291.4226589571767,285.34208747151825,101619.93645994528,277.7586024448246,98386.31683834865,0.0,0.3559676103353631,1.6565499485115038,0.35290917243180636,0.29776083708791207,龙安区
2017_03_14,262.9385556801801,287.46838486829694,281.3003824291537,102621.34758656997,275.7047724737725,99303.1042247067,0.0,0.2118811424296092,1.4711194458790868,0.35640064880273525,0.3150223348901099,龙安区
2017_03_16,272.19856065765066,287.4766771293786,282.00035642969556,101966.30595556837,277.4302983843235,98669.23674202697,4.284083843231201e-08,0.08827872259595736,2.5561897691026636,0.4034283845218651,0.3236530837912088,龙安区
