Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.26031786548654157,266.38622486196704,281.8122723653961,275.88259559881084,102442.34451814911,270.0683568313711,98246.64669009068,0.0,-1.1205599630453043,-1.172472821944125,0.004315374450549451,伊川县
2018_01_05,0.021611656151217216,266.36400753558877,271.54646645271384,269.54419726001663,102785.13827817977,264.4717639792993,98423.75664300319,0.00021134193643099666,-0.07121786221079483,0.4666367993419194,0.021576872252747254,伊川县
2018_01_07,0.012180250968042998,267.01211573024796,274.30670071173324,271.4655181703176,102606.37615310113,266.1273696183437,98277.9810967169,0.00015979818827201343,4.84121828602234,-0.9682054058901898,0.030207621153846155,伊川县
2018_01_08,0.011535577347364996,262.14243443795795,273.0556918085936,270.640065394509,102877.57184752474,268.0816426809111,98541.84455446381,0.0,4.902331127734623,-0.6947230788013248,0.03452299560439561,伊川县
2018_01_09,0.025644896028814056,263.63405604897383,276.494932604439,272.495002970205,102921.4437853364,268.2676014261974,98622.64237691861,0.0,4.346447232946584,-0.516758413547627,0.03883837005494505,伊川县
2018_01_10,0.022377965897402777,263.1002967959646,276.25682982542884,270.57340916633393,103227.81847245156,265.70193555048223,98919.19565973218,0.0,3.5328897892237965,-0.08889434877057772,0.04315374450549451,伊川县
2018_01_11,0.03902104019472554,261.7253870481265,273.3614989882185,268.1671619171674,103685.10939605824,264.0908726775898,99308.49597933341,0.0,-0.11235461936189427,0.7100590463284701,0.04746911895604396,伊川县
2018_01_12,0.060333947496786375,262.9561992500664,276.34416717405304,269.97589680573225,103199.39980560652,264.06651670529203,98880.8651544817,0.0,0.27243262697479625,1.0446428003645118,0.051784493406593406,伊川县
2018_01_14,0.07711648812819678,268.4412184377407,281.869698130331,275.0072604973621,102215.46081418035,270.0034361682544,98029.38675050234,0.0,1.765138819076702,-0.0012572341602661965,0.06041524230769231,伊川县
2018_01_15,0.051285480493382954,270.00763235104114,278.4341880518351,275.3254556141057,102198.03848849123,271.01871424040536,97981.17056197213,1.319984260815595e-06,1.6054986957754234,-0.24595069972330882,0.06473061675824175,伊川县
2018_01_18,0.19524984539835077,267.0579209184429,280.0901419080814,275.67154825298485,102615.49869012368,271.68653408115154,98408.59964622644,0.0,1.7948466685192048,0.2748546104070176,0.0776767401098901,伊川县
