Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.24125276878742358,262.59107794254373,279.84179167671203,274.1514703060644,102683.4128096539,269.34293733625356,101884.94086297577,0.0,-0.03658150207952783,-3.000113334696864,0.004315374450549451,内黄县
2018_01_05,0.3135897875108607,265.4320351260816,276.58116792667664,272.2072057406588,102767.20826861408,267.1590466351838,101963.50720877458,0.0,-0.10708216883266972,1.067556923893152,0.021576872252747254,内黄县
2018_01_08,0.32825141278221565,254.96099506076374,278.6156064225189,273.68805941284086,102367.56007070174,269.5722468354412,101568.77280708973,0.0,2.948261617656303,-1.2757944323321482,0.03452299560439561,内黄县
2018_01_09,0.35010216991028464,254.71350609740207,282.22159071020627,275.19205040935236,102511.46787800948,269.2886867213574,101717.23545656298,0.0,2.5363691652787503,-1.3710013552348386,0.03883837005494505,内黄县
2018_01_10,0.31322601615983037,255.04796363384617,279.93834067037255,273.45770762381534,103042.2402756926,267.7035111845482,102236.5364051301,0.0,0.02152802096031313,-1.274704169220477,0.04315374450549451,内黄县
2018_01_11,0.349421144131073,251.62192345637828,273.6626691515862,268.9697089925808,103734.36601817394,265.99872145012057,102909.94606326407,0.0,-1.1128239301148821,0.798875064346994,0.04746911895604396,内黄县
2018_01_12,0.3066645383686176,261.8280278223868,278.14636882204667,272.19006361293947,103118.62195703041,266.01231670500636,102309.32956289947,0.0,0.41155709562936865,3.7120395921125446,0.051784493406593406,内黄县
2018_01_13,0.26441515432230916,266.42828888525514,280.65617106772,275.61341393605454,102441.23723083384,268.3646403285111,101645.9452543737,0.0,0.6002382465240186,5.0477038241885515,0.056099867857142854,内黄县
2018_01_14,0.30211538430554447,267.6277736487364,283.20406174453603,274.5480324760366,102239.93736772239,269.4177478376205,101456.97046352441,0.0,-0.7912027177669484,-0.3389329390126347,0.06041524230769231,内黄县
2018_01_17,0.18496219759525792,268.2055753780854,280.10303494251866,274.80109004280075,102194.57299698805,271.6416200350079,101403.27547011542,0.0,-0.016110540391284796,-1.223133316490065,0.07336136565934066,内黄县
2018_01_19,0.260332395145928,266.862858423535,285.56575827266477,277.4351683117978,102254.52405259635,270.19810598470724,101476.29906856363,0.0,0.18141964661123333,1.4385577667336902,0.08199211456043956,内黄县
2018_01_20,0.17377313314777043,269.69250865599366,282.8631939480551,276.0253865113624,102190.95772512179,270.07092647000525,101404.963345259,0.0,-0.21171590760861672,-0.48606567255296657,0.08630748901098902,内黄县
2018_01_23,0.2968231898179496,259.40405756493755,270.9073913669454,268.0451709793775,103093.19461508784,265.4281838969652,102271.09746216006,2.4780024242699703e-06,-1.7053868636473881,-1.099304935338654,0.09925361236263736,内黄县
2018_01_24,0.1825878960413507,256.0649980462516,272.48842053210365,269.52186011047183,103296.875273232,265.28444535059623,102476.75953069153,1.2618020202737592e-05,-1.2929308868713023,-1.641826637244838,0.10356898681318681,内黄县
2018_01_26,0.26433141706392227,258.45245270883845,271.93016702805903,269.49153558405345,103509.57025786322,265.97179126970127,102687.54159451702,9.700955775950597e-05,-1.1404107192762125,0.0489369305369343,0.11219973571428571,内黄县
2018_01_29,0.26814740881123816,256.546187611621,274.8547648460794,269.56552296932347,103061.87238044859,266.03338866116803,102252.1491549857,1.862645149230957e-09,0.4434146187815495,1.2756333446386383,0.12514585906593406,内黄县
2018_01_31,0.2877931974776239,257.1470003734087,279.24177356823753,272.87701992079684,102905.84297823781,266.55177522479744,102108.09537076589,0.0,0.3411023681187422,0.6482422781080824,0.13377660796703297,内黄县
2018_02_01,0.28331185979642554,258.0093989661693,280.43954161588056,274.47590977152146,103045.97278499581,266.72151307521864,102247.68636352105,0.0,0.020512276539155678,-0.6524236923545251,0.13809198241758244,内黄县
2018_02_02,0.28445717689424443,251.9609955627248,274.14053959985966,269.23575562963515,103967.13577443993,264.30616387345367,103145.94430720818,0.0,-0.2152287350846114,-1.8320192957345125,0.14240735686813186,内黄县
2018_02_03,0.3042198105209808,253.61249112020658,275.6763704834113,269.2689147019496,103673.5615684472,264.08099039033317,102859.14871855408,0.0,0.007526549461017746,0.03750279263601788,0.14672273131868133,内黄县
2018_02_04,0.2791395206669023,254.90809786006992,277.9051304880247,272.0978851856509,103314.10704319217,265.0661985352132,102509.84468492864,0.0,1.012324474746698,0.4639364085542953,0.15103810576923077,内黄县
2018_02_05,0.2906466741943348,257.1885711404285,277.075336374354,270.99108694219535,103279.11799046586,265.3981238432381,102466.07689704998,1.862645149230957e-09,-1.7127334406396366,-1.0873513879138117,0.1553534802197802,内黄县
2018_02_06,0.2763342765193761,260.28803289070044,278.09184002027007,272.1548240652451,102560.15046614988,265.91937809493913,101761.28508102639,4.470348358154297e-08,0.03916460231248605,2.196771809618732,0.15966885467032968,内黄县
2018_02_07,0.2603826240980774,255.12466253541774,278.5817185015345,271.9397658156056,102743.36620298363,266.22573496881347,101940.25829090152,4.284083843231201e-08,-0.8626318016796009,-1.7068920744836336,0.16398422912087912,内黄县
2018_02_08,0.27314225617911503,259.49617510287004,279.22315045015074,275.69120642736203,101840.29784648931,267.40619223632615,101051.57010790383,0.0,0.4802409711876267,4.464656132732208,0.16829960357142856,内黄县
