Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.23860823370139062,267.2589070729184,279.70307066647047,274.15476970595074,102302.49164655367,269.1527480256926,91147.35793412004,0.0,-1.2309164606989518,0.3086032059190531,0.004315374450549451,卢氏县
2018_01_08,0.024028511764325945,255.06346744507968,270.5036829298249,264.7136157931677,103105.47694845304,259.05836893673836,91509.80116721071,0.0,3.1612866557585915,-0.20408347472179572,0.03452299560439561,卢氏县
2018_01_09,0.05244471747716874,256.84886939947563,274.2302331986173,267.9749324752271,103119.1019028876,259.7328824766632,91620.43135007484,0.0,3.660756679356263,-1.2259017954666411,0.03883837005494505,卢氏县
2018_01_10,0.04104810322122129,256.8765460483535,272.4554368960733,264.6886877084163,103341.18164956273,259.0104734250653,91831.793715977,0.0,1.810806696526971,0.7917113862660583,0.04315374450549451,卢氏县
2018_01_11,0.04647004681972464,259.0380756326422,273.45379108478863,267.45302967022775,103590.07380609839,260.7239870371307,92039.7139334261,0.0,0.795104841168788,0.6581292226166903,0.04746911895604396,卢氏县
2018_01_12,0.064907713172101,262.0271203624991,276.33370503737643,267.317105032161,103051.34594974293,262.5286895625246,91637.89864155948,0.0,0.301952107163074,1.9546389786191662,0.051784493406593406,卢氏县
2018_01_14,0.08636149431279114,267.9893554910215,277.4937787172963,271.63822088865226,102191.11592043423,267.0064368376871,91007.20544595302,2.3648543976131e-07,0.30213789616634784,0.7137211931541371,0.06041524230769231,卢氏县
2018_01_15,0.07986281234688879,269.62881552044286,277.2109164776896,272.4961543322902,102239.40406300547,269.16952943932995,90985.83356597694,6.214369978093009e-05,0.8717259231966444,-0.2724553568653395,0.06473061675824175,卢氏县
2018_01_16,0.02367264085523841,267.5802377237697,277.71098303790785,272.8882196999292,101690.631886674,269.5964096876199,90565.98446565408,0.0,0.29956118878763865,1.6705821179938545,0.06904599120879122,卢氏县
2018_01_17,0.046427102439574215,266.93278884341044,276.2773396173156,273.10944428253293,102319.3165103617,270.47365056312697,91073.73238277636,0.0,0.6441296456001244,-1.2266455372396319,0.07336136565934066,卢氏县
2018_01_19,0.1258653630076027,266.7543173695764,280.51739403162816,274.27249268952147,102360.91308632573,269.4995982139223,91230.25470975786,0.0,0.4454776164599453,0.06429408440288947,0.08199211456043956,卢氏县
2018_01_20,0.1520872483226052,268.17223041882664,280.357757464113,274.9169966154943,102182.71830031803,270.98332867382896,91101.35016313507,0.0,0.5121647838091697,-0.10306629179390167,0.08630748901098902,卢氏县
2018_01_22,0.12476628595232983,268.4277457176874,277.7216156789127,273.2171497808421,102049.89043057607,268.9655247824788,90884.03994246999,9.755713603171876e-06,-0.272375139737902,0.40633867342875907,0.09493823791208791,卢氏县
2018_01_23,0.13449088230622375,267.4860562528469,270.9899522243998,269.7389207857389,102699.04597834531,268.47065118087374,91197.67078557247,0.0008254094294820497,-1.648111564615221,-0.5224526239540007,0.09925361236263736,卢氏县
2018_01_29,0.03992627763975252,255.92329334965945,267.879269027556,264.4742031641302,103448.83960424855,259.37638541889186,91704.27364692975,8.13124904650568e-09,1.0055904524582107,-0.899855942122587,0.12514585906593406,卢氏县
2018_01_31,0.0501149243598856,257.6509653950784,270.5785447914626,267.5945621578881,103252.67193241719,262.4649018151137,91691.48747373997,0.0,1.161534086516301,-0.40567601834223266,0.13377660796703297,卢氏县
2018_02_02,0.07667049705812562,252.70271321913313,269.0814331455977,266.20061556762045,104197.99411406007,262.94780872686675,92390.28887875733,0.0,0.7340384581154406,-2.70318087417011,0.14240735686813186,卢氏县
2018_02_03,0.10757664580335716,252.55655549760928,271.16306565604935,267.69696384859526,103782.69351836568,263.0227059739654,92098.14824277129,0.0,0.6277208735336134,-1.2829082893245856,0.14672273131868133,卢氏县
2018_02_04,0.12034295215847222,254.40317783138497,272.99657007553185,268.55557805148044,103639.95125493724,264.05782929344554,92043.67839062178,0.0,1.258075134601404,-1.1076442129825546,0.15103810576923077,卢氏县
