Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.3329814944065567,260.7515840080336,280.5236576253699,275.28016842936165,102610.68370716262,271.0247608329657,99105.79075391915,0.0,-1.277507433425021,-2.3575481727456973,0.004315374450549451,卫辉市
2018_01_05,0.08741476826121751,266.45817708772125,276.0830482225318,272.3115169441149,102748.24725789626,267.26813673709427,99181.3574571594,2.1786507642063145e-06,-0.13649882611819908,0.6844833283632626,0.021576872252747254,卫辉市
2018_01_08,0.20408381558326377,256.3788651929755,277.45192030777156,271.95461319357264,102420.41083079093,268.192079604531,98862.47614170394,0.0,2.6395386372758094,-0.5628771632849489,0.03452299560439561,卫辉市
2018_01_09,0.44583517729782546,255.26152617868243,281.20352073062537,274.1031571834199,102572.77434203014,269.0516462212011,99033.6451663552,0.0,2.5707318480971693,-0.6850750187627881,0.03883837005494505,卫辉市
2018_01_10,0.4542979463729509,255.6576625215348,280.4287762934619,273.8943864008742,103020.12872224528,268.65735920946435,99458.9034646488,0.0,1.1592775497900714,-0.7327861561059912,0.04315374450549451,卫辉市
2018_01_11,0.4644799737380496,252.50500765481902,273.7170260666424,269.2010365315957,103704.00341688254,265.9797392044159,100065.91637447703,0.0,-0.8341683041417691,0.561467909938455,0.04746911895604396,卫辉市
2018_01_12,0.4410494637967029,260.89486658558513,277.89498772061876,271.7473534395498,103110.63913663587,266.0281735596369,99555.38224880924,0.0,1.0961619516778538,2.01915554967768,0.051784493406593406,卫辉市
2018_01_14,0.400984227001421,266.06023142807686,283.4141266631543,276.25776844774947,102188.26963040001,270.76744737642315,98736.12547289461,0.0,-0.36051886358753027,-0.6871986849867223,0.06041524230769231,卫辉市
2018_01_17,0.1836823192745984,267.94637752351616,282.78562379717397,276.25155402422786,102131.03331161238,271.3973188540443,98659.40933742333,0.0,-0.486475293376644,-0.6820979793551138,0.07336136565934066,卫辉市
2018_01_19,0.3335957064347902,264.1528904655024,285.4565307312759,277.8146718230476,102219.2036240361,271.34417365480346,98787.61172923996,0.0,0.2532187184855493,0.7821777060313998,0.08199211456043956,卫辉市
