Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.324673848869611,267.18796037852087,284.06840948593816,277.7221422454446,102495.41294054706,272.48217640498495,101373.09380293201,0.0,-1.3504090259439137,-1.71869736414573,0.004315374450549451,尉氏县
2018_01_05,0.023790234175959227,266.6728697069882,273.8815509209345,269.50495754288437,102804.74023161172,266.6601443305556,101645.62931193436,7.26948361400314e-05,0.25876751597185993,1.0858514837827908,0.021576872252747254,尉氏县
2018_01_07,0.010931336492762138,267.8085458887334,273.6679294763573,270.98766741034655,102359.43771918635,266.9455228678583,101212.61020759762,0.0003078886649978466,3.1984963796439585,-0.6032793044529186,0.030207621153846155,尉氏县
2018_01_08,0.04177272055477311,264.0948435507974,274.25315806016187,272.2936907493753,102599.44779449023,270.4909605025922,101448.32728830207,0.0,5.274415841821561,-1.2407147291662521,0.03452299560439561,尉氏县
2018_01_09,0.07615894993282443,265.2153463424771,278.32913280478624,274.62670379246146,102704.63440277487,270.7363188302966,101564.38333585534,0.0,4.7559246200466525,-1.148188556808198,0.03883837005494505,尉氏县
2018_01_10,0.1614014598346787,264.48950275772256,278.5246284279034,274.1607011904066,103072.9465583983,270.11317099126535,101925.32362950912,0.0,3.0999390037067354,-1.6036783863574757,0.04315374450549451,尉氏县
2018_01_11,0.3343603014828874,259.16388701687407,274.9848129019902,271.02997464985856,103724.27092771514,267.9364377446075,102554.33462221982,0.0,-0.8264323210415448,0.26517784258781946,0.04746911895604396,尉氏县
2018_01_12,0.3596323403014778,265.48779693646753,276.90861658758286,272.1106401674442,103274.85145670472,267.74826811399527,102112.26230497744,0.0,0.603536067307834,3.0069019416438016,0.051784493406593406,尉氏县
2018_01_14,0.4041873985266113,270.44732206978057,284.50044218969083,276.23248110761676,102205.24827258532,270.86003345796104,101091.75886415337,0.0,0.5528000360115023,1.211406272996114,0.06041524230769231,尉氏县
2018_01_15,0.3213123392181475,271.8412090382471,281.327560790034,276.4256384443155,102108.19692138255,270.9831030123922,100989.99896878432,0.0,0.5065949162140763,-0.8592834638883001,0.06473061675824175,尉氏县
2018_01_19,0.3332140413383007,270.08358276809366,285.68507002006515,277.8489805870794,102273.2074587422,272.1959531262725,101167.14759547045,0.0,0.4667470921572326,1.3158647419731238,0.08199211456043956,尉氏县
2018_01_20,0.3079844735645241,272.46910772113534,284.0699819053689,278.41017414477864,102145.82194491834,271.97436447446796,101038.03711267773,0.0,0.12249313178393584,1.3130247715552106,0.08630748901098902,尉氏县
2018_01_26,0.3067866425118343,259.93412669856957,273.47721292779966,270.8585448688758,103429.12036523712,267.5608499796589,102259.43077458917,0.0001597043247239608,-1.909822068548129,-0.25969637757377834,0.11219973571428571,尉氏县
2018_01_29,0.3712489856901643,258.9786505187304,276.1233038735566,271.2765092679044,103091.44470596874,267.8689834360473,101938.18940666405,1.862645149230957e-09,1.3089420311078785,0.43337796048472377,0.12514585906593406,尉氏县
2018_01_30,0.3763178148110927,260.41637903394343,279.07788539717546,275.16633425861784,102914.48654994961,268.8119160565522,101772.39341128207,2.7283267399826202e-05,1.9751406485153962,0.04743996010395725,0.1294612335164835,尉氏县
2018_01_31,0.34588360831533316,258.3366292613226,280.4287836754565,274.48911382089926,102987.17993075779,268.52184387674794,101847.19460352778,0.0,2.154318803197422,-0.04621796212121506,0.13377660796703297,尉氏县
2018_02_02,0.33934630854953524,255.8709092085548,275.6088294690057,271.1310980073522,103934.85495488346,266.44494953099934,102768.32956157031,0.0,-1.246481039641036,-1.4891084999131106,0.14240735686813186,尉氏县
2018_02_03,0.38797084884487665,258.1184828510998,276.4035499599108,270.79430856420663,103649.87874245402,265.9263876376119,102490.73477164411,0.0,0.19309402735762676,0.7199554238031076,0.14672273131868133,尉氏县
2018_02_04,0.36273026631545985,258.6466897685889,277.9815335514134,273.06375429294536,103388.45728540892,266.5053263568469,102239.74047480848,0.0,1.7980176992593169,-0.18450279777165168,0.15103810576923077,尉氏县
2018_02_05,0.38307581449062594,259.3343450542288,280.16605575842385,273.49294384082907,103173.67502945437,267.1129511226283,102026.09328449957,1.862645149230957e-09,-0.9263400445052777,-1.0809445827677493,0.1553534802197802,尉氏县
2018_02_06,0.3602118075148692,263.90942901203294,279.64138352739934,273.99141036386766,102598.84376167452,267.5408632276695,101466.1267120182,4.470348358154297e-08,0.7144123332949421,1.3216620233895746,0.15966885467032968,尉氏县
2018_02_07,0.360660365645841,259.29069821649244,282.49649059538746,274.7786162877389,102672.61567148042,267.9530024692301,101536.47235585647,4.284083843231201e-08,-0.5837458959729223,-1.4248836602412214,0.16398422912087912,尉氏县
2018_02_08,0.36367304000701955,263.9842820477592,280.5657359185768,276.1282123864962,101919.90897038992,268.96227079652294,100799.58044072357,0.0,0.08640084149570969,2.832565259817251,0.16829960357142856,尉氏县
2018_02_11,0.33830312501943055,251.55739605031366,279.6009079552781,275.25288755969405,103121.66960465147,270.79348367150186,101981.41187990906,0.0,4.21663156932731,-1.8477103651022966,0.18124572692307694,尉氏县
2018_02_12,0.3923208912857417,254.80847602013648,283.3606447482182,276.96801646335524,102675.40750241755,271.7638592391918,101554.0378209715,0.0,3.3452657067275275,0.48822518511986784,0.18556110137362639,尉氏县
2018_02_13,0.3516534076776527,270.4849718606851,289.2087138068669,282.98776433225197,101463.08250839445,273.768836124996,100371.90445241891,4.284083843231201e-08,2.178486770039649,3.822330650043103,0.18987647582417583,尉氏县
2018_02_14,0.34576913328138825,262.5371958718309,285.37655382501913,280.93539647319545,101961.00020720979,275.74863635391864,100850.53810370236,6.755071767852699e-08,-2.6742135015071526,-4.235532541166872,0.1941918502747253,尉氏县
2018_02_16,0.35384474256439946,270.11070641468217,286.21303259245053,279.1774729190579,102108.0953377816,274.2187165550996,101002.5365872426,5.9118752906361035e-05,-1.1748919733227177,0.42365387568342583,0.2028225991758242,尉氏县
2018_02_19,0.34327248077616834,273.2972510696544,284.7817853250108,279.9278428786472,102313.5965646539,276.29977134114387,101200.69297851509,0.0,-0.775635655217501,1.4267975735904912,0.21576872252747256,尉氏县
2018_02_21,0.17421368995584158,271.0098690132402,282.0574568983435,277.0512796831733,102540.708084185,273.57162986927295,101420.6108137627,6.541327713751192e-05,1.437322306487807,0.6726046290504636,0.22439947142857142,尉氏县
2018_02_22,0.39836222581795233,267.6570572195246,288.5884935258692,282.2324443686361,101890.29501631197,274.46801757826785,100792.54650897246,1.862645149230957e-09,2.8814176557577484,2.3221364089612204,0.2287148458791209,尉氏县
2018_02_23,0.4044443435133142,273.0167963027896,291.7761160151429,285.0060532569208,101751.03956472503,277.02442921014404,100660.42687270604,4.284083843231201e-08,-0.3904831323894274,1.043457557854301,0.23303022032967033,尉氏县
