Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.24019578944980224,271.2564070233585,284.4157387564599,280.6975441280176,102323.87357664654,273.8440609933092,100723.41119937134,0.0,-1.0726889971391118,-0.07688757843218937,0.004315374450549451,平桥区
2018_01_08,-0.008388297351915593,265.17770359711585,275.24715439912393,271.84446110355344,102834.07111950383,268.3105989488699,101172.80253848186,0.0,3.574924037336988,-0.6532802163225063,0.03452299560439561,平桥区
2018_01_09,0.012179001616420946,265.3248926147188,277.1252333967215,271.61230442377246,102886.9174628977,266.2780791630666,101240.77594710725,0.0,3.026765530519838,0.05577208149075935,0.03883837005494505,平桥区
2018_01_10,-0.012754449603934686,263.61080447046555,277.3552288932,268.9596831228403,103168.28533121325,263.07357943537176,101520.31753243467,0.0,2.2779363772414865,-0.03783348775647031,0.04315374450549451,平桥区
2018_01_11,0.010982645102382867,265.0208949753092,273.1916237517088,268.66996005369657,103693.70286907385,264.4242592547744,101999.46203476714,1.343171430757894e-07,-0.9525724055881214,-1.258592228201399,0.04746911895604396,平桥区
2018_01_12,0.015537838400799054,265.34613610171823,271.71752491254944,267.20876429786017,103349.0147566991,262.51080937816096,101670.13923885614,8.85489361196181e-06,-0.4198578841785418,0.48639315085290474,0.051784493406593406,平桥区
2018_01_14,0.027149594925624892,271.53855255735476,280.3606202987629,275.3454319817325,102271.06484496349,269.7188194118112,100659.64442789585,0.0,0.2867670463190799,0.8035157491115755,0.06041524230769231,平桥区
2018_01_15,0.03362582319496299,272.7150188862016,278.47426214077467,276.0193826439454,102074.4003425573,269.60170809200497,100459.79006526788,0.0009550471748778753,0.21002004525865603,-1.0428948425004,0.06473061675824175,平桥区
2018_01_17,0.16479559817408654,275.76177847679605,282.4720701231695,277.6962849059552,102073.74481761415,274.0611901069094,100464.18741173099,1.9568396475087335e-06,0.7419967569119309,-0.36555473293570434,0.07336136565934066,平桥区
2018_01_19,0.14353139956104344,273.64213009655566,283.7720822950801,278.4001978616558,102356.27402084215,274.0317096064935,100752.40691339243,0.0,0.8209365331577115,0.67614036737256,0.08199211456043956,平桥区
2018_01_20,0.19251979262008345,274.62267777857,283.776163873022,278.1747006815831,102179.62399601928,274.3302717726898,100578.66847191055,0.0,-0.39882550710612147,0.5364204511431133,0.08630748901098902,平桥区
2018_01_22,0.2417816059112132,274.27062948327654,278.8222947908634,276.0536478065831,102205.96616217816,272.72464439687093,100570.25684089758,5.299132308024568e-05,-1.3497774138151917,-1.8915536353992757,0.09493823791208791,平桥区
2018_01_26,0.03263390344877025,265.2407590667422,268.87959244633765,267.7898638927352,103323.24956943553,265.11973802887877,101614.72129535042,0.0016342167881930926,-2.6315009440050727,-1.8684887805911101,0.11219973571428571,平桥区
2018_01_28,0.02881820512514734,264.21207036008605,269.85149280201256,265.7709338691606,103330.78640254674,261.0578848910456,101636.33892198312,4.482837452565766e-06,1.278024049747814,-1.5469386791219348,0.12083048461538462,平桥区
