Date,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,NDVI,X,Name
2001_01_02,274.0203909475887,283.0740406526181,279.1349401796405,102252.04610553375,275.31237368414514,101608.97967008967,1.862645149230957e-09,0.48137709720574634,-0.49981836212170344,0.15224911722511497,0.00905358097982709,息县
2001_01_07,273.1004472125411,276.7300417390613,275.41212672921387,102239.84636187372,272.33619972037496,101579.62157576553,0.003563128182197606,-1.241452445868256,-2.391798206642043,0.10495955101996288,0.031687533429394815,息县
2001_01_10,273.11711672973075,280.96805255226775,276.43024003603483,101806.38620222744,271.2598855132077,101157.77612352198,1.862645149230957e-09,2.248251956523145,2.5284969450924937,0.1981297470554319,0.045267904899135444,息县
2001_01_11,274.2073232147328,282.90203730460524,277.0575785558577,101995.44687744291,272.5562450745414,101343.20954016624,2.4690872196498983e-05,-0.1167240361507747,-1.330146582524265,0.22367365670675812,0.049794695389048994,息县
2001_01_13,269.6208405119944,280.7127135766927,273.5298966881256,102992.37013299101,268.9631032684543,102325.97642204461,1.3088982857097643e-07,0.011093168925388882,-2.440509646958064,0.12331557480811331,0.05884827636887608,息县
2001_01_14,266.97402326340625,274.2110408145031,270.8448619627927,103497.35505434389,268.55248506663673,102820.96817172068,3.871758132449025e-07,-1.0444193104006978,-1.0417654788687543,0.09813158008393802,0.06337506685878963,息县
2001_01_16,270.58275884405276,279.20458409491687,274.87837631200597,102871.54074853836,269.17967001346386,102212.8162671857,0.0,-1.5865976347022746,0.649042145540465,0.15178109517064367,0.07242864783861672,息县
2001_01_17,273.92483965903205,281.41273663482804,278.2272250038523,102392.32738654676,271.3894754366529,101741.79383252298,6.925232271691621e-06,-1.5638995624622203,0.33759925377145195,0.16589985525788267,0.07695543832853026,息县
2001_01_18,276.38615261815863,285.01179649395226,280.467085109074,102394.8367678715,275.9346671398233,101748.13602155854,0.0010092686803808218,-1.0738726863101369,-1.6297727423559871,0.1773354370165948,0.0814822288184438,息县
2001_01_26,268.39017157667064,274.7465355341471,271.0118797861585,102542.18882181309,268.8456112446448,101876.62190425776,1.862645149230957e-09,1.676662950102237,0.47838732322978994,0.008070887404361345,0.11769655273775216,息县
2001_01_28,265.2361539051836,276.53573114903924,273.41940161341626,103083.60754470377,270.6168676630737,102419.87113823308,1.862645149230957e-09,0.879418604349562,-0.5077541496602841,0.0652608276199861,0.12675013371757926,息县
2001_01_29,271.41905387773494,281.6333503369485,276.46147462618654,102396.431096662,271.34834761223044,101748.38630826159,4.284083843231201e-08,1.5495315191701455,1.1664588738288428,0.09728164398047606,0.1312769242074928,息县
2001_01_30,274.06560760849806,283.6430078681614,279.0795263808976,101876.53492025672,273.0553024055809,101235.19172551944,0.0,0.5754001933153108,1.000304747819613,0.1384753517050143,0.13580371469740635,息县
2001_02_09,274.1323181661777,282.86706534168286,277.55395387958055,102673.15637579639,272.6186334402182,102025.44900209083,0.0,-0.13973196466255516,-0.10924934298586061,0.13768215692074556,0.18107161959654178,息县
2001_02_10,275.6581584137531,286.98313456230574,280.2701152884373,102450.14408574636,273.1994677831955,101803.80733304808,8.702084258302403e-07,-1.9490845012720666,-0.18750626494179207,0.19733963952882905,0.18559841008645533,息县
2001_02_13,272.31130125698417,279.43562435700204,274.49652169384416,103048.53688835145,270.94341964999575,102391.39070785751,3.0810484897205326e-06,1.9231739918790283,-0.47851291750736497,0.017483374272929408,0.19917878155619598,息县
2001_02_14,274.7104409745355,284.6055650263661,279.73045431663803,102594.73477991139,273.1521973336944,101946.36485477294,4.284083843231201e-08,2.158501295923109,3.225081042069464,0.26088710213631894,0.2037055720461095,息县
2001_02_15,272.4579340388401,286.6440788215418,280.07769298397943,102969.51046365488,275.29899279137175,102320.9950140879,0.0,-0.09696339896558112,-2.1213720100705777,0.12867943529165582,0.20823236253602306,息县
2001_02_16,270.78913222766454,283.3044505905785,279.075049852121,102873.66899758972,275.1045430154746,102218.32056136723,0.0,-3.829375626137301,0.9298107652576854,0.1966685595067223,0.2127591530259366,息县
2001_02_18,277.93397997177374,289.31710215242373,282.6341976169522,101891.42445715323,273.9984999785691,101256.58191738925,0.0,-1.6719155538658255,0.29229473416054125,0.21923856229349953,0.2218127340057637,息县
2001_02_19,278.9835911834103,289.2816669613347,284.36530164673485,102091.13869223146,277.7874340750579,101453.22393208633,0.0040390516822724695,-3.066537624463949,-1.2377633362623808,0.2190359008370569,0.22633952449567724,息县
2001_02_22,283.1802143780526,286.00944539113823,284.1057230969506,101047.1439408911,281.5995770537293,100418.41346164448,0.010098603133307656,-0.5901496004089614,-0.8900020306302818,0.181727866850041,0.23991989596541785,息县
2001_02_24,269.41665568439566,278.1690158184928,274.7497708188744,103219.4044723985,271.51329979041236,102553.45609280256,1.862645149230957e-09,-1.703239857512749,-2.3238131368476678,0.23702103748496636,0.24897347694524496,息县
2001_02_26,275.5203780218926,279.72006164725207,277.48889948220585,102492.3912156762,275.3205494942179,101835.85421081052,0.004284749576799786,0.2071116841170846,-1.2730490415620443,0.18165017123746188,0.258027057925072,息县
2001_02_28,277.17519276494227,285.8783879826196,281.6514646483759,102197.37000987417,275.42815046366337,101557.70202183368,0.0,1.6367779672791165,0.8604683723348103,0.23126333848562056,0.26708063890489914,息县
2001_03_01,278.5208487619675,291.7500316664312,285.67153012782114,102169.25683478788,280.46887008248564,101539.0421922719,0.0,-0.14525586317727907,1.0089049148024667,0.1602443630121989,0.2716074293948127,息县
2001_03_02,276.9550144627781,290.4643480858435,286.30854201211724,101971.3648541433,281.3716536729133,101341.72290470022,1.0984709949122747e-05,1.5209648120046162,0.4414801987562861,0.2676967225211723,0.27613421988472625,息县
2001_03_04,268.4687419283971,287.3096886066969,283.4650957284722,101946.62630892085,276.38214285116567,101309.5028205903,0.0,-0.011213652061573976,1.9720179448731365,0.2554452239973731,0.2851878008645533,息县
2001_03_07,266.2866443475385,281.4532742233379,278.0377044097924,103109.94994160604,274.67990800364737,102453.05707564857,0.0,-0.39774901817709324,-2.049793753188553,0.21491646528938502,0.298768172334294,息县
2001_03_08,265.1618739133527,282.4719788403055,278.1395773100937,102988.28692042254,274.5741790580882,102333.28616547571,0.0,0.8095704264732246,0.27247268923075557,0.3376749912359518,0.3032949628242075,息县
2001_03_09,272.33998569065426,288.50402671374604,283.281144058243,102053.96227140525,276.1160923597002,101414.41649333808,0.0,2.4800678089037786,3.5483554621468807,0.25896435911609444,0.30782175331412104,息县
2001_03_10,277.8876822039896,290.86424227397697,284.1143212170556,102181.9266432189,278.09210775991124,101543.93368201045,0.0,-0.4658024313310735,-1.0782966185509677,0.26665137960690327,0.3123485438040346,息县
2001_03_11,278.1702638931988,289.2880597776922,283.1140573211172,102299.67104588555,278.0046323300777,101665.96029465758,0.0,0.6298451950687886,0.5405256214098749,0.1974827853778668,0.31687533429394815,息县
2001_03_12,277.5781412952379,294.9146415946294,288.6320326807438,101950.16780992171,281.4419117552984,101324.78675858906,1.862645149230957e-09,0.4454846971422938,2.560720639681682,0.30182888954167514,0.3214021247838617,息县
2001_03_13,279.32524999158227,295.6491084690537,290.77565327346514,101101.89921023868,285.4216417920708,100483.45531451337,6.126437360433796e-08,1.1836770497301865,4.118312466609294,0.3213605664974349,0.3259289152737752,息县
2001_03_14,276.15180535548683,295.88348567234533,287.3342304062166,101948.0559311173,279.56978850246264,101315.77497486955,0.0004150551762791513,-2.159531041315011,-3.322996188206347,0.2900789463754859,0.33045570576368877,息县
2001_03_17,278.7118860789633,289.8979851080176,283.8591566250892,101668.01190565086,277.317087950202,101037.39537542353,0.0,2.2585740024906285,1.4843575772430866,0.3022954657623931,0.34403607723342944,息县
2001_03_18,281.0311757185867,292.05044505650756,287.10833884886966,101659.37753687207,282.167194208815,101033.90545813096,7.041084582903238e-05,1.7251750521024658,1.675629248103451,0.347252311131674,0.34856286772334294,息县
2001_03_19,280.34213817960847,294.2266307233232,288.4760921408788,101338.86544333828,283.448536080759,100718.70901925536,0.0,2.6120117205178475,1.0848225366503246,0.3647560933655543,0.3530896582132565,息县
2001_03_21,283.2980388854629,298.01029595278203,291.9722437944779,100697.5710907154,286.49300576215995,100084.10956525631,1.4033672457323528e-06,2.012876838816009,2.965385134339706,0.4013759282781921,0.36214323919308355,息县
2001_03_29,279.911431881362,292.03141520955546,286.9170647361523,101223.23262792826,280.0801313275393,100597.12258036171,0.0,2.9242511289647752,3.2585138654109356,0.3940845319470806,0.39835756311239195,息县
2001_03_30,278.5268287605141,291.03823398447037,285.9321861026884,101785.75769117584,280.89054537391087,101152.37852390633,0.0,-1.972562320122599,-2.1520379846756046,0.4339944509707073,0.4028843536023055,息县
2001_03_31,274.0673220570878,288.3262345444439,283.9191087292505,102312.7999582852,279.21541397196717,101673.47069000301,0.0,-3.370228406232339,-0.5650426998978751,0.48348788368721873,0.407411144092219,息县
2001_04_01,282.2419097738117,293.47247056894264,288.8224604582054,101399.50554975848,281.37426684100575,100776.95063222933,0.0,0.6373755342847073,2.1886789560405284,0.4356399159970057,0.41193793458213257,息县
2001_04_02,286.36647839062005,297.05541768916123,290.76544637425144,101099.11778806649,286.09000908387344,100482.32851484667,1.1951721596635986e-06,0.13353029927216417,0.823183069370508,0.49814831597818965,0.4164647250720461,息县
2001_04_03,276.87674314343906,289.6090917444307,285.5861207604575,102009.25305313461,281.394629474408,101375.58709749437,1.7339817408673135e-05,-3.6741322846058417,-1.644482195092194,0.5278848679013377,0.42099151556195963,息县
2001_04_04,275.83509570022744,291.3994929271895,286.16829964290145,101686.2555601596,281.8664947240571,101059.02342606605,0.0,-2.0871657520851605,0.42272275140802995,0.5281678036456919,0.4255183060518732,息县
2001_04_05,280.3374848083284,295.56694132619043,289.09073216049006,101547.1129631603,283.58314219351,100923.77913577942,5.148848668651015e-07,-1.7041680308367553,-1.0654021694443863,0.48703401493703175,0.4300450965417867,息县
2001_04_07,286.09116055034383,295.3046603845404,290.15909416612595,101039.44243057359,283.0509932374362,100421.99930145507,1.6643862567634777e-05,-0.8342609765229771,0.6939566436209637,0.2638695565718831,0.43909867752161386,息县
2001_04_08,287.37001449856035,296.2234327667843,291.1623278608448,100922.7887437926,287.02879695575507,100304.68696605391,0.0006835759180509806,-2.7327318771796065,-0.7953679986480028,0.4677976988756108,0.4436254680115274,息县
2001_04_09,282.3005635853528,293.8805466815311,287.05088796206763,101889.04589210199,279.9200323054863,101257.03695565872,0.0064445627439000475,-0.44493616830254057,-4.1174690803341445,0.4259013587613526,0.44815225850144097,息县
2001_04_11,273.74208831200474,289.1143406334598,284.5633342505829,102082.79406271459,281.3460463330434,101449.11300749298,0.0,3.366458252934411,-0.2711603508908049,0.39057845042100625,0.45720583948126803,息县
2001_04_12,277.6588126034685,293.889986721408,289.2784483017428,101396.75782948133,283.6428273519378,100773.18693715996,0.0,2.5664676229384913,3.1350963395683342,0.479384244342238,0.46173262997118153,息县
2001_04_13,280.2651067168757,295.5566708874569,288.39034273472726,101827.35815106999,282.0665690356668,101201.71605131363,0.00022578307087680618,0.5851780245655709,-1.0170493378977596,0.4768707437405295,0.4662594204610951,息县
2001_04_14,280.2669178837161,294.4988868701484,288.78615477107894,102145.49500725984,284.3050673362081,101521.55474275548,0.0,0.24471361348949386,1.3872863008481209,0.49955458166681593,0.47078621095100864,息县
2001_04_15,282.09210046036424,297.98021915203975,292.89411043890186,101473.76147780528,288.0066152129766,100855.65785766435,0.0,1.5637318457212572,3.2462446905697355,0.2887549356760679,0.47531300144092214,息县
2001_04_16,285.9134797252296,298.94263887533526,293.49576734986306,101050.50078397218,288.7155014330528,100436.0671214291,0.0,1.433903742836385,3.0237111265937098,0.508059097435425,0.4798397919308357,息县
2001_04_17,286.87116140444215,300.76733285996926,294.3820236929048,100905.78489776587,288.1462543240259,100295.27324696194,0.0,-0.18226316799199355,2.277779521078666,0.4532287903444412,0.4843665824207493,息县
2001_04_18,287.33251315870984,301.89564886967946,296.6169841063213,100511.9971803212,291.6416593341063,99904.95269661216,0.0,0.18259532761134153,2.6909649542258522,0.5290263041816906,0.48889337291066287,息县
2001_04_19,287.5585420692818,300.58089249765794,292.0425114533742,100794.12496213002,282.32975886149427,100178.09181444235,0.01019206676776113,-3.3809550338407286,-2.4193003292377,0.3654977318121551,0.49342016340057643,息县
2001_04_21,278.90618768685675,289.87869287743536,286.68677367280355,101904.14752194953,283.3481483769072,101276.16139177399,1.0063136330508031e-06,-1.45371435992795,-2.175977619510428,0.5144711517320794,0.5024737443804035,息县
2001_04_22,279.4689817847071,293.7784587866102,289.49174226600104,101666.27679870058,286.1314015636075,101042.2994187259,0.001518766055488226,-1.963727070515127,1.3486525672448495,0.5768091586838568,0.507000534870317,息县
2001_04_25,278.65567748161226,293.9093075080293,289.6223893552653,101797.21406910566,284.90735519461754,101172.81921480982,1.862645149230957e-09,-2.1964462792573682,1.4434918494237536,0.487283555223273,0.5205809063400576,息县
2001_04_26,284.3147066179748,295.55204757670185,291.137506010034,101333.11884372991,287.69206085402413,100714.48420023863,0.0023076373203261965,-1.115425741622793,1.909358827934227,0.5226082828619218,0.5251076968299712,息县
2001_05_01,284.0316656433661,298.88455238718774,293.65909613714695,101160.91814081786,289.00708581026544,100546.31837350478,0.0,0.7738406703663206,2.2655978473720935,0.44305431875792084,0.547741649279539,息县
2001_05_02,287.1920514171962,300.77406872715056,295.9486832607381,100856.96925911073,291.0494977122374,100246.23359723567,0.0,0.8962893384043179,3.331663718554202,0.45200901345701894,0.5522684397694525,息县
2001_05_03,288.56119604648256,302.37666756337137,297.13558878620296,101040.62053731566,292.225683099776,100431.57677106635,2.633506705739246e-07,-0.04540076005556678,0.9708362100028999,0.459309414325843,0.5567952302593661,息县
2001_05_05,288.9373111318418,298.3975223396091,294.00430077537555,100968.81751595344,290.5338172017646,100354.55483664076,0.0,-1.8331177109759775,-0.04906994302859485,0.47979860446812456,0.5658488112391931,息县
2001_05_08,287.62622974142454,302.4848504131441,297.1053050633801,100703.01566085011,292.4616763828384,100094.35669413344,0.0,1.1117027694739994,0.331831440851099,0.5022430634698355,0.5794291827089337,息县
2001_05_10,287.6155596800311,301.83205733255085,296.14474240909914,101265.1885571702,290.0258223259401,100652.32550832725,0.0,1.725035948206979,3.1359955439645506,0.44735305600585995,0.5884827636887608,息县
2001_05_11,287.1832759783337,303.22382418985705,296.58074911055905,101374.24638632788,289.52917191811133,100763.43104363333,0.0,-0.6776851206943736,1.0855071126268618,0.46154620025285586,0.5930095541786744,息县
2001_05_12,287.7348981518133,304.794354005042,298.8030532881602,101062.91903369212,292.37014100898733,100454.54338708578,0.0,-1.2324588610221994,1.661533189089528,0.41388274668236014,0.597536344668588,息县
2001_05_13,286.2348915959547,305.78262060835664,298.7156359535037,100724.99447394093,290.8117214444281,100119.13548137664,0.0,-0.04952147559447257,2.715485084240495,0.4638293812665968,0.6020631351585015,息县
2001_05_14,289.1041289771343,305.9613341307793,300.5227651840037,100931.10709289527,296.12772519712587,100324.85366800525,7.385150222133934e-05,1.1434201939645157,0.45146706400160885,0.4315233802263316,0.606589925648415,息县
2001_05_16,281.139972916329,303.36741098915064,297.1730500364464,101250.10644941826,292.38164676825124,100638.39449448753,0.0,1.2686362462774468,-0.6942065622979152,0.37939575955047444,0.6156435066282421,息县
2001_05_17,285.4697578454868,301.1704782082423,295.7812527118602,100885.31225474269,290.54212910028735,100274.05348914186,0.0,2.4165463587009564,1.6097780644845634,0.42176346793475794,0.6201702971181556,息县
2001_05_18,287.0788443759787,304.7485958403296,297.3562831391221,100636.29399468079,290.0638521505006,100031.53232649113,0.0,1.679136511160178,0.7196219687999349,0.3395973083041389,0.6246970876080692,息县
2001_05_19,287.0408070017368,306.9857257521299,300.2226613746255,100330.62871440132,293.37496155470893,99729.35184764757,0.0,1.0069899826102353,1.89093372592165,0.33844291681944577,0.6292238780979826,息县
2001_05_21,289.22509021001696,306.9689324022061,300.6030490617403,100185.59968031442,295.0740171790297,99583.15580986427,1.1237220032839577e-05,-2.1187334125772463,-0.49140015727892783,0.29549511122170646,0.6382774590778099,息县
2001_05_22,290.47663679700156,304.6077830584958,298.9580943140181,100446.36703003007,292.3316775909823,99841.77879490015,0.0,-2.3304676155246673,-0.3184607556334838,0.21513495413686215,0.6428042495677234,息县
2001_05_23,287.1420474301126,307.88851175728854,302.09190493240794,100352.60070119252,297.30687483820026,99752.35089862223,0.0,-0.9327328335508621,1.5622725468292347,0.3212483513006853,0.647331040057637,息县
2001_05_24,288.7026096575331,307.02488152259764,300.79268939829507,100531.60920572911,295.84367675811075,99926.92494741136,8.223561895360594e-07,1.2192425919445855,-2.1968036725528153,0.305500940021302,0.6518578305475504,息县
2001_05_28,287.83845143166087,302.5712140647698,297.2918951260125,100712.23925745703,292.95743721227916,100102.48558405071,0.0,2.511497719096485,3.3654932164208198,0.2855418989195711,0.6699649925072046,息县
2001_05_30,287.14551441965557,299.89244217511447,295.19642232625574,101105.51256339726,290.09679493970145,100492.85567685445,4.470348358154297e-08,-1.3407919698463777,-0.6714377145843772,0.2844576250736145,0.6790185734870317,息县
2001_05_31,288.14422685899524,301.90203150634767,297.55951416912916,101229.50011935957,292.3624370913264,100618.60530067832,1.299463111510651e-06,0.33649308121410626,1.0346424484500152,0.2655474269413816,0.6835453639769452,息县
2001_06_02,288.9015320179364,302.55180653845895,297.77893529788787,101242.49597644557,293.44773664876647,100630.07769945185,6.598315621815524e-05,1.633365445851288,2.654122442909236,0.2279779929533198,0.6925989449567724,息县
2001_06_04,290.2139363876136,298.58722025035013,295.0217105598643,100457.06100138983,290.7665486215158,99847.82910143203,0.00033091360365806706,-2.008144707398215,-0.2711842010359481,0.2653536232620845,0.7016525259365994,息县
2001_06_05,289.55500478274206,304.74899076702803,298.1824349441853,100352.95779836169,292.70600044279854,99746.32290740711,1.3813426086454755e-07,-1.639553428774735,-0.01818288129696058,0.23760944911907325,0.706179316426513,息县
2001_06_06,290.2744527875175,306.2300857029055,300.3143832877207,100496.6145438662,294.60537804154154,99891.5088352519,0.0,-2.345176635594115,0.9917058298833134,0.23432976406494913,0.7107061069164265,息县
2001_06_07,291.13877949990973,307.1451180470154,301.23002736664506,100382.41159104466,295.7073405494852,99778.48475929133,0.0,-2.7228352481184,0.7375395342472103,0.2713112587296568,0.7152328974063401,息县
2001_06_08,293.89315952522014,306.4180040151922,301.69139184518826,100351.17007510463,297.7064511753192,99748.13620163304,0.0016847077664631526,-3.466339680781067,0.2648236413199184,0.2550531268046296,0.7197596878962536,息县
2001_06_10,291.919679992839,300.6955191962027,296.84473605929435,100662.42522546482,293.2480518355199,100053.88946536108,0.002752549351705219,-2.325239238468052,-0.6999117365443801,0.26101395172859576,0.7288132688760807,息县
2001_06_11,293.24306719989096,303.58869533231825,299.6803232332736,100528.65169968693,296.4215149968128,99922.57792267877,0.00010614278266192892,-2.354466519724721,0.18115652497464727,0.29212965463076374,0.7333400593659942,息县
2001_06_13,291.4434650963325,300.2196436514663,296.221481487742,100176.00581649475,291.74275766554223,99569.70521943991,0.0007581571868633169,-1.1409271630460902,0.2977680375941369,0.3099279804788689,0.7423936403458213,息县
