Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.2173820184769007,267.8594063124553,282.3592241091383,276.4758774124206,102417.01649070703,271.3655107700451,97988.17054153084,0.0,-1.174022244078185,-0.40665143816727695,0.004315374450549451,汝州市
2018_01_05,0.022825452030784975,265.74001770074517,270.92319840781556,268.31436264295223,102795.87497811262,262.4582562131497,98177.73061424044,0.00031405312104238066,-0.12360725581652689,0.23375838988335373,0.021576872252747254,汝州市
2018_01_07,0.011298510730349253,267.05868731942917,273.9662904230192,271.2499199507114,102559.08042635373,266.10264537726573,97979.69923037609,0.00010697937417365035,4.502534055286407,-1.9985697871340236,0.030207621153846155,汝州市
2018_01_08,0.05409758860998373,262.2977297360395,272.96806801207657,271.0826382717996,102831.63424984502,268.9513753535917,98244.41976095873,0.0,4.947532301627599,-1.973318745894407,0.03452299560439561,汝州市
2018_01_09,0.043315996782400445,263.7590730970792,276.36297255629444,272.8634385781996,102892.54511537185,269.1055378993696,98343.61570339756,0.0,4.197892035967259,-1.5577180112218671,0.03883837005494505,汝州市
2018_01_10,0.04696848964601117,262.9902585197051,275.8428281477564,270.858596095176,103199.28837018802,266.25281153006443,98641.53045076343,0.0,3.3085559653051124,-1.176847299902307,0.04315374450549451,汝州市
2018_01_11,0.11768405841877967,261.59953171213107,273.0182800903332,267.9352283574883,103703.66082827748,264.2169667320297,99064.00655612955,0.0,-0.4966431135911138,0.6486022497630157,0.04746911895604396,汝州市
2018_01_12,0.14834669653853821,263.5825435370885,274.87238261891804,269.75619375846264,103223.90517433925,264.2737385782962,98645.09908368219,0.0,-0.2018627176329205,0.9592284901336927,0.051784493406593406,汝州市
2018_01_14,0.23948944030624883,268.76232016280744,281.82329890998335,275.5495186776007,102201.82964552066,269.686450169102,97781.58279037084,0.0,1.1405142148479277,-0.2852538904905215,0.06041524230769231,汝州市
2018_01_15,0.17989684248967208,270.70455854229783,278.9919285837966,275.7380270231466,102164.83076531006,270.90713506443984,97711.30517299045,0.0,1.368785932505411,-0.7156066777143049,0.06473061675824175,汝州市
2018_01_17,0.14771143005156498,267.6982793887129,280.7610896327717,276.3387193363853,102169.13072501076,272.01186538777034,97736.33857456756,0.0,2.5612275342917323,-1.349137967350438,0.07336136565934066,汝州市
2018_01_18,0.13841698318352316,268.4947811046563,279.36086719305473,275.63038559217205,102605.78668379514,272.3514443956898,98155.6251264568,0.0,1.2233840523154162,-0.10178903599910387,0.0776767401098901,汝州市
2018_01_19,0.2545608478720835,268.39911439667577,285.04982800193187,277.6831662191778,102296.81541285019,272.69821264117496,97904.43323710568,0.0,2.17039677815874,-0.6692849531549293,0.08199211456043956,汝州市
2018_01_20,0.26301774053215304,268.6732722029025,284.25136359948095,278.1760918825501,102121.9534520155,272.86823166541456,97750.88516170207,0.0,1.357914308020047,0.014016026963055516,0.08630748901098902,汝州市
2018_01_26,0.024017862003206922,261.2867086949117,270.0595229811643,267.96845850269113,103413.39632575723,265.4025081316537,98745.31045364753,0.0006262836940362655,-1.5222046078821792,0.5289624574899269,0.11219973571428571,汝州市
2018_01_28,0.0605112863535524,261.323385905684,271.8059925295688,268.69941015402577,103377.86363908778,264.7847889387611,98738.79289084654,1.1278995695906643e-05,3.5960734391889213,-1.7357495428273015,0.12083048461538462,汝州市
2018_01_29,0.05024805792033284,258.25429751674955,273.4318812634058,269.3014285450022,103207.44385770369,265.2481243098988,98587.72057161336,1.862645149230957e-09,3.5373091447366494,-1.1299455985413764,0.12514585906593406,汝州市
2018_01_30,0.07418114538363828,259.2228629055961,275.44730073707524,273.02351679547144,103088.57422000216,266.14447708938224,98513.3109434033,3.561330630474968e-05,3.9166855939273475,-1.5907236857866651,0.1294612335164835,汝州市
2018_01_31,0.18082241132683624,257.37777939383614,276.34052929038,272.1490168380621,103119.74968167132,267.7574422920935,98560.65800273066,0.0,3.319037757948276,-0.9735162965597335,0.13377660796703297,汝州市
2018_02_02,0.2618477533851262,253.08450246960834,274.51743454345126,270.6137020140962,103987.96672338723,265.47019632607584,99351.2884268097,0.0,3.0500009615226555,-2.3815787179829653,0.14240735686813186,汝州市
2018_02_03,0.2811408867746443,253.75773110406755,275.47205036287045,270.5064120943421,103664.09363922996,265.53648748252806,99061.33213759582,0.0,2.382669050111442,-0.8062297321130297,0.14672273131868133,汝州市
2018_02_04,0.26319193373583305,255.28807467356236,277.07031747289113,272.45510014663824,103481.1500560827,266.8251682402977,98911.10680361449,0.0,2.9766633717379753,-1.1664443062969707,0.15103810576923077,汝州市
2018_02_05,0.2689789452931498,258.0419184115869,279.91649018735103,272.92767595699473,103149.57942346441,266.5856744816624,98618.90676395387,1.862645149230957e-09,2.0280737731302727,-1.0920377342684526,0.1553534802197802,汝州市
2018_02_06,0.25568110291905355,262.3767256551016,279.7431318629148,273.60304110289326,102582.0142315203,266.95882008413287,98103.51664002621,4.470348358154297e-08,0.7511881018163117,0.5585484519705399,0.15966885467032968,汝州市
