Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.36107057424266437,263.04878986157894,280.50292714404594,275.14999325276716,102639.22369894653,270.03457709258004,101695.41783206807,0.0,-0.3487707337149889,-3.2786578783233806,0.004315374450549451,滑县
2018_01_05,0.16728835258603778,266.32870132505013,276.7015004010361,272.3118165298657,102773.83674852844,267.4088697132609,101818.28564513735,2.521979070591904e-08,0.4306865964417626,0.9728222188174561,0.021576872252747254,滑县
2018_01_06,0.35209415459034155,268.22595621562357,276.3036057220986,273.6661447718602,102640.0551740894,270.9120968964921,101685.47179331895,0.002750230164125683,-0.20712940793280854,-1.2238001735184856,0.025892246703296703,滑县
2018_01_08,0.4771497934513639,256.91683822929735,278.94694537508764,273.66549555676033,102407.77281356006,269.6286500189657,101459.15542828939,0.0,2.4657831943388455,-0.45006942887189605,0.03452299560439561,滑县
2018_01_09,0.5262752822544503,255.4323737249954,282.78412830486457,275.5851338344776,102539.23489863127,269.74669633910975,101596.7160218035,0.0,2.7130827067088688,-0.8165412071022706,0.03883837005494505,滑县
2018_01_10,0.47708471917322937,256.2450936500534,280.51441161866643,274.2723973159006,103026.65699582415,268.9639030539064,102072.76695293834,0.0,0.9750178913858322,-0.7950570786797928,0.04315374450549451,滑县
2018_01_11,0.523553452436442,251.5791066469002,274.43541355037416,269.709447276637,103734.15671919745,266.7171073395912,102757.36393474173,0.0,-1.1500221182412622,0.4243154458432104,0.04746911895604396,滑县
2018_01_12,0.4619817534053772,262.5727239954448,278.1390195593358,272.43595340455,103164.09747831308,266.7177157680849,102203.20506611507,0.0,1.135742239639563,3.5645422913454827,0.051784493406593406,滑县
2018_01_13,0.45013640990198817,266.76641742231214,280.47716160587566,275.54731623671216,102500.81398499632,268.96737770295834,101556.24568621226,0.0,1.2510366330235214,4.7284452719879075,0.056099867857142854,滑县
2018_01_14,0.44075955935433303,267.5071666723435,283.75593927579234,275.5863218689022,102222.0497606669,270.6665168553317,101294.88690609872,0.0,-0.3650328279261014,-0.3271422921751095,0.06041524230769231,滑县
2018_01_15,0.34087156641423183,270.1139424016878,278.8712882246953,275.2187528652191,102136.71618217985,270.24805278984905,101202.42903614619,1.3900708935477724e-06,0.11685973180323692,-0.9432075100030801,0.06473061675824175,滑县
2018_01_19,0.38094569144300827,267.3780713535412,285.3248186889065,277.45398014100016,102260.26810045356,271.10191086704674,101337.88370518739,0.0,0.33214021233296276,1.6038120218036602,0.08199211456043956,滑县
2018_01_20,0.24552165664090309,269.533799906484,283.3835833963034,276.9808284115727,102170.37917460574,270.98104778235023,101241.09941982078,0.0,0.16196519769406098,0.02937014124442635,0.08630748901098902,滑县
2018_01_23,0.4368739564564043,260.4155376888873,271.61198186803614,268.81171284423084,103060.33372501591,266.2982045024555,102086.81851023623,5.762454222953789e-07,-1.6971703733564067,-1.513196140164804,0.09925361236263736,滑县
2018_01_24,0.305497989174169,257.25170831925305,272.81025261557,270.27514837314897,103254.65857858899,266.22942367699596,102283.14904592362,0.00011738657754787377,-1.612267236323872,-2.0723366881862835,0.10356898681318681,滑县
2018_01_26,0.39164247276985853,258.59236264126173,272.5875032834287,269.9649125628934,103492.78899464937,266.58826403148134,102517.87897860902,0.00014930467886591203,-1.4826097368126498,-0.34033439634562435,0.11219973571428571,滑县
2018_01_29,0.3991270333278444,257.54937922045934,274.99346602679185,269.86514559371534,103072.42513600679,265.71571174968363,102111.67498799405,1.862645149230957e-09,0.4508916543349321,1.194425804221128,0.12514585906593406,滑县
2018_01_31,0.39678565236284535,257.3777102921014,279.60803450127963,273.25880401510324,102917.89106266275,266.46931739586404,101971.83466516969,0.0,0.4557700434822162,0.7042502355445383,0.13377660796703297,滑县
2018_02_02,0.4188372036147729,252.66683348841286,274.633269267595,269.600497029563,103958.25911349927,264.38631004551587,102984.88109441464,0.0,-0.622906266551811,-2.115109451456696,0.14240735686813186,滑县
2018_02_03,0.44214278802532975,254.5655218296115,275.80053542760635,269.7468500021099,103672.12547185489,264.75426768248406,102705.92164098553,0.0,-0.17951303957158074,0.2417965373532521,0.14672273131868133,滑县
2018_02_04,0.40961497152176346,255.94462539882215,277.89274973149355,272.0169675797838,103328.68184103117,265.55098698026154,102375.57568631781,0.0,1.069866725717209,0.746640497223522,0.15103810576923077,滑县
2018_02_05,0.40298784408963334,257.61921729433914,277.5561539595622,271.50678890839794,103252.38129104959,265.8090859599454,102290.4868188223,1.862645149230957e-09,-1.5085560671105358,-1.5554174539095218,0.1553534802197802,滑县
2018_02_06,0.3957095039857982,261.09811817581783,278.23688044219625,272.65921153284205,102567.1933790717,266.4621992896424,101621.07421184068,4.470348358154297e-08,0.5438704283242457,2.13020298054777,0.15966885467032968,滑县
2018_02_07,0.3944882202063144,255.665773001831,279.3834972684791,272.6757725474553,102728.53732197164,266.7428356986786,101778.03577466376,4.284083843231201e-08,-0.8814376364295305,-1.8085951637984075,0.16398422912087912,滑县
2018_02_08,0.3958926644422,260.436301761458,279.61144788837913,275.85168093915627,101878.46734421731,267.83985647525344,100943.20785095106,0.0,0.9153834805168987,3.813178768855268,0.16829960357142856,滑县
2018_02_09,0.35501131006167863,258.96458602695714,284.02904082125104,277.94331345707235,102413.35355424436,271.0885028113851,101477.99377085021,0.0,-1.2099813580670957,-2.828016266687917,0.17261497802197803,滑县
2018_02_11,0.3651294532005504,250.86242981925372,278.86721342999783,273.2475773090477,103012.57554113666,268.53224912631805,102064.35475509844,0.0,2.2373476245079518,-1.4972636183198231,0.18124572692307694,滑县
2018_02_12,0.4443964845879559,252.046838770185,283.27761990947397,276.5008000959392,102523.64896966329,269.5846289420293,101590.74186721086,0.0,2.080195823168271,1.3410669820818584,0.18556110137362639,滑县
2018_02_13,0.38405342036044177,264.96590130466626,289.5878210497096,282.21159321387205,101332.53744005243,272.3161527100145,100427.30834073403,4.284083843231201e-08,2.3493877689623193,3.4119050593017826,0.18987647582417583,滑县
2018_02_14,0.3182652666167874,258.33116865332795,283.9621643270464,278.25974774760397,102188.37167623985,271.59323746427634,101255.21730826303,0.0,-1.7508424634163116,-5.041232389942649,0.1941918502747253,滑县
2018_02_16,0.3762481435613126,264.7680360268491,285.5797871094648,278.1997093148836,102155.39720217613,273.1642677855128,101231.75843059161,4.1918432456124264e-07,-0.7673726953202175,-0.8039827309126286,0.2028225991758242,滑县
2018_02_18,0.346954565796512,270.43649477837323,283.62873752239756,279.700855693989,102348.06511855802,276.271697719187,101425.44920776023,1.790634375003282e-09,-0.8472477035121819,0.7172562954014351,0.21145334807692306,滑县
2018_02_19,0.4003454531892497,271.00733535501234,285.5711838710954,280.5480525409689,102314.74388197843,276.7141651182778,101390.78842875312,0.0,-0.28734802212697597,1.92675469163827,0.21576872252747256,滑县
2018_02_21,0.32029495520891754,267.59590171638854,282.6794289433659,277.9814407408239,102427.16895603704,273.52587695037994,101498.91000328136,3.2410698560341974e-05,1.5557062588092785,1.723062959276372,0.22439947142857142,滑县
2018_02_22,0.40004426645767105,262.26115540037335,288.76283211354206,282.1622847182357,101751.82242872225,274.98957298918504,100841.359566509,1.862645149230957e-09,2.9663900524056146,2.3634634011024884,0.2287148458791209,滑县
2018_02_23,0.41796072922968713,268.5413017183253,292.3954427915235,284.14926897678765,101842.80485178437,274.7904808391184,100932.41302472512,1.6981808203199303e-05,-0.478584055211843,-1.1748680618140455,0.23303022032967033,滑县
2018_02_25,0.39910758523195045,268.65429139416204,285.9961092145637,280.14647743124107,102203.60213399112,269.99684001817377,101278.57563352409,0.0,0.9487739109460571,4.404348214617872,0.24166096923076924,滑县
2018_02_26,0.3799095525632188,274.52845985787496,292.88279455206305,285.4639837739072,101681.55560560184,277.7132240611299,100781.4127438442,0.0,-0.07930921279110885,2.1440909119512654,0.24597634368131868,滑县
2018_02_28,0.21707399731345514,274.24422490809155,290.39969228286367,283.7844111021154,101199.75403261185,275.0714498316756,100295.74178979448,1.1930938310007575e-06,0.8218400065953356,0.4793486883821029,0.2546070925824176,滑县
2018_03_02,0.4392313489633313,277.0365083617009,287.75372189126114,283.01293658644147,100805.8106152979,276.95335835094903,99899.58658480192,4.284083843231201e-08,1.4186143434312886,5.594283538005346,0.2632378414835165,滑县
2018_03_05,0.4055458920455766,267.7229772736732,281.75346146852786,278.1875257895438,102928.9593222882,274.12220798155744,101991.53987609931,4.284083843231201e-08,-1.1223260616849766,-1.118351854406015,0.2761839648351649,滑县
2018_03_07,0.39996301518576644,273.90867678419113,282.8746387874107,278.8755966960388,102686.95097993316,275.4914744759479,101751.3745456656,4.5075551545605274e-05,0.41197666068705835,0.8940042116182074,0.2848147137362637,滑县
2018_03_08,0.479230555147559,268.05323348417346,282.1497466707437,277.6365003292723,103116.69028662899,273.9404309446193,102174.9547051201,0.0,-1.033362221047191,-0.19044287300818935,0.28913008818681324,滑县
2018_03_09,0.45798611827014285,275.5847021529778,288.1157035049216,282.8701334063279,102040.98359469503,274.7487165253838,101126.6820757178,0.0,1.810113460266501,4.991888479395936,0.29344546263736265,滑县
2018_03_10,0.4638844908787551,276.23454428668083,291.2202390858352,285.0635423638961,102027.61083727045,279.50399625211173,101121.4711793638,0.0,-0.18715035448958325,-2.161563636924056,0.29776083708791207,滑县
2018_03_11,0.4714149341738969,277.65013074052285,291.79911129532303,285.66784454075776,101843.71762659147,278.8234011286692,100942.79125751136,0.0,-0.05821090837782889,1.4252101364774048,0.30207621153846154,滑县
2018_03_12,0.5596303233317218,281.3250028407363,296.63141554392166,291.01562571515757,101078.20595993788,282.9085066241059,100193.75238179191,0.0,1.645741226418039,4.89557670946675,0.306391585989011,滑县
2018_03_13,0.5361811002027226,283.0812443037753,300.1766824661887,293.59946424737984,100851.44919176359,286.8282537153338,99973.68862019111,1.862645149230957e-09,1.0611649323253733,4.661246200876027,0.3107069604395604,滑县
2018_03_14,0.6202480780441054,286.1183612888186,299.534194794306,293.3150717292358,100824.32371357789,287.1957547372385,99945.80496315329,0.00010906552333382556,0.6033099518373786,3.553554760344808,0.3150223348901099,滑县
2018_03_16,0.5564391735316072,263.2707967342959,283.78917393609015,281.4604296327988,102793.41809407524,275.54935956839677,101860.88824951767,4.470348358154297e-08,-2.0085045817588956,-2.060613953792362,0.3236530837912088,滑县
2018_03_19,0.5733502959813683,270.6378550494816,286.27107206861984,282.47880209195296,102454.529583245,278.88818796258437,101530.68148499347,0.00013330814996760813,-2.235127622981312,-4.345767321674862,0.3365992071428571,滑县
2018_03_21,0.6418663840862933,266.72975923071743,285.9988066160877,281.91053937493837,101979.5433413489,276.6795927703835,101062.1740450785,0.000222021105961466,0.3677703300475246,1.2973849817789251,0.34522995604395607,滑县
2018_03_22,0.5926799207535198,275.8472209095284,292.12230926073215,286.04502683521747,101453.19975311936,279.85457537152416,100558.45154375583,5.760484914423701e-07,-0.041633926720275036,1.237005562905351,0.3495453304945055,滑县
2018_03_23,0.5711907822279296,280.4461974120152,297.16351717334004,290.49480077287325,101595.26308438383,284.2500976810149,100705.81797022378,0.0074475261465497085,0.5009726604093498,1.1939073989953357,0.35386070494505495,滑县
2018_03_24,0.6485239764847706,276.73235760209997,296.2354340083354,288.6142255388046,102170.9116368365,281.9729930612637,101278.85730591674,0.0,-0.45391427963600456,0.1662093015085537,0.3581760793956044,滑县
2018_03_25,0.6830839079619779,278.522134547002,297.4989674702175,290.9065269258762,101935.00784213227,285.7236338796431,101045.7526069593,1.862645149230957e-09,0.8546332772256647,3.0426968607242695,0.3624914538461539,滑县
2018_03_26,0.6752157753096595,282.5678215279419,300.28429304411986,293.87160134094677,101324.19814247134,287.41481972240103,100444.64365709493,1.7498760509649384e-06,1.5526462502384553,3.646320983644884,0.3668068282967033,滑县
