Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.34114920867850246,261.33684267872553,281.8363459412627,276.56488937356266,102558.11265757856,271.33705044924585,100509.63101888166,0.0,-1.7828156970062943,-1.902987621106116,0.004315374450549451,红旗区
2018_01_05,0.031581655990852296,266.82447416859907,276.4639111863251,272.602472248976,102756.35073563879,267.8231732695431,100661.26620467496,4.412023886215117e-06,-0.27451735845856523,0.5627321725255084,0.021576872252747254,红旗区
2018_01_08,0.06221856851877198,259.4623610337677,276.34304406170315,271.74058744859815,102463.809627376,268.50512558229485,100376.909852906,0.0,3.513573553711865,0.003253100807430302,0.03452299560439561,红旗区
2018_01_09,0.1424458278627739,258.28540578595135,281.5752056805805,274.7585290406686,102619.87399486432,269.32580507713084,100543.68458791812,0.0,3.328674551909796,0.1980395572869591,0.03883837005494505,红旗区
2018_01_10,0.34626524247437107,257.5838806041654,280.9673619870241,274.67770076124225,103028.87338838319,269.65937559800665,100943.36484573242,0.0,1.9570075949274939,-0.44189962352493695,0.04315374450549451,红旗区
2018_01_11,0.42256396082988246,253.22405960015578,274.996266211102,270.75653539953174,103706.24109390278,266.3819214887365,101573.41766999391,0.0,-0.7957399634694406,0.24480575891782103,0.04746911895604396,红旗区
2018_01_12,0.41694093503055163,261.323082520169,278.59132823080216,272.6372188305781,103148.72412402187,266.7316378727462,101060.61844700371,0.0,1.3207875266454532,1.6218167478100338,0.051784493406593406,红旗区
2018_01_14,0.3636331698145869,265.9696746199664,284.46794440133334,277.00875158372463,102173.40131437416,271.78940136105905,100151.45763506679,0.0,-0.255001249400758,-0.5704571328338913,0.06041524230769231,红旗区
2018_01_17,0.2131847646934478,268.24719729845276,284.8702366703424,277.4129643312055,102110.12221158773,271.847390933771,100079.61181332577,0.0,-0.17804762469468496,-0.3274578028845417,0.07336136565934066,红旗区
2018_01_19,0.2996992252673293,263.8614662253854,286.7645814847877,278.3659462437178,102227.16363047926,271.63176371397407,100215.24425730109,0.0,0.05873979729420747,0.3609477002300929,0.08199211456043956,红旗区
2018_01_23,0.411327974896282,262.49419112969014,272.2675301135051,269.94259876954277,103004.53371098076,267.17739703292534,100882.56463272082,1.2856018897750578e-05,-1.944432125440902,-0.11786647216702928,0.09925361236263736,红旗区
2018_01_29,0.36978375047287926,256.5134285183838,276.2303879586145,270.89048835653534,103037.31384913098,266.76489579485934,100939.12231534864,1.862645149230957e-09,-0.24405426939824656,0.6698655933615228,0.12514585906593406,红旗区
2018_01_31,0.34577337350546467,255.45902197149908,279.94351231355756,273.49342102646875,102905.6494935792,267.1799569638017,100833.86535076289,0.0,1.3795084711342658,0.5474745092263399,0.13377660796703297,红旗区
2018_02_02,0.3529689016263819,253.01449573722104,276.58321287769274,271.1623866786154,103918.8105721534,265.816868642799,101792.42113050887,0.0,-0.7470841741655075,-0.6608838472271485,0.14240735686813186,红旗区
2018_02_03,0.3547613438879872,254.60588359133558,276.12096079652264,270.1214236527333,103637.62816712564,265.4968500296664,101521.3551626057,0.0,-0.6636930095205054,0.09977983858375443,0.14672273131868133,红旗区
2018_02_04,0.37481492597071975,255.21143159793505,278.4281342287771,271.9512151770561,103320.25728361623,266.76620976941405,101233.80562024737,0.0,1.2096291804140764,0.612463749059077,0.15103810576923077,红旗区
2018_02_05,0.32732702842162337,257.46572016832255,278.57575649689437,272.51611595777587,103201.06959829116,266.9045709995912,101105.16583756049,1.862645149230957e-09,-1.3386450841149455,-0.5206551605757679,0.1553534802197802,红旗区
2018_02_06,0.3616695176220365,259.17261296298534,278.5532882920583,272.80565892752367,102552.33354112762,267.2009862333494,100485.20026308767,4.470348358154297e-08,0.8299666826124971,1.0742305263393799,0.15966885467032968,红旗区
2018_02_07,0.31166501886253956,255.7423513343661,282.20367331410546,274.3400207432573,102687.89298665468,268.4481940158721,100611.15957911943,4.284083843231201e-08,-0.8618710574680106,-0.7769736812809892,0.16398422912087912,红旗区
2018_02_08,0.32226814904871026,259.908293032043,279.2076410970322,275.3199890307361,101874.32523692389,268.30243240897164,99830.54125166658,0.0,1.4873165001056023,1.5610752158199326,0.16829960357142856,红旗区
2018_02_11,0.32133206938277015,248.27262611653262,279.38447991954143,274.3184754922998,103054.92575565871,270.02347275384517,100970.47257261045,0.0,3.3063437521105574,-0.4620955487287665,0.18124572692307694,红旗区
2018_02_12,0.3688998780964587,249.4911682550587,284.06904828774117,276.3913677326201,102546.24940795741,269.859726110221,100505.7862767355,0.0,2.9110470857463135,0.32319586885727924,0.18556110137362639,红旗区
2018_02_13,0.36075729162479164,260.43241996140887,289.7697313684386,281.0026993968731,101337.47242640589,271.5824221822266,99364.35688643884,4.284083843231201e-08,2.1292980203266403,1.271146032710743,0.18987647582417583,红旗区
2018_02_16,0.3208305039711143,260.3174560998417,286.881877507283,279.6718916634585,102113.71853275807,273.1148939097532,100097.0192485226,2.916363910203064e-05,-1.1471905773774513,-0.779441218819448,0.2028225991758242,红旗区
2018_02_18,0.31468242774188626,271.851728707392,284.3335789692305,280.4960188235629,102322.71218764299,276.6852920332215,100300.00176902332,1.7278139040081102e-06,-1.1748338449268705,-0.12047184367091347,0.21145334807692306,红旗区
2018_02_19,0.3349897946469889,270.67959333885125,286.0217347338789,280.93918831654724,102281.21638274404,276.5468391935236,100258.48971405327,0.0,-0.5490045025211329,0.9754017494895595,0.21576872252747256,红旗区
2018_02_22,0.38738344408604314,261.4680572543473,288.52647316139166,280.9809448266164,101781.70840495909,273.8599886107355,99785.19996119766,1.862645149230957e-09,2.9994963330772095,0.8092444433034711,0.2287148458791209,红旗区
2018_02_23,0.39439812685511005,266.08303435682257,292.44282046345046,284.52114482701353,101760.99854347928,275.7603877566495,99772.93831820913,9.781169721518859e-07,-1.4494363618314068,-1.3991745385327314,0.23303022032967033,红旗区
2018_02_25,0.3558408116369027,267.2663889944192,286.90583591450206,280.1031845100287,102187.00658766003,270.9951591143245,100172.58696073544,0.0,0.9224463999615286,2.2098784327806573,0.24166096923076924,红旗区
2018_02_26,0.35400913417498914,271.221648306261,294.1960403301312,286.0769320368346,101637.60862148622,276.51518138471266,99671.91867324336,0.0,-0.2483272253352831,0.7596206799717473,0.24597634368131868,红旗区
