Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.2531947459533852,270.9556387794981,281.4574662038703,278.1577484918497,102310.36837416106,274.64663422181457,98221.21693764569,0.0,-1.082224798128444,-0.6993477139286612,0.004315374450549451,镇平县
2018_01_08,0.02651600306529008,261.1089300580541,275.2529989114511,269.4374828889426,102897.379115287,264.15801018991016,98671.89349974671,0.0,2.744623042257136,-1.397935421140433,0.03452299560439561,镇平县
2018_01_09,0.08162522934592295,261.50994546463374,277.76634706970185,270.71831304502246,102907.26144484188,264.1945517753858,98722.3531043575,0.0,2.212394283149281,-1.5755559777640662,0.03883837005494505,镇平县
2018_01_10,0.18219811498234545,261.7782449114547,277.63124568973166,268.77415531535195,103170.5273501013,262.7811555848211,98984.3809344673,0.0,1.3346118674925131,-1.6401109888869718,0.04315374450549451,镇平县
2018_01_11,0.3123321595445619,264.2039065960223,274.98693839054647,270.2804631787575,103654.72387633496,264.56298545487357,99377.55196947361,0.0,-0.7356265641836315,-0.8552867263949845,0.04746911895604396,镇平县
2018_01_12,0.36037752051231253,266.0700098741082,276.8382987802835,272.48313732314483,103253.43953688703,267.9107551809616,99015.71352904363,0.0,-0.25827912287354027,-0.11388471989139957,0.051784493406593406,镇平县
2018_01_14,0.35831568158171206,272.0832318151539,281.6834706982351,276.39354993746434,102195.49707414742,270.9502888667472,98097.53575193646,0.0,-0.14807241389767534,-0.10940592357480769,0.06041524230769231,镇平县
2018_01_15,0.3146539178074903,273.8206263901582,280.93140169227013,277.5469002520204,102066.06679154109,273.74291583056083,97971.76477030439,2.7559512481969976e-08,-0.6201690245287217,-0.5566602089337124,0.06473061675824175,镇平县
2018_01_16,0.291548322914948,271.7130492193523,282.8325444487153,277.30112078265626,101754.63391556696,273.34542884269206,97675.16685505665,0.0,-0.3366874826452473,-0.21437309550408237,0.06904599120879122,镇平县
2018_01_17,0.20566328106085016,274.14151471261226,282.1584756289385,277.2687190534098,102057.97269774402,273.3544938207406,97977.36283701852,0.0,-0.521883418983792,-0.3656463283745536,0.07336136565934066,镇平县
2018_01_19,0.18418743199604565,270.8600066330037,284.5051476799375,278.7568809861817,102311.48638173199,273.8019384402221,98239.94264841461,0.0,0.5195674661232937,-0.03261521628691595,0.08199211456043956,镇平县
2018_01_20,0.27313387575084186,272.7918394406574,284.32724418705953,278.9218859227137,102132.34884169753,274.3262418574928,98075.51310143642,0.0,0.2558494018562945,-0.11569621922470368,0.08630748901098902,镇平县
2018_01_22,0.23755391425922084,272.67513838337067,281.2858514145695,275.9981399147706,102139.60164475051,271.94942236565595,98004.14884235786,1.1470115070156776e-05,-2.031476999323991,-0.5184666108922079,0.09493823791208791,镇平县
2018_01_26,0.0337740460481604,263.1999370860939,269.588443092759,268.1078323140282,103350.85464100643,265.7230866339981,99016.72639525593,0.000881326856692023,-2.2054828696079296,-0.8466565334719888,0.11219973571428571,镇平县
2018_01_28,0.03735489913204592,264.2536222767942,271.5101604045927,267.4210274395542,103324.85918106484,262.4300612897417,99042.68441022543,1.3487936883641102e-05,0.22188696934096544,-0.7362212591916284,0.12083048461538462,镇平县
2018_01_29,0.04931528335846344,259.85132672886095,274.75462893892495,270.35084892553886,103161.77430532721,263.8142203041611,98908.09056408858,1.862645149230957e-09,0.2766348823362563,-0.6312325592259003,0.12514585906593406,镇平县
2018_01_30,0.14665612621959864,262.2899643512758,275.9109888006908,272.3312103700607,103055.72932950911,266.1984750914917,98828.51420063555,2.90826391281589e-07,1.2940777058306399,-0.623063904377042,0.1294612335164835,镇平县
2018_01_31,0.1633363847986654,261.85043589447156,277.109769727986,272.18362488943524,103123.24433274879,267.22297600472683,98909.67435894335,0.0,1.576107589135579,-1.2133287545048237,0.13377660796703297,镇平县
2018_02_01,0.19559863927213098,265.48731405796707,277.6935844199139,274.3816366548372,103105.14424079128,269.2668547505575,98921.46439067519,0.0,0.8563806345732654,-0.3442880991175914,0.13809198241758244,镇平县
2018_02_02,0.27502763376322004,258.76127786743746,276.58603912886576,271.3566034746877,103903.75693809135,265.7770791238742,99630.35505551998,0.0,0.3656507452537851,-2.2264521015456,0.14240735686813186,镇平县
2018_02_03,0.33646930364280453,259.7678015266838,276.00695395942563,271.244721693239,103659.35127515216,266.4667005241224,99396.86083483287,0.0,0.16532112318005826,0.2217855205264723,0.14672273131868133,镇平县
2018_02_04,0.3163877396462233,261.1647871698137,277.14709317356505,272.12761168917365,103486.29887232662,267.20621096708504,99260.82762471239,0.0,0.8760264186428907,-0.18083749072744057,0.15103810576923077,镇平县
2018_02_05,0.3595768771666354,261.6375824370184,280.6068129346549,274.06220500235116,103117.51940325502,267.7879719566921,98935.9569599556,1.862645149230957e-09,0.19317425522252404,-0.2526921856603074,0.1553534802197802,镇平县
2018_02_06,0.32964705384388887,265.57466811771405,280.10563121607345,275.39757193459565,102608.37372572973,269.6088445657578,98459.46251998756,4.470348358154297e-08,0.46925064367353464,0.10905905557097449,0.15966885467032968,镇平县
2018_02_08,0.32754742297812395,267.1490132685961,279.8876220445865,275.974715890861,101905.5078623058,270.8263401042233,97792.37970465704,6.325100165949717e-05,-0.038247959304041235,-0.20592258062283159,0.16829960357142856,镇平县
2018_02_10,0.10827322135708818,262.64888725679424,281.35084490545756,276.27906620904577,102991.11847785076,270.04246462927114,98839.99236197308,0.0,0.9128831038005946,-1.162168209667796,0.17693035247252747,镇平县
2018_02_11,0.32306683184947854,260.5795184806189,282.0459547892778,275.2298582332443,103193.88734341103,270.19817011358134,99026.14882722392,0.0,1.4836672699585207,-1.8354860745263029,0.18124572692307694,镇平县
2018_02_12,0.36776786345282025,262.4311112424933,283.994504672515,277.3586251592692,102825.4381577955,271.14097812346716,98700.4765747567,0.0,1.6825846381604554,0.00028204417145436634,0.18556110137362639,镇平县
2018_02_13,0.25232797111866867,271.06437006944236,287.1199279040955,280.8361417672977,101619.85106519208,272.8812145834401,97589.77225240831,4.284083843231201e-08,1.2292117454751361,0.8111681689983206,0.18987647582417583,镇平县
2018_02_16,0.2914385396268782,273.16750025605864,286.15234316248313,280.67923906745733,101996.67636331158,274.00438468367713,97935.81955866396,0.0,-1.252594173043336,-0.3606811580800806,0.2028225991758242,镇平县
2018_02_17,0.19525444619199872,276.13904732895344,281.304749307127,279.28953278136663,102013.69529725322,276.8289147443103,97923.51977660123,0.002232642060041036,-1.6236351487068255,-1.1520076510323045,0.20713797362637362,镇平县
2018_02_19,0.24831784876848692,275.2159885968359,282.37911511427933,278.74197142011457,102277.34202481393,275.7626015947075,98176.61085310914,1.903831683919282e-05,-0.021508507637703303,-0.47067091800794025,0.21576872252747256,镇平县
2018_02_22,0.3606110872999186,271.00981924440765,287.2673346269126,280.5209297208472,102072.77550705243,273.9747161810597,98014.2805234557,1.862645149230957e-09,1.533043710493165,0.74568708740606,0.2287148458791209,镇平县
2018_02_23,0.3992358971341897,276.0593710912141,288.7477098235853,283.36905065699534,101718.13685470457,276.27466954886467,97704.89071969024,2.1911818007293533e-06,0.27172286807137486,0.7316429071598066,0.23303022032967033,镇平县
2018_02_25,0.3563491090243887,271.830627070889,285.0266130761959,279.5309992444093,102386.30903094442,273.3607980126646,98296.62305567173,0.0,0.5295589857271369,0.5609750538440859,0.24166096923076924,镇平县
2018_02_26,0.32060593234785056,277.28644339991126,288.22915964861295,284.0517422094289,101741.95873716974,276.4228707398564,97739.10965084752,0.000652395687596806,-0.45609298350800126,0.056238257319580535,0.24597634368131868,镇平县
2018_02_28,0.2698229022090677,281.12906143913574,288.2379595356952,283.5606458971964,101318.23638616686,279.94265839618373,97324.3776180875,0.0002148220417542172,0.48644697023385985,0.5734455926904256,0.2546070925824176,镇平县
2018_03_03,0.26935010212636795,280.8374469528662,285.4660330614807,283.0723415231148,100479.06422910717,278.0735297432771,96522.18801450903,0.000667610141153699,-0.19260601223514356,0.1120769698604645,0.26755321593406595,镇平县
2018_03_05,0.5607559425003749,272.9884663184361,283.5051868991444,280.88870242630276,102722.0387220201,278.80604901726167,98606.32264599315,6.809491807754998e-05,-2.350674464522352,-0.7924920317131522,0.2761839648351649,镇平县
2018_03_08,0.48752496603373724,274.2978834927885,283.3807231369041,278.5680969542529,103036.36603225359,274.909647139323,98904.42286413218,0.0,-1.687883253746669,-0.6160768011979721,0.28913008818681324,镇平县
2018_03_09,0.24980056029520134,276.55732576112763,285.1431255921454,280.4782260134026,102303.35400290594,276.33836884931156,98240.25683904918,0.0,0.7584078736161568,0.7000114629008474,0.29344546263736265,镇平县
2018_03_10,0.44256164677226795,280.1461619504622,290.31337640247426,285.13189891731326,101905.42993119798,278.129984895071,97914.526121799,1.026393138474214e-06,-0.5795862148918101,0.06418001189167817,0.29776083708791207,镇平县
2018_03_11,0.498665289596316,279.8713198329744,291.27587884400623,286.4301426902294,101827.53939506195,281.73231344576664,97850.33373124819,0.0,-0.7742147411683227,0.33207553380139615,0.30207621153846154,镇平县
2018_03_12,0.5047640847563527,282.4404421482673,293.9738325444044,288.37411380848584,101342.8480780332,282.3479954408643,97403.8066457776,0.0,0.6017245695251112,0.6639146962379668,0.306391585989011,镇平县
2018_03_13,0.4794199808051206,285.262368286,296.49913467959857,290.87519815859565,101047.10826658348,284.4418816657422,97127.45525374549,0.00013195970271929352,-0.38175991185828845,0.8805154068253968,0.3107069604395604,镇平县
2018_03_15,0.41803128705340764,278.6754879449893,294.5536369428267,285.5983006325372,101909.31564396904,279.19450332820486,97880.59502133234,0.0006847694546099095,-4.099916881253678,-2.5268027065254413,0.31933770934065936,镇平县
2018_03_20,0.5670282032745902,271.85973770196375,286.8488475018798,281.45814850003393,102545.10201310665,276.40751088623455,98458.25874351819,3.864617593733803e-06,-1.1743833245130832,-0.8588366000200188,0.3409145815934066,镇平县
2018_03_21,0.5240388177972323,273.09318053383623,286.07336497828373,281.40226230736147,102070.17521277224,277.1862083998998,98015.37057361829,8.355260633362032e-05,0.12297363619145686,0.3716694296651976,0.34522995604395607,镇平县
2018_03_22,0.49985597535371934,279.453741920762,294.213152697672,286.82717214899577,101517.54342020731,280.28727433659617,97556.61957040027,4.1507153936506094e-05,0.00039956995933454606,-0.2516349402379099,0.3495453304945055,镇平县
2018_03_23,0.41752617406032,283.6175514444619,294.79911674673406,289.65260734315405,101542.57166056706,284.40179852849604,97599.30295503803,8.673087579588792e-05,-0.5594210572988786,0.29368458583735835,0.35386070494505495,镇平县
2018_03_24,0.5876285055469007,282.7380151593806,292.97212446443393,289.3738168716632,102075.6250588367,285.229357874536,98108.43934171484,0.0006343268696838133,-2.4285033292967566,-1.5106299812565374,0.3581760793956044,镇平县
2018_03_25,0.47979211940060873,283.992125442838,294.3101251340347,289.69487782074754,102086.57422393607,284.9715674696011,98119.84581898821,0.00011388751249568124,-0.04618584778704041,0.2987333747113444,0.3624914538461539,镇平县
2018_03_26,0.48275873406008335,285.1988324803187,295.98448759690956,290.28341985210886,101665.70458462222,285.2197004979451,97729.36389947649,4.0997914839907006e-06,1.0826527524367282,0.7891523676334202,0.3668068282967033,镇平县
2018_03_27,0.5335150101373483,285.9575753845225,300.37557705896086,292.87075399833003,101199.48342517443,286.72930657403424,97298.83373759176,0.0,0.9563436406642872,0.9480497844864255,0.37112220274725277,镇平县
2018_03_28,0.509164004845513,286.7196472133015,299.89532994510375,293.7228409478524,101116.7599212689,288.55006281738883,97219.57252315643,1.862645149230957e-09,-0.6268333494061098,0.5639529655634112,0.37543757719780224,镇平县
2018_03_29,0.5066233135113615,283.21971347905003,296.5174787285816,291.70074846239396,101772.24072669266,287.3697401853751,97827.23622480972,0.00027108798335589616,-3.398348087013212,-0.9821905570167903,0.37975295164835166,镇平县
2018_03_30,0.5647058882494556,280.2320970868626,292.28439427186004,288.56726312895444,101922.35750441169,285.1746148679698,97961.9919612815,4.486646133908866e-05,-1.482079403492242,-0.606020032555918,0.38406832609890107,镇平县
2018_03_31,0.5863865599052319,285.63612246879205,297.28649110244254,292.6109498001276,101398.19356667226,286.8992329386506,97487.37483386064,0.00013626507606704662,1.219893747970244,0.21403132226785593,0.3883837005494506,镇平县
2018_04_01,0.4553133603996266,282.5542178122464,300.7027704229313,293.33701324611445,101042.89219765071,287.5089808239326,97159.84300934564,1.201748141825951e-05,1.5428726106448438,-0.12983274492731436,0.392699075,镇平县
2018_04_02,0.5984920047418764,284.7689786392923,301.4124483478504,295.20999889570123,100802.12177569375,289.0665218883621,96930.7377629938,0.0,0.6280211024300162,0.6666427060758022,0.3970144494505494,镇平县
2018_04_03,0.6214633092337177,280.64534834054723,301.36546470510797,290.84787701360096,101321.86122067581,281.330398583986,97373.07673734744,0.0011154758188045254,-3.490063474491412,-1.3151969844338545,0.4013298239010989,镇平县
2018_04_07,0.5850568765901372,271.5072561999569,291.50061008246644,284.149061050107,102140.74558828515,278.21466518041336,98128.93876825043,0.0,1.9535889199484466,0.7890116981492638,0.4185913217032967,镇平县
2018_04_08,0.6276152537191535,279.3135075686794,298.40535212786983,290.10836889812987,101188.50468540013,282.7401894727241,97269.01870576342,0.0,1.1262365940100194,0.8380830129708091,0.42290669615384613,镇平县
2018_04_09,0.6056650791386933,283.8554637730334,298.6433946953792,292.10622680571055,100653.16479381043,286.8077352129306,96764.91943671825,0.0,0.14033840090387562,1.104247734326235,0.4272220706043956,镇平县
2018_04_10,0.6061743644646134,281.78003793861166,301.7686743135495,294.90412272744413,100754.31093034497,289.7765294302208,96892.49650728989,3.725290298461914e-09,-0.22643621971642586,-0.7909016667069824,0.4315374450549451,镇平县
2018_04_11,0.5717396752620999,284.84809018050333,298.24094553631414,293.0527338162901,100916.70862452572,287.6770125325683,97012.72168293229,0.010662125852556308,-3.2890646982508134,-1.9840007407305587,0.43585281950549454,镇平县
2018_04_14,0.36292840636765494,275.81353394711425,291.29222413324754,285.45327008553977,102064.74222870852,280.22200136145045,98081.97218708457,4.284083843231201e-08,0.8830820952784918,-1.710353261441462,0.44879894285714284,镇平县
2018_04_16,0.5939017563292787,279.62688895636893,293.8560798233655,288.9039134283303,101677.53565956897,284.18510913735975,97722.89563999526,0.0,-0.155772519098643,1.008857367248219,0.4574296917582418,镇平县
2018_04_17,0.5962640302351186,284.6348999426267,296.1308352913817,291.10867759215455,101376.7976564842,286.5888047865459,97449.70453987732,0.0,-0.23926829284915366,0.8659926970069504,0.46174506620879124,镇平县
2018_04_18,0.634294953083919,287.6581230420554,299.12100883065546,293.82856695569734,100953.72747616256,289.0616586162816,97060.01696765286,1.862645149230957e-09,-0.983779456232612,0.6791222763302911,0.46606044065934066,镇平县
2018_04_19,0.6628366417422413,285.7285191189113,301.3473942748513,295.6215820930786,100809.65336762609,291.03455794095095,96927.84801819392,4.284083843231201e-08,-2.5603397130027035,1.8588982935977512,0.4703758151098901,镇平县
2018_04_23,0.5088192949597736,285.55985072361347,291.8762748312116,288.85783593914357,101805.1026412346,286.07611793251357,97837.6177611908,6.579150262722475e-05,-1.14913124874026,-0.8098034095928434,0.48763731291208795,镇平县
2018_04_26,0.661300833731997,286.7666001802011,297.6125742110827,292.386447649858,101474.40916034357,286.92020991205686,97557.89055073826,6.197875646693791e-05,1.2745187192540293,0.16029609768628858,0.5005834362637362,镇平县
2018_04_27,0.6581061873864592,286.1910480132001,300.5018378647569,294.9493493553144,101663.86223211618,288.98884998236866,97755.20497730169,0.0,-0.2656241813213877,0.8060039686007475,0.5048988107142858,镇平县
2018_04_28,0.6469569512979897,287.8870086706148,299.0586646601197,294.63426015874495,101139.17931350699,290.48128212316635,97243.25078257931,0.00047901640481547847,0.3096307763756248,1.2116981436642205,0.5092141851648352,镇平县
2018_04_29,0.6819095583674588,287.76297382299714,301.4461549572755,296.14820305308774,100728.92896256341,290.33151246228937,96863.76568403572,9.467163632235927e-06,1.1758549382560286,0.4135446596773936,0.5135295596153846,镇平县
2018_04_30,0.6216395604968352,289.50263778399295,302.66484291987126,297.0415294974043,100881.73102805697,293.2760828702128,97018.79291350319,0.002446477548092121,-0.7769339722418658,-0.014926081794102467,0.517844934065934,镇平县
2018_05_01,0.47789647004838814,290.334935714075,299.930203967922,293.8550631095342,101250.95430459219,289.4073389385836,97352.39341972458,0.005426585863987363,-0.7349140603854402,-1.1210702651482394,0.5221603085164835,镇平县
2018_05_02,0.4648776651911439,283.6439705779879,298.967998917257,292.9245055497293,101914.06703182183,286.738756015257,97975.19312213465,9.710511557730628e-05,-0.7456680747675352,-0.3680817877937801,0.526475682967033,镇平县
2018_05_03,0.6270710238692075,283.7985548261039,299.3607708330146,294.33235450576393,101648.1273885356,290.1535038493737,97724.64525228742,0.0,-0.5497948901553998,1.0122918230633648,0.5307910574175825,镇平县
2018_05_05,0.3160349323736522,289.79563259632596,296.8631020668884,293.08163580351925,100571.82481467533,290.2002476809644,96689.23330339672,0.009925880014365084,0.05243147111621827,0.2794964608472864,0.5394218063186813,镇平县
2018_05_07,0.5898248531520579,284.07511726937264,297.59756745883794,292.6829281823854,101112.46639534597,286.6293229469253,97205.122000501,4.284083843231201e-08,-0.4858223218395495,-0.3130315226080823,0.5480525552197802,镇平县
2018_05_08,0.6598710110178051,283.4560669022444,298.0029119888933,293.5319223690521,101643.58168290924,288.50488640454057,97722.07858833921,0.0002138416613162508,-2.0828201737511396,-0.6341385587529588,0.5523679296703298,镇平县
2018_05_09,0.585682357987817,283.1297198545158,299.12135963421093,294.26569888134907,101832.12320254698,289.9988897464037,97902.03358552068,1.2852535140325351e-05,-2.6409973140215413,-0.31485117310573774,0.5566833041208792,镇平县
2018_05_12,0.6018261591001827,288.07185198060716,302.04813872238924,296.09206696879,100816.94223179495,290.18605907708604,96946.91528787465,0.0,1.534568953369537,0.4357199323870954,0.5696294274725274,镇平县
2018_05_13,0.5634776105542795,289.00939922934265,303.89366970068966,297.8155231978983,100525.36099545611,293.03427699054896,96671.94922870342,0.0,0.17527923179286237,1.201239289645266,0.573944801923077,镇平县
2018_05_14,0.4944637779022502,293.9730143878098,302.69921910019923,299.09155091885555,99969.06180772751,294.3125334515178,96137.58513980663,0.007777199888151235,-1.3276943238034158,0.9523832789382377,0.5782601763736265,镇平县
2018_05_15,0.42838175814034035,294.0383022675034,304.37533539081613,298.47760924481435,99642.76701331182,293.98638515108934,95825.5736055035,0.008599882692460278,-0.14705883475109693,0.63486291548207,0.5825755508241759,镇平县
2018_05_16,0.5841010593292412,295.0686296377456,306.0379729254059,300.50618193557494,99818.18464852644,296.42083861243395,96010.01819689981,0.0006533820433254004,-0.39161197986946356,-0.09503116139834793,0.5868909252747253,镇平县
2018_05_17,0.4425595941768311,294.6312552634422,305.22536091879306,299.1956163110938,100390.18910208458,294.27052336518796,96547.89824560101,0.01221467904325298,-1.2670153439018657,-1.063838252401466,0.5912062997252747,镇平县
2018_05_23,0.47962239700481357,284.0685568530945,298.58736725035226,294.8700125050575,101007.38235429829,290.4577244095416,97111.17877084386,0.00033436067112127044,-0.2397140502184624,1.4235733754008641,0.6170985464285714,镇平县
2018_05_24,0.31537479771520244,289.3278624272491,295.01120948252156,293.6567408214023,100382.59378521563,291.7787491718238,96510.59600574369,0.0007736746352207784,-0.6676423576998959,-0.13661574217416292,0.6214139208791208,镇平县
2018_05_26,0.32618929509091826,288.2464016333758,301.1469914183236,294.80007724447813,101138.17494676007,291.10217979264996,97244.94125092834,0.0009652754195468281,1.5693300543712505,-1.5811552427169935,0.6300446697802198,镇平县
2018_05_27,0.4353849171678048,285.01932318241415,301.80471896953264,295.41473035185,101099.87661111438,288.82267945707656,97222.35475733424,0.0,1.5387912505150247,-0.6627564528270454,0.6343600442307693,镇平县
2018_05_31,0.5036993011794931,288.89495954859586,301.979988450907,296.53968910437777,101456.87364893987,291.08207883610487,97560.0570162781,8.284849260772942e-09,-0.1599228313486112,0.5193793333931718,0.6516215420329671,镇平县
2018_06_01,0.3575787489705784,288.51827492130514,299.5559974546532,295.6188536657735,101466.00820495286,292.69993193563056,97567.19231048074,0.0006507866828963629,0.52067821184839,-0.007153540325148371,0.6559369164835165,镇平县
2018_06_03,0.4309707850247391,289.3013444689323,302.17456556548206,297.2645837521072,100930.04173713132,293.2204066817276,97064.51688922501,1.1579533463564881e-05,1.0964011527200905,0.6792283973245169,0.6645676653846154,镇平县
2018_06_04,0.3681224653747969,287.6472816445553,303.56408249250177,297.9285102039544,100938.126535941,291.6446533979219,97079.82004446028,0.0,0.3459278145089619,0.44453612001472775,0.6688830398351648,镇平县
2018_06_05,0.43012029026445947,289.21853547643184,305.10618268339874,298.36931997765384,100803.17425973684,291.8594378124051,96944.57930377136,0.0,0.5486721511747258,1.1111198718979287,0.6731984142857143,镇平县
2018_06_06,0.4346615417022371,292.3246501084525,305.2362016827376,299.42310442718065,100694.60778012344,293.8617442739107,96844.00990107493,0.0,0.06590808410880188,1.2665280611606304,0.6775137887362638,镇平县
2018_06_07,0.4448645689981983,293.7023463422756,306.075947115043,300.8511793472278,100714.82975082389,295.28192200861633,96873.7442585486,0.00010100018763113187,-1.1265693294827002,-0.2265631154817688,0.6818291631868132,镇平县
2018_06_08,0.3796767374171064,287.37153519510633,305.1276046476833,299.0951766195272,100603.71291390776,292.42342932126985,96747.63970807758,3.960595216558e-05,-0.9392559161660442,-0.9420437972249711,0.6861445376373626,镇平县
2018_06_10,0.41160096869836305,286.97922689880113,305.49782449756964,298.7083383055134,100263.43795247858,292.3142278770605,96432.24857235215,9.028979814954789e-07,0.6911087812712574,0.38550210174730193,0.6947752865384615,镇平县
2018_06_11,0.39712454536443753,288.65325439377085,306.48932324016704,300.52024495394835,100081.39246604053,294.0329734387838,96265.08708892293,4.2078079328460406e-05,0.6257786010345704,0.9456427778076315,0.699090660989011,镇平县
2018_06_12,0.41546526437614845,290.2415572564892,308.50852286423316,301.63067031168373,99921.7799618262,295.41465404805655,96109.74917111054,0.0005992706479993128,0.0038356247004101363,1.3036116295275404,0.7034060354395605,镇平县
2018_06_13,0.3798835507700051,290.91515884274065,307.21471378299964,301.0948936027252,99919.52397057184,295.83383005761493,96103.85142683377,0.00044498697187072433,-0.5566180388644513,1.2028603053971085,0.7077214098901099,镇平县
2018_06_14,0.4087422267657092,290.23075722327644,305.6368574566294,300.87663196153085,100323.62591146828,295.3672052471432,96498.74222043621,4.7991668696648064e-05,-1.222064658220633,-0.024663470082634382,0.7120367843406593,镇平县
2018_06_15,0.4066114953908981,287.20265393283245,307.8017072615643,302.5471670738847,100495.44189634315,297.6867914796828,96670.12857497668,1.862645149230957e-09,-1.9270697880425027,0.9305024563517766,0.7163521587912088,镇平县
2018_06_19,0.4934688264286042,293.821336226393,301.3544133041286,297.5969246022091,100390.10511723133,295.00331354234163,96538.1237903778,2.169749428538918e-05,-1.0182014089345661,-0.18578715340178312,0.7336136565934066,镇平县
2018_06_21,0.47184626350571524,292.4206304429955,302.589340622858,298.73777464046344,100587.54149406505,295.2590801006605,96734.27487074908,1.0398292716147175e-05,-1.5127641430871834,0.29772082782434767,0.7422444054945055,镇平县
2018_06_22,0.5507256383037779,293.267257532913,301.8759376915612,298.808690867294,100447.56852846539,294.9162640220034,96598.99116449611,0.00016991510643221927,-0.48405720707638455,0.8916579125360147,0.746559779945055,镇平县
2018_06_23,0.4794966611559407,293.6712801592993,303.5063578599997,299.7504537001118,100402.60510995031,295.75721848492213,96561.83395210159,0.0017463009474368272,-0.8448859076033373,0.818587424790243,0.7508751543956045,镇平县
2018_06_24,0.4093420602906722,296.48307914021603,301.5275646259554,299.37574311923936,100346.80374071997,296.7943494861193,96501.9952525015,0.01658721008426762,-1.6111957521369684,0.7865904257252889,0.7551905288461539,镇平县
2018_06_26,0.49242896083980126,297.9524262457149,306.55062704619087,300.7281451780327,100291.92049871365,297.21956862759396,96464.75974648076,0.009064864077416343,-0.41145359684444516,-0.10129050516067067,0.7638212777472527,镇平县
2018_06_28,0.5685581224095019,294.5358740937553,308.45650166101626,302.276531218796,100072.00155811624,297.57787797688235,96270.80817919243,4.288237198745128e-07,-1.1305768815134292,-0.5811427988849555,0.7724520266483517,镇平县
2018_06_29,0.5879328930424368,294.59930615906654,304.58711281964077,300.94678331402116,100069.01628263916,297.9534903728182,96254.07661153273,0.0012197359309549546,-1.5097046476118117,-0.35458474149488606,0.7767674010989012,镇平县
2018_07_01,0.5753088576195438,293.0397531225031,304.12187928903745,300.03232260512715,100244.78950749518,296.40139457220914,96414.9879382329,0.0,-2.2600812247557913,-0.45766125131548485,0.78539815,镇平县
2018_07_03,0.5622515478229432,295.5183822849011,302.0005039755781,299.3105622501312,99828.07619813841,297.15399307138324,96009.47767272429,0.003944472203848603,-2.3931879820693713,-0.7489767519472963,0.7940288989010988,镇平县
2018_07_06,0.6153560710079206,294.4223278214494,305.7397153697421,300.85812329312074,100400.99186637756,295.7500494224083,96571.62457958634,3.9043259477481175e-06,-2.0213228608537315,-1.5787655755711596,0.8069750222527472,镇平县
2018_07_07,0.6649884017201889,294.21826830989744,304.56838983030286,300.05538741824694,100517.96656775537,295.331206526236,96675.59070747855,8.09365775748604e-07,-1.8505151630028969,-0.7245055193782725,0.8112903967032968,镇平县
2018_07_12,0.6372577131056306,296.9249564693814,304.2285564146343,300.4429750807494,100305.62756569036,297.86529162873086,96472.11788880234,0.006580806403513585,-1.6126654609588755,-0.9334533939412782,0.832867268956044,镇平县
2018_07_14,0.680370835837995,297.9482256291528,304.8515676785411,301.30214514777873,100350.00123484695,298.7163588462605,96520.20115004564,0.00140782288911066,-1.1472537302897061,0.5158964216818495,0.8414980178571428,镇平县
2018_07_15,0.6146678421386338,298.402961202686,305.7337494356573,302.48690291965437,100455.70220586545,299.4350223923678,96622.82245349413,0.002481605742898937,-1.5899816268955085,0.9508757080913197,0.8458133923076923,镇平县
2018_07_16,0.7328314486352502,297.8214572159104,306.26854273683824,301.5948625817774,100384.60660028276,298.5124803045181,96556.32138499763,0.0033474989117235066,-1.090870385075047,1.1111648639852216,0.8501287667582417,镇平县
2018_07_17,0.7163857646537158,298.91165470064357,305.53922935033046,302.52989255275287,100315.0520458755,299.1475344810406,96493.80645662195,0.0016881151244312806,-0.8429729393772352,1.2274921071654774,0.8544441412087912,镇平县
2018_07_18,0.7914069902089129,298.2600987313713,307.1202807816039,303.49512221433775,100355.77541186645,300.0029056451474,96537.79205498782,0.0003830112741773557,-1.8895601058291314,1.6109518829308687,0.8587595156593406,镇平县
2018_07_19,0.6604811622229777,297.952818532767,307.29757205084854,303.70618734086776,100338.60819122272,299.7830411857057,96523.05053735749,2.8533028795972838e-05,-1.968965816961043,1.48411026910644,0.8630748901098902,镇平县
