Date,NDVI,dewpoint_2m_temperature,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,surface_pressure,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,X,Name
2018_01_01,0.2934583003952453,268.8490034782429,282.7019564119643,277.76323501150875,102384.80477833774,272.61446114291556,98287.84390037064,0.0,-0.4963208084321471,0.04348902355627068,0.004315374450549451,鲁山县
2018_01_08,0.036028923411095384,260.5477592756394,274.2947968498092,270.8890789367238,102796.17364536275,267.5158361097996,98566.5140268533,0.0,3.974329946475298,-1.4720718705958817,0.03452299560439561,鲁山县
2018_01_09,0.03719414954275087,262.0491415359544,276.82657246498815,272.151635006707,102860.6663828658,267.009171460999,98667.39473017915,0.0,3.3052962116972346,-1.1263102856751612,0.03883837005494505,鲁山县
2018_01_10,0.018344571266303723,261.98451528018074,276.5495981874619,270.1953089913139,103152.63750895337,264.7334249373526,98953.70259051734,0.0,2.677258363218275,-0.9027819226589959,0.04315374450549451,鲁山县
2018_01_11,0.04464764231850649,260.95802264895,272.8398745681124,266.6032134313773,103709.64325248939,261.40026495975457,99411.8553008501,0.0,0.38999242653176314,0.012362854420584492,0.04746911895604396,鲁山县
2018_01_12,0.05224399715046516,262.73720327708713,273.07173468714205,266.9328872433713,103253.35500945986,261.1128666746223,99000.22215502975,0.0,0.745992238458616,0.7527741770084655,0.051784493406593406,鲁山县
2018_01_14,0.0689248062884989,268.9877270738373,280.253162470156,273.4884375258161,102201.12875143488,266.9350931754321,98104.51260781009,0.0,1.1210583528141418,0.10502847416592921,0.06041524230769231,鲁山县
2018_01_15,0.07878963525241095,271.387633284738,278.27419350777507,275.32148806368974,102126.8460223628,270.23091798371985,98009.90320833372,4.1683620851788074e-08,1.1111332079030287,-0.85251328003357,0.06473061675824175,鲁山县
2018_01_18,0.0832687992215744,269.86007205875563,278.71760569109,275.30448057614495,102602.23284952035,272.22630475996317,98478.67835268668,0.0,0.4831120948533168,-0.12773097323466093,0.0776767401098901,鲁山县
2018_01_19,0.24893273993207826,269.2512122783651,285.3778606494146,278.1656901051761,102274.22689983423,272.70948071429115,98216.52440455476,0.0,1.4793443962222892,-0.2725782637970215,0.08199211456043956,鲁山县
2018_01_20,0.26018148885107667,270.92670793807645,284.2136639986652,278.3103118555118,102109.19943695304,273.6792038102173,98064.32394355712,0.0,0.8632600351838622,0.08139039490476817,0.08630748901098902,鲁山县
2018_01_26,0.03010045636234874,262.09390039825524,269.3767847009614,267.7005927114678,103411.02225016878,263.6789794369862,99077.14190145026,0.0006983555814662536,-1.0765501207607047,-0.1984175082366452,0.11219973571428571,鲁山县
2018_01_29,0.03262347885193785,259.08855440366796,272.45207253588046,267.449429990517,103172.10558370895,263.2733614805369,98905.97099195085,1.862645149230957e-09,2.639927557350554,-1.2105084952277514,0.12514585906593406,鲁山县
2018_01_30,0.05337019952275269,261.4483501717432,275.2215603264393,272.2756766867435,103056.02838446102,263.9770228556355,98819.1912502929,1.5724999733798984e-05,3.0955428216454486,-2.1929820309118333,0.1294612335164835,鲁山县
2018_01_31,0.07862702440852969,259.72186803544,275.32857432849,271.34232131302514,103111.13353461267,267.1235124533285,98889.88704408356,0.0,2.814372629756738,-1.341211809498906,0.13377660796703297,鲁山县
2018_02_01,0.1724558356104801,261.11877273970225,279.22243930775755,275.2806000495492,103099.32491500987,268.0381945834625,98913.16939188496,0.0,2.1310586015348836,-1.460537436256942,0.13809198241758244,鲁山县
2018_02_02,0.2656880517972098,254.18460755861003,274.5609842300466,270.984302678925,103960.59419837933,266.00630634089356,99664.2134525125,0.0,2.622464224512036,-3.086929806491335,0.14240735686813186,鲁山县
2018_02_03,0.3020151019552231,254.93640406499867,275.76765138728115,270.5839680412634,103652.39162892716,266.12037475940554,99392.17991989272,0.0,1.744846171420919,-0.9991070982219827,0.14672273131868133,鲁山县
2018_02_04,0.2995934349317518,256.47251675353397,277.22388430482596,272.5403743124823,103463.67158761702,267.3596047011285,99236.07866212085,0.0,2.2518429895991248,-1.3219675996441353,0.15103810576923077,鲁山县
2018_02_05,0.3148598607697491,259.10744225471933,280.16167247032246,273.3779521106407,103124.40985205946,267.6789341648135,98938.87995191946,1.862645149230957e-09,1.7127956608203783,-1.3167188014074043,0.1553534802197802,鲁山县
2018_02_06,0.24608119920565288,263.96177084740447,280.1523493820137,274.0338275054713,102572.89041344401,268.3018903642464,98429.75286105648,4.470348358154297e-08,0.7141970883291997,0.8565243296700118,0.15966885467032968,鲁山县
2018_02_07,0.30363246525013526,259.63906519249724,281.3304560385707,274.7574759290744,102657.73105671603,269.12639013381437,98490.30328722182,4.284083843231201e-08,1.2814033020932312,-1.4776849777837888,0.16398422912087912,鲁山县
2018_02_08,0.2819802245905096,265.71819372656745,280.07439174761595,275.6203089823752,101867.08979844683,269.46179256128,97758.63243573354,1.446567001276199e-06,0.4691821866339981,1.6820151932674199,0.16829960357142856,鲁山县
2018_02_11,0.295991494921927,254.52020267233033,278.54238780235795,274.42565556702,103244.7099397912,270.9952316788742,99044.36582262757,0.0,3.294545207869063,-2.5060905360410035,0.18124572692307694,鲁山县
2018_02_12,0.3345013489573553,257.67882397966497,283.1530925764892,276.32088028402666,102746.55812959121,271.4402166237415,98625.77986015844,0.0,2.48584335105651,-0.3331395475428529,0.18556110137362639,鲁山县
2018_02_13,0.30384901797815705,270.48440278919657,288.5923275121696,280.8986433611874,101468.9502893422,272.0906062079045,97460.98857222767,4.284083843231201e-08,1.3481763984285218,1.9617960692386558,0.18987647582417583,鲁山县
2018_02_14,0.19835446330780562,264.50299276267987,286.3006049857929,280.4316970818079,101882.09983211706,275.94147858415914,97804.27569245853,1.2250946295395972e-07,-1.374816676663514,-2.0405650533079553,0.1941918502747253,鲁山县
2018_02_16,0.2842997630496759,271.49095772570905,286.7450733102389,280.23099708956784,102043.47257674934,272.41189287632267,97979.06655209974,0.0,-0.7723859535198591,0.23193183417870458,0.2028225991758242,鲁山县
2018_02_19,0.3059387293665134,273.63780387057096,283.529950736258,278.8482321092491,102270.2613089175,275.28613499514785,98176.90331971466,8.979716736973389e-07,-0.5849734540773032,0.4930419240301977,0.21576872252747256,鲁山县
2018_02_22,0.3518239151824123,267.88448750824244,287.8110392731177,280.88257294518786,101919.14698203983,273.0436133549292,97886.28676805623,1.862645149230957e-09,1.9043453574907647,1.4935868939940231,0.2287148458791209,鲁山县
2018_02_23,0.34965726116870394,274.0525940445092,290.77318453683125,283.7381732563532,101650.46265540869,276.0053364126448,97649.8632532249,4.284083843231201e-08,0.474195979457068,1.615783226725622,0.23303022032967033,鲁山县
2018_02_25,0.30916009238097186,271.3559094067614,286.0298849675821,279.6760010077308,102246.11511479257,271.49500886515693,98177.26531300478,0.0,0.2161838421953227,2.219673431232226,0.24166096923076924,鲁山县
2018_02_28,0.2523520770980137,279.83624770319375,290.3572681255601,284.1096023936437,101228.63379699292,278.6028695456527,97256.60657734847,4.11051357873882e-05,0.5457937596739452,1.2357618849232341,0.2546070925824176,鲁山县
2018_03_03,0.3296589557402867,280.681929956031,288.5526985112005,283.6213053133784,100451.96649197144,278.04530007545185,96501.42627794013,0.0037651499236564913,-0.08737675376203201,1.2985751217137307,0.26755321593406595,鲁山县
2018_03_05,0.3688244794659087,270.95457816488323,282.3486693868395,279.42598650467477,102830.93708977719,277.4571972904162,98695.09460320843,1.4463136428795727e-06,-1.5028526623072986,-0.6148974845402027,0.2761839648351649,鲁山县
2018_03_08,0.4276913939191343,273.1648911874218,281.1684860923578,277.3345314931611,103079.51797957583,273.88977160103167,98933.23429943746,2.23822256237103e-05,-0.9828811212710499,0.2418484704428567,0.28913008818681324,鲁山县
2018_03_09,0.2905382618474702,276.3811809414086,286.80523936668794,280.8906247830656,102149.62664041952,274.8540723187447,98110.35261892951,0.0,0.8934803454627499,2.4523427548901156,0.29344546263736265,鲁山县
2018_03_10,0.39846962699566285,279.63609644767206,291.86702790776866,285.0298116187567,101869.08514084297,277.89329444219936,97889.36808373424,0.0,-0.18656583239955815,1.3717134041107049,0.29776083708791207,鲁山县
2018_03_11,0.3196292052807616,279.4511884995627,291.8929986503548,285.9533821544549,101789.10943591976,281.1968264090066,97818.73450104303,0.0,-0.2811903648293775,1.6288879912021517,0.30207621153846154,鲁山县
